Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-05-18,15:35:00,1.79,1.79,1.79,1.79,1000,0
2016-05-18,15:45:00,1.79,1.8,1.78,1.78,9000,0
2016-05-18,16:00:00,1.82,1.82,1.77,1.79,4900,0
2016-05-18,16:25:00,1.75,1.76,1.75,1.76,15200,0
2016-05-18,16:30:00,1.75,1.75,1.75,1.75,500,0
2016-05-18,16:45:00,1.8,1.8,1.8,1.8,200,0
2016-05-18,17:15:00,1.76,1.84,1.75,1.75,2100,0
2016-05-18,17:30:00,1.76,1.76,1.76,1.76,200,0
2016-05-18,18:00:00,1.76,1.768,1.75,1.75,2100,0
2016-05-18,18:05:00,1.79,1.79,1.79,1.79,200,0
2016-05-18,18:35:00,1.76,1.76,1.76,1.76,5300,0
2016-05-18,21:25:00,1.75,1.75,1.75,1.75,839,0
2016-05-18,21:40:00,1.77,1.77,1.77,1.77,200,0
2016-05-18,21:45:00,1.75,1.75,1.75,1.75,200,0
2016-05-18,22:00:00,1.7511,1.83,1.75,1.83,500,0
2016-05-19,18:30:00,1.83,1.83,1.83,1.83,100,0
2016-05-19,20:05:00,1.8425,1.8425,1.8425,1.8425,100,0
2016-05-19,21:45:00,1.78,1.78,1.78,1.78,200,0
2016-05-19,22:00:00,1.74,1.74,1.74,1.74,100,0
2016-05-20,15:35:00,1.9,1.9,1.9,1.9,1000,0
2016-05-20,15:55:00,1.77,1.77,1.74,1.7501,4500,0
2016-05-20,16:10:00,1.75,1.75,1.75,1.75,100,0
2016-05-20,16:20:00,1.75,1.75,1.75,1.75,400,0
2016-05-20,16:25:00,1.7538,1.7538,1.7538,1.7538,1000,0
2016-05-20,16:50:00,1.7532,1.7532,1.7532,1.7532,500,0
2016-05-20,17:05:00,1.7525,1.7525,1.7525,1.7525,500,0
2016-05-20,17:25:00,1.76,1.76,1.76,1.76,275,0
2016-05-20,18:05:00,1.76,1.76,1.76,1.76,400,0
2016-05-20,18:10:00,1.88,1.9,1.78,1.79,14200,0
2016-05-20,18:15:00,1.79,1.8,1.79,1.8,4500,0
2016-05-20,21:40:00,1.8,1.8,1.8,1.8,300,0
2016-05-20,22:00:00,1.86,1.86,1.76,1.76,298,0
2016-05-23,15:35:00,1.74,1.74,1.74,1.74,150,0
