Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-21,15:35:00,3.03,3.045,3.01,3.01,19913,0
2016-06-21,15:40:00,3.028,3.028,3,3,19180,0
2016-06-21,15:45:00,3.01,3.0135,3.01,3.0135,598,0
2016-06-21,15:50:00,3.02,3.03,3.0109,3.0109,900,0
2016-06-21,16:00:00,3.0299,3.03,3.01,3.01,5700,0
2016-06-21,16:05:00,3.0001,3.008,2.99,2.9911,23486,0
2016-06-21,16:10:00,2.99,2.99,2.97,2.986,19513,0
2016-06-21,16:15:00,2.985,3.01,2.985,3.01,4260,0
2016-06-21,16:20:00,3,3,2.995,2.9999,1860,0
2016-06-21,16:25:00,2.99,2.99,2.969,2.98,10900,0
2016-06-21,16:30:00,2.99,2.99,2.99,2.99,200,0
2016-06-21,16:35:00,2.99,2.99,2.99,2.99,300,0
2016-06-21,16:40:00,2.99,2.99,2.99,2.99,300,0
2016-06-21,16:45:00,2.99,2.99,2.98,2.98,2195,0
2016-06-21,16:50:00,2.98,2.98,2.98,2.98,300,0
2016-06-21,16:55:00,2.99,2.99,2.99,2.99,2900,0
2016-06-21,17:00:00,2.985,3.01,2.98,3,4445,0
2016-06-21,17:05:00,3.005,3.015,3.0001,3.015,2480,0
2016-06-21,17:10:00,3.018,3.03,3.018,3.03,5156,0
2016-06-21,17:15:00,3.03,3.04,3.0267,3.04,3628,0
2016-06-21,17:20:00,3.04,3.05,3.04,3.04,2950,0
2016-06-21,17:25:00,3.04,3.04,3.04,3.04,3752,0
2016-06-21,17:30:00,3.04,3.0475,3.035,3.0367,5630,0
2016-06-21,17:35:00,3.03,3.0333,3.03,3.0333,3100,0
2016-06-21,17:40:00,3.0325,3.0325,3.03,3.03,2100,0
2016-06-21,17:45:00,3.03,3.04,3.03,3.0325,2550,0
2016-06-21,17:50:00,3.03,3.03,3.03,3.03,200,0
2016-06-21,17:55:00,3.03,3.03,3.0201,3.0201,3041,0
2016-06-21,18:00:00,3.03,3.03,3.02,3.0201,1600,0
2016-06-21,18:05:00,3.029,3.0291,3.027,3.027,2000,0
2016-06-21,18:10:00,3.025,3.025,3.02,3.02,1600,0
2016-06-21,18:15:00,3.02,3.0293,3.02,3.0293,400,0
2016-06-21,18:20:00,3.02,3.02,3.01,3.01,2300,0
2016-06-21,18:25:00,3.015,3.015,3.01,3.01,200,0
2016-06-21,18:30:00,3.02,3.02,3.015,3.015,400,0
2016-06-21,18:35:00,3.02,3.02,3.01,3.02,1700,0
2016-06-21,18:40:00,3.025,3.025,3.025,3.025,300,0
2016-06-21,18:50:00,3.03,3.03,3.0233,3.03,7100,0
2016-06-21,18:55:00,3.03,3.035,3.03,3.03,13601,0
2016-06-21,19:00:00,3.035,3.04,3.035,3.04,400,0
2016-06-21,19:05:00,3.04,3.04,3.04,3.04,100,0
2016-06-21,19:10:00,3.04,3.04,3.035,3.04,615,0
2016-06-21,19:15:00,3.04,3.04,3.04,3.04,300,0
2016-06-21,19:20:00,3.0307,3.04,3.0307,3.04,1400,0
2016-06-21,19:25:00,3.04,3.04,3.04,3.04,241,0
2016-06-21,19:30:00,3.032,3.04,3.03,3.032,6500,0
2016-06-21,19:35:00,3.04,3.04,3.035,3.035,300,0
2016-06-21,19:40:00,3.04,3.04,3.03,3.035,1000,0
2016-06-21,19:45:00,3.035,3.04,3.0305,3.04,1500,0
2016-06-21,19:50:00,3.03,3.04,3.03,3.04,300,0
2016-06-21,19:55:00,3.03,3.03,3.03,3.03,100,0
2016-06-21,20:00:00,3.03,3.05,3.03,3.05,1141,0
2016-06-21,20:05:00,3.05,3.05,3.05,3.05,100,0
2016-06-21,20:10:00,3.05,3.05,3.05,3.05,500,0
2016-06-21,20:15:00,3.04,3.04,3.04,3.04,100,0
2016-06-21,20:20:00,3.04,3.04,3.0301,3.0301,2284,0
2016-06-21,20:30:00,3.03,3.0344,3.03,3.03,2100,0
2016-06-21,20:35:00,3.035,3.035,3.035,3.035,100,0
2016-06-21,20:40:00,3.03,3.0399,3.03,3.03,2400,0
2016-06-21,20:45:00,3.03,3.033,3.03,3.03,800,0
2016-06-21,20:55:00,3.04,3.04,3.03,3.03,200,0
2016-06-21,21:00:00,3.0335,3.0335,3.025,3.025,510,0
2016-06-21,21:05:00,3.03,3.03,3.02,3.03,2100,0
2016-06-21,21:10:00,3.0363,3.0363,3.0363,3.0363,7895,0
2016-06-21,21:15:00,3.03,3.0399,3.03,3.034,3900,0
2016-06-21,21:20:00,3.035,3.035,3.03,3.0316,600,0
2016-06-21,21:25:00,3.03,3.0309,3.02,3.02,2800,0
2016-06-21,21:30:00,3.02,3.0216,3.02,3.02,1100,0
2016-06-21,21:35:00,3.02,3.03,3.02,3.02,3996,0
2016-06-21,21:40:00,3.02,3.02,3.01,3.01,7590,0
2016-06-21,21:45:00,3.01,3.0199,3.01,3.01,19654,0
2016-06-21,21:50:00,3.0101,3.0184,3.01,3.01,800,0
2016-06-21,21:55:00,3.02,3.02,3.01,3.01,11412,0
2016-06-21,22:00:00,3.01,3.02,3.01,3.01,11624,0
2016-06-22,15:35:00,3.04,3.0529,3.0001,3.0517,43533,0
2016-06-22,15:40:00,3.05,3.053,3.05,3.05,8501,0
2016-06-22,15:45:00,3.05,3.08,3.05,3.08,30006,0
2016-06-22,15:50:00,3.0701,3.08,3.07,3.08,3682,0
2016-06-22,15:55:00,3.0701,3.08,3.07,3.08,13700,0
2016-06-22,16:00:00,3.0707,3.08,3.06,3.065,16800,0
2016-06-22,16:05:00,3.06,3.0601,3.06,3.06,1700,0
2016-06-22,16:10:00,3.06,3.07,3.0501,3.07,5137,0
2016-06-22,16:15:00,3.0647,3.0647,3.0647,3.0647,1500,0
2016-06-22,16:20:00,3.0612,3.0692,3.0612,3.062,7800,0
