Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-08-13,19:00:00,3.56,3.56,3.56,3.56,200,0
2015-08-13,22:00:00,3.56,3.56,3.56,3.56,600,0
2015-08-14,16:10:00,3.56,3.56,3.56,3.56,200,0
2015-08-14,20:40:00,3.57,3.57,3.57,3.57,100,0
2015-08-14,20:55:00,3.56,3.56,3.56,3.56,100,0
2015-08-19,15:50:00,3.53,3.53,3.53,3.53,100,0
2015-08-19,16:05:00,3.53,3.53,3.53,3.53,100,0
2015-08-19,16:30:00,3.54,3.54,3.54,3.54,100,0
2015-08-19,17:00:00,3.54,3.54,3.36,3.36,200,0
2015-08-19,17:05:00,3.53,3.55,3.52,3.52,1400,0
2015-08-19,17:30:00,3.54,3.54,3.54,3.54,100,0
2015-08-19,17:55:00,3.53,3.53,3.53,3.53,100,0
2015-08-19,18:35:00,3.55,3.55,3.55,3.55,100,0
2015-08-19,19:35:00,3.55,3.55,3.55,3.55,100,0
2015-08-19,20:20:00,3.55,3.55,3.55,3.55,100,0
2015-08-19,20:45:00,3.55,3.55,3.55,3.55,100,0
2015-08-19,21:20:00,3.55,3.55,3.55,3.55,100,0
2015-08-19,21:40:00,3.55,3.55,3.55,3.55,100,0
2015-08-19,21:55:00,3.55,3.55,3.55,3.55,139,0
2015-08-20,16:00:00,3.54,3.54,3.51,3.525,1882,0
2015-08-20,16:05:00,3.51,3.55,3.51,3.546,1700,0
2015-08-21,17:15:00,3.56,3.56,3.56,3.56,100,0
2015-08-21,21:15:00,3.55,3.55,3.55,3.55,100,0
2015-08-24,15:35:00,3.55,3.55,3.55,3.55,500,0
2015-08-24,15:50:00,3.49,3.49,3.28,3.28,675,0
2015-08-24,16:05:00,3.498,3.498,3.498,3.498,600,0
2015-08-24,16:50:00,3.55,3.55,3.544,3.544,800,0
2015-08-24,17:15:00,3.48,3.4821,3.48,3.48,2000,0
2015-08-24,17:20:00,3.55,3.55,3.546,3.547,600,0
2015-08-24,21:10:00,3.53,3.56,3.53,3.56,600,0
2015-08-24,21:40:00,3.558,3.558,3.557,3.557,200,0
2015-08-25,15:35:00,3.55,3.55,3.55,3.55,200,0
2015-08-26,21:10:00,3.556,3.556,3.556,3.556,400,0
2015-08-27,15:35:00,3.46,3.46,3.46,3.46,1000,0
2015-08-27,16:20:00,3.54,3.55,3.521,3.55,400,0
2015-08-27,16:25:00,3.54,3.547,3.54,3.547,200,0
2015-08-27,16:40:00,3.53,3.56,3.53,3.56,2399,0
2015-08-27,20:05:00,3.56,3.56,3.56,3.56,700,0
2015-08-28,17:30:00,3.56,3.6,3.56,3.6,1900,0
2015-08-28,21:25:00,3.6084,3.6084,3.6,3.6084,1700,0
2015-08-31,21:05:00,3.7,3.71,3.699,3.699,400,0
2015-08-31,21:10:00,3.68,3.68,3.68,3.68,200,0
2015-09-01,15:45:00,3.81,3.81,3.81,3.81,100,0
2015-09-01,15:50:00,3.6,3.6,3.6,3.6,500,0
2015-09-01,16:20:00,3.61,3.61,3.61,3.61,300,0
2015-09-01,17:25:00,3.71,3.72,3.71,3.72,500,0
2015-09-01,17:30:00,3.72,3.74,3.712,3.727,2106,0
2015-09-01,17:50:00,3.72,3.7201,3.7,3.7201,600,0
2015-09-01,18:40:00,3.6201,3.6201,3.6201,3.6201,300,0
2015-09-01,21:35:00,3.73,3.73,3.73,3.73,100,0
2015-09-02,19:20:00,3.7455,3.7455,3.7455,3.7455,1000,0
2015-09-03,16:10:00,3.61,3.61,3.61,3.61,100,0
2015-09-03,17:40:00,3.72,3.73,3.704,3.704,700,0
2015-09-03,17:55:00,3.7003,3.7003,3.7003,3.7003,500,0
2015-09-03,18:00:00,3.7,3.73,3.7,3.73,400,0
2015-09-08,16:10:00,3.59,3.59,3.59,3.59,100,0
2015-09-08,20:35:00,3.71,3.71,3.71,3.71,300,0
2015-09-08,20:45:00,3.69,3.69,3.69,3.69,200,0
2015-09-08,21:00:00,3.72,3.7201,3.72,3.72,400,0
