Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-22,15:35:00,85.4,85.6,85.3219,85.5,25598,0
2016-06-22,15:40:00,85.5,85.5,85.24,85.24,5170,0
2016-06-22,15:45:00,85.36,85.43,85.32,85.42,2408,0
2016-06-22,15:50:00,85.47,85.47,85.2,85.32,6958,0
2016-06-22,15:55:00,85.395,85.42,85.32,85.36,6290,0
2016-06-22,16:00:00,85.32,85.4299,85.3,85.34,3875,0
2016-06-22,16:05:00,85.32,85.41,85.27,85.27,4300,0
2016-06-22,16:10:00,85.35,85.42,85.31,85.42,2618,0
2016-06-22,16:15:00,85.4325,85.49,85.4,85.46,3559,0
2016-06-22,16:20:00,85.47,85.605,85.46,85.5808,4700,0
2016-06-22,16:25:00,85.57,85.62,85.56,85.58,2444,0
2016-06-22,16:30:00,85.59,85.7,85.58,85.63,3600,0
2016-06-22,16:35:00,85.56,85.75,85.49,85.75,1973,0
2016-06-22,16:40:00,85.81,85.83,85.67,85.67,3508,0
2016-06-22,16:45:00,85.6677,85.77,85.65,85.73,2960,0
2016-06-22,16:50:00,85.73,85.73,85.605,85.66,2600,0
2016-06-22,16:55:00,85.72,85.87,85.72,85.73,3900,0
2016-06-22,17:00:00,85.7308,85.78,85.66,85.66,2489,0
2016-06-22,17:05:00,85.6799,85.71,85.64,85.69,3958,0
2016-06-22,17:10:00,85.66,85.6799,85.56,85.61,2600,0
2016-06-22,17:15:00,85.64,85.74,85.64,85.7,9412,0
2016-06-22,17:20:00,85.665,85.76,85.665,85.76,5046,0
2016-06-22,17:25:00,85.78,85.83,85.73,85.73,2100,0
2016-06-22,17:30:00,85.7,85.775,85.68,85.71,1000,0
2016-06-22,17:35:00,85.7,85.7,85.45,85.45,7073,0
2016-06-22,17:40:00,85.45,85.605,85.42,85.605,2200,0
2016-06-22,17:45:00,85.62,85.63,85.52,85.6155,2134,0
2016-06-22,17:50:00,85.598,85.64,85.43,85.43,18998,0
2016-06-22,17:55:00,85.44,85.48,85.41,85.46,2700,0
2016-06-22,18:00:00,85.532,85.64,85.52,85.56,3185,0
2016-06-22,18:05:00,85.53,85.54,85.47,85.5,1100,0
2016-06-22,18:10:00,85.4501,85.52,85.4,85.4,2823,0
2016-06-22,18:15:00,85.48,85.49,85.45,85.49,1600,0
2016-06-22,18:20:00,85.48,85.48,85.4,85.41,1613,0
2016-06-22,18:25:00,85.42,85.43,85.17,85.17,5091,0
