Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-08,15:35:00,13.58,13.58,12.485,12.485,500,0
2016-06-08,15:45:00,13.345,13.36,13.185,13.36,1400,0
2016-06-08,15:55:00,13.4616,13.4616,13.4616,13.4616,200,0
2016-06-08,16:05:00,13.57,13.57,13.57,13.57,300,0
2016-06-08,16:10:00,13.56,13.56,13.5201,13.5201,200,0
2016-06-08,16:15:00,13.53,13.65,13.4701,13.65,1200,0
2016-06-08,16:30:00,13.48,13.515,13.48,13.515,998,0
2016-06-08,17:00:00,13.46,13.46,13.46,13.46,100,0
2016-06-08,17:30:00,13.54,13.54,13.54,13.54,100,0
2016-06-08,17:40:00,13.68,13.68,13.68,13.68,100,0
2016-06-08,17:45:00,13.69,13.69,13.69,13.69,100,0
2016-06-08,17:55:00,13.6,13.6,13.6,13.6,100,0
2016-06-08,18:20:00,13.68,13.7,13.68,13.7,200,0
2016-06-08,18:30:00,13.69,13.69,13.69,13.69,100,0
2016-06-08,18:35:00,13.67,13.7,13.67,13.7,200,0
2016-06-08,18:55:00,13.68,13.68,13.68,13.68,100,0
2016-06-08,19:15:00,13.68,13.68,13.68,13.68,200,0
2016-06-08,19:20:00,13.68,13.68,13.68,13.68,100,0
2016-06-08,19:30:00,13.69,13.69,13.67,13.67,200,0
2016-06-08,19:45:00,13.68,13.7,13.68,13.7,200,0
2016-06-08,19:50:00,13.585,13.69,13.48,13.69,800,0
2016-06-08,20:25:00,13.69,13.69,13.69,13.69,100,0
2016-06-08,20:45:00,13.67,13.7,13.606,13.7,600,0
2016-06-08,20:55:00,13.66,13.66,13.66,13.66,100,0
2016-06-08,21:05:00,13.68,13.68,13.66,13.68,300,0
2016-06-08,21:15:00,13.565,13.65,13.48,13.515,4984,0
2016-06-08,21:20:00,13.51,13.515,13.5005,13.515,300,0
2016-06-08,21:25:00,13.515,13.54,13.48,13.54,5200,0
2016-06-08,21:30:00,13.51,13.51,13.51,13.51,100,0
2016-06-08,21:35:00,13.51,13.54,13.5,13.5,300,0
2016-06-08,21:45:00,13.52,13.52,13.5,13.5,300,0
2016-06-08,21:50:00,13.5,13.51,13.48,13.48,2220,0
2016-06-08,22:00:00,13.5,13.51,13.44,13.44,600,0
2016-06-09,15:35:00,13.41,13.41,13.41,13.41,100,0
2016-06-09,15:40:00,13.235,13.26,13.235,13.26,1100,0
2016-06-09,15:45:00,13.32,13.32,13.32,13.32,100,0
2016-06-09,16:00:00,13.26,13.35,13.26,13.26,400,0
2016-06-09,16:05:00,13.24,13.24,13.23,13.23,600,0
2016-06-09,16:10:00,13.15,13.15,13.15,13.15,100,0
2016-06-09,16:35:00,13.06,13.24,13.06,13.1999,1954,0
2016-06-09,16:40:00,13.14,13.14,13.1,13.1,600,0
2016-06-09,16:50:00,13.1999,13.1999,13.1999,13.1999,200,0
2016-06-09,16:55:00,13.115,13.15,13.115,13.1272,700,0
2016-06-09,17:00:00,13.08,13.08,13.08,13.08,260,0
2016-06-09,17:30:00,13.14,13.15,13.13,13.15,678,0
2016-06-09,17:55:00,13.0952,13.14,13.0952,13.14,300,0
2016-06-09,18:05:00,13.15,13.15,13.15,13.15,100,0
2016-06-09,18:25:00,13.15,13.2,13.15,13.15,900,0
2016-06-09,18:30:00,13.15,13.15,13.15,13.15,100,0
2016-06-09,19:00:00,13.15,13.15,13.14,13.14,3000,0
