Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-18,16:30:00,5.8329,5.8329,5.8087,5.8167,1613,0
2014-02-18,17:25:00,5.8489,5.8489,5.8489,5.8489,618,0
2014-02-18,17:30:00,5.8734,5.8734,5.8087,5.8087,497,0
2014-02-18,18:40:00,5.9217,5.9217,5.9217,5.9217,2231,0
2014-02-24,17:00:00,6.446,6.4541,6.446,6.4541,497,0
2014-02-24,21:45:00,6.4541,6.4541,6.4541,6.4541,618,0
2014-02-27,20:20:00,6.6558,6.6558,6.655,6.655,1487,0
2014-02-27,22:00:00,6.9623,7.3498,6.9623,7.3498,497,0
2014-03-12,18:15:00,6.4945,6.4945,6.4784,6.4945,1667,0
2014-03-12,18:45:00,6.454,6.4541,6.4299,6.4541,4140,0
2014-03-12,18:50:00,6.4541,6.4541,6.454,6.4541,7025,0
2014-03-17,14:35:00,7.8255,7.8255,7.8255,7.8255,1115,0
2014-03-17,20:55:00,7.5433,7.7449,7.5433,7.7449,1262,0
2014-03-17,21:00:00,7.7449,7.7449,6.6236,6.6236,4067,0
2014-03-19,19:00:00,7.7449,7.7449,7.7449,7.7449,497,0
2014-03-20,17:15:00,7.7288,7.7289,7.6643,7.7289,1735,0
2014-03-20,18:20:00,7.6885,7.6885,7.6885,7.6885,247,0
2014-03-20,20:30:00,7.6722,7.6722,7.6722,7.6722,372,0
2014-03-21,15:40:00,6.9382,6.9382,6.8092,6.8093,1784,0
2014-03-21,19:15:00,6.8171,6.8171,6.8171,6.8171,744,0
2014-03-24,16:05:00,6.8575,6.8575,6.8575,6.8575,187,0
2014-03-24,16:10:00,6.8575,6.8575,6.8575,6.8575,372,0
2014-03-24,16:15:00,6.7768,6.7768,6.7768,6.7768,125,0
2014-03-24,16:45:00,6.7768,6.7768,6.7768,6.7768,991,0
2014-03-24,21:00:00,6.7768,6.7768,6.7768,6.7768,371,0
2014-03-27,20:50:00,7.0189,7.0189,7.0189,7.0189,248,0
2014-03-28,18:20:00,6.8817,6.8817,6.8817,6.8817,745,0
2014-03-28,18:25:00,6.8817,6.8817,6.8817,6.8817,125,0
2014-03-28,18:30:00,6.8657,6.8657,6.8575,6.8575,868,0
2014-04-01,19:20:00,6.8657,6.9786,6.8657,6.9786,2109,0
2014-04-01,19:25:00,7.0189,7.0592,6.9463,6.9463,2362,0
2014-04-01,19:30:00,6.9463,6.9463,6.9463,6.9463,2192,0
2014-04-02,15:35:00,6.8817,6.8817,6.8817,6.8817,4461,0
2014-04-07,17:40:00,6.9786,6.9786,6.9786,6.9786,247,0
2014-04-07,19:40:00,7.0108,7.0108,7.0108,7.0108,373,0
2014-04-09,16:40:00,7.3819,7.3819,7.3819,7.3819,125,0
2014-04-17,19:00:00,7.7919,7.7919,7.5049,7.5049,609,0
2014-04-17,19:30:00,7.5788,7.5788,7.546,7.546,244,0
2014-04-21,16:40:00,7.8985,7.9392,7.8985,7.9392,1585,0
2014-04-21,16:55:00,7.7017,7.7017,7.7017,7.7017,244,0
2014-04-23,16:55:00,7.6689,7.7919,7.6689,7.7919,487,0
2014-04-23,17:00:00,7.7099,7.7099,7.6362,7.6362,2927,0
2014-04-24,18:05:00,7.9069,7.9476,7.9069,7.9069,5367,0
2014-04-24,20:55:00,7.8249,7.8659,7.8249,7.8659,248,0
2014-04-24,21:00:00,7.8576,7.8576,7.8576,7.8576,371,0
2014-04-25,21:55:00,7.956,7.956,7.956,7.956,259,0
2014-04-29,16:00:00,7.956,7.956,7.956,7.956,244,0
2014-04-29,21:20:00,7.8331,7.8331,7.7986,7.7986,609,0
2014-04-30,16:20:00,7.7839,7.7839,7.7838,7.7838,3267,0
2014-04-30,19:00:00,7.8002,7.8002,7.8002,7.8002,123,0
2014-04-30,19:55:00,7.7838,7.7838,7.0456,7.0456,4120,0
2014-05-05,17:30:00,7.3327,7.4065,7.3327,7.4065,974,0
2014-05-06,18:05:00,7.3573,7.3573,7.3409,7.3409,1100,0
2014-05-08,20:00:00,7.3493,7.3983,7.3492,7.3492,3962,0
2014-05-13,21:05:00,7.4228,7.4228,7.4228,7.4228,123,0
2014-05-27,18:30:00,7.0949,7.0949,7.0949,7.0949,1463,0
2014-06-02,16:30:00,7.0702,7.0702,7.0702,7.0702,244,0
2014-06-02,16:40:00,7.0457,7.054,7.0456,7.0456,9185,0
2014-06-02,16:45:00,7.0456,7.0456,7.0456,7.0456,928,0
2014-06-02,17:50:00,6.9718,6.9718,6.9718,6.9718,853,0
