Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-02,15:35:00,16.26,16.26,16.26,16.26,100,0
2016-06-02,15:55:00,16.23,16.23,16.16,16.16,749,0
2016-06-02,16:05:00,16.14,16.1401,16.1,16.11,1600,0
2016-06-02,16:10:00,16.11,16.11,16.11,16.11,750,0
2016-06-02,16:15:00,16.15,16.15,16.15,16.15,100,0
2016-06-02,16:20:00,16.16,16.16,16.16,16.16,300,0
2016-06-02,16:25:00,16.16,16.18,16.16,16.18,681,0
2016-06-02,16:55:00,16.2,16.2,16.2,16.2,100,0
2016-06-02,17:05:00,16.18,16.18,16.18,16.18,100,0
2016-06-02,17:25:00,16.17,16.18,16.17,16.18,900,0
2016-06-02,17:45:00,16.18,16.18,16.08,16.08,1500,0
2016-06-02,18:00:00,16.1,16.1,16.1,16.1,1000,0
2016-06-02,18:05:00,16.09,16.09,16.09,16.09,100,0
2016-06-02,18:10:00,16.07,16.07,16.07,16.07,100,0
2016-06-02,18:20:00,16.08,16.08,16.08,16.08,100,0
2016-06-02,18:40:00,16.0692,16.0692,16.0692,16.0692,535,0
2016-06-02,18:55:00,16.05,16.08,16.05,16.08,200,0
2016-06-02,19:15:00,16.09,16.09,16.07,16.07,200,0
2016-06-02,19:45:00,16.06,16.09,15.97,16,5300,0
2016-06-02,19:55:00,15.99,15.99,15.99,15.99,100,0
2016-06-02,20:00:00,15.99,16,15.99,15.99,300,0
2016-06-02,20:05:00,15.99,15.99,15.98,15.98,500,0
2016-06-02,20:25:00,15.99,15.99,15.99,15.99,100,0
2016-06-02,20:30:00,15.99,15.99,15.99,15.99,100,0
2016-06-02,20:35:00,15.99,15.99,15.99,15.99,100,0
2016-06-02,20:40:00,15.98,15.99,15.98,15.99,600,0
2016-06-02,20:55:00,15.99,15.99,15.99,15.99,100,0
2016-06-02,21:00:00,15.97,15.97,15.96,15.97,700,0
2016-06-02,21:05:00,15.96,15.98,15.9501,15.98,800,0
2016-06-02,21:10:00,15.99,15.99,15.99,15.99,100,0
2016-06-02,21:15:00,15.9768,15.98,15.9768,15.98,381,0
2016-06-02,21:20:00,15.99,15.99,15.99,15.99,100,0
2016-06-02,21:25:00,15.98,15.98,15.93,15.96,701,0
2016-06-02,21:30:00,15.917,15.917,15.917,15.917,115,0
2016-06-02,21:50:00,15.96,15.96,15.96,15.96,100,0
2016-06-02,21:55:00,15.98,16,15.98,16,1900,0
2016-06-02,22:00:00,16,16,15.99,16,1843,0
2016-06-03,15:45:00,15.91,15.91,15.91,15.91,300,0
2016-06-03,16:10:00,15.86,15.86,15.75,15.75,200,0
2016-06-03,16:30:00,15.784,15.784,15.784,15.784,2000,0
2016-06-03,16:35:00,15.74,15.74,15.74,15.74,100,0
2016-06-03,16:40:00,15.81,15.81,15.81,15.81,100,0
2016-06-03,16:45:00,15.81,15.835,15.75,15.81,4678,0
2016-06-03,16:50:00,15.8,15.8,15.78,15.78,200,0
2016-06-03,16:55:00,15.84,15.84,15.79,15.79,200,0
2016-06-03,17:00:00,15.8,15.8,15.8,15.8,100,0
2016-06-03,17:10:00,15.8,15.815,15.8,15.815,300,0
2016-06-03,17:15:00,15.8,15.8,15.8,15.8,100,0
2016-06-03,17:20:00,15.84,15.84,15.81,15.81,200,0
2016-06-03,17:35:00,15.8,15.8,15.8,15.8,100,0
2016-06-03,17:50:00,15.81,15.81,15.81,15.81,100,0
2016-06-03,18:00:00,15.84,15.84,15.84,15.84,100,0
2016-06-03,18:15:00,15.84,15.84,15.83,15.84,600,0
2016-06-03,18:20:00,15.84,15.91,15.84,15.91,900,0
2016-06-03,18:25:00,15.91,15.91,15.91,15.91,1000,0
2016-06-03,18:30:00,15.91,15.92,15.91,15.91,1100,0
2016-06-03,18:35:00,15.86,15.86,15.86,15.86,100,0
2016-06-03,18:45:00,15.85,15.85,15.85,15.85,100,0
2016-06-03,18:50:00,15.9299,15.9299,15.9299,15.9299,100,0
2016-06-03,18:55:00,15.84,15.84,15.84,15.84,100,0
2016-06-03,19:00:00,15.84,15.88,15.84,15.88,900,0
2016-06-03,19:05:00,15.865,15.865,15.865,15.865,100,0
2016-06-03,19:30:00,15.85,15.85,15.85,15.85,100,0
2016-06-03,19:45:00,15.89,15.89,15.89,15.89,100,0
2016-06-03,19:55:00,15.83,15.83,15.83,15.83,100,0
2016-06-03,20:15:00,15.85,15.85,15.835,15.835,200,0
2016-06-03,20:20:00,15.82,15.85,15.82,15.85,200,0
2016-06-03,20:40:00,15.87,15.91,15.87,15.91,200,0
2016-06-03,20:45:00,15.86,15.86,15.86,15.86,600,0
2016-06-03,20:50:00,15.93,15.93,15.93,15.93,100,0
2016-06-03,20:55:00,15.93,15.93,15.87,15.87,300,0
2016-06-03,21:10:00,15.91,15.91,15.86,15.86,200,0
2016-06-03,21:15:00,15.9,15.9,15.8,15.8,6293,0
2016-06-03,21:20:00,15.83,15.83,15.8,15.8,600,0
2016-06-03,21:25:00,15.87,15.87,15.83,15.83,200,0
2016-06-03,21:30:00,15.8341,15.8341,15.8341,15.8341,315,0
2016-06-03,21:35:00,15.83,15.83,15.82,15.82,700,0
2016-06-03,21:40:00,15.82,15.82,15.82,15.82,100,0
2016-06-03,21:45:00,15.83,15.83,15.83,15.83,100,0
2016-06-03,21:50:00,15.84,15.86,15.84,15.86,500,0
2016-06-03,21:55:00,15.86,15.9,15.83,15.9,600,0
2016-06-03,22:00:00,15.88,15.89,15.85,15.86,2958,0
2016-06-06,15:35:00,15.83,15.83,15.83,15.83,1302,0
2016-06-06,15:45:00,15.77,15.77,15.77,15.77,100,0
2016-06-06,15:50:00,15.8928,15.8928,15.8928,15.8928,1260,0
2016-06-06,16:05:00,15.9,15.9,15.9,15.9,100,0
2016-06-06,16:15:00,15.83,15.83,15.83,15.83,299,0
2016-06-06,16:20:00,15.85,15.85,15.85,15.85,316,0
2016-06-06,16:40:00,15.81,15.81,15.81,15.81,200,0
2016-06-06,16:50:00,15.81,15.81,15.81,15.81,100,0
2016-06-06,17:10:00,15.83,15.8999,15.8211,15.8999,622,0
2016-06-06,17:15:00,15.88,15.88,15.88,15.88,100,0
2016-06-06,17:25:00,15.84,15.865,15.84,15.865,200,0
2016-06-06,17:30:00,15.87,15.87,15.87,15.87,100,0
2016-06-06,17:35:00,15.87,15.87,15.87,15.87,100,0
2016-06-06,17:45:00,15.87,15.87,15.87,15.87,200,0
2016-06-06,17:55:00,15.855,15.855,15.855,15.855,100,0
2016-06-06,18:00:00,15.88,15.89,15.82,15.84,1100,0
2016-06-06,18:10:00,15.85,15.85,15.85,15.85,100,0
2016-06-06,18:15:00,15.88,15.88,15.88,15.88,200,0
2016-06-06,18:40:00,15.87,15.87,15.87,15.87,100,0
2016-06-06,18:45:00,15.855,15.93,15.855,15.93,400,0
2016-06-06,18:55:00,15.93,15.93,15.93,15.93,100,0
2016-06-06,19:15:00,15.92,15.92,15.92,15.92,700,0
2016-06-06,19:20:00,15.97,15.97,15.97,15.97,100,0
2016-06-06,19:35:00,15.96,15.96,15.94,15.94,200,0
2016-06-06,19:40:00,15.94,15.94,15.94,15.94,100,0
2016-06-06,19:45:00,15.95,15.95,15.95,15.95,100,0
2016-06-06,19:50:00,15.97,16,15.97,15.991,900,0
2016-06-06,19:55:00,15.991,16,15.94,16,1100,0
2016-06-06,20:10:00,16,16,16,16,200,0
2016-06-06,20:20:00,16.05,16.09,16.05,16.09,400,0
2016-06-06,20:25:00,16.1,16.14,16.1,16.14,809,0
2016-06-06,20:40:00,16.1299,16.13,16.1299,16.13,1100,0
2016-06-06,20:45:00,16.13,16.13,16.13,16.13,100,0
2016-06-06,21:00:00,16.12,16.13,16.12,16.12,1400,0
2016-06-06,21:05:00,16.13,16.14,16.13,16.13,900,0
2016-06-06,21:15:00,16.12,16.12,16.12,16.12,200,0
2016-06-06,21:20:00,16.13,16.13,16.124,16.13,1300,0
2016-06-06,21:25:00,16.13,16.13,16.09,16.11,900,0
2016-06-06,21:30:00,16.09,16.11,16.09,16.11,600,0
2016-06-06,21:35:00,16.11,16.11,16.11,16.11,300,0
2016-06-06,21:40:00,16.13,16.13,16.12,16.12,500,0
2016-06-06,21:45:00,16.12,16.12,16.12,16.12,100,0
2016-06-06,21:50:00,16.1,16.14,16.1,16.14,200,0
2016-06-06,21:55:00,16.13,16.15,16.13,16.1425,400,0
2016-06-06,22:00:00,16.15,16.15,16.11,16.14,3783,0
2016-06-07,15:35:00,16.05,16.05,16.05,16.05,4167,0
2016-06-07,16:35:00,16.0894,16.0894,16.0894,16.0894,500,0
2016-06-07,16:50:00,16.05,16.05,16.05,16.05,100,0
2016-06-07,17:25:00,16.06,16.06,16.06,16.06,879,0
2016-06-07,17:40:00,16.04,16.06,15.99,16.02,900,0
2016-06-07,17:50:00,16.05,16.05,15.97,15.97,1200,0
2016-06-07,17:55:00,16.01,16.02,16,16.02,600,0
2016-06-07,18:20:00,15.99,15.99,15.99,15.99,100,0
2016-06-07,18:35:00,15.99,16.03,15.99,16.03,2300,0
2016-06-07,18:40:00,16.03,16.03,16,16.005,1200,0
2016-06-07,18:45:00,15.99,16.01,15.99,16.01,300,0
2016-06-07,18:50:00,16.01,16.01,16.01,16.01,300,0
2016-06-07,19:00:00,16.01,16.01,16.01,16.01,198,0
2016-06-07,19:15:00,16.01,16.01,16.01,16.01,200,0
2016-06-07,19:20:00,16,16.02,16,16.02,200,0
2016-06-07,19:25:00,16.02,16.03,16.02,16.03,300,0
2016-06-07,19:35:00,16.03,16.03,16.03,16.03,100,0
2016-06-07,20:05:00,16.08,16.08,16.08,16.08,100,0
2016-06-07,20:15:00,16.03,16.03,16.03,16.03,100,0
2016-06-07,20:30:00,16.04,16.04,16.04,16.04,700,0
2016-06-07,20:45:00,16.01,16.01,16.01,16.01,200,0
2016-06-07,20:55:00,16.01,16.01,16.01,16.01,135,0
2016-06-07,21:15:00,16.03,16.03,16,16,500,0
2016-06-07,21:25:00,15.95,15.95,15.95,15.95,200,0
2016-06-07,21:30:00,15.91,15.91,15.91,15.91,300,0
