Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-03-14,14:35:00,180.06,180.06,180.06,180.06,100,0
2016-03-14,14:40:00,180.59,180.59,180.59,180.59,100,0
2016-03-14,14:45:00,178.69,178.69,178.69,178.69,193,0
2016-03-14,15:10:00,180,180,179.89,179.89,200,0
2016-03-14,15:40:00,180,180,179.9,180,650,0
2016-03-14,16:05:00,180.24,180.24,180.19,180.19,400,0
2016-03-14,16:25:00,180.44,180.44,179.83,179.83,200,0
2016-03-14,17:20:00,180.18,180.18,180.18,180.18,100,0
2016-03-14,17:35:00,180.53,180.53,180.53,180.53,100,0
2016-03-14,19:15:00,179.81,179.81,179.81,179.81,100,0
2016-03-14,19:20:00,179.66,179.66,179.66,179.66,100,0
2016-03-14,20:10:00,179.75,179.75,178.79,178.79,300,0
2016-03-14,20:25:00,180.43,180.43,179.99,179.99,300,0
2016-03-14,20:30:00,180.18,180.18,180.18,180.18,100,0
2016-03-14,20:35:00,179.545,179.545,179.545,179.545,100,0
2016-03-14,20:40:00,179.82,179.82,179.82,179.82,100,0
2016-03-14,21:00:00,179.73,179.96,179.34,179.4,917,0
2016-03-15,14:35:00,179.71,179.71,179.71,179.71,206,0
2016-03-15,14:40:00,178.99,179,178.99,179,300,0
2016-03-15,14:45:00,179.95,179.95,176,176,200,0
2016-03-15,15:00:00,179.825,179.825,179.825,179.825,100,0
2016-03-15,15:10:00,178,178,177.26,177.26,200,0
2016-03-15,16:10:00,175.0001,179.075,175.0001,179.075,380,0
2016-03-15,16:35:00,177.185,178.73,177.185,178.73,200,0
2016-03-15,16:40:00,177.54,177.54,177.54,177.54,100,0
2016-03-15,19:15:00,177.96,177.96,177.96,177.96,100,0
2016-03-15,19:20:00,177.96,179.95,176.98,179.485,2900,0
2016-03-15,19:25:00,178.2,180.6,178.075,180,2686,0
2016-03-15,19:35:00,180,180,180,180,100,0
2016-03-15,19:40:00,180,180,180,180,100,0
2016-03-15,19:50:00,180,180,178.8,180,700,0
2016-03-15,19:55:00,179.98,180.35,179.53,180,500,0
2016-03-15,20:00:00,180.39,180.39,179,180,300,0
2016-03-15,20:05:00,180.4,180.49,180.4,180.49,300,0
2016-03-15,20:35:00,181,181,179.5,179.5,800,0
2016-03-15,20:45:00,180.6,180.65,179.76,179.76,600,0
2016-03-15,20:55:00,180.67,180.67,180.67,180.67,100,0
2016-03-15,21:00:00,178.58,179.87,178.58,179.2,1182,0
2016-03-16,14:35:00,179.5,179.5,179.5,179.5,303,0
2016-03-16,14:55:00,180.6,180.6,180.6,180.6,100,0
2016-03-16,15:25:00,179.4001,179.4001,179.4001,179.4001,300,0
2016-03-16,15:45:00,180.09,180.09,180.09,180.09,300,0
2016-03-16,18:05:00,180.18,180.18,179.89,179.89,300,0
2016-03-16,19:05:00,179.94,180,179.94,179.94,300,0
2016-03-16,19:20:00,179.99,179.99,179.99,179.99,100,0
2016-03-16,19:25:00,180.17,180.17,180.17,180.17,100,0
2016-03-16,19:30:00,179.7,179.7,179.7,179.7,100,0
2016-03-16,19:55:00,180,180,179.96,179.995,699,0
2016-03-16,20:00:00,179.7905,180,179.31,179.99,600,0
2016-03-16,21:00:00,177.05,178.21,177.05,177.18,589,0
2016-03-17,14:35:00,181.07,181.07,181.07,181.07,100,0
2016-03-17,16:30:00,179.95,179.95,179.48,179.48,200,0
2016-03-17,19:00:00,179.88,179.88,179.88,179.88,100,0
2016-03-17,19:15:00,176.53,176.53,176.53,176.53,100,0
2016-03-17,19:35:00,180,180,180,180,100,0
2016-03-17,20:50:00,180.99,181,180.99,181,200,0
2016-03-17,21:00:00,180.67,180.91,179.5,179.6,1082,0
2016-03-18,14:35:00,180.53,180.53,180.53,180.53,3990,0
2016-03-18,14:50:00,181.54,181.54,181.54,181.54,100,0
2016-03-18,16:05:00,181.2799,181.2799,181.2799,181.2799,150,0
2016-03-18,16:25:00,179.67,179.67,179.67,179.67,100,0
2016-03-18,16:35:00,180,180,180,180,100,0
2016-03-18,17:25:00,179.2,180,179.2,180,483,0
2016-03-18,18:15:00,179.85,179.85,179.45,179.45,296,0
2016-03-18,18:40:00,180.16,180.16,180.16,180.16,100,0
2016-03-18,19:50:00,180.16,180.16,180.16,180.16,200,0
2016-03-18,20:20:00,179.405,179.405,179.405,179.405,100,0
2016-03-18,20:25:00,179.4,179.4,179.4,179.4,200,0
2016-03-18,20:40:00,179.4,179.4,179.4,179.4,100,0
2016-03-18,20:45:00,180.1433,180.16,179.415,179.415,1789,0
2016-03-18,20:50:00,179.41,180.16,179.41,180.16,200,0
2016-03-18,20:55:00,180.16,180.16,179.41,179.41,500,0
2016-03-18,21:00:00,180.16,180.16,179.41,180.16,1100,0
2016-03-21,14:35:00,178.61,178.61,178.61,178.61,400,0
2016-03-21,19:10:00,178.8816,179.95,178.8816,179.95,250,0
2016-03-21,19:20:00,179.9,179.9,179.9,179.9,100,0
2016-03-21,19:50:00,179.58,179.58,179.58,179.58,100,0
2016-03-21,20:10:00,179.352,179.94,179.352,179.94,412,0
2016-03-21,20:35:00,179.89,179.91,179.89,179.91,500,0
2016-03-21,20:40:00,179.996,179.996,179.996,179.996,100,0
2016-03-21,21:00:00,179.9,179.9,179.1,179.1,1165,0
2016-03-22,19:20:00,178.9544,178.9544,178.9544,178.9544,100,0
2016-03-22,19:50:00,178.96,178.96,178.96,178.96,200,0
2016-03-22,20:20:00,178.97,178.97,178.97,178.97,100,0
2016-03-22,21:00:00,178.88,178.88,178.88,178.88,274,0
2016-03-23,16:00:00,177.43,177.43,177.296,177.296,1000,0
2016-03-23,16:50:00,177.9,177.91,177.9,177.9,300,0
2016-03-23,17:45:00,178.17,178.17,178.17,178.17,100,0
2016-03-23,18:30:00,177.23,177.23,177.23,177.23,100,0
2016-03-23,19:10:00,178.01,178.01,178.01,178.01,100,0
2016-03-23,19:20:00,178.01,178.01,177.4,177.41,300,0
2016-03-23,19:45:00,177.41,177.41,177.35,177.35,200,0
2016-03-23,19:55:00,177.2,177.25,177,177,400,0
2016-03-23,20:05:00,177.21,177.21,177.21,177.21,200,0
2016-03-23,20:25:00,177.64,177.64,177.64,177.64,100,0
2016-03-23,20:55:00,178.57,178.57,176.74,177.1,300,0
2016-03-23,21:00:00,176.21,176.27,176.21,176.27,696,0
2016-03-24,14:35:00,176.97,176.97,176.97,176.97,130,0
2016-03-24,14:55:00,175.05,175.05,175.05,175.05,100,0
2016-03-24,15:20:00,175.302,175.302,175.302,175.302,100,0
2016-03-24,15:55:00,176.75,176.75,176.75,176.75,100,0
2016-03-24,17:00:00,175.026,175.026,175.026,175.026,157,0
2016-03-24,18:10:00,175,175.11,174.99,175,600,0
2016-03-24,20:05:00,174.95,174.95,174.95,174.95,100,0
2016-03-24,20:25:00,174.86,175,174.805,175,600,0
2016-03-24,20:30:00,174.71,174.71,174.71,174.71,200,0
2016-03-24,20:35:00,174.7,174.7,174.7,174.7,100,0
2016-03-24,20:40:00,175,175,175,175,100,0
2016-03-24,20:55:00,174.95,174.96,174.95,174.96,400,0
2016-03-24,21:00:00,174.94,174.94,174.41,174.41,989,0
2016-03-28,15:35:00,175,175,175,175,100,0
2016-03-28,15:45:00,174.7,175.19,174.7,175.19,300,0
2016-03-28,16:50:00,172.2,172.2,172.2,172.2,221,0
2016-03-28,17:40:00,172.54,172.54,172.5,172.5,400,0
2016-03-28,17:45:00,172.14,172.14,172.14,172.14,100,0
2016-03-28,18:05:00,172.5,172.5,172.5,172.5,184,0
2016-03-28,18:15:00,171.83,171.83,171.83,171.83,100,0
2016-03-28,18:20:00,172,172,171.9999,171.9999,300,0
2016-03-28,18:35:00,171.8,171.8,171.8,171.8,100,0
2016-03-28,18:40:00,171.94,172,171.61,171.61,500,0
2016-03-28,19:50:00,172.8699,172.8699,172.8699,172.8699,100,0
2016-03-28,19:55:00,171.61,171.61,171.61,171.61,100,0
2016-03-28,20:00:00,171.61,172.03,171.61,171.9999,500,0
2016-03-28,20:50:00,172.7,172.7,172,172,300,0
2016-03-28,21:25:00,172.1724,172.1724,172.1724,172.1724,200,0
2016-03-28,21:35:00,172.205,172.25,172.205,172.25,300,0
2016-03-28,21:40:00,172.15,172.22,171.64,171.792,1700,0
2016-03-28,21:45:00,172,172,172,172,100,0
2016-03-28,22:00:00,172.02,173.11,172.02,173.1,1442,0
2016-03-29,15:35:00,171.78,171.78,171.78,171.78,100,0
2016-03-29,15:45:00,172.74,172.74,172.74,172.74,137,0
2016-03-29,17:00:00,172.63,172.63,172.63,172.63,100,0
2016-03-29,17:50:00,174,174,173.5,173.5,500,0
2016-03-29,18:15:00,175,175,175,175,100,0
2016-03-29,18:20:00,174.25,174.25,174.25,174.25,100,0
2016-03-29,18:55:00,174.99,174.99,174.625,174.625,200,0
