Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-22,15:35:00,40.78,40.78,40.75,40.77,46567,0
2016-06-22,15:40:00,40.77,40.78,40.75,40.76,68961,0
2016-06-22,15:45:00,40.76,40.78,40.75,40.75,150386,0
2016-06-22,15:50:00,40.75,40.77,40.75,40.77,212279,0
2016-06-22,15:55:00,40.77,40.77,40.755,40.76,23921,0
2016-06-22,16:00:00,40.76,40.76,40.75,40.75,56251,0
2016-06-22,16:05:00,40.75,40.765,40.74,40.76,166454,0
2016-06-22,16:10:00,40.76,40.76,40.75,40.76,14981,0
2016-06-22,16:15:00,40.76,40.765,40.75,40.76,12832,0
2016-06-22,16:20:00,40.755,40.76,40.75,40.755,1700,0
2016-06-22,16:25:00,40.755,40.755,40.75,40.755,1000,0
2016-06-22,16:30:00,40.76,40.78,40.755,40.77,74390,0
2016-06-22,16:35:00,40.77,40.78,40.77,40.78,46986,0
2016-06-22,16:40:00,40.78,40.78,40.77,40.78,30802,0
2016-06-22,16:45:00,40.78,40.78,40.77,40.775,26491,0
2016-06-22,16:50:00,40.775,40.78,40.775,40.78,1500,0
2016-06-22,16:55:00,40.78,40.78,40.78,40.78,1500,0
2016-06-22,17:00:00,40.78,40.78,40.775,40.78,1200,0
2016-06-22,17:05:00,40.78,40.78,40.765,40.765,50723,0
2016-06-22,17:10:00,40.76,40.77,40.76,40.765,28901,0
2016-06-22,17:15:00,40.765,40.77,40.75,40.76,19050,0
2016-06-22,17:20:00,40.75,40.77,40.75,40.765,37808,0
2016-06-22,17:25:00,40.765,40.77,40.76,40.765,5352,0
2016-06-22,17:30:00,40.76,40.77,40.76,40.77,9914,0
2016-06-22,17:35:00,40.77,40.78,40.76,40.77,44726,0
2016-06-22,17:40:00,40.77,40.78,40.77,40.78,9171,0
2016-06-22,17:45:00,40.78,40.78,40.77,40.78,1700,0
2016-06-22,17:50:00,40.78,40.78,40.78,40.78,1900,0
2016-06-22,17:55:00,40.78,40.78,40.77,40.78,1930,0
2016-06-22,18:00:00,40.78,40.78,40.775,40.78,832,0
2016-06-22,18:05:00,40.78,40.78,40.77,40.77,1900,0
2016-06-22,18:10:00,40.78,40.78,40.77,40.775,2471,0
