Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-05-12,16:05:00,5.214,5.47,5.214,5.47,200,0
2016-05-12,16:55:00,5.4299,5.4299,5.4299,5.4299,200,0
2016-05-12,17:15:00,5.3899,5.3899,5.3899,5.3899,185,0
2016-05-12,18:20:00,5.36,5.36,5.36,5.36,100,0
2016-05-12,18:55:00,5.3,5.3,5.29,5.29,1000,0
2016-05-12,19:00:00,5.34,5.34,5.34,5.34,100,0
2016-05-12,19:15:00,5.28,5.28,5.28,5.28,200,0
2016-05-12,21:30:00,5.31,5.31,5.16,5.16,200,0
2016-05-12,22:00:00,5.22,5.34,5.19,5.34,2300,0
2016-05-13,15:35:00,5.18,5.18,5.18,5.18,1222,0
2016-05-13,16:00:00,5.14,5.14,5.14,5.14,100,0
2016-05-13,17:25:00,5.1782,5.1782,5.1782,5.1782,230,0
2016-05-13,17:40:00,5.2,5.2,5.2,5.2,100,0
2016-05-13,18:15:00,5.1963,5.2,5.19,5.19,1201,0
2016-05-13,20:35:00,5.24,5.24,5.18,5.18,200,0
2016-05-13,21:05:00,5.234,5.24,5.234,5.24,600,0
2016-05-13,22:00:00,5.22,5.22,5.2101,5.22,683,0
2016-05-16,15:35:00,5.25,5.25,5.25,5.25,300,0
2016-05-16,15:40:00,5.25,5.26,5.25,5.26,600,0
2016-05-16,15:50:00,5.26,5.26,5.25,5.25,3780,0
2016-05-16,15:55:00,5.24,5.24,5.24,5.24,100,0
2016-05-16,16:05:00,5.24,5.24,5.24,5.24,100,0
2016-05-16,17:30:00,5.25,5.26,5.25,5.26,656,0
2016-05-16,17:35:00,5.26,5.26,5.26,5.26,100,0
2016-05-16,17:40:00,5.26,5.26,5.26,5.26,100,0
2016-05-16,17:50:00,5.26,5.26,5.26,5.26,800,0
2016-05-16,18:05:00,5.26,5.26,5.26,5.26,3000,0
2016-05-16,18:40:00,5.3199,5.3199,5.3199,5.3199,1300,0
2016-05-16,19:20:00,5.32,5.32,5.32,5.32,100,0
2016-05-16,20:05:00,5.39,5.39,5.39,5.39,300,0
2016-05-16,20:20:00,5.3598,5.3598,5.3598,5.3598,100,0
2016-05-16,21:50:00,5.315,5.315,5.275,5.275,300,0
2016-05-16,22:00:00,5.36,5.36,5.35,5.35,200,0
2016-05-17,15:50:00,5.41,5.41,5.41,5.41,100,0
