Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-11-25,20:15:00,9.75,9.75,9.75,9.75,10000,0
2015-11-30,22:00:00,9.9,9.9,9.9,9.9,100,0
2015-12-21,17:15:00,9.65,9.65,9.65,9.65,1500,0
2015-12-21,19:20:00,9.65,9.71,9.65,9.71,500,0
2015-12-21,19:25:00,9.71,9.71,9.71,9.71,100,0
2015-12-21,19:30:00,9.66,9.66,9.65,9.65,400,0
2015-12-21,20:00:00,9.74,9.88,9.74,9.88,4985,0
2015-12-21,20:05:00,9.82,9.82,9.82,9.82,600,0
2015-12-21,20:15:00,9.79,9.8201,9.79,9.82,2997,0
2015-12-22,20:30:00,9.66,9.66,9.55,9.55,100600,0
2015-12-22,21:45:00,9.65,9.65,9.65,9.65,400,0
2015-12-23,19:45:00,9.55,9.55,9.55,9.55,400000,0
2015-12-29,21:50:00,9,9.1,9,9.1,200,0
2015-12-29,22:00:00,9.9,9.9,9.9,9.9,500,0
2015-12-31,17:50:00,10.25,10.25,10.25,10.25,100,0
2015-12-31,20:10:00,9.95,9.95,9.95,9.95,100,0
2015-12-31,21:05:00,9.8499,9.85,9.75,9.85,4800,0
2015-12-31,21:10:00,9.9,9.91,9.75,9.855,5000,0
2015-12-31,21:15:00,9.91,9.93,9.9,9.9,6400,0
2015-12-31,21:20:00,9.9001,9.9001,9.9001,9.9001,200,0
2015-12-31,21:25:00,9.9001,9.9001,9.76,9.86,800,0
2015-12-31,22:00:00,9.9,9.9,9.9,9.9,300,0
2016-01-06,20:45:00,9.41,9.66,9.41,9.66,1200,0
2016-01-06,21:50:00,9.63,9.63,9.63,9.63,100,0
2016-01-06,22:00:00,9.39,9.39,9.39,9.39,100,0
2016-01-07,19:30:00,9.69,9.69,9.69,9.69,100,0
2016-01-08,20:15:00,9.66,9.66,9.66,9.66,199,0
2016-01-08,20:20:00,9.66,9.69,9.66,9.69,202,0
2016-01-22,21:25:00,9.5826,9.5848,9.5826,9.5848,700,0
2016-01-22,21:40:00,9.63,9.63,9.5872,9.5872,500,0
2016-01-25,22:00:00,9.58,9.58,9.58,9.58,100,0
2016-01-27,19:30:00,9.55,9.55,9.55,9.55,634,0
2016-01-28,22:00:00,9.67,9.67,9.67,9.67,100,0
2016-01-29,21:40:00,9.74,9.74,9.74,9.74,103,0
2016-01-29,21:50:00,9.7,9.7,9.7,9.7,600,0
2016-01-29,21:55:00,9.74,9.74,9.74,9.74,300,0
2016-02-01,15:40:00,9.69,9.69,9.65,9.65,1100,0
2016-02-01,15:55:00,9.65,9.65,9.65,9.65,2761,0
2016-02-01,16:05:00,9.65,9.65,9.65,9.65,1739,0
2016-02-02,15:45:00,9.6,9.6,9.6,9.6,5000,0
2016-02-02,19:05:00,9.55,9.55,9.55,9.55,5000,0
2016-02-04,20:20:00,9.7,9.7,9.7,9.7,100,0
2016-02-04,20:35:00,9.7,9.7,9.7,9.7,100,0
2016-02-04,20:55:00,9.7,9.7,9.7,9.7,100,0
2016-02-04,21:15:00,9.7,9.7,9.7,9.7,100,0
2016-02-04,21:30:00,9.7,9.7,9.7,9.7,100,0
2016-02-04,21:45:00,9.7,9.7,9.7,9.7,100,0
2016-02-04,21:55:00,9.7,9.7,9.7,9.7,100,0
2016-02-04,22:00:00,9.7,9.7,9.7,9.7,300,0
2016-02-11,16:55:00,9.65,9.65,9.65,9.65,200,0
2016-02-11,19:40:00,9.68,9.68,9.68,9.68,100,0
2016-02-17,21:10:00,9.68,9.68,9.68,9.68,500,0
2016-02-18,16:00:00,9.7,9.7,9.7,9.7,5000,0
2016-02-18,17:00:00,9.57,9.57,9.57,9.57,200000,0
2016-02-18,17:20:00,9.55,9.55,9.55,9.55,4950,0
2016-02-18,18:15:00,9.56,9.56,9.55,9.55,3400,0
2016-02-18,18:20:00,9.53,9.53,9.53,9.53,3000,0
2016-02-18,18:30:00,9.64,9.64,9.64,9.64,100,0
2016-02-18,21:50:00,9.53,9.53,9.53,9.53,5000,0
2016-02-18,21:55:00,9.5,9.5,9.5,9.5,4000,0
2016-02-19,16:15:00,9.51,9.52,9.48,9.48,12340,0
2016-02-19,17:30:00,9.57,9.57,9.57,9.57,1346500,0
2016-02-23,21:25:00,9.58,9.58,9.58,9.58,200,0
2016-02-29,20:00:00,9.7,9.7,9.7,9.7,100,0
2016-02-29,22:00:00,9.69,9.7,9.68,9.7,958,0
2016-03-02,21:45:00,9.67,9.67,9.67,9.67,595,0
2016-03-07,15:55:00,9.75,9.75,9.75,9.75,500,0
2016-03-07,21:05:00,9.7,9.7,9.7,9.7,500,0
2016-03-08,20:55:00,9.67,9.67,9.67,9.67,500,0
2016-03-09,17:25:00,9.7,9.7,9.7,9.7,2500,0
2016-03-09,20:05:00,9.7,9.7,9.7,9.7,2500,0
2016-03-15,20:50:00,9.58,9.58,9.57,9.57,1000,0
2016-03-16,17:05:00,9.69,9.69,9.69,9.69,100,0
2016-03-18,21:00:00,9.7,9.7,9.7,9.7,1528,0
2016-03-21,16:55:00,9.66,9.66,9.66,9.66,100,0
2016-03-21,19:20:00,9.7,9.7,9.7,9.7,1529,0
2016-03-21,19:25:00,9.7,9.7,9.7,9.7,971,0
2016-03-21,20:05:00,9.7,9.7,9.7,9.7,500,0
2016-03-23,17:05:00,9.69,9.69,9.69,9.69,100,0
2016-03-31,20:45:00,9.7,9.7,9.7,9.7,200,0
2016-04-07,16:30:00,9.6001,9.6001,9.6001,9.6001,200,0
2016-04-08,20:15:00,9.71,9.71,9.7,9.7,500,0
2016-04-15,17:55:00,9.68,9.7,9.68,9.6999,4900,0
2016-04-22,20:30:00,9.7,9.7,9.7,9.7,2000,0
2016-04-29,20:40:00,9.71,9.71,9.71,9.71,100,0
2016-05-02,19:25:00,9.71,9.71,9.71,9.71,100,0
2016-05-02,20:55:00,9.7499,9.75,9.72,9.7492,1500,0
2016-05-03,21:05:00,9.7,9.72,9.7,9.72,600,0
2016-05-03,21:15:00,9.7,9.7,9.7,9.7,168,0
2016-05-05,16:30:00,9.7,9.7,9.7,9.7,100,0
2016-05-06,15:55:00,9.7,9.7,9.7,9.7,100,0
2016-05-10,15:35:00,9.75,9.75,9.75,9.75,100,0
2016-05-10,16:35:00,9.7,9.7,9.7,9.7,100,0
2016-05-10,16:40:00,9.7,9.7,9.7,9.7,100,0
2016-05-10,17:20:00,9.72,9.72,9.72,9.72,100,0
2016-05-10,17:50:00,9.7,9.7,9.7,9.7,100,0
2016-05-10,18:25:00,9.7,9.7,9.7,9.7,100,0
2016-05-10,21:45:00,9.7,9.7,9.7,9.7,500,0
2016-05-10,22:00:00,9.7,9.7,9.7,9.7,100,0
2016-05-13,18:25:00,9.7,9.7,9.7,9.7,100000,0
2016-05-16,16:25:00,9.67,9.67,9.66,9.66,6539,0
2016-05-17,16:15:00,9.7,9.7,9.7,9.7,100,0
2016-05-17,17:35:00,9.7,9.7,9.7,9.7,54739,0
2016-05-17,18:00:00,9.7,9.7,9.7,9.7,300,0
2016-05-17,18:05:00,9.7,9.7,9.7,9.7,20100,0
2016-05-18,16:45:00,9.7,9.7001,9.7,9.7001,200,0
2016-05-23,18:00:00,9.69,9.69,9.68,9.68,24939,0
2016-05-25,17:05:00,9.6899,9.6899,9.6899,9.6899,100,0
2016-05-25,18:50:00,9.69,9.69,9.69,9.69,4998,0
2016-05-25,21:15:00,9.68,9.68,9.68,9.68,5000,0
2016-05-25,21:30:00,9.68,9.68,9.68,9.68,18900,0
2016-05-27,19:50:00,9.65,9.65,9.65,9.65,400,0
2016-05-31,21:40:00,9.69,9.69,9.69,9.69,100,0
2016-06-07,15:40:00,9.6964,9.7,9.67,9.7,29700,0
2016-06-07,15:45:00,9.7,9.7,9.7,9.7,209605,0
2016-06-07,15:50:00,9.7,9.7,9.7,9.7,143300,0
2016-06-07,21:55:00,9.69,9.69,9.69,9.69,300,0
2016-06-08,16:35:00,9.72,9.72,9.72,9.72,57816,0
2016-06-08,16:40:00,9.72,9.72,9.72,9.72,59616,0
2016-06-09,15:35:00,9.72,9.72,9.72,9.72,1000,0
2016-06-13,15:35:00,9.73,9.73,9.73,9.73,100,0
2016-06-13,15:45:00,9.85,9.85,9.85,9.85,3988,0
2016-06-13,17:40:00,9.72,9.72,9.72,9.72,300,0
2016-06-14,18:25:00,9.74,9.74,9.74,9.74,200,0
2016-06-14,18:40:00,9.74,9.74,9.74,9.74,100,0
2016-06-14,18:45:00,9.7399,9.7399,9.7399,9.7399,200,0
2016-06-14,19:00:00,9.7399,9.7399,9.7399,9.7399,200,0
2016-06-14,19:15:00,9.74,9.74,9.7399,9.7399,200,0
2016-06-14,20:35:00,9.75,9.75,9.75,9.75,861,0
2016-06-16,17:30:00,9.7201,9.7201,9.7201,9.7201,825,0
2016-06-17,18:30:00,9.7299,9.74,9.7299,9.74,600,0
2016-06-17,18:35:00,9.74,9.79,9.74,9.76,4060,0
2016-06-17,18:40:00,9.76,9.76,9.75,9.75,400,0
2016-06-17,18:45:00,9.74,9.74,9.74,9.74,700,0
2016-06-20,15:35:00,9.78,9.78,9.78,9.78,200,0
2016-06-23,15:35:00,9.78,9.78,9.78,9.78,200,0
2016-06-24,15:35:00,9.72,9.72,9.72,9.72,1041,0
2016-06-24,22:00:00,9.78,9.78,9.78,9.78,1041,0
2016-06-28,15:35:00,9.78,9.78,9.78,9.78,200,0
