Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-07-10,15:35:00,8.58,8.58,8.58,8.58,1800,0
2015-07-10,15:45:00,8.58,8.6,8.58,8.6,4100,0
2015-07-10,18:10:00,8.61,8.61,8.6,8.6,14600,0
2015-07-10,18:30:00,8.61,8.61,8.6,8.6,5900,0
2015-07-10,19:55:00,8.58,8.58,8.58,8.58,9600,0
2015-07-10,20:40:00,8.58,8.58,8.58,8.58,1000,0
2015-07-10,21:20:00,8.58,8.58,8.58,8.58,300,0
2015-07-10,21:25:00,8.58,8.58,8.58,8.58,1700,0
2015-07-13,16:25:00,8.56,8.56,8.56,8.56,1072,0
2015-07-13,16:30:00,8.57,8.57,8.57,8.57,1912,0
2015-07-13,16:35:00,8.57,8.57,8.57,8.57,100,0
2015-07-14,15:35:00,8.57,8.57,8.51,8.51,11300,0
2015-07-14,15:40:00,8.4001,8.4001,8.4001,8.4001,1400,0
2015-07-14,15:45:00,8.4001,8.43,8.4001,8.4015,6000,0
2015-07-14,15:50:00,8.4001,8.42,8.32,8.4,15940,0
2015-07-14,16:00:00,8.32,8.32,8.32,8.32,300,0
2015-07-14,16:05:00,8.3201,8.34,8.3,8.3,5560,0
2015-07-14,21:50:00,8.45,8.45,8.45,8.45,1420,0
2015-07-14,22:00:00,8.45,8.45,8.45,8.45,1450,0
2015-07-15,15:35:00,8.65,8.65,8.65,8.65,600,0
2015-07-15,19:50:00,8.4601,8.47,8.42,8.44,13000,0
2015-07-15,20:10:00,8.45,8.45,8.45,8.45,1200,0
2015-07-15,20:25:00,8.45,8.45,8.4,8.4,16600,0
2015-07-15,20:35:00,8.426,8.426,8.426,8.426,10000,0
2015-07-15,21:55:00,8.45,8.45,8.45,8.45,7300,0
2015-07-15,22:00:00,8.45,8.45,8.45,8.45,17232,0
2015-07-16,15:45:00,8.52,8.52,8.52,8.52,1000,0
2015-07-20,19:55:00,8.4899,8.4899,8.4899,8.4899,540,0
2015-07-20,20:30:00,8.4,8.4,8.4,8.4,500,0
2015-07-20,21:30:00,8.4001,8.4001,8.4001,8.4001,1000,0
2015-07-20,21:40:00,8.45,8.45,8.4001,8.4001,1800,0
2015-07-20,21:45:00,8.46,8.46,8.46,8.46,10,0
2015-07-20,22:00:00,8.45,8.45,8.45,8.45,200,0
2015-07-21,15:35:00,8.45,8.45,8.45,8.45,500,0
2015-07-21,16:10:00,8.49,8.49,8.49,8.49,1150,0
2015-07-21,17:45:00,8.45,8.45,8.44,8.44,1900,0
2015-07-21,17:55:00,8.44,8.44,8.44,8.44,100,0
2015-07-21,18:05:00,8.44,8.44,8.4,8.44,13800,0
2015-07-21,18:10:00,8.44,8.44,8.44,8.44,3500,0
2015-07-21,18:15:00,8.44,8.44,8.4,8.4,2000,0
2015-07-21,18:25:00,8.4,8.4,8.4,8.4,100,0
2015-07-21,18:30:00,8.42,8.42,8.42,8.42,100,0
2015-07-21,18:45:00,8.42,8.42,8.42,8.42,3000,0
2015-07-21,18:50:00,8.4,8.4,8.4,8.4,100,0
2015-07-21,18:55:00,8.4,8.4,8.4,8.4,7100,0
2015-07-21,19:00:00,8.35,8.35,8.35,8.35,100,0
2015-07-21,19:05:00,8.351,8.353,8.35,8.35,2650,0
2015-07-21,21:40:00,8.38,8.38,8.38,8.38,100,0
2015-07-21,21:45:00,8.4,8.4,8.35,8.4,5470,0
2015-07-21,21:55:00,8.4,8.4,8.4,8.4,300,0
2015-07-21,22:00:00,8.41,8.43,8.41,8.43,3100,0
2015-07-22,15:35:00,8.45,8.45,8.45,8.45,100,0
2015-07-22,16:35:00,8.4,8.4,8.4,8.4,10000,0
2015-07-23,17:35:00,8.38,8.38,8.38,8.38,880,0
2015-07-23,21:55:00,8.3501,8.3501,8.3501,8.3501,1500,0
2015-07-23,22:00:00,8.35,8.35,8.35,8.35,100,0
2015-07-24,17:10:00,8.395,8.395,8.395,8.395,150,0
2015-07-24,20:05:00,8.35,8.35,8.35,8.35,3212,0
2015-07-24,21:15:00,8.35,8.38,8.35,8.38,2500,0
2015-07-24,21:50:00,8.38,8.38,8.38,8.38,100,0
2015-07-24,21:55:00,8.35,8.38,8.35,8.38,400,0
2015-07-24,22:00:00,8.59,8.59,8.35,8.35,200,0
2015-07-27,16:40:00,8.4,8.4,8.4,8.4,1000,0
2015-07-27,16:45:00,8.46,8.46,8.45,8.46,1200,0
2015-07-27,16:50:00,8.39,8.44,8.35,8.35,2001,0
2015-07-27,18:30:00,8.37,8.37,8.35,8.35,6237,0
2015-07-27,20:45:00,8.36,8.36,8.3501,8.3501,200,0
2015-07-27,22:00:00,8.38,8.38,8.38,8.38,100,0
2015-07-28,16:45:00,8.35,8.36,8.35,8.36,300,0
2015-07-28,17:15:00,8.39,8.39,8.39,8.39,100,0
2015-07-29,16:00:00,8.35,8.35,8.33,8.33,400,0
2015-07-30,17:00:00,8.36,8.36,8.35,8.35,200,0
2015-07-30,17:45:00,8.36,8.36,8.36,8.36,100,0
2015-07-31,15:35:00,8.59,8.59,8.59,8.59,138,0
2015-07-31,20:15:00,8.54,8.55,8.54,8.55,200,0
2015-07-31,20:55:00,8.45,8.45,8.45,8.45,3000,0
2015-08-03,16:10:00,8.45,8.45,8.45,8.45,200,0
2015-08-03,18:05:00,8.35,8.35,8.35,8.35,5060,0
2015-08-04,16:10:00,8.35,8.35,8.35,8.35,300,0
2015-08-04,18:20:00,8.35,8.35,8.35,8.35,300,0
2015-08-04,20:20:00,8.36,8.36,8.35,8.35,300,0
2015-08-04,21:00:00,8.35,8.36,8.35,8.36,300,0
2015-08-05,17:20:00,8.35,8.35,8.35,8.35,400,0
2015-08-05,20:25:00,8.3501,8.3501,8.35,8.35,2000,0
2015-08-06,17:20:00,8.35,8.35,8.35,8.35,300,0
2015-08-06,20:15:00,8.35,8.35,8.35,8.35,1700,0
2015-08-06,21:15:00,8.35,8.35,8.35,8.35,100,0
2015-08-07,17:25:00,8.38,8.38,8.37,8.37,400,0
2015-08-07,18:50:00,8.3,8.3,8.3,8.3,483,0
2015-08-07,19:00:00,8.3,8.3,8.3,8.3,200,0
2015-08-07,19:45:00,8.3,8.3,8.3,8.3,550,0
2015-08-07,20:20:00,8.3,8.3,8.3,8.3,400,0
2015-08-10,16:10:00,8.3,8.3,8.3,8.3,100,0
2015-08-10,16:35:00,8.3,8.3,8.3,8.3,500,0
2015-08-10,18:15:00,8.3,8.3,8.3,8.3,400,0
2015-08-11,16:10:00,8.3,8.3,8.3,8.3,100,0
2015-08-11,16:45:00,8.3001,8.3001,8.3001,8.3001,3071,0
2015-08-11,17:30:00,8.32,8.32,8.3,8.3,733,0
2015-08-11,19:55:00,8.3,8.3,8.3,8.3,300,0
2015-08-11,21:30:00,8.33,8.33,8.3299,8.3299,3000,0
2015-08-11,21:45:00,8.31,8.31,8.31,8.31,100,0
2015-08-12,16:10:00,8.3,8.3,8.3,8.3,800,0
2015-08-12,19:05:00,8.31,8.31,8.31,8.31,100,0
2015-08-13,19:00:00,8.31,8.31,8.31,8.31,100,0
2015-08-13,21:35:00,8.3,8.3,8.3,8.3,100,0
2015-08-14,19:05:00,8.34,8.34,8.34,8.34,100,0
2015-08-17,18:30:00,8.3601,8.3601,8.3601,8.3601,2000,0
2015-08-17,20:55:00,8.37,8.37,8.37,8.37,100,0
2015-08-17,22:00:00,8.35,8.35,8.34,8.35,900,0
2015-08-18,19:05:00,8.31,8.31,8.31,8.31,100,0
2015-08-18,21:55:00,8.31,8.34,8.31,8.31,706,0
2015-08-18,22:00:00,8.31,8.31,8.31,8.31,100,0
2015-08-20,16:20:00,8.3001,8.3001,8.3001,8.3001,400,0
2015-08-20,16:35:00,8.3,8.39,8.3,8.3,1327,0
2015-08-20,19:10:00,8.3,8.3,8.3,8.3,800,0
2015-08-20,19:15:00,8.3,8.3,8.3,8.3,2200,0
2015-08-20,21:00:00,8.3,8.3,8.3,8.3,127,0
2015-08-21,17:30:00,8.3,8.3,8.3,8.3,400,0
2015-08-21,18:00:00,8.32,8.32,8.32,8.32,100,0
2015-08-24,21:35:00,8.1999,8.2,8.1999,8.2,1100,0
2015-08-27,18:30:00,8.2,8.2,8.03,8.03,200,0
2015-09-01,16:10:00,8.07,8.07,8.07,8.07,100,0
2015-09-01,18:55:00,8.07,8.07,8.07,8.07,600,0
2015-09-01,22:00:00,8.073,8.073,8.06,8.07,929,0
2015-09-03,15:35:00,8.38,8.38,8.38,8.38,100,0
2015-09-03,19:35:00,8.08,8.32,8.08,8.32,1200,0
2015-09-03,19:40:00,8.2,8.2,8.2,8.2,200,0
2015-09-03,21:50:00,8.19,8.19,8.19,8.19,100,0
2015-09-03,22:00:00,8.19,8.19,8.19,8.19,355,0
2015-09-04,20:00:00,8.08,8.11,8.05,8.05,7223,0
2015-09-04,20:05:00,8.04,8.05,8.04,8.0499,1871,0
2015-09-04,20:15:00,7.79,7.9,7.79,7.9,1900,0
2015-09-04,20:20:00,7.79,7.79,7.79,7.79,1139,0
2015-09-04,20:40:00,7.85,7.85,7.7499,7.75,10400,0
2015-09-04,21:55:00,7.71,7.71,7.71,7.71,100,0
