Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-16,15:35:00,12.76,12.76,12.25,12.515,2500,0
2016-06-16,15:40:00,12.42,12.46,12.42,12.46,200,0
2016-06-16,15:45:00,12.45,12.78,12.45,12.66,2000,0
2016-06-16,15:50:00,12.64,12.845,12.45,12.45,1700,0
2016-06-16,15:55:00,12.5,12.5,12.5,12.5,100,0
2016-06-16,16:00:00,12.45,12.5499,12.45,12.5499,1300,0
2016-06-16,16:05:00,12.52,12.59,12.52,12.59,3017,0
2016-06-16,16:10:00,12.5001,12.6399,12.5001,12.6399,1600,0
2016-06-16,16:15:00,12.5287,12.5287,12.5,12.5,1299,0
2016-06-16,16:20:00,12.27,12.27,12.27,12.27,100,0
2016-06-16,16:30:00,12.3,12.3,12.3,12.3,200,0
2016-06-16,16:40:00,12.32,12.32,12.32,12.32,100,0
2016-06-16,16:45:00,12.3,12.31,12.3,12.3,2300,0
2016-06-16,16:50:00,12.3,12.3,12.3,12.3,100,0
2016-06-16,16:55:00,12.31,12.35,12.3,12.35,600,0
2016-06-16,17:00:00,12.49,12.49,12.49,12.49,100,0
2016-06-16,17:10:00,12.49,12.49,12.45,12.45,400,0
2016-06-16,17:15:00,12.44,12.47,12.44,12.47,200,0
2016-06-16,17:25:00,12.47,12.47,12.47,12.47,100,0
2016-06-16,17:30:00,12.41,12.41,12.41,12.41,100,0
2016-06-16,17:35:00,12.425,12.4701,12.42,12.47,2400,0
2016-06-16,17:40:00,12.471,12.471,12.47,12.47,400,0
2016-06-16,17:55:00,12.47,12.47,12.43,12.43,200,0
2016-06-16,18:00:00,12.47,12.49,12.47,12.49,200,0
2016-06-16,18:10:00,12.565,12.59,12.565,12.59,200,0
2016-06-16,18:15:00,12.59,12.59,12.59,12.59,100,0
2016-06-16,18:20:00,12.54,12.54,12.53,12.53,200,0
2016-06-16,18:30:00,12.52,12.52,12.52,12.52,200,0
2016-06-16,18:40:00,12.5,12.5,12.5,12.5,400,0
2016-06-16,18:45:00,12.45,12.5,12.45,12.5,300,0
2016-06-16,19:05:00,12.5,12.54,12.5,12.54,200,0
2016-06-16,19:15:00,12.5,12.5,12.5,12.5,100,0
2016-06-16,19:20:00,12.54,12.55,12.5,12.5035,1500,0
2016-06-16,19:25:00,12.5,12.51,12.5,12.51,300,0
2016-06-16,19:35:00,12.5,12.54,12.5,12.54,1949,0
2016-06-16,19:40:00,12.52,12.52,12.52,12.52,700,0
2016-06-16,19:45:00,12.52,12.52,12.52,12.52,100,0
2016-06-16,19:50:00,12.51,12.51,12.51,12.51,300,0
2016-06-16,20:00:00,12.5099,12.52,12.49,12.52,300,0
2016-06-16,20:10:00,12.52,12.52,12.52,12.52,100,0
2016-06-16,20:15:00,12.52,12.63,12.52,12.6299,2200,0
2016-06-16,20:20:00,12.66,12.66,12.6375,12.66,300,0
2016-06-16,20:40:00,12.62,12.62,12.62,12.62,100,0
2016-06-16,20:45:00,12.67,12.8,12.67,12.8,1900,0
2016-06-16,20:50:00,12.75,12.75,12.75,12.75,100,0
2016-06-16,20:55:00,12.735,12.735,12.65,12.65,1600,0
2016-06-16,21:00:00,12.64,12.78,12.64,12.78,11600,0
2016-06-16,21:05:00,12.78,12.78,12.78,12.78,400,0
2016-06-16,21:10:00,12.75,12.75,12.75,12.75,200,0
2016-06-16,21:15:00,12.75,12.75,12.72,12.72,500,0
2016-06-16,21:20:00,12.71,12.71,12.64,12.64,600,0
2016-06-16,21:30:00,12.65,12.71,12.65,12.71,200,0
2016-06-16,21:35:00,12.68,12.71,12.68,12.71,300,0
2016-06-16,21:40:00,12.71,12.84,12.68,12.75,2700,0
2016-06-16,21:45:00,12.84,12.84,12.84,12.84,100,0
2016-06-16,21:50:00,12.79,12.79,12.79,12.79,100,0
2016-06-16,21:55:00,12.77,12.79,12.75,12.75,900,0
2016-06-16,22:00:00,12.78,12.79,12.75,12.79,2100,0
2016-06-17,15:35:00,12.89,13.14,12.79,12.99,3850,0
2016-06-17,15:40:00,13.07,13.0999,13.07,13.0999,1400,0
2016-06-17,15:45:00,13.03,13.245,13.03,13.06,900,0
2016-06-17,15:50:00,13.04,13.04,13.04,13.04,100,0
2016-06-17,16:05:00,12.885,12.885,12.885,12.885,1000,0
2016-06-17,16:10:00,12.85,12.976,12.665,12.9412,4800,0
2016-06-17,16:20:00,12.92,12.99,12.92,12.98,900,0
2016-06-17,16:25:00,12.94,12.94,12.94,12.94,100,0
2016-06-17,16:40:00,12.99,13.03,12.925,12.98,2875,0
2016-06-17,16:45:00,12.935,12.935,12.935,12.935,100,0
2016-06-17,16:50:00,12.92,12.92,12.9,12.9,300,0
2016-06-17,17:00:00,12.93,12.93,12.93,12.93,100,0
2016-06-17,17:05:00,12.97,12.97,12.92,12.92,300,0
2016-06-17,17:10:00,12.92,12.92,12.885,12.885,500,0
2016-06-17,17:25:00,12.86,12.86,12.86,12.86,200,0
2016-06-17,17:30:00,12.88,12.898,12.85,12.85,800,0
2016-06-17,17:35:00,12.875,12.875,12.785,12.785,2700,0
2016-06-17,17:40:00,12.8,12.8,12.8,12.8,224,0
2016-06-17,17:55:00,12.87,12.87,12.87,12.87,300,0
2016-06-17,18:00:00,12.865,12.865,12.865,12.865,100,0
2016-06-17,18:05:00,12.87,13.04,12.87,12.97,1200,0
2016-06-17,18:10:00,12.96,12.96,12.94,12.94,300,0
2016-06-17,18:25:00,12.85,12.85,12.85,12.85,100,0
2016-06-17,18:30:00,12.9,12.91,12.85,12.91,1300,0
2016-06-17,18:35:00,12.94,13.07,12.94,13.07,1910,0
2016-06-17,18:40:00,13.0575,13.0575,13.0575,13.0575,100,0
2016-06-17,18:45:00,13.06,13.06,13,13.01,700,0
2016-06-17,18:50:00,13.025,13.0399,13,13,1797,0
2016-06-17,19:00:00,13.01,13.01,13.01,13.01,300,0
2016-06-17,19:10:00,12.98,13.01,12.98,13.01,200,0
2016-06-17,19:25:00,12.97,12.97,12.93,12.93,300,0
2016-06-17,19:40:00,12.94,12.94,12.92,12.92,200,0
2016-06-17,19:50:00,12.9,12.91,12.9,12.9075,500,0
2016-06-17,19:55:00,12.89,12.89,12.89,12.89,100,0
2016-06-17,20:00:00,12.89,12.91,12.89,12.91,400,0
2016-06-17,20:15:00,12.88,12.88,12.88,12.88,100,0
2016-06-17,20:20:00,12.92,12.92,12.88,12.88,600,0
2016-06-17,20:25:00,12.9,12.9,12.89,12.89,800,0
2016-06-17,20:30:00,12.9,12.9,12.9,12.9,100,0
2016-06-17,20:35:00,12.885,12.9,12.88,12.88,1600,0
2016-06-17,20:45:00,12.87,12.88,12.87,12.88,200,0
2016-06-17,20:50:00,12.85,12.855,12.84,12.84,700,0
2016-06-17,20:55:00,12.835,12.835,12.82,12.82,200,0
2016-06-17,21:00:00,12.81,12.81,12.8,12.8,200,0
2016-06-17,21:10:00,12.8,12.8,12.78,12.78,200,0
2016-06-17,21:15:00,12.795,12.795,12.78,12.78,500,0
2016-06-17,21:20:00,12.78,12.79,12.735,12.75,900,0
2016-06-17,21:30:00,12.79,12.87,12.79,12.87,600,0
2016-06-17,21:40:00,12.87,12.87,12.87,12.87,400,0
2016-06-17,21:45:00,12.86,12.89,12.86,12.89,200,0
2016-06-17,21:50:00,12.89,12.91,12.89,12.91,700,0
2016-06-17,21:55:00,12.905,13.065,12.905,13.04,8707,0
2016-06-17,22:00:00,13.04,13.1,12.94,13.04,54604,0
2016-06-20,15:35:00,13,13.58,13,13.32,7916,0
2016-06-20,15:40:00,13.07,13.32,13.07,13.2,2700,0
2016-06-20,15:50:00,13.22,13.22,13.22,13.22,100,0
2016-06-20,15:55:00,13.38,13.39,13.38,13.39,200,0
2016-06-20,16:00:00,13.39,13.39,13.39,13.39,100,0
2016-06-20,16:05:00,13.24,13.39,13.24,13.24,1700,0
2016-06-20,16:10:00,13.29,13.41,13.28,13.3,2000,0
2016-06-20,16:15:00,13.31,13.5,13.3099,13.47,2300,0
2016-06-20,16:25:00,13.36,13.36,13.36,13.36,100,0
