Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-17,15:35:00,55.91,55.91,55.42,55.42,56978,0
2016-06-17,15:40:00,55.45,55.9,55.45,55.9,200,0
2016-06-17,15:45:00,55.52,55.52,55.35,55.35,500,0
2016-06-17,15:50:00,55.35,55.35,55.08,55.34,1300,0
2016-06-17,15:55:00,55.3,55.4,55.27,55.27,1200,0
2016-06-17,16:00:00,55.27,55.3,55.25,55.25,1000,0
2016-06-17,16:05:00,55.25,55.53,55.175,55.53,1300,0
2016-06-17,16:10:00,55.495,55.495,55.495,55.495,100,0
2016-06-17,16:25:00,55.35,55.35,55.35,55.35,100,0
2016-06-17,16:30:00,55.35,55.4,55.35,55.395,700,0
2016-06-17,16:35:00,55.36,55.36,55.25,55.25,500,0
2016-06-17,16:40:00,55.45,55.45,55.33,55.33,200,0
2016-06-17,16:50:00,55.515,55.515,55.515,55.515,100,0
2016-06-17,16:55:00,55.36,55.47,55.36,55.47,200,0
2016-06-17,17:00:00,55.35,55.35,55.35,55.35,100,0
2016-06-17,17:05:00,55.3,55.3,55.28,55.3,600,0
2016-06-17,17:10:00,55.19,55.275,55.18,55.25,600,0
2016-06-17,17:15:00,55.22,55.25,55.2,55.25,530,0
2016-06-17,17:30:00,55.285,55.285,55.25,55.25,300,0
2016-06-17,17:35:00,55.25,55.3,55.2202,55.3,302,0
2016-06-17,17:40:00,55.4261,55.4261,55.25,55.275,863,0
2016-06-17,17:45:00,55.35,55.35,55.35,55.35,100,0
2016-06-17,17:50:00,55.46,55.46,55.33,55.33,300,0
2016-06-17,17:55:00,55.3055,55.3055,55.25,55.25,416,0
2016-06-17,18:00:00,55.25,55.27,55.24,55.24,1100,0
2016-06-17,18:05:00,55.24,55.24,55.2,55.2,440,0
2016-06-17,18:10:00,55.28,55.29,55.1935,55.28,600,0
2016-06-17,18:15:00,55.29,55.4,55.29,55.4,1100,0
2016-06-17,18:20:00,55.3,55.3,55.28,55.28,800,0
2016-06-17,18:30:00,55.305,55.45,55.295,55.295,300,0
2016-06-17,18:40:00,55.305,55.305,55.29,55.29,200,0
2016-06-17,18:50:00,55.32,55.32,55.32,55.32,100,0
2016-06-17,18:55:00,55.19,55.27,55.19,55.27,400,0
2016-06-17,19:05:00,55.25,55.25,55.14,55.25,1570,0
2016-06-17,19:10:00,55.17,55.26,55.17,55.26,480,0
2016-06-17,19:15:00,55.25,55.25,55.25,55.25,216,0
2016-06-17,19:20:00,55.16,55.31,55.16,55.305,600,0
2016-06-17,19:25:00,55.43,55.43,55.43,55.43,100,0
2016-06-17,19:35:00,55.36,55.36,55.26,55.26,400,0
2016-06-17,19:40:00,55.27,55.29,55.22,55.22,700,0
2016-06-17,19:45:00,55.25,55.25,55.25,55.25,600,0
2016-06-17,19:50:00,55.21,55.21,55.19,55.19,200,0
2016-06-17,19:55:00,55.25,55.28,55.24,55.28,500,0
2016-06-17,20:00:00,55.23,55.23,55.23,55.23,100,0
2016-06-17,20:05:00,55.36,55.36,55.36,55.36,100,0
2016-06-17,20:10:00,55.265,55.3,55.23,55.25,1001,0
2016-06-17,20:15:00,55.25,55.2932,55.25,55.27,606,0
2016-06-17,20:25:00,55.25,55.25,55.19,55.19,300,0
2016-06-17,20:30:00,55.25,55.27,55.225,55.225,400,0
2016-06-17,20:35:00,55.2386,55.27,55.2386,55.27,200,0
2016-06-17,20:40:00,55.25,55.25,55.2,55.23,500,0
2016-06-17,20:45:00,55.24,55.29,55.19,55.29,1700,0
2016-06-17,21:00:00,55.27,55.27,55.22,55.22,300,0
2016-06-17,21:05:00,55.21,55.25,55.21,55.25,200,0
2016-06-17,21:10:00,55.19,55.19,55.19,55.19,100,0
2016-06-17,21:20:00,55.29,55.29,55.22,55.25,1100,0
2016-06-17,21:25:00,55.21,55.26,55.21,55.25,1900,0
2016-06-17,21:35:00,55.28,55.28,55.23,55.23,2627,0
2016-06-17,21:40:00,55.22,55.23,55.2,55.23,1431,0
2016-06-17,21:45:00,55.2096,55.25,55.2,55.25,1100,0
2016-06-17,21:50:00,55.25,55.27,55.2448,55.27,1100,0
2016-06-17,21:55:00,55.42,55.42,55.31,55.39,2700,0
2016-06-17,22:00:00,55.37,55.43,55.29,55.33,4963,0
2016-06-20,15:35:00,55.84,55.84,55.84,55.84,546,0
2016-06-20,15:40:00,55.83,55.84,55.83,55.84,200,0
2016-06-20,15:45:00,55.83,55.9,55.7,55.85,3800,0
2016-06-20,15:55:00,55.81,55.91,55.81,55.91,200,0
2016-06-20,16:00:00,55.81,55.81,55.81,55.81,100,0
2016-06-20,16:05:00,55.885,56,55.88,56,668,0
2016-06-20,16:10:00,56.24,56.28,56.24,56.28,300,0
2016-06-20,16:15:00,56.32,56.33,56.32,56.33,923,0
2016-06-20,16:20:00,56.4,56.446,56.35,56.446,600,0
2016-06-20,16:25:00,56.42,56.42,56.42,56.42,120,0
2016-06-20,16:30:00,56.42,56.42,56.42,56.42,100,0
2016-06-20,16:35:00,56.42,56.42,56.42,56.42,100,0
2016-06-20,16:40:00,56.43,56.5,56.43,56.48,800,0
2016-06-20,16:45:00,56.63,56.63,56.59,56.59,200,0
2016-06-20,16:55:00,56.57,56.57,56.47,56.47,800,0
2016-06-20,17:05:00,56.34,56.34,56.34,56.34,100,0
2016-06-20,17:10:00,56.36,56.36,56.36,56.36,100,0
2016-06-20,17:15:00,56.51,56.51,56.51,56.51,100,0
2016-06-20,17:20:00,56.54,56.54,56.54,56.54,363,0
2016-06-20,17:25:00,56.67,56.68,56.575,56.68,500,0
2016-06-20,17:30:00,56.81,56.81,56.71,56.71,600,0
2016-06-20,17:35:00,56.705,56.705,56.705,56.705,100,0
2016-06-20,17:40:00,56.8,56.8,56.8,56.8,100,0
2016-06-20,17:45:00,56.79,56.81,56.79,56.8,600,0
2016-06-20,17:50:00,56.72,56.72,56.44,56.44,2131,0
2016-06-20,18:00:00,56.56,56.59,56.51,56.51,500,0
2016-06-20,18:15:00,56.57,56.57,56.51,56.51,600,0
2016-06-20,18:25:00,56.5,56.5,56.4,56.41,900,0
2016-06-20,18:30:00,56.47,56.47,56.45,56.47,500,0
2016-06-20,18:35:00,56.5,56.5,56.5,56.5,100,0
2016-06-20,18:40:00,56.52,56.57,56.51,56.57,400,0
2016-06-20,18:45:00,56.51,56.51,56.51,56.51,100,0
2016-06-20,18:55:00,56.52,56.52,56.475,56.475,400,0
2016-06-20,19:00:00,56.38,56.4,56.38,56.4,200,0
2016-06-20,19:05:00,56.41,56.41,56.41,56.41,100,0
2016-06-20,19:10:00,56.49,56.49,56.47,56.47,200,0
2016-06-20,19:15:00,56.51,56.51,56.41,56.41,200,0
2016-06-20,19:20:00,56.39,56.42,56.29,56.42,1300,0
2016-06-20,19:25:00,56.46,56.5,56.46,56.5,200,0
2016-06-20,19:30:00,56.4,56.53,56.37,56.37,1826,0
