Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-21,15:35:00,3.6,3.6,3.6,3.6,2687,0
2016-06-21,15:40:00,3.58,3.58,3.58,3.58,100,0
2016-06-21,15:45:00,3.61,3.61,3.58,3.58,200,0
2016-06-21,15:50:00,3.59,3.59,3.59,3.59,200,0
2016-06-21,15:55:00,3.58,3.58,3.57,3.575,500,0
2016-06-21,16:00:00,3.575,3.58,3.57,3.575,1300,0
2016-06-21,16:05:00,3.575,3.58,3.57,3.575,5325,0
2016-06-21,16:10:00,3.58,3.58,3.57,3.58,500,0
2016-06-21,16:15:00,3.58,3.58,3.575,3.58,6712,0
2016-06-21,16:20:00,3.58,3.58,3.5,3.55,68448,0
2016-06-21,16:25:00,3.555,3.555,3.54,3.545,2087,0
2016-06-21,16:30:00,3.545,3.545,3.53,3.535,7480,0
2016-06-21,16:35:00,3.535,3.535,3.53,3.535,1400,0
2016-06-21,16:40:00,3.535,3.539,3.52,3.52,8215,0
2016-06-21,16:45:00,3.525,3.53,3.51,3.51,6900,0
2016-06-21,16:50:00,3.52,3.53,3.515,3.53,1400,0
2016-06-21,16:55:00,3.525,3.53,3.52,3.525,2400,0
2016-06-21,17:00:00,3.525,3.53,3.52,3.52,2000,0
2016-06-21,17:05:00,3.525,3.53,3.52,3.53,900,0
2016-06-21,17:10:00,3.53,3.54,3.53,3.53,3400,0
2016-06-21,17:15:00,3.54,3.54,3.54,3.54,600,0
2016-06-21,17:20:00,3.54,3.54,3.53,3.535,1900,0
2016-06-21,17:25:00,3.535,3.535,3.535,3.535,100,0
2016-06-21,17:30:00,3.54,3.54,3.535,3.54,3900,0
2016-06-21,17:35:00,3.535,3.535,3.52,3.525,2600,0
2016-06-21,17:40:00,3.53,3.53,3.53,3.53,100,0
2016-06-21,17:45:00,3.53,3.54,3.53,3.53,4600,0
2016-06-21,17:50:00,3.535,3.54,3.52,3.525,12700,0
2016-06-21,17:55:00,3.52,3.52,3.52,3.52,484,0
2016-06-21,18:00:00,3.525,3.53,3.525,3.525,900,0
2016-06-21,18:05:00,3.53,3.53,3.52,3.52,400,0
2016-06-21,18:10:00,3.525,3.53,3.525,3.53,2200,0
2016-06-21,18:15:00,3.53,3.53,3.521,3.521,1100,0
2016-06-21,18:20:00,3.53,3.54,3.53,3.54,5700,0
2016-06-21,18:25:00,3.54,3.54,3.54,3.54,1100,0
2016-06-21,18:30:00,3.54,3.54,3.54,3.54,1500,0
2016-06-21,18:35:00,3.54,3.54,3.539,3.539,1400,0
2016-06-21,18:40:00,3.54,3.54,3.54,3.54,200,0
2016-06-21,18:45:00,3.54,3.54,3.54,3.54,400,0
2016-06-21,18:50:00,3.535,3.54,3.535,3.54,2100,0
2016-06-21,18:55:00,3.54,3.54,3.54,3.54,200,0
2016-06-21,19:00:00,3.535,3.54,3.535,3.54,400,0
2016-06-21,19:10:00,3.54,3.54,3.53,3.54,3800,0
2016-06-21,19:15:00,3.54,3.54,3.535,3.535,400,0
2016-06-21,19:20:00,3.54,3.54,3.54,3.54,300,0
2016-06-21,19:25:00,3.54,3.54,3.54,3.54,100,0
2016-06-21,19:30:00,3.535,3.545,3.53,3.54,10600,0
2016-06-21,19:35:00,3.54,3.54,3.54,3.54,200,0
2016-06-21,19:40:00,3.535,3.54,3.52,3.53,6151,0
2016-06-21,19:45:00,3.54,3.54,3.54,3.54,1700,0
2016-06-21,19:55:00,3.535,3.535,3.535,3.535,100,0
2016-06-21,20:00:00,3.54,3.55,3.54,3.54,15100,0
2016-06-21,20:05:00,3.535,3.535,3.535,3.535,100,0
2016-06-21,20:10:00,3.53,3.5301,3.52,3.53,5796,0
2016-06-21,20:15:00,3.535,3.535,3.535,3.535,2000,0
2016-06-21,20:20:00,3.54,3.54,3.54,3.54,1100,0
2016-06-21,20:25:00,3.54,3.54,3.54,3.54,500,0
2016-06-21,20:30:00,3.53,3.53,3.53,3.53,260,0
2016-06-21,20:35:00,3.54,3.55,3.53,3.53,16474,0
2016-06-21,20:40:00,3.54,3.545,3.54,3.545,1168,0
2016-06-21,20:45:00,3.54,3.54,3.53,3.53,2200,0
2016-06-21,20:50:00,3.535,3.54,3.53,3.54,900,0
2016-06-21,20:55:00,3.54,3.54,3.54,3.54,100,0
2016-06-21,21:00:00,3.54,3.54,3.54,3.54,1200,0
2016-06-21,21:05:00,3.54,3.545,3.535,3.545,1511,0
2016-06-21,21:15:00,3.54,3.54,3.54,3.54,100,0
2016-06-21,21:20:00,3.545,3.55,3.545,3.55,200,0
2016-06-21,21:25:00,3.55,3.55,3.54,3.545,1300,0
2016-06-21,21:35:00,3.54,3.55,3.54,3.54,900,0
2016-06-21,21:40:00,3.54,3.54,3.54,3.54,600,0
2016-06-21,21:45:00,3.545,3.55,3.54,3.54,12259,0
2016-06-21,21:50:00,3.54,3.55,3.53,3.55,10758,0
2016-06-21,21:55:00,3.55,3.55,3.54,3.55,8533,0
2016-06-21,22:00:00,3.54,3.55,3.54,3.54,14988,0
2016-06-22,15:35:00,3.56,3.56,3.56,3.56,4797,0
2016-06-22,15:40:00,3.55,3.55,3.55,3.55,500,0
2016-06-22,15:45:00,3.56,3.58,3.56,3.56,1401,0
2016-06-22,15:50:00,3.55,3.55,3.51,3.54,900,0
2016-06-22,15:55:00,3.535,3.55,3.535,3.55,4861,0
2016-06-22,16:00:00,3.54,3.545,3.535,3.535,4000,0
2016-06-22,16:05:00,3.535,3.54,3.53,3.54,1200,0
2016-06-22,16:10:00,3.535,3.54,3.535,3.54,1100,0
2016-06-22,16:15:00,3.535,3.55,3.53,3.535,5700,0
2016-06-22,16:20:00,3.54,3.54,3.535,3.535,600,0
2016-06-22,16:25:00,3.535,3.54,3.53,3.535,800,0
2016-06-22,16:30:00,3.535,3.535,3.52,3.53,1500,0
2016-06-22,16:35:00,3.52,3.52,3.51,3.51,400,0
2016-06-22,16:40:00,3.5236,3.53,3.51,3.53,7635,0
2016-06-22,16:45:00,3.525,3.54,3.525,3.53,2640,0
2016-06-22,16:50:00,3.535,3.545,3.535,3.54,2400,0
2016-06-22,16:55:00,3.5399,3.55,3.53,3.54,15752,0
2016-06-22,17:00:00,3.54,3.545,3.54,3.545,700,0
2016-06-22,17:05:00,3.545,3.55,3.54,3.55,600,0
2016-06-22,17:10:00,3.545,3.55,3.54,3.545,700,0
2016-06-22,17:15:00,3.545,3.545,3.54,3.545,500,0
2016-06-22,17:20:00,3.545,3.55,3.54,3.55,900,0
2016-06-22,17:25:00,3.545,3.55,3.54,3.55,1900,0
2016-06-22,17:30:00,3.545,3.55,3.54,3.55,2400,0
2016-06-22,17:35:00,3.545,3.55,3.54,3.54,13909,0
2016-06-22,17:40:00,3.53,3.535,3.53,3.535,800,0
2016-06-22,17:45:00,3.53,3.535,3.53,3.535,500,0
2016-06-22,17:50:00,3.535,3.535,3.53,3.53,600,0
2016-06-22,17:55:00,3.535,3.535,3.53,3.53,500,0
2016-06-22,18:00:00,3.535,3.535,3.535,3.535,700,0
2016-06-22,18:05:00,3.535,3.54,3.53,3.53,900,0
2016-06-22,18:10:00,3.53,3.53,3.53,3.53,200,0
2016-06-22,18:15:00,3.535,3.54,3.53,3.54,1000,0
2016-06-22,18:20:00,3.53,3.535,3.53,3.535,500,0
2016-06-22,18:25:00,3.535,3.54,3.525,3.525,4960,0
2016-06-22,18:30:00,3.525,3.525,3.525,3.525,500,0
2016-06-22,18:35:00,3.52,3.53,3.52,3.53,2300,0
2016-06-22,18:40:00,3.53,3.53,3.52,3.53,1580,0
2016-06-22,18:45:00,3.525,3.525,3.525,3.525,1700,0
2016-06-22,18:50:00,3.52,3.53,3.515,3.515,6202,0
2016-06-22,18:55:00,3.51,3.515,3.51,3.515,700,0
2016-06-22,19:00:00,3.515,3.515,3.51,3.51,300,0
2016-06-22,19:05:00,3.515,3.515,3.515,3.515,300,0
2016-06-22,19:10:00,3.52,3.52,3.51,3.52,1100,0
2016-06-22,19:15:00,3.515,3.5161,3.5,3.505,1400,0
2016-06-22,19:20:00,3.505,3.5078,3.5,3.5078,811,0
2016-06-22,19:25:00,3.505,3.51,3.5,3.505,800,0
2016-06-22,19:30:00,3.5,3.51,3.5,3.505,1200,0
2016-06-22,19:35:00,3.5,3.5,3.5,3.5,100,0
2016-06-22,19:40:00,3.505,3.51,3.5,3.51,600,0
2016-06-22,19:45:00,3.505,3.51,3.5,3.51,3315,0
2016-06-22,19:50:00,3.51,3.51,3.505,3.505,3500,0
2016-06-22,19:55:00,3.51,3.51,3.505,3.51,1400,0
2016-06-22,20:00:00,3.5,3.51,3.5,3.505,2000,0
2016-06-22,20:05:00,3.505,3.505,3.505,3.505,100,0
2016-06-22,20:10:00,3.505,3.52,3.5,3.52,5300,0
2016-06-22,20:15:00,3.52,3.52,3.5085,3.52,939,0
2016-06-22,20:20:00,3.52,3.52,3.51,3.51,14456,0
2016-06-22,20:25:00,3.5,3.5,3.49,3.49,2084,0
