Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-21,15:35:00,55.93,56.15,55.53,55.915,9824,0
2016-06-21,15:40:00,56.23,56.84,56.23,56.84,1988,0
2016-06-21,15:45:00,56.83,56.83,56.6748,56.6748,200,0
2016-06-21,15:50:00,56.84,56.84,56.4793,56.4793,2625,0
2016-06-21,15:55:00,56.39,56.48,56.39,56.48,400,0
2016-06-21,16:05:00,56.4368,56.72,56.41,56.72,2512,0
2016-06-21,16:10:00,56.53,56.56,56.53,56.56,200,0
2016-06-21,16:15:00,56.83,56.83,56.6,56.67,700,0
2016-06-21,16:20:00,56.58,56.58,56.58,56.58,300,0
2016-06-21,16:25:00,56.6622,56.7599,56.52,56.52,300,0
2016-06-21,16:30:00,56.74,56.74,56.53,56.53,200,0
2016-06-21,16:35:00,56.6339,56.6339,56.5673,56.6,400,0
2016-06-21,16:40:00,56.59,56.6875,56.5759,56.5759,800,0
2016-06-21,16:45:00,56.6415,56.6415,56.57,56.57,300,0
2016-06-21,16:50:00,56.6505,56.6505,56.55,56.55,625,0
2016-06-21,16:55:00,56.5,56.5208,56.485,56.5208,400,0
2016-06-21,17:00:00,56.5278,56.65,56.5278,56.65,200,0
2016-06-21,17:05:00,56.5887,56.6799,56.5887,56.6799,250,0
2016-06-21,17:10:00,56.68,56.68,56.68,56.68,200,0
2016-06-21,17:20:00,56.66,56.7,56.6,56.6,2544,0
2016-06-21,17:25:00,56.6,56.6,56.6,56.6,100,0
2016-06-21,17:30:00,56.6779,56.6779,56.6339,56.6339,381,0
2016-06-21,17:35:00,56.5944,56.63,56.55,56.55,2400,0
2016-06-21,17:40:00,56.6,56.61,56.6,56.61,400,0
2016-06-21,17:55:00,56.61,56.69,56.61,56.69,600,0
2016-06-21,18:10:00,56.69,56.69,56.655,56.655,210,0
2016-06-21,18:15:00,56.63,56.68,56.62,56.68,900,0
2016-06-21,18:20:00,56.62,56.79,56.62,56.79,300,0
2016-06-21,18:25:00,56.79,56.8,56.7569,56.8,400,0
2016-06-21,18:35:00,56.7899,56.86,56.7685,56.85,2125,0
2016-06-21,18:40:00,56.8499,56.8499,56.8499,56.8499,141,0
2016-06-21,18:45:00,56.785,56.87,56.785,56.82,900,0
2016-06-21,18:50:00,56.855,56.855,56.812,56.812,550,0
2016-06-21,18:55:00,56.7654,56.7654,56.7654,56.7654,100,0
2016-06-21,19:00:00,56.8,56.8,56.75,56.7935,400,0
2016-06-21,19:10:00,56.79,56.815,56.79,56.81,300,0
2016-06-21,19:15:00,56.7235,56.7235,56.7235,56.7235,107,0
2016-06-21,19:20:00,56.79,56.92,56.79,56.83,500,0
2016-06-21,19:25:00,56.82,56.82,56.73,56.77,1000,0
2016-06-21,19:30:00,56.76,56.76,56.76,56.76,200,0
2016-06-21,19:35:00,56.72,56.7499,56.71,56.7499,649,0
2016-06-21,19:45:00,56.6258,56.675,56.52,56.52,557,0
2016-06-21,19:50:00,56.68,56.68,56.68,56.68,100,0
2016-06-21,19:55:00,56.62,56.62,56.5425,56.5425,500,0
2016-06-21,20:00:00,56.51,56.616,56.51,56.616,2950,0
2016-06-21,20:10:00,56.675,56.675,56.61,56.61,200,0
2016-06-21,20:15:00,56.785,56.785,56.785,56.785,100,0
2016-06-21,20:25:00,56.64,56.76,56.64,56.76,830,0
2016-06-21,20:30:00,56.77,56.77,56.77,56.77,100,0
2016-06-21,20:35:00,56.85,56.98,56.82,56.83,4555,0
2016-06-21,20:40:00,56.872,56.99,56.872,56.99,200,0
2016-06-21,20:45:00,56.98,56.98,56.85,56.94,400,0
2016-06-21,20:50:00,56.89,56.89,56.86,56.86,1000,0
2016-06-21,20:55:00,56.8301,56.91,56.83,56.83,1679,0
2016-06-21,21:10:00,56.79,57.11,56.79,56.94,4970,0
2016-06-21,21:15:00,56.92,57.01,56.92,57.01,500,0
2016-06-21,21:20:00,56.99,57.25,56.99,57.1245,1000,0
2016-06-21,21:25:00,57.07,57.07,57.01,57.01,300,0
2016-06-21,21:30:00,57,57,57,57,1000,0
2016-06-21,21:35:00,57.03,57.14,57.03,57.135,829,0
2016-06-21,21:40:00,57.13,57.5,57.1235,57.25,13140,0
2016-06-21,21:45:00,57.37,57.37,57.12,57.16,4697,0
2016-06-21,21:50:00,57.1696,57.35,57.1695,57.29,4040,0
2016-06-21,21:55:00,57.31,57.31,57.17,57.2,1474,0
2016-06-21,22:00:00,57.2502,57.5,57.21,57.43,13359,0
2016-06-22,15:35:00,57.6,58,57.6,57.72,4157,0
2016-06-22,15:40:00,57.836,57.865,57.5301,57.5301,472,0
2016-06-22,15:45:00,57.54,57.665,57.53,57.605,2653,0
2016-06-22,15:50:00,57.623,57.65,57.49,57.51,1631,0
2016-06-22,15:55:00,57.3881,57.3881,57.23,57.25,1800,0
2016-06-22,16:00:00,57.18,57.27,57.18,57.27,400,0
2016-06-22,16:05:00,57.255,57.35,57.255,57.2742,1045,0
2016-06-22,16:10:00,57.28,57.33,57.16,57.16,4800,0
2016-06-22,16:15:00,57.19,57.35,57.095,57.35,2100,0
2016-06-22,16:25:00,57.395,57.395,57.395,57.395,200,0
2016-06-22,16:30:00,57.43,57.46,57.42,57.46,600,0
2016-06-22,16:35:00,57.53,57.53,57.53,57.53,100,0
2016-06-22,16:45:00,57.425,57.5,57.425,57.5,400,0
2016-06-22,16:50:00,57.47,57.48,57.35,57.35,1300,0
2016-06-22,16:55:00,57.3925,57.3925,57.33,57.33,200,0
2016-06-22,17:00:00,57.4,57.4,57.34,57.4,1250,0
2016-06-22,17:05:00,57.4,57.4,57.39,57.4,1197,0
2016-06-22,17:10:00,57.33,57.33,57.33,57.33,300,0
2016-06-22,17:15:00,57.4199,57.4199,57.015,57.015,3475,0
2016-06-22,17:20:00,57.03,57.1699,56.95,56.9591,2400,0
2016-06-22,17:25:00,56.95,56.95,56.92,56.92,300,0
2016-06-22,17:30:00,57.0189,57.0189,56.86,56.87,362,0
2016-06-22,17:35:00,56.69,56.69,56.69,56.69,100,0
2016-06-22,17:40:00,56.81,56.94,56.81,56.94,800,0
2016-06-22,17:45:00,56.9799,56.9799,56.87,56.87,350,0
2016-06-22,17:50:00,56.87,56.87,56.87,56.87,300,0
2016-06-22,17:55:00,56.808,56.85,56.63,56.63,934,0
2016-06-22,18:00:00,56.8199,56.82,56.8199,56.82,400,0
2016-06-22,18:05:00,56.72,56.8899,56.64,56.73,1430,0
2016-06-22,18:10:00,56.76,56.76,56.56,56.56,700,0
2016-06-22,18:15:00,56.6363,56.676,56.59,56.6,770,0
2016-06-22,18:20:00,56.7301,56.75,56.73,56.73,1100,0
2016-06-22,18:25:00,56.69,56.69,56.6,56.6,1500,0
2016-06-22,18:30:00,56.57,56.7113,56.57,56.7113,1000,0
2016-06-22,18:35:00,56.7314,56.7314,56.7314,56.7314,190,0
2016-06-22,18:40:00,56.65,56.7,56.635,56.635,400,0
2016-06-22,18:45:00,56.67,56.67,56.61,56.61,500,0
2016-06-22,18:50:00,56.56,56.62,56.5063,56.5063,1511,0
2016-06-22,18:55:00,56.54,56.7,56.54,56.69,4334,0
2016-06-22,19:05:00,56.786,56.786,56.73,56.73,300,0
2016-06-22,19:15:00,56.6695,56.7,56.6695,56.68,770,0
2016-06-22,19:25:00,56.7599,56.7599,56.62,56.62,300,0
2016-06-22,19:30:00,56.71,56.76,56.71,56.76,300,0
2016-06-22,19:35:00,56.91,56.91,56.6433,56.68,501,0
2016-06-22,19:40:00,56.7,56.7,56.69,56.69,200,0
2016-06-22,19:45:00,56.706,56.706,56.706,56.706,100,0
2016-06-22,19:50:00,56.7012,56.78,56.7012,56.78,900,0
2016-06-22,20:00:00,56.8038,56.8038,56.735,56.735,300,0
2016-06-22,20:05:00,56.71,56.715,56.66,56.715,300,0
2016-06-22,20:10:00,56.7379,56.78,56.7379,56.78,300,0
2016-06-22,20:20:00,56.75,56.75,56.7,56.75,700,0
2016-06-22,20:25:00,56.66,56.75,56.5901,56.75,2900,0
2016-06-22,20:30:00,56.8299,56.8299,56.74,56.74,390,0
2016-06-22,20:35:00,56.7652,57.04,56.69,56.76,5910,0
2016-06-22,20:40:00,56.7,56.83,56.69,56.83,3618,0
2016-06-22,20:45:00,56.82,56.82,56.72,56.8099,700,0
2016-06-22,20:50:00,56.8099,56.8099,56.74,56.7999,670,0
2016-06-22,20:55:00,56.7101,56.9399,56.7101,56.9399,1095,0
2016-06-22,21:05:00,56.88,56.88,56.795,56.795,300,0
2016-06-22,21:10:00,56.79,56.79,56.78,56.79,800,0
2016-06-22,21:15:00,56.75,56.75,56.7,56.75,900,0
2016-06-22,21:20:00,56.83,56.85,56.83,56.85,800,0
2016-06-22,21:25:00,56.9,56.92,56.84,56.84,1775,0
2016-06-22,21:30:00,56.86,56.86,56.79,56.79,800,0
2016-06-22,21:35:00,56.82,56.83,56.7555,56.7977,850,0
2016-06-22,21:40:00,56.77,56.8,56.77,56.8,300,0
2016-06-22,21:45:00,56.8,56.84,56.8,56.84,200,0
2016-06-22,21:50:00,56.825,56.85,56.795,56.84,900,0
2016-06-22,21:55:00,56.82,56.93,56.8,56.8601,3155,0
2016-06-22,22:00:00,56.91,57.06,56.91,57.02,8978,0
2016-06-23,15:35:00,57.51,57.51,57.51,57.51,1395,0
2016-06-23,15:40:00,57.28,57.94,57.28,57.5092,3850,0
2016-06-23,15:45:00,57.85,57.94,57.85,57.88,1328,0
2016-06-23,15:50:00,57.72,57.91,57.58,57.91,400,0
2016-06-23,15:55:00,57.714,57.75,57.6,57.7195,679,0
2016-06-23,16:00:00,57.52,57.69,57.52,57.69,800,0
2016-06-23,16:05:00,57.75,57.85,57.75,57.85,1700,0
2016-06-23,16:10:00,57.85,57.87,57.78,57.8099,780,0
2016-06-23,16:15:00,57.4469,57.78,57.4469,57.62,1208,0
2016-06-23,16:25:00,57.5799,57.58,57.55,57.55,900,0
2016-06-23,16:30:00,57.53,57.67,57.4258,57.63,2006,0
2016-06-23,16:35:00,57.64,57.6999,57.41,57.41,800,0
2016-06-23,16:40:00,57.6,57.69,57.6,57.69,300,0
2016-06-23,16:45:00,57.69,57.75,57.6273,57.75,500,0
2016-06-23,16:50:00,57.59,57.59,57.59,57.59,100,0
2016-06-23,16:55:00,57.635,57.635,57.58,57.63,1157,0
2016-06-23,17:00:00,57.54,57.62,57.53,57.62,900,0
2016-06-23,17:05:00,57.67,57.76,57.6338,57.69,800,0
2016-06-23,17:10:00,57.6346,57.75,57.6346,57.68,1400,0
2016-06-23,17:15:00,57.6643,57.78,57.6643,57.78,1300,0
2016-06-23,17:20:00,57.71,57.95,57.71,57.77,1900,0
2016-06-23,17:25:00,57.8835,57.8835,57.8759,57.8759,373,0
2016-06-23,17:30:00,57.89,57.98,57.89,57.9799,800,0
2016-06-23,17:35:00,57.9899,58,57.9899,58,800,0
2016-06-23,17:40:00,57.99,58.53,57.99,58.53,4982,0
2016-06-23,17:45:00,58.51,58.55,58.19,58.2999,3200,0
2016-06-23,17:50:00,58.1075,58.25,58.08,58.13,3180,0
2016-06-23,17:55:00,58.21,58.28,58.21,58.28,1700,0
2016-06-23,18:00:00,58.21,58.21,57.96,57.96,3179,0
2016-06-23,18:05:00,57.875,57.93,57.875,57.9,400,0
2016-06-23,18:10:00,57.88,57.95,57.88,57.95,600,0
2016-06-23,18:15:00,57.996,57.996,57.996,57.996,100,0
2016-06-23,18:25:00,57.98,57.98,57.875,57.875,300,0
2016-06-23,18:30:00,57.8301,57.86,57.83,57.83,500,0
2016-06-23,18:35:00,57.732,57.732,57.685,57.685,1400,0
2016-06-23,18:40:00,57.71,57.8099,57.67,57.67,1500,0
2016-06-23,18:45:00,57.795,57.795,57.714,57.714,651,0
2016-06-23,18:55:00,57.715,57.78,57.715,57.743,1000,0
2016-06-23,19:00:00,57.7,57.78,57.7,57.71,400,0
2016-06-23,19:05:00,57.75,57.75,57.75,57.75,200,0
2016-06-23,19:15:00,57.78,57.78,57.78,57.78,500,0
2016-06-23,19:20:00,57.8799,57.88,57.8799,57.88,1100,0
2016-06-23,19:25:00,57.815,57.87,57.815,57.87,900,0
2016-06-23,19:30:00,57.75,57.75,57.6513,57.6513,600,0
2016-06-23,19:35:00,57.71,57.71,57.71,57.71,208,0
2016-06-23,19:40:00,57.7,57.7,57.5,57.5,700,0
2016-06-23,19:45:00,57.55,57.55,57.38,57.38,500,0
2016-06-23,19:50:00,57.46,57.48,57.46,57.48,500,0
2016-06-23,19:55:00,57.4001,57.4001,57.4001,57.4001,100,0
2016-06-23,20:00:00,57.42,57.42,57.26,57.26,405,0
2016-06-23,20:05:00,57.25,57.39,57.25,57.39,1200,0
2016-06-23,20:10:00,57.43,57.49,57.43,57.49,200,0
2016-06-23,20:15:00,57.51,57.58,57.51,57.51,400,0
2016-06-23,20:25:00,57.58,57.69,57.425,57.53,2775,0
2016-06-23,20:30:00,57.47,57.63,57.47,57.56,2300,0
2016-06-23,20:35:00,57.51,57.51,57.51,57.51,100,0
2016-06-23,20:40:00,57.52,57.52,57.52,57.52,200,0
2016-06-23,20:45:00,57.52,57.52,57.395,57.395,1400,0
2016-06-23,20:50:00,57.42,57.51,57.41,57.51,600,0
2016-06-23,21:00:00,57.505,57.55,57.505,57.55,400,0
2016-06-23,21:05:00,57.6,57.61,57.5,57.5,700,0
2016-06-23,21:10:00,57.51,57.56,57.51,57.56,600,0
2016-06-23,21:15:00,57.635,57.635,57.635,57.635,100,0
2016-06-23,21:20:00,57.63,57.67,57.5601,57.5601,1727,0
2016-06-23,21:25:00,57.6,57.6,57.575,57.575,1030,0
2016-06-23,21:30:00,57.57,57.63,57.57,57.63,994,0
2016-06-23,21:35:00,57.63,57.63,57.6109,57.6109,312,0
2016-06-23,21:40:00,57.67,57.71,57.66,57.66,1408,0
2016-06-23,21:45:00,57.66,57.82,57.66,57.82,2100,0
2016-06-23,21:50:00,57.83,57.83,57.7101,57.7101,3379,0
2016-06-23,21:55:00,57.78,57.86,57.77,57.7984,3666,0
2016-06-23,22:00:00,57.78,57.88,57.78,57.88,14869,0
2016-06-24,15:35:00,55.48,55.49,54.01,54.7313,18286,0
2016-06-24,15:40:00,55.44,55.7999,55.44,55.65,3930,0
2016-06-24,15:45:00,55.75,56.6211,55.7,56.6211,3300,0
2016-06-24,15:50:00,56.39,56.4788,56.29,56.35,2150,0
2016-06-24,15:55:00,56.505,56.9,56.36,56.87,1905,0
2016-06-24,16:00:00,56.87,56.96,56.77,56.828,1100,0
2016-06-24,16:05:00,56.61,56.69,56.557,56.69,600,0
2016-06-24,16:10:00,56.7,56.82,56.7,56.82,2997,0
2016-06-24,16:15:00,56.8,56.82,56.59,56.64,2585,0
2016-06-24,16:20:00,56.63,56.72,56.54,56.63,2589,0
2016-06-24,16:25:00,56.63,56.72,56.5028,56.72,1400,0
2016-06-24,16:30:00,56.59,56.71,56.59,56.71,200,0
2016-06-24,16:35:00,56.79,56.82,56.705,56.77,4166,0
2016-06-24,16:40:00,56.89,57.0075,56.87,57.0072,916,0
2016-06-24,16:45:00,57.0326,57.12,57.0326,57.12,1345,0
2016-06-24,16:50:00,57.36,57.36,57.36,57.36,100,0
2016-06-24,16:55:00,57.2835,57.36,57.2835,57.36,400,0
2016-06-24,17:00:00,57.36,57.36,57.36,57.36,100,0
2016-06-24,17:05:00,57.3461,57.61,57.3461,57.61,525,0
2016-06-24,17:10:00,57.69,57.9,57.595,57.9,1700,0
2016-06-24,17:15:00,58.155,58.155,58.04,58.14,600,0
2016-06-24,17:20:00,58.13,58.262,58.085,58.085,1475,0
2016-06-24,17:25:00,58.1884,58.43,58.044,58.43,1750,0
2016-06-24,17:30:00,58.35,58.35,58.14,58.24,1000,0
2016-06-24,17:35:00,58.23,58.23,58.23,58.23,800,0
2016-06-24,17:40:00,58.075,58.075,58.075,58.075,200,0
2016-06-24,17:45:00,58.17,58.22,58.16,58.22,600,0
2016-06-24,17:50:00,58.34,58.72,58.34,58.7099,2464,0
2016-06-24,17:55:00,58.42,58.42,58.1425,58.2581,400,0
2016-06-24,18:00:00,58.36,58.36,58.2745,58.2745,625,0
2016-06-24,18:05:00,58.243,58.25,58.235,58.25,900,0
2016-06-24,18:10:00,58.21,58.21,58.01,58.01,2900,0
2016-06-24,18:15:00,58.1,58.1,57.658,57.658,1500,0
2016-06-24,18:20:00,57.6101,57.62,57.4,57.4,1700,0
2016-06-24,18:25:00,57.54,57.65,57.54,57.65,2398,0
2016-06-24,18:30:00,57.9,58.02,57.9,58.02,800,0
2016-06-24,18:35:00,58.23,58.23,58.06,58.06,800,0
2016-06-24,18:40:00,58.211,58.52,58.1,58.52,1669,0
2016-06-24,18:45:00,58.464,58.51,58.39,58.39,3400,0
2016-06-24,18:50:00,58.4,58.4,58.11,58.13,2000,0
2016-06-24,18:55:00,58.254,58.254,58.07,58.08,900,0
2016-06-24,19:00:00,58.0533,58.0533,57.82,57.82,1100,0
2016-06-24,19:05:00,57.93,58.07,57.93,58.05,1394,0
2016-06-24,19:10:00,58,58.04,57.9,57.9,500,0
2016-06-24,19:15:00,57.84,57.91,57.84,57.91,300,0
2016-06-24,19:20:00,57.94,57.98,57.84,57.98,1000,0
2016-06-24,19:25:00,58.034,58.034,58.0101,58.0101,635,0
2016-06-24,19:30:00,58.01,58.09,57.904,57.92,2900,0
2016-06-24,19:35:00,58.01,58.12,57.97,58.12,700,0
2016-06-24,19:40:00,58.23,58.44,58.23,58.32,800,0
2016-06-24,19:45:00,58.26,58.28,58.24,58.28,300,0
2016-06-24,19:50:00,58.3599,58.3599,58.01,58.0191,1400,0
2016-06-24,19:55:00,58.15,58.27,58.15,58.17,800,0
2016-06-24,20:00:00,58.28,58.3,58.27,58.27,400,0
2016-06-24,20:05:00,58.41,58.6,58.41,58.58,900,0
2016-06-24,20:10:00,58.48,58.62,58.405,58.52,2300,0
2016-06-24,20:15:00,58.5,58.5,58.45,58.5,2600,0
