Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-03-23,14:35:00,1.53,1.53,1.53,1.53,660,0
2016-03-23,15:15:00,1.5906,1.5906,1.5906,1.5906,1000,0
2016-03-23,15:20:00,1.58,1.598,1.58,1.598,200,0
2016-03-23,15:25:00,1.61,1.61,1.61,1.61,200,0
2016-03-23,15:35:00,1.59,1.59,1.59,1.59,100,0
2016-03-23,16:15:00,1.63,1.64,1.6277,1.64,9000,0
2016-03-23,16:20:00,1.64,1.64,1.64,1.64,500,0
2016-03-23,16:55:00,1.5307,1.5307,1.5307,1.5307,600,0
2016-03-23,17:10:00,1.53,1.5311,1.53,1.53,2361,0
2016-03-23,17:20:00,1.53,1.53,1.53,1.53,100,0
2016-03-23,19:20:00,1.53,1.53,1.5,1.51,3800,0
2016-03-23,21:00:00,1.54,1.59,1.54,1.59,660,0
2016-03-24,14:35:00,1.57,1.57,1.57,1.57,360,0
2016-03-24,16:30:00,1.61,1.61,1.61,1.61,100,0
2016-03-24,17:15:00,1.61,1.61,1.61,1.61,100,0
2016-03-24,17:35:00,1.59,1.5901,1.59,1.59,2855,0
2016-03-24,20:25:00,1.55,1.55,1.55,1.55,2000,0
2016-03-24,21:00:00,1.55,1.55,1.55,1.55,400,0
2016-03-28,15:35:00,1.55,1.55,1.55,1.55,776,0
2016-03-28,17:15:00,1.55,1.55,1.55,1.55,600,0
2016-03-28,17:25:00,1.51,1.51,1.51,1.51,400,0
2016-03-28,17:55:00,1.54,1.54,1.53,1.5389,500,0
2016-03-28,18:00:00,1.54,1.55,1.54,1.55,4600,0
2016-03-28,18:10:00,1.55,1.55,1.55,1.55,6761,0
2016-03-28,18:25:00,1.549,1.55,1.545,1.547,700,0
2016-03-28,18:45:00,1.55,1.55,1.5489,1.55,900,0
2016-03-28,18:55:00,1.54,1.54,1.54,1.54,100,0
2016-03-28,19:50:00,1.56,1.56,1.56,1.56,100,0
2016-03-28,20:30:00,1.56,1.56,1.56,1.56,100,0
2016-03-28,20:40:00,1.55,1.55,1.54,1.54,4700,0
2016-03-28,21:05:00,1.52,1.52,1.52,1.52,100,0
2016-03-28,21:30:00,1.5201,1.5201,1.5201,1.5201,560,0
2016-03-28,22:00:00,1.52,1.5201,1.52,1.5201,386,0
2016-03-29,16:50:00,1.634,1.634,1.634,1.634,394,0
2016-03-29,17:05:00,1.63,1.63,1.63,1.63,132,0
2016-03-29,17:25:00,1.53,1.5309,1.53,1.5309,800,0
2016-03-29,17:35:00,1.61,1.61,1.61,1.61,100,0
2016-03-29,18:10:00,1.52,1.59,1.5,1.59,3372,0
