Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-22,15:35:00,13.57,13.71,13.53,13.63,2415,0
2016-06-22,15:40:00,13.64,13.64,13.49,13.49,2000,0
2016-06-22,15:45:00,13.59,13.83,13.57,13.83,5500,0
2016-06-22,15:50:00,13.77,13.82,13.6327,13.8,1798,0
2016-06-22,15:55:00,13.8,13.8,13.8,13.8,200,0
2016-06-22,16:00:00,13.76,13.76,13.75,13.75,900,0
2016-06-22,16:05:00,13.69,13.71,13.62,13.7,5760,0
2016-06-22,16:10:00,13.71,13.76,13.71,13.76,1800,0
2016-06-22,16:15:00,13.71,13.835,13.71,13.835,5220,0
2016-06-22,16:20:00,13.812,13.812,13.72,13.74,1270,0
2016-06-22,16:25:00,13.72,13.73,13.65,13.73,2900,0
2016-06-22,16:30:00,13.7327,13.77,13.7327,13.77,1078,0
2016-06-22,16:35:00,13.74,14.2,13.74,14.15,21488,0
2016-06-22,16:40:00,14.22,14.25,14.09,14.11,4354,0
2016-06-22,16:45:00,14.03,14.2,14.03,14.2,2242,0
2016-06-22,16:50:00,14.2,14.25,14.14,14.17,3258,0
2016-06-22,16:55:00,14.1806,14.35,14.1806,14.35,9249,0
2016-06-22,17:00:00,14.31,14.31,14,14.19,11872,0
2016-06-22,17:05:00,14.0952,14.26,14.0952,14.26,3500,0
2016-06-22,17:10:00,14.26,14.26,14.2,14.25,4444,0
2016-06-22,17:15:00,14.26,14.26,14.01,14.045,7346,0
2016-06-22,17:20:00,14.03,14.12,14.03,14.11,1500,0
2016-06-22,17:25:00,14.13,14.13,14.11,14.11,700,0
2016-06-22,17:30:00,14.09,14.1542,14.09,14.11,900,0
2016-06-22,17:35:00,14.11,14.11,13.9801,14.01,1150,0
2016-06-22,17:40:00,14.03,14.17,14.01,14.17,2500,0
2016-06-22,17:45:00,14.12,14.14,14.058,14.058,950,0
2016-06-22,17:50:00,14.04,14.05,14.03,14.04,1300,0
2016-06-22,17:55:00,13.99,13.99,13.99,13.99,100,0
2016-06-22,18:00:00,14,14.03,13.99,14.03,1500,0
2016-06-22,18:05:00,14.02,14.0299,13.93,13.93,1900,0
2016-06-22,18:10:00,13.9,13.955,13.88,13.955,5800,0
2016-06-22,18:15:00,13.9,13.9,13.9,13.9,100,0
2016-06-22,18:20:00,13.92,13.99,13.91,13.95,8323,0
2016-06-22,18:25:00,13.91,13.94,13.9,13.9,4300,0
2016-06-22,18:30:00,13.88,13.9035,13.88,13.9035,7400,0
2016-06-22,18:40:00,13.89,13.89,13.82,13.82,1900,0
2016-06-22,18:45:00,13.75,13.75,13.69,13.71,1700,0
2016-06-22,18:50:00,13.7,13.71,13.67,13.71,2200,0
2016-06-22,18:55:00,13.7175,13.73,13.7,13.7,1400,0
2016-06-22,19:00:00,13.66,13.73,13.66,13.7,2350,0
2016-06-22,19:05:00,13.67,13.68,13.66,13.66,1100,0
2016-06-22,19:10:00,13.643,13.69,13.643,13.66,1900,0
2016-06-22,19:15:00,13.6368,13.65,13.6,13.65,6500,0
2016-06-22,19:20:00,13.67,13.72,13.64,13.65,7200,0
2016-06-22,19:25:00,13.67,13.67,13.64,13.64,900,0
2016-06-22,19:30:00,13.587,13.64,13.584,13.59,3430,0
2016-06-22,19:35:00,13.63,13.63,13.63,13.63,200,0
2016-06-22,19:40:00,13.61,14.13,13.6,14.0199,35810,0
2016-06-22,19:45:00,13.97,13.97,13.93,13.94,1000,0
2016-06-22,19:50:00,13.93,13.93,13.72,13.84,7931,0
2016-06-22,19:55:00,13.85,13.89,13.85,13.88,2200,0
2016-06-22,20:00:00,13.79,13.84,13.79,13.84,600,0
2016-06-22,20:05:00,13.82,13.84,13.82,13.83,1200,0
