Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-22,15:35:00,10.1,10.155,10.1,10.1428,16608,0
2016-06-22,15:40:00,10.15,10.17,10.13,10.15,62163,0
2016-06-22,15:45:00,10.16,10.18,10.15,10.1797,59328,0
2016-06-22,15:50:00,10.18,10.2,10.16,10.2,22373,0
2016-06-22,15:55:00,10.2,10.21,10.19,10.2,13125,0
2016-06-22,16:00:00,10.2,10.21,10.18,10.185,15056,0
2016-06-22,16:05:00,10.18,10.1892,10.16,10.17,46335,0
2016-06-22,16:10:00,10.17,10.18,10.17,10.175,1500,0
2016-06-22,16:15:00,10.18,10.18,10.17,10.17,700,0
2016-06-22,16:20:00,10.1701,10.19,10.17,10.185,20509,0
2016-06-22,16:25:00,10.19,10.19,10.17,10.17,2848,0
2016-06-22,16:30:00,10.18,10.18,10.17,10.17,12710,0
2016-06-22,16:35:00,10.17,10.2,10.15,10.19,31180,0
2016-06-22,16:40:00,10.19,10.195,10.17,10.17,7120,0
2016-06-22,16:45:00,10.18,10.185,10.18,10.18,6333,0
2016-06-22,16:50:00,10.17,10.19,10.165,10.19,17500,0
2016-06-22,16:55:00,10.19,10.2,10.19,10.2,5793,0
2016-06-22,17:00:00,10.2,10.21,10.195,10.2,26625,0
2016-06-22,17:05:00,10.2,10.22,10.2,10.215,21109,0
2016-06-22,17:10:00,10.22,10.22,10.2,10.2,9866,0
2016-06-22,17:15:00,10.1901,10.21,10.1901,10.205,7305,0
2016-06-22,17:20:00,10.205,10.22,10.2,10.21,19440,0
2016-06-22,17:25:00,10.21,10.21,10.2,10.21,20062,0
2016-06-22,17:30:00,10.21,10.22,10.207,10.22,19380,0
2016-06-22,17:35:00,10.21,10.21,10.18,10.19,15117,0
2016-06-22,17:40:00,10.19,10.2,10.19,10.2,16400,0
2016-06-22,17:45:00,10.19,10.2,10.175,10.18,7590,0
2016-06-22,17:50:00,10.18,10.2,10.18,10.2,3849,0
2016-06-22,17:55:00,10.2,10.205,10.19,10.205,3399,0
2016-06-22,18:00:00,10.21,10.22,10.21,10.22,1590,0
2016-06-22,18:05:00,10.21,10.215,10.2,10.2085,17465,0
2016-06-22,18:10:00,10.21,10.21,10.2,10.205,500,0
2016-06-22,18:15:00,10.205,10.21,10.2,10.205,3450,0
2016-06-22,18:20:00,10.2,10.21,10.2,10.2,459,0
2016-06-22,18:25:00,10.21,10.21,10.19,10.19,9257,0
2016-06-22,18:30:00,10.19,10.19,10.17,10.18,5387,0
2016-06-22,18:35:00,10.18,10.18,10.175,10.18,2697,0
2016-06-22,18:40:00,10.18,10.19,10.18,10.185,3223,0
2016-06-22,18:45:00,10.18,10.19,10.17,10.17,3977,0
2016-06-22,18:50:00,10.17,10.17,10.15,10.15,5733,0
2016-06-22,18:55:00,10.16,10.16,10.155,10.16,9669,0
2016-06-22,19:00:00,10.15,10.17,10.15,10.17,1453,0
2016-06-22,19:05:00,10.16,10.16,10.145,10.145,4304,0
2016-06-22,19:10:00,10.14,10.14,10.13,10.13,5857,0
2016-06-22,19:15:00,10.13,10.14,10.12,10.14,7690,0
2016-06-22,19:20:00,10.14,10.14,10.125,10.135,13365,0
2016-06-22,19:25:00,10.14,10.14,10.1308,10.14,566,0
2016-06-22,19:30:00,10.135,10.14,10.135,10.14,1100,0
2016-06-22,19:35:00,10.135,10.14,10.134,10.134,1080,0
2016-06-22,19:40:00,10.14,10.14,10.13,10.135,2445,0
2016-06-22,19:45:00,10.14,10.14,10.135,10.14,700,0
2016-06-22,19:50:00,10.14,10.14,10.135,10.14,1266,0
2016-06-22,19:55:00,10.14,10.14,10.135,10.14,700,0
2016-06-22,20:00:00,10.135,10.14,10.135,10.14,800,0
2016-06-22,20:05:00,10.135,10.14,10.13,10.13,26280,0
2016-06-22,20:10:00,10.13,10.13,10.125,10.13,808,0
2016-06-22,20:15:00,10.13,10.13,10.115,10.115,3167,0
2016-06-22,20:20:00,10.12,10.13,10.11,10.11,9016,0
2016-06-22,20:25:00,10.105,10.105,10.0929,10.0971,3255,0
2016-06-22,20:30:00,10.095,10.11,10.095,10.105,3338,0
2016-06-22,20:35:00,10.1,10.11,10.1,10.11,1483,0
2016-06-22,20:40:00,10.11,10.11,10.085,10.09,30048,0
2016-06-22,20:45:00,10.09,10.1,10.09,10.1,38869,0
2016-06-22,20:50:00,10.095,10.1,10.095,10.1,1600,0
2016-06-22,20:55:00,10.1,10.11,10.0901,10.11,10742,0
2016-06-22,21:00:00,10.11,10.11,10.1,10.105,1213,0
2016-06-22,21:05:00,10.1,10.11,10.095,10.11,25847,0
2016-06-22,21:10:00,10.11,10.11,10.09,10.09,7232,0
2016-06-22,21:15:00,10.09,10.1,10.09,10.09,2311,0
2016-06-22,21:20:00,10.09,10.1,10.09,10.095,1800,0
2016-06-22,21:25:00,10.1,10.1,10.08,10.0871,15114,0
2016-06-22,21:30:00,10.08,10.09,10.08,10.08,2500,0
2016-06-22,21:35:00,10.085,10.09,10.08,10.09,2267,0
2016-06-22,21:40:00,10.09,10.09,10.08,10.09,19520,0
2016-06-22,21:45:00,10.09,10.09,10.08,10.08,4193,0
2016-06-22,21:50:00,10.09,10.09,10.08,10.08,3400,0
2016-06-22,21:55:00,10.08,10.09,10.06,10.06,43913,0
2016-06-22,22:00:00,10.06,10.07,10.05,10.05,57179,0
2016-06-23,15:35:00,10.19,10.28,10.18,10.235,66322,0
2016-06-23,15:40:00,10.24,10.28,10.24,10.2775,40128,0
2016-06-23,15:45:00,10.28,10.3,10.265,10.295,48489,0
2016-06-23,15:50:00,10.3,10.31,10.28,10.28,16002,0
2016-06-23,15:55:00,10.28,10.28,10.235,10.24,20102,0
2016-06-23,16:00:00,10.24,10.265,10.235,10.26,37454,0
2016-06-23,16:05:00,10.26,10.29,10.26,10.29,23421,0
2016-06-23,16:10:00,10.29,10.295,10.27,10.28,34518,0
2016-06-23,16:15:00,10.27,10.29,10.27,10.29,18397,0
2016-06-23,16:20:00,10.29,10.3,10.265,10.27,33794,0
2016-06-23,16:25:00,10.28,10.31,10.28,10.3,29866,0
2016-06-23,16:30:00,10.31,10.31,10.27,10.27,12765,0
2016-06-23,16:35:00,10.27,10.28,10.26,10.27,14792,0
2016-06-23,16:40:00,10.265,10.285,10.25,10.27,497488,0
2016-06-23,16:45:00,10.27,10.305,10.27,10.305,50791,0
2016-06-23,16:50:00,10.3,10.31,10.3,10.305,50446,0
2016-06-23,16:55:00,10.31,10.31,10.3001,10.31,27783,0
2016-06-23,17:00:00,10.31,10.32,10.3,10.31,13975,0
2016-06-23,17:05:00,10.31,10.32,10.3,10.31,134853,0
2016-06-23,17:10:00,10.305,10.31,10.305,10.31,2955,0
2016-06-23,17:15:00,10.31,10.33,10.295,10.33,34573,0
2016-06-23,17:20:00,10.33,10.33,10.325,10.325,11533,0
2016-06-23,17:25:00,10.33,10.33,10.32,10.33,6022,0
2016-06-23,17:30:00,10.325,10.34,10.32,10.335,13799,0
2016-06-23,17:35:00,10.34,10.35,10.33,10.345,12034,0
2016-06-23,17:40:00,10.35,10.35,10.33,10.35,8354,0
2016-06-23,17:45:00,10.35,10.35,10.33,10.33,20972,0
2016-06-23,17:50:00,10.33,10.35,10.33,10.345,23676,0
2016-06-23,17:55:00,10.35,10.37,10.345,10.365,15123,0
2016-06-23,18:00:00,10.37,10.37,10.355,10.36,23374,0
2016-06-23,18:05:00,10.36,10.36,10.345,10.345,6391,0
2016-06-23,18:10:00,10.34,10.35,10.34,10.345,3804,0
2016-06-23,18:15:00,10.345,10.36,10.345,10.36,33216,0
2016-06-23,18:20:00,10.35,10.355,10.33,10.34,25930,0
2016-06-23,18:25:00,10.335,10.34,10.335,10.335,2667,0
2016-06-23,18:30:00,10.33,10.35,10.33,10.35,15554,0
2016-06-23,18:35:00,10.35,10.35,10.34,10.35,5053,0
2016-06-23,18:40:00,10.35,10.35,10.34,10.345,15094,0
2016-06-23,18:45:00,10.345,10.35,10.33,10.33,19510,0
2016-06-23,18:50:00,10.335,10.34,10.325,10.33,19119,0
2016-06-23,18:55:00,10.34,10.34,10.33,10.335,9244,0
2016-06-23,19:00:00,10.33,10.34,10.33,10.335,7258,0
2016-06-23,19:05:00,10.34,10.34,10.33,10.335,5597,0
2016-06-23,19:10:00,10.33,10.33,10.32,10.33,15202,0
2016-06-23,19:15:00,10.33,10.35,10.325,10.34,19948,0
2016-06-23,19:20:00,10.335,10.34,10.335,10.34,4142,0
2016-06-23,19:25:00,10.34,10.34,10.335,10.34,2033,0
2016-06-23,19:30:00,10.335,10.34,10.33,10.335,4457,0
2016-06-23,19:35:00,10.335,10.34,10.32,10.325,12285,0
2016-06-23,19:40:00,10.33,10.33,10.31,10.31,4348,0
2016-06-23,19:45:00,10.31,10.32,10.31,10.315,2100,0
2016-06-23,19:50:00,10.31,10.32,10.31,10.31,7070,0
2016-06-23,19:55:00,10.32,10.32,10.3,10.305,6528,0
2016-06-23,20:00:00,10.3,10.32,10.3,10.315,52409,0
2016-06-23,20:05:00,10.315,10.32,10.31,10.31,4340,0
2016-06-23,20:10:00,10.315,10.32,10.31,10.3175,5247,0
2016-06-23,20:15:00,10.32,10.32,10.31,10.31,4013,0
2016-06-23,20:20:00,10.31,10.32,10.31,10.32,3400,0
2016-06-23,20:25:00,10.32,10.32,10.29,10.29,11251,0
2016-06-23,20:30:00,10.295,10.31,10.29,10.31,17437,0
2016-06-23,20:35:00,10.31,10.32,10.305,10.31,23132,0
2016-06-23,20:40:00,10.32,10.32,10.31,10.32,4725,0
2016-06-23,20:45:00,10.315,10.32,10.31,10.31,4900,0
2016-06-23,20:50:00,10.31,10.32,10.31,10.32,13252,0
2016-06-23,20:55:00,10.32,10.32,10.31,10.32,11687,0
2016-06-23,21:00:00,10.32,10.32,10.31,10.31,7976,0
2016-06-23,21:05:00,10.31,10.32,10.305,10.305,15400,0
2016-06-23,21:10:00,10.3,10.31,10.3,10.3,13000,0
2016-06-23,21:15:00,10.3,10.31,10.3,10.31,15378,0
2016-06-23,21:20:00,10.305,10.31,10.3,10.31,8105,0
2016-06-23,21:25:00,10.31,10.31,10.3,10.3,9450,0
2016-06-23,21:30:00,10.3,10.31,10.3,10.3,8964,0
2016-06-23,21:35:00,10.305,10.31,10.3,10.31,16788,0
2016-06-23,21:40:00,10.305,10.32,10.3,10.32,57226,0
2016-06-23,21:45:00,10.32,10.32,10.31,10.31,55177,0
2016-06-23,21:50:00,10.32,10.33,10.31,10.33,110676,0
2016-06-23,21:55:00,10.325,10.325,10.3,10.315,334785,0
2016-06-23,22:00:00,10.315,10.36,10.315,10.34,403437,0
2016-06-24,15:35:00,9.84,9.843,9.73,9.81,110662,0
2016-06-24,15:40:00,9.81,9.9,9.795,9.9,66020,0
2016-06-24,15:45:00,9.9,9.96,9.9,9.94,47343,0
2016-06-24,15:50:00,9.94,9.94,9.87,9.9,56515,0
2016-06-24,15:55:00,9.9,9.93,9.89,9.93,21523,0
2016-06-24,16:00:00,9.93,9.96,9.93,9.94,63951,0
2016-06-24,16:05:00,9.94,9.96,9.92,9.95,71247,0
2016-06-24,16:10:00,9.9499,9.965,9.92,9.965,23770,0
2016-06-24,16:15:00,9.96,9.99,9.94,9.96,35346,0
2016-06-24,16:20:00,9.955,9.96,9.9225,9.9225,34050,0
2016-06-24,16:25:00,9.92,9.94,9.9,9.93,28163,0
2016-06-24,16:30:00,9.93,9.95,9.92,9.94,38714,0
2016-06-24,16:35:00,9.94,10,9.935,9.98,62383,0
2016-06-24,16:40:00,9.975,10,9.97,9.99,28006,0
2016-06-24,16:45:00,9.995,9.995,9.96,9.96,11089,0
2016-06-24,16:50:00,9.96,9.97,9.94,9.94,19679,0
2016-06-24,16:55:00,9.94,9.94,9.9,9.9,19532,0
2016-06-24,17:00:00,9.9,9.91,9.89,9.89,29722,0
2016-06-24,17:05:00,9.89,9.9,9.84,9.85,36078,0
2016-06-24,17:10:00,9.845,9.89,9.845,9.89,20539,0
2016-06-24,17:15:00,9.89,9.89,9.86,9.88,19038,0
2016-06-24,17:20:00,9.87,9.88,9.86,9.87,11949,0
2016-06-24,17:25:00,9.87,9.87,9.85,9.86,28630,0
2016-06-24,17:30:00,9.855,9.88,9.85,9.88,25370,0
2016-06-24,17:35:00,9.87,9.89,9.87,9.87,8548,0
2016-06-24,17:40:00,9.86,9.89,9.86,9.89,11866,0
2016-06-24,17:45:00,9.89,9.89,9.85,9.85,5665,0
2016-06-24,17:50:00,9.86,9.87,9.84,9.84,8653,0
2016-06-24,17:55:00,9.84,9.845,9.82,9.82,48455,0
2016-06-24,18:00:00,9.83,9.85,9.83,9.85,8375,0
2016-06-24,18:05:00,9.85,9.86,9.84,9.86,179903,0
2016-06-24,18:10:00,9.86,9.87,9.85,9.86,44304,0
2016-06-24,18:15:00,9.86,9.86,9.835,9.86,26366,0
2016-06-24,18:20:00,9.86,9.86,9.85,9.855,6162,0
2016-06-24,18:25:00,9.855,9.89,9.855,9.87,32753,0
2016-06-24,18:30:00,9.87,9.8766,9.87,9.87,1900,0
2016-06-24,18:35:00,9.87,9.87,9.84,9.84,16479,0
2016-06-24,18:40:00,9.84,9.86,9.84,9.845,20339,0
2016-06-24,18:45:00,9.84,9.85,9.83,9.85,46649,0
2016-06-24,18:50:00,9.845,9.86,9.84,9.86,30958,0
2016-06-24,18:55:00,9.86,9.86,9.85,9.86,86957,0
2016-06-24,19:00:00,9.86,9.865,9.84,9.86,194704,0
2016-06-24,19:05:00,9.86,9.865,9.85,9.85,41970,0
2016-06-24,19:10:00,9.86,9.865,9.815,9.815,129211,0
2016-06-24,19:15:00,9.81,9.82,9.81,9.82,12021,0
2016-06-24,19:20:00,9.82,9.83,9.8168,9.82,12702,0
2016-06-24,19:25:00,9.82,9.82,9.81,9.82,15327,0
2016-06-24,19:30:00,9.82,9.82,9.81,9.82,11518,0
2016-06-24,19:35:00,9.82,9.82,9.81,9.82,22429,0
2016-06-24,19:40:00,9.82,9.83,9.82,9.83,11428,0
2016-06-24,19:45:00,9.82,9.83,9.82,9.83,13825,0
2016-06-24,19:50:00,9.83,9.84,9.815,9.83,47403,0
2016-06-24,19:55:00,9.83,9.84,9.8229,9.84,18253,0
2016-06-24,20:00:00,9.8399,9.85,9.835,9.85,27551,0
2016-06-24,20:05:00,9.85,9.85,9.835,9.85,47818,0
2016-06-24,20:10:00,9.845,9.85,9.845,9.85,8451,0
2016-06-24,20:15:00,9.85,9.87,9.845,9.86,195752,0
2016-06-24,20:20:00,9.86,9.86,9.84,9.84,16788,0
2016-06-24,20:25:00,9.845,9.85,9.84,9.85,11985,0
2016-06-24,20:30:00,9.85,9.8585,9.8434,9.85,26831,0
2016-06-24,20:35:00,9.84,9.84,9.83,9.83,14280,0
2016-06-24,20:40:00,9.83,9.84,9.83,9.84,6136,0
2016-06-24,20:45:00,9.83,9.83,9.82,9.82,41044,0
2016-06-24,20:50:00,9.82,9.83,9.815,9.815,25821,0
2016-06-24,20:55:00,9.82,9.83,9.815,9.83,18559,0
2016-06-24,21:00:00,9.825,9.84,9.825,9.835,12806,0
