Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-03,15:35:00,37.16,37.16,37.16,37.16,369,0
2016-06-03,15:50:00,37.11,37.15,37.11,37.15,301,0
2016-06-03,16:00:00,37.011,37.07,37.011,37.07,301,0
2016-06-03,16:10:00,37.06,37.06,37.06,37.06,100,0
2016-06-03,16:15:00,37.03,37.04,37.03,37.04,402,0
2016-06-03,16:25:00,36.951,36.951,36.951,36.951,100,0
2016-06-03,16:30:00,36.891,36.951,36.891,36.951,201,0
2016-06-03,16:35:00,36.971,37.02,36.971,37.02,201,0
2016-06-03,16:40:00,37.16,37.22,37.15,37.22,4723,0
2016-06-03,16:50:00,37.319,37.319,37.319,37.319,100,0
2016-06-03,17:15:00,37.21,37.21,37.15,37.15,2489,0
2016-06-03,17:45:00,37.03,37.03,37.02,37.03,301,0
2016-06-03,18:15:00,37.14,37.14,37.14,37.14,201,0
2016-06-03,18:40:00,37.05,37.07,37.05,37.05,402,0
2016-06-03,18:55:00,36.931,37.02,36.901,37.02,603,0
2016-06-03,19:00:00,36.911,36.911,36.911,36.911,100,0
2016-06-03,19:05:00,36.921,36.941,36.921,36.921,402,0
2016-06-03,19:10:00,36.901,36.951,36.901,36.941,1306,0
2016-06-03,19:15:00,36.951,36.99,36.951,36.99,502,0
2016-06-03,19:20:00,36.901,36.941,36.901,36.941,502,0
2016-06-03,19:25:00,36.921,36.971,36.921,36.971,703,0
2016-06-03,19:35:00,36.961,37.02,36.961,37.02,301,0
2016-06-03,19:40:00,37.02,37.16,37.02,37.16,402,0
2016-06-03,20:00:00,37.03,37.17,37.03,37.17,967,0
2016-06-03,20:15:00,37.09,37.1,37.03,37.07,1206,0
2016-06-03,20:20:00,37.07,37.07,37.07,37.07,100,0
2016-06-03,20:30:00,37.2,37.2,37.2,37.2,100,0
2016-06-03,21:10:00,37.15,37.15,37.15,37.15,603,0
2016-06-03,21:20:00,37.09,37.09,37.09,37.09,100,0
