Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-22,15:35:00,5.19,5.21,5.17,5.195,1689256,0
2016-06-22,15:40:00,5.19,5.21,5.18,5.195,596912,0
2016-06-22,15:45:00,5.2,5.215,5.195,5.205,1155821,0
2016-06-22,15:50:00,5.209,5.209,5.16,5.17,513102,0
2016-06-22,15:55:00,5.17,5.185,5.15,5.16,478737,0
2016-06-22,16:00:00,5.163,5.17,5.14,5.145,110306,0
2016-06-22,16:05:00,5.1405,5.165,5.13,5.15,581939,0
2016-06-22,16:10:00,5.15,5.165,5.14,5.15,190916,0
2016-06-22,16:15:00,5.16,5.16,5.15,5.155,40681,0
2016-06-22,16:20:00,5.15,5.16,5.15,5.155,32597,0
2016-06-22,16:25:00,5.155,5.2,5.15,5.2,301060,0
2016-06-22,16:30:00,5.195,5.22,5.194,5.215,835619,0
2016-06-22,16:35:00,5.21,5.215,5.16,5.16,532582,0
2016-06-22,16:40:00,5.165,5.17,5.15,5.15,52949,0
2016-06-22,16:45:00,5.15,5.165,5.15,5.16,133080,0
2016-06-22,16:50:00,5.165,5.175,5.14,5.15,664072,0
2016-06-22,16:55:00,5.15,5.16,5.15,5.15,66439,0
2016-06-22,17:00:00,5.15,5.16,5.1,5.1,762684,0
2016-06-22,17:05:00,5.1,5.12,5.08,5.1,519398,0
2016-06-22,17:10:00,5.106,5.11,5.07,5.0999,477436,0
2016-06-22,17:15:00,5.09,5.1,5.07,5.075,146725,0
2016-06-22,17:20:00,5.075,5.09,5.07,5.085,603422,0
2016-06-22,17:25:00,5.085,5.0865,5.07,5.07,461126,0
2016-06-22,17:30:00,5.0707,5.1,5.07,5.0968,398756,0
2016-06-22,17:35:00,5.095,5.095,5.07,5.07,136850,0
2016-06-22,17:40:00,5.07,5.08,5.07,5.07,115259,0
2016-06-22,17:45:00,5.075,5.08,5.07,5.07,64087,0
2016-06-22,17:50:00,5.075,5.105,5.07,5.1,277796,0
2016-06-22,17:55:00,5.105,5.105,5.08,5.085,186101,0
2016-06-22,18:00:00,5.085,5.1,5.08,5.095,127458,0
2016-06-22,18:05:00,5.095,5.105,5.09,5.095,490849,0
