Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-20,15:35:00,16.85,16.93,16.85,16.93,3210,0
2016-06-20,15:40:00,16.95,16.95,16.94,16.945,1300,0
2016-06-20,15:45:00,16.93,16.99,16.93,16.96,1900,0
2016-06-20,15:50:00,16.94,16.95,16.9,16.9,1600,0
2016-06-20,15:55:00,16.91,16.96,16.85,16.86,3442,0
2016-06-20,16:00:00,16.875,16.95,16.86,16.93,1100,0
2016-06-20,16:05:00,16.94,16.95,16.89,16.95,3054,0
2016-06-20,16:10:00,16.97,16.97,16.9,16.92,3609,0
2016-06-20,16:15:00,16.92,16.92,16.92,16.92,300,0
2016-06-20,16:20:00,16.92,16.94,16.9,16.9067,2300,0
2016-06-20,16:25:00,16.92,16.95,16.88,16.94,3400,0
2016-06-20,16:35:00,16.92,16.94,16.92,16.94,800,0
2016-06-20,16:40:00,16.9399,16.9399,16.91,16.91,1186,0
2016-06-20,16:45:00,16.92,16.92,16.92,16.92,200,0
2016-06-20,16:50:00,16.9283,16.94,16.9283,16.94,300,0
2016-06-20,17:00:00,16.93,16.93,16.9,16.9,300,0
2016-06-20,17:05:00,16.93,16.93,16.93,16.93,600,0
2016-06-20,17:10:00,16.93,16.93,16.91,16.91,300,0
2016-06-20,17:25:00,16.94,16.95,16.93,16.94,1730,0
2016-06-20,17:35:00,16.95,16.95,16.95,16.95,200,0
2016-06-20,17:40:00,16.96,16.96,16.96,16.96,200,0
2016-06-20,17:45:00,16.95,16.97,16.95,16.97,200,0
2016-06-20,17:50:00,16.9403,16.96,16.94,16.94,1045,0
2016-06-20,18:00:00,16.92,16.95,16.9,16.95,1329,0
2016-06-20,18:05:00,16.96,16.96,16.96,16.96,300,0
2016-06-20,18:10:00,16.95,16.95,16.9201,16.9201,2850,0
2016-06-20,18:15:00,16.94,16.94,16.92,16.92,200,0
2016-06-20,18:20:00,16.94,16.94,16.94,16.94,100,0
2016-06-20,18:25:00,16.94,16.94,16.94,16.94,200,0
2016-06-20,18:35:00,16.94,16.94,16.94,16.94,200,0
2016-06-20,18:45:00,16.94,16.94,16.94,16.94,400,0
2016-06-20,18:50:00,16.94,16.96,16.94,16.96,1424,0
2016-06-20,18:55:00,16.96,16.98,16.96,16.98,3000,0
2016-06-20,19:00:00,16.97,16.97,16.96,16.96,400,0
2016-06-20,19:05:00,16.95,16.95,16.9401,16.9401,300,0
2016-06-20,19:10:00,16.95,16.96,16.95,16.96,600,0
2016-06-20,19:15:00,16.94,16.94,16.92,16.94,915,0
2016-06-20,19:20:00,16.95,16.95,16.92,16.92,400,0
2016-06-20,19:30:00,16.9498,16.9498,16.9498,16.9498,120,0
2016-06-20,19:40:00,16.96,16.96,16.95,16.9571,900,0
2016-06-20,19:45:00,16.96,16.96,16.96,16.96,100,0
2016-06-20,19:55:00,16.94,16.9532,16.94,16.9532,515,0
2016-06-20,20:00:00,16.9525,16.96,16.95,16.95,845,0
2016-06-20,20:05:00,16.9519,16.9519,16.9519,16.9519,255,0
2016-06-20,20:10:00,16.94,16.96,16.94,16.96,200,0
2016-06-20,20:15:00,16.96,16.96,16.96,16.96,500,0
2016-06-20,20:20:00,16.95,16.95,16.93,16.95,3000,0
2016-06-20,20:25:00,16.9401,16.9401,16.9401,16.9401,150,0
2016-06-20,20:30:00,16.96,16.96,16.95,16.95,232,0
2016-06-20,20:35:00,16.9301,16.96,16.9301,16.9401,970,0
2016-06-20,20:40:00,16.95,16.96,16.94,16.94,600,0
2016-06-20,20:45:00,16.92,16.92,16.92,16.92,870,0
2016-06-20,20:50:00,16.92,16.92,16.91,16.91,896,0
2016-06-20,20:55:00,16.93,16.94,16.93,16.94,200,0
2016-06-20,21:00:00,16.94,16.94,16.94,16.94,100,0
2016-06-20,21:20:00,16.92,16.92,16.91,16.91,300,0
2016-06-20,21:25:00,16.922,16.93,16.922,16.93,273,0
2016-06-20,21:30:00,16.93,16.93,16.91,16.91,400,0
2016-06-20,21:35:00,16.92,16.92,16.9006,16.9006,500,0
2016-06-20,21:40:00,16.94,16.94,16.94,16.94,200,0
2016-06-20,21:45:00,16.95,16.95,16.94,16.94,698,0
2016-06-20,21:50:00,16.93,16.93,16.9099,16.92,1420,0
2016-06-20,21:55:00,16.9,16.91,16.9,16.9,1800,0
2016-06-20,22:00:00,16.91,16.91,16.87,16.87,4112,0
2016-06-21,15:35:00,16.97,16.97,16.8367,16.97,1528,0
2016-06-21,15:40:00,16.92,16.92,16.92,16.92,200,0
2016-06-21,15:50:00,16.87,16.918,16.83,16.9,2525,0
2016-06-21,15:55:00,16.8201,16.86,16.78,16.78,3135,0
2016-06-21,16:00:00,16.83,16.87,16.83,16.8699,3100,0
2016-06-21,16:15:00,16.92,16.92,16.92,16.92,300,0
2016-06-21,16:20:00,16.92,16.92,16.91,16.91,200,0
2016-06-21,16:35:00,16.8901,16.8901,16.8901,16.8901,100,0
2016-06-21,16:40:00,16.9,16.9,16.86,16.86,500,0
2016-06-21,16:45:00,16.89,16.89,16.89,16.89,200,0
2016-06-21,16:55:00,16.86,16.86,16.85,16.85,325,0
2016-06-21,17:15:00,16.81,16.89,16.81,16.85,1600,0
2016-06-21,17:25:00,16.87,16.87,16.84,16.84,600,0
2016-06-21,17:30:00,16.8799,16.88,16.8799,16.88,700,0
2016-06-21,17:40:00,16.8867,16.8867,16.85,16.87,500,0
2016-06-21,17:45:00,16.86,16.86,16.86,16.86,100,0
2016-06-21,17:50:00,16.87,16.87,16.83,16.83,3200,0
2016-06-21,17:55:00,16.82,16.85,16.81,16.85,500,0
2016-06-21,18:00:00,16.85,16.85,16.85,16.85,100,0
2016-06-21,18:10:00,16.87,16.89,16.87,16.89,400,0
2016-06-21,18:15:00,16.89,16.89,16.89,16.89,100,0
2016-06-21,18:20:00,16.9,16.9,16.9,16.9,100,0
2016-06-21,18:30:00,16.9,16.9,16.86,16.86,400,0
2016-06-21,18:40:00,16.86,16.86,16.86,16.86,100,0
2016-06-21,19:00:00,16.83,16.8781,16.83,16.8781,954,0
2016-06-21,19:10:00,16.89,16.89,16.89,16.89,200,0
2016-06-21,19:25:00,16.85,16.85,16.85,16.85,200,0
2016-06-21,19:30:00,16.84,16.84,16.84,16.84,100,0
2016-06-21,19:40:00,16.84,16.85,16.83,16.85,620,0
2016-06-21,19:50:00,16.87,16.87,16.865,16.865,400,0
2016-06-21,19:55:00,16.87,16.89,16.87,16.88,500,0
2016-06-21,20:00:00,16.89,16.89,16.88,16.88,200,0
2016-06-21,20:05:00,16.85,16.85,16.85,16.85,100,0
2016-06-21,20:10:00,16.84,16.88,16.84,16.88,1580,0
2016-06-21,20:15:00,16.8765,16.8765,16.8765,16.8765,100,0
2016-06-21,20:20:00,16.88,16.89,16.88,16.88,300,0
2016-06-21,20:25:00,16.8501,16.8501,16.8501,16.8501,400,0
2016-06-21,20:30:00,16.85,16.88,16.85,16.88,200,0
2016-06-21,20:35:00,16.86,16.9,16.86,16.885,500,0
2016-06-21,20:40:00,16.9,16.959,16.89,16.959,3075,0
2016-06-21,20:45:00,16.9275,16.9499,16.9275,16.9499,1000,0
2016-06-21,20:50:00,16.95,16.9599,16.93,16.9599,850,0
2016-06-21,20:55:00,16.96,16.96,16.89,16.89,800,0
2016-06-21,21:00:00,16.9,16.9,16.8901,16.8901,400,0
2016-06-21,21:05:00,16.93,16.93,16.93,16.93,100,0
