Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-11-27,17:45:00,11.521,11.57,11.481,11.481,705,0
2015-11-27,18:05:00,11.57,11.57,11.57,11.57,100,0
2015-11-27,19:00:00,11.536,11.57,11.536,11.57,595,0
2015-11-30,15:35:00,11.57,11.58,11.57,11.58,706,0
2015-11-30,15:55:00,11.58,11.58,11.58,11.58,1112,0
2015-11-30,16:25:00,11.509,11.509,11.509,11.509,132,0
2015-11-30,16:40:00,11.57,11.57,11.57,11.57,100,0
2015-11-30,17:45:00,11.481,11.481,11.481,11.481,100,0
2015-11-30,18:05:00,11.57,11.57,11.57,11.57,100,0
2015-11-30,18:45:00,11.481,11.481,11.481,11.481,285,0
2015-11-30,19:55:00,11.58,11.58,11.58,11.58,100,0
2015-11-30,21:05:00,11.491,11.491,11.491,11.491,100,0
2015-11-30,21:30:00,11.58,11.58,11.58,11.58,100,0
2015-11-30,21:50:00,11.511,11.56,11.481,11.56,1920,0
2015-11-30,22:00:00,11.57,11.57,11.57,11.57,167,0
2015-12-01,15:35:00,11.58,11.58,11.58,11.58,100,0
2015-12-01,16:40:00,11.568,11.568,11.568,11.568,203,0
2015-12-01,17:50:00,11.56,11.56,11.56,11.56,706,0
2015-12-01,18:35:00,11.541,11.541,11.541,11.541,100,0
2015-12-02,17:25:00,11.569,11.569,11.569,11.569,1081,0
2015-12-03,17:40:00,11.531,11.531,11.531,11.531,872,0
2015-12-03,19:55:00,11.531,11.531,11.531,11.531,123,0
2015-12-03,20:00:00,11.531,11.531,11.531,11.531,360,0
2015-12-03,20:40:00,11.531,11.531,11.531,11.531,1010,0
2015-12-04,19:50:00,11.531,11.531,11.531,11.531,100,0
2015-12-04,20:05:00,11.511,11.511,11.481,11.481,303,0
2015-12-04,20:10:00,11.57,11.57,11.555,11.555,203,0
2015-12-04,20:15:00,11.531,11.531,11.531,11.531,1206,0
2015-12-04,22:00:00,11.531,11.531,11.531,11.531,203,0
2015-12-07,15:35:00,11.531,11.531,11.531,11.531,100,0
2015-12-07,16:25:00,11.531,11.531,11.531,11.531,403,0
2015-12-07,18:10:00,11.531,11.531,11.531,11.531,203,0
2015-12-07,18:35:00,11.481,11.481,11.481,11.481,178,0
2015-12-07,18:40:00,11.485,11.485,11.485,11.485,100,0
2015-12-07,18:45:00,11.57,11.57,11.57,11.57,100,0
2015-12-07,19:50:00,11.481,11.481,11.481,11.481,303,0
2015-12-07,20:10:00,11.481,11.57,11.481,11.57,303,0
2015-12-07,22:00:00,11.481,11.481,11.481,11.481,186,0
2015-12-08,15:35:00,11.481,11.481,11.481,11.481,203,0
2015-12-08,19:25:00,11.531,11.531,11.531,11.531,100,0
2015-12-09,16:35:00,11.55,11.55,11.55,11.55,100,0
2015-12-09,17:15:00,11.531,11.541,11.531,11.533,1212,0
2015-12-09,19:05:00,11.521,11.58,11.521,11.58,1388,0
2015-12-09,19:25:00,11.907,11.907,11.907,11.907,334,0
2015-12-09,20:30:00,11.531,11.759,11.531,11.759,336,0
2015-12-09,20:35:00,11.6,11.6,11.6,11.6,100,0
2015-12-09,20:40:00,11.689,11.808,11.57,11.57,706,0
2015-12-09,20:50:00,11.719,11.719,11.719,11.719,100,0
2015-12-09,21:55:00,11.857,11.857,11.857,11.857,100,0
2015-12-10,15:55:00,11.877,11.877,11.877,11.877,1212,0
2015-12-10,16:00:00,11.877,11.877,11.877,11.877,100,0
2015-12-10,16:05:00,11.877,12.105,11.877,12.105,203,0
2015-12-10,16:10:00,12.108,12.108,12.108,12.108,100,0
2015-12-10,16:15:00,12.114,12.114,12.096,12.096,353,0
2015-12-10,16:30:00,12.065,12.065,12.065,12.065,100,0
2015-12-10,16:50:00,12.036,12.036,12.036,12.036,303,0
2015-12-10,17:00:00,12.026,12.026,12.026,12.026,100,0
2015-12-10,17:05:00,11.907,11.927,11.907,11.907,2934,0
2015-12-10,17:20:00,11.996,11.996,11.996,11.996,100,0
2015-12-10,17:35:00,11.937,11.937,11.937,11.937,253,0
2015-12-10,18:20:00,11.877,11.877,11.877,11.877,303,0
2015-12-10,18:35:00,11.877,11.877,11.877,11.877,1010,0
2015-12-10,19:00:00,11.877,11.877,11.877,11.877,100,0
2015-12-10,19:05:00,11.89,11.89,11.89,11.89,303,0
2015-12-10,19:45:00,11.857,11.857,11.857,11.857,100,0
2015-12-10,19:50:00,11.87,11.897,11.87,11.887,506,0
2015-12-10,20:05:00,11.94,11.94,11.94,11.94,1010,0
2015-12-10,21:10:00,11.877,11.877,11.877,11.877,1818,0
2015-12-10,21:35:00,11.877,11.877,11.877,11.877,1415,0
2015-12-10,22:00:00,11.927,11.927,11.857,11.857,1107,0
2015-12-11,15:35:00,11.857,11.857,11.857,11.857,217,0
2015-12-11,15:40:00,11.867,11.867,11.867,11.867,100,0
2015-12-11,16:10:00,11.947,11.957,11.947,11.957,606,0
2015-12-11,17:50:00,11.877,11.877,11.877,11.877,203,0
2015-12-11,18:10:00,11.857,11.862,11.857,11.862,841,0
2015-12-11,19:10:00,11.889,11.889,11.889,11.889,506,0
2015-12-11,19:30:00,11.877,11.877,11.877,11.877,2021,0
2015-12-11,20:25:00,11.877,11.877,11.857,11.857,416,0
2015-12-11,20:30:00,11.867,11.867,11.867,11.867,1920,0
2015-12-11,20:50:00,11.867,11.867,11.867,11.867,506,0
2015-12-11,20:55:00,11.857,11.857,11.857,11.857,216,0
2015-12-11,21:55:00,11.857,11.857,11.857,11.857,353,0
2015-12-11,22:00:00,11.854,11.854,11.828,11.837,466,0
2015-12-14,15:50:00,11.917,11.917,11.828,11.887,4748,0
2015-12-14,15:55:00,11.837,11.837,11.837,11.837,100,0
2015-12-14,16:00:00,11.837,11.837,11.828,11.828,203,0
2015-12-14,16:05:00,11.828,11.828,11.828,11.828,100,0
2015-12-14,17:55:00,11.808,11.808,11.808,11.808,108,0
2015-12-14,18:00:00,11.798,11.798,11.798,11.798,100,0
2015-12-14,18:10:00,11.778,11.788,11.778,11.788,1028,0
2015-12-14,18:45:00,11.798,11.798,11.798,11.798,506,0
2015-12-14,19:00:00,11.798,11.798,11.798,11.798,100,0
2015-12-14,19:15:00,11.828,11.828,11.828,11.828,100,0
2015-12-14,20:55:00,11.798,11.798,11.798,11.798,106,0
2015-12-15,15:35:00,11.828,11.828,11.828,11.828,100,0
2015-12-15,15:40:00,11.788,11.788,11.788,11.788,100,0
2015-12-15,16:35:00,11.867,11.867,11.867,11.867,100,0
2015-12-15,20:30:00,11.778,11.778,11.778,11.778,100,0
2015-12-15,20:35:00,11.808,11.808,11.808,11.808,1010,0
2015-12-15,22:00:00,11.778,11.778,11.768,11.768,303,0
2015-12-16,15:55:00,11.818,11.828,11.768,11.828,1415,0
2015-12-16,18:45:00,11.778,11.778,11.778,11.778,506,0
2015-12-17,15:35:00,11.768,11.778,11.768,11.778,203,0
2015-12-17,17:50:00,11.754,11.768,11.754,11.767,2121,0
2015-12-17,20:30:00,11.739,11.739,11.739,11.739,100,0
2015-12-17,21:35:00,11.729,11.729,11.729,11.729,8983,0
2015-12-17,21:45:00,11.739,11.768,11.739,11.768,1617,0
2015-12-18,15:35:00,11.729,11.749,11.729,11.729,1920,0
2015-12-18,16:50:00,11.749,11.847,11.749,11.847,506,0
2015-12-18,17:00:00,11.729,11.729,11.729,11.729,100,0
2015-12-18,17:50:00,11.798,11.798,11.798,11.798,100,0
2015-12-18,18:55:00,11.719,11.719,11.719,11.719,100,0
2015-12-18,19:00:00,11.808,11.808,11.808,11.808,100,0
2015-12-18,19:45:00,11.729,11.729,11.729,11.729,100,0
2015-12-18,19:50:00,11.798,11.798,11.798,11.798,100,0
2015-12-18,20:30:00,11.67,11.798,11.67,11.749,706,0
2015-12-18,20:35:00,11.798,11.798,11.749,11.749,706,0
2015-12-18,20:50:00,11.788,11.788,11.788,11.788,100,0
2015-12-21,15:35:00,11.788,11.788,11.788,11.788,100,0
2015-12-21,16:45:00,11.749,11.749,11.749,11.749,100,0
2015-12-21,17:35:00,11.818,11.818,11.818,11.818,100,0
2015-12-21,18:05:00,11.808,11.808,11.808,11.808,1010,0
2015-12-21,19:15:00,11.788,11.788,11.788,11.788,100,0
2015-12-21,19:45:00,11.802,11.802,11.802,11.802,1515,0
2015-12-21,19:55:00,11.802,11.802,11.788,11.788,606,0
2015-12-21,20:35:00,11.739,11.739,11.739,11.739,100,0
2015-12-21,20:45:00,11.778,11.847,11.778,11.847,203,0
2015-12-21,22:00:00,11.729,11.798,11.729,11.778,303,0
2015-12-22,15:50:00,11.857,11.857,11.63,11.729,1779,0
2015-12-22,16:05:00,11.734,11.734,11.734,11.734,100,0
2015-12-22,16:35:00,11.778,11.778,11.778,11.778,100,0
2015-12-22,20:00:00,11.729,11.729,11.729,11.729,100,0
2015-12-22,20:05:00,11.798,11.798,11.798,11.798,100,0
2015-12-23,16:20:00,11.818,11.818,11.818,11.818,100,0
2015-12-23,20:40:00,11.907,11.907,11.907,11.907,100,0
2015-12-24,15:35:00,11.897,11.897,11.897,11.897,303,0
2015-12-24,17:15:00,11.926,11.926,11.878,11.878,3031,0
2015-12-24,17:55:00,11.907,11.907,11.907,11.907,102,0
2015-12-24,18:10:00,11.828,11.828,11.828,11.828,403,0
2015-12-24,18:15:00,11.828,11.877,11.828,11.877,506,0
2015-12-24,18:20:00,11.877,11.877,11.877,11.877,100,0
2015-12-24,18:30:00,11.877,11.877,11.877,11.877,303,0
2015-12-24,19:00:00,11.857,11.857,11.828,11.857,909,0
2015-12-28,15:35:00,11.887,11.927,11.887,11.927,455,0
2015-12-28,16:30:00,11.887,11.897,11.887,11.887,504,0
2015-12-28,16:35:00,11.897,11.897,11.887,11.887,202,0
2015-12-28,16:50:00,11.887,11.887,11.887,11.887,325,0
2015-12-28,17:30:00,11.907,11.907,11.907,11.907,100,0
2015-12-28,21:00:00,11.857,11.857,11.857,11.857,1009,0
2015-12-28,21:10:00,11.857,11.857,11.857,11.857,202,0
2015-12-29,15:50:00,11.957,11.957,11.917,11.947,302,0
2015-12-29,20:00:00,11.867,11.867,11.867,11.867,1006,0
2015-12-29,20:50:00,11.905,11.905,11.905,11.905,302,0
2015-12-30,15:55:00,11.967,11.967,11.967,11.967,100,0
2015-12-30,21:35:00,11.866,11.947,11.857,11.947,1006,0
2015-12-30,21:40:00,11.907,11.957,11.907,11.957,302,0
2015-12-30,21:45:00,11.887,11.947,11.887,11.947,202,0
2015-12-30,22:00:00,11.887,11.907,11.887,11.907,202,0
2015-12-31,15:35:00,11.887,11.937,11.887,11.937,202,0
2015-12-31,16:05:00,11.875,11.875,11.875,11.875,906,0
2015-12-31,16:10:00,11.937,11.937,11.937,11.937,100,0
2015-12-31,19:45:00,11.937,11.937,11.937,11.937,100,0
2015-12-31,20:55:00,11.947,11.947,11.947,11.947,100,0
2015-12-31,21:30:00,11.932,11.947,11.932,11.947,394,0
2015-12-31,21:40:00,11.887,11.917,11.887,11.917,202,0
2015-12-31,22:00:00,11.917,11.917,11.877,11.917,371,0
2016-01-04,16:30:00,11.967,11.967,11.936,11.936,1612,0
2016-01-04,18:40:00,11.922,11.967,11.922,11.967,1108,0
2016-01-04,20:45:00,11.947,11.947,11.937,11.937,202,0
2016-01-04,21:30:00,11.947,11.947,11.947,11.947,100,0
2016-01-04,21:40:00,11.947,11.947,11.937,11.937,402,0
2016-01-04,21:45:00,11.947,11.947,11.947,11.947,100,0
2016-01-04,21:50:00,11.947,11.947,11.947,11.947,100,0
2016-01-04,22:00:00,11.917,11.947,11.917,11.947,1115,0
2016-01-05,17:20:00,11.837,11.837,11.837,11.837,100,0
2016-01-05,18:55:00,11.937,11.937,11.937,11.937,100,0
2016-01-05,19:40:00,11.867,11.867,11.867,11.867,1006,0
2016-01-05,19:50:00,11.867,11.867,11.867,11.867,100,0
2016-01-05,20:05:00,11.847,11.867,11.847,11.867,1444,0
2016-01-05,20:10:00,11.867,11.867,11.855,11.855,302,0
2016-01-05,20:30:00,11.957,11.957,11.957,11.957,100,0
2016-01-05,20:40:00,11.918,11.918,11.9,11.9,604,0
2016-01-05,21:25:00,11.907,11.907,11.907,11.907,402,0
2016-01-05,22:00:00,11.877,11.877,11.877,11.877,100,0
2016-01-06,15:35:00,11.818,11.818,11.818,11.818,202,0
2016-01-06,16:35:00,11.907,11.907,11.907,11.907,100,0
2016-01-06,20:40:00,11.872,11.872,11.872,11.872,315,0
