Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-22,15:35:00,33.89,34.06,33.89,34,12658,0
2016-06-22,15:40:00,34,34.01,33.91,33.92,23077,0
2016-06-22,15:45:00,33.91,34,33.87,34,48754,0
2016-06-22,15:50:00,34,34.09,33.95,34.08,40429,0
2016-06-22,15:55:00,34.09,34.17,34.09,34.155,20345,0
2016-06-22,16:00:00,34.16,34.22,34.155,34.155,27722,0
2016-06-22,16:05:00,34.16,34.2,34.11,34.135,48513,0
2016-06-22,16:10:00,34.14,34.16,34.1,34.15,25485,0
2016-06-22,16:15:00,34.145,34.15,34.08,34.13,104931,0
2016-06-22,16:20:00,34.13,34.155,34.1,34.11,141405,0
2016-06-22,16:25:00,34.11,34.145,34.11,34.12,13206,0
2016-06-22,16:30:00,34.13,34.2,34.13,34.185,27249,0
2016-06-22,16:35:00,34.18,34.37,34.17,34.34,51326,0
2016-06-22,16:40:00,34.35,34.39,34.345,34.345,56173,0
2016-06-22,16:45:00,34.35,34.42,34.35,34.39,88108,0
2016-06-22,16:50:00,34.39,34.44,34.37,34.44,43093,0
2016-06-22,16:55:00,34.44,34.54,34.44,34.525,168943,0
2016-06-22,17:00:00,34.52,34.53,34.49,34.49,13208,0
2016-06-22,17:05:00,34.49,34.5,34.46,34.46,57846,0
2016-06-22,17:10:00,34.46,34.48,34.43,34.48,30618,0
2016-06-22,17:15:00,34.475,34.52,34.43,34.44,29739,0
2016-06-22,17:20:00,34.43,34.5,34.43,34.48,24225,0
2016-06-22,17:25:00,34.48,34.5,34.45,34.49,199527,0
2016-06-22,17:30:00,34.48,34.52,34.47,34.5,21732,0
2016-06-22,17:35:00,34.49,34.49,34.35,34.36,48029,0
2016-06-22,17:40:00,34.36,34.46,34.36,34.44,9978,0
2016-06-22,17:45:00,34.441,34.45,34.38,34.43,23222,0
2016-06-22,17:50:00,34.44,34.45,34.405,34.42,15702,0
2016-06-22,17:55:00,34.42,34.45,34.41,34.45,15988,0
2016-06-22,18:00:00,34.44,34.46,34.42,34.455,23308,0
2016-06-22,18:05:00,34.45,34.47,34.44,34.45,29616,0
2016-06-22,18:10:00,34.455,34.46,34.4,34.41,23624,0
2016-06-22,18:15:00,34.42,34.45,34.415,34.445,134156,0
2016-06-22,18:20:00,34.44,34.48,34.43,34.45,11282,0
2016-06-22,18:25:00,34.44,34.45,34.34,34.34,20968,0
2016-06-22,18:30:00,34.34,34.35,34.305,34.31,15249,0
2016-06-22,18:35:00,34.31,34.32,34.28,34.29,16920,0
2016-06-22,18:40:00,34.28,34.29,34.24,34.25,30024,0
2016-06-22,18:45:00,34.24,34.26,34.22,34.22,13213,0
2016-06-22,18:50:00,34.21,34.23,34.19,34.21,64135,0
2016-06-22,18:55:00,34.215,34.22,34.19,34.21,16747,0
2016-06-22,19:00:00,34.19,34.2,34.13,34.14,56269,0
2016-06-22,19:05:00,34.14,34.21,34.11,34.19,36979,0
2016-06-22,19:10:00,34.18,34.19,34.07,34.1,24575,0
2016-06-22,19:15:00,34.09,34.13,34.08,34.091,25068,0
2016-06-22,19:20:00,34.09,34.1,34.0542,34.06,62822,0
2016-06-22,19:25:00,34.07,34.11,34.05,34.06,9963,0
2016-06-22,19:30:00,34.06,34.12,34.06,34.12,13707,0
2016-06-22,19:35:00,34.1201,34.13,34.1,34.1,17920,0
2016-06-22,19:40:00,34.1,34.11,34.09,34.1,17445,0
2016-06-22,19:45:00,34.105,34.11,34.095,34.1,30375,0
2016-06-22,19:50:00,34.1,34.16,34.095,34.16,72451,0
2016-06-22,19:55:00,34.16,34.19,34.14,34.14,28181,0
2016-06-22,20:00:00,34.15,34.16,34.13,34.14,19085,0
2016-06-22,20:05:00,34.135,34.16,34.12,34.14,41512,0
2016-06-22,20:10:00,34.1401,34.17,34.14,34.14,20149,0
2016-06-22,20:15:00,34.14,34.16,34.14,34.155,7400,0
2016-06-22,20:20:00,34.155,34.16,34.12,34.14,28213,0
2016-06-22,20:25:00,34.13,34.14,34.09,34.1,15903,0
2016-06-22,20:30:00,34.1,34.11,34.06,34.08,29036,0
2016-06-22,20:35:00,34.08,34.11,34.07,34.09,21985,0
2016-06-22,20:40:00,34.08,34.1,34.06,34.0885,20915,0
2016-06-22,20:45:00,34.08,34.09,34.07,34.08,12488,0
2016-06-22,20:50:00,34.09,34.09,34.06,34.07,50014,0
2016-06-22,20:55:00,34.07,34.1,34.07,34.1,22319,0
2016-06-22,21:00:00,34.09,34.12,34.08,34.11,30724,0
2016-06-22,21:05:00,34.11,34.16,34.1,34.14,26231,0
2016-06-22,21:10:00,34.135,34.14,34.07,34.07,41208,0
2016-06-22,21:15:00,34.075,34.12,34.075,34.09,100516,0
2016-06-22,21:20:00,34.095,34.11,34.085,34.085,27936,0
2016-06-22,21:25:00,34.085,34.1,34.075,34.1,17920,0
2016-06-22,21:30:00,34.1,34.11,34.0617,34.0725,46869,0
2016-06-22,21:35:00,34.08,34.09,34.06,34.065,46926,0
2016-06-22,21:40:00,34.065,34.07,34.04,34.055,103963,0
2016-06-22,21:45:00,34.06,34.11,34.04,34.1,223385,0
2016-06-22,21:50:00,34.1,34.12,34.0842,34.1,51526,0
2016-06-22,21:55:00,34.1,34.16,34.1,34.16,151435,0
2016-06-22,22:00:00,34.16,34.17,34.08,34.11,207726,0
2016-06-23,15:35:00,34.42,34.54,34.17,34.51,23392,0
2016-06-23,15:40:00,34.531,34.61,34.51,34.59,24443,0
2016-06-23,15:45:00,34.59,34.64,34.57,34.58,28508,0
2016-06-23,15:50:00,34.6,34.6,34.46,34.48,140894,0
2016-06-23,15:55:00,34.48,34.56,34.43,34.55,160719,0
2016-06-23,16:00:00,34.54,34.715,34.53,34.715,71474,0
2016-06-23,16:05:00,34.715,34.85,34.67,34.85,157452,0
2016-06-23,16:10:00,34.85,34.91,34.8,34.84,103689,0
2016-06-23,16:15:00,34.85,34.94,34.84,34.92,33547,0
2016-06-23,16:20:00,34.92,35.14,34.875,34.99,150257,0
2016-06-23,16:25:00,34.989,35.05,34.985,35.01,43511,0
2016-06-23,16:30:00,35.015,35.32,35.01,35.12,165662,0
2016-06-23,16:35:00,35.12,35.1311,34.97,35.05,95390,0
2016-06-23,16:40:00,35.05,35.09,34.99,35.065,37199,0
2016-06-23,16:45:00,35.07,35.19,35.065,35.17,45618,0
2016-06-23,16:50:00,35.18,35.19,35.11,35.12,36812,0
2016-06-23,16:55:00,35.12,35.15,35.115,35.13,30065,0
2016-06-23,17:00:00,35.13,35.21,35.12,35.19,60180,0
2016-06-23,17:05:00,35.2,35.22,35.175,35.19,43473,0
2016-06-23,17:10:00,35.2,35.24,35.175,35.2,49885,0
2016-06-23,17:15:00,35.2,35.29,35.195,35.28,39427,0
2016-06-23,17:20:00,35.29,35.3,35.22,35.22,50484,0
2016-06-23,17:25:00,35.22,35.22,35.16,35.1901,33551,0
2016-06-23,17:30:00,35.19,35.22,35.17,35.19,32809,0
2016-06-23,17:35:00,35.2,35.25,35.19,35.245,68132,0
2016-06-23,17:40:00,35.245,35.26,35.17,35.17,50416,0
2016-06-23,17:45:00,35.18,35.27,35.18,35.23,80745,0
2016-06-23,17:50:00,35.235,35.25,35.21,35.245,27997,0
2016-06-23,17:55:00,35.245,35.28,35.18,35.185,69723,0
2016-06-23,18:00:00,35.19,35.22,35.19,35.2125,16819,0
2016-06-23,18:05:00,35.22,35.275,35.22,35.27,36658,0
2016-06-23,18:10:00,35.26,35.27,35.24,35.25,60797,0
2016-06-23,18:15:00,35.25,35.26,35.2425,35.25,21512,0
2016-06-23,18:20:00,35.26,35.31,35.245,35.31,30545,0
2016-06-23,18:25:00,35.31,35.33,35.25,35.255,34671,0
2016-06-23,18:30:00,35.26,35.28,35.24,35.27,21999,0
2016-06-23,18:35:00,35.27,35.3,35.245,35.293,22509,0
2016-06-23,18:40:00,35.295,35.36,35.29,35.33,38440,0
2016-06-23,18:45:00,35.33,35.36,35.31,35.34,25888,0
2016-06-23,18:50:00,35.33,35.34,35.29,35.3132,134508,0
2016-06-23,18:55:00,35.31,35.33,35.29,35.33,33199,0
2016-06-23,19:00:00,35.3273,35.35,35.325,35.345,14113,0
2016-06-23,19:05:00,35.35,35.36,35.33,35.355,35819,0
2016-06-23,19:10:00,35.34,35.35,35.31,35.32,15108,0
2016-06-23,19:15:00,35.31,35.38,35.31,35.35,49130,0
2016-06-23,19:20:00,35.35,35.36,35.32,35.36,16440,0
2016-06-23,19:25:00,35.35,35.36,35.32,35.325,15753,0
