Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-05-25,15:35:00,0.56,0.5699,0.56,0.5699,925,0
2016-05-25,15:50:00,0.5699,0.581,0.5699,0.581,13104,0
2016-05-25,16:00:00,0.59,0.59,0.57,0.57,2000,0
2016-05-25,16:25:00,0.5986,0.5986,0.5985,0.5985,1100,0
2016-05-25,16:35:00,0.6029,0.6029,0.6029,0.6029,1000,0
2016-05-25,16:50:00,0.6078,0.6078,0.6078,0.6078,151,0
2016-05-25,16:55:00,0.5918,0.6059,0.59,0.6059,1200,0
2016-05-25,17:00:00,0.6059,0.6059,0.6059,0.6059,100,0
2016-05-25,17:10:00,0.5901,0.606,0.59,0.59,2200,0
2016-05-25,17:20:00,0.605,0.605,0.59,0.59,600,0
2016-05-25,17:25:00,0.5851,0.6057,0.5801,0.5895,5700,0
2016-05-25,17:35:00,0.5895,0.5895,0.5895,0.5895,600,0
2016-05-25,17:50:00,0.5917,0.6055,0.5917,0.6055,1100,0
2016-05-25,18:20:00,0.6079,0.6079,0.5895,0.5895,2300,0
2016-05-25,18:35:00,0.5954,0.5979,0.5954,0.5979,1555,0
2016-05-25,18:40:00,0.5895,0.5895,0.5895,0.5895,300,0
2016-05-25,18:45:00,0.6,0.6,0.6,0.6,100,0
2016-05-25,19:00:00,0.6,0.6,0.6,0.6,200,0
2016-05-25,19:15:00,0.5999,0.5999,0.5999,0.5999,100,0
2016-05-25,19:20:00,0.6,0.6,0.6,0.6,100,0
2016-05-25,19:25:00,0.57,0.57,0.57,0.57,5000,0
2016-05-25,19:30:00,0.6,0.6,0.6,0.6,100,0
2016-05-25,19:35:00,0.57,0.57,0.57,0.57,4200,0
2016-05-25,19:40:00,0.6,0.6,0.6,0.6,100,0
2016-05-25,19:45:00,0.6,0.6,0.57,0.57,2100,0
2016-05-25,19:50:00,0.5725,0.5725,0.5725,0.5725,100,0
2016-05-25,20:05:00,0.59,0.59,0.5899,0.5899,200,0
2016-05-25,20:25:00,0.5699,0.5699,0.5699,0.5699,150,0
2016-05-25,20:35:00,0.5899,0.5899,0.5899,0.5899,100,0
2016-05-25,20:55:00,0.59,0.59,0.59,0.59,100,0
2016-05-25,21:00:00,0.58,0.58,0.5701,0.58,1600,0
2016-05-25,21:05:00,0.58,0.58,0.58,0.58,1000,0
2016-05-25,21:15:00,0.588,0.588,0.5879,0.5879,200,0
2016-05-25,21:25:00,0.57,0.5701,0.57,0.57,4800,0
2016-05-25,21:30:00,0.57,0.57,0.57,0.57,800,0
2016-05-25,21:35:00,0.57,0.57,0.57,0.57,1600,0
2016-05-25,21:40:00,0.57,0.57,0.5699,0.57,1680,0
2016-05-25,21:45:00,0.57,0.57,0.57,0.57,500,0
2016-05-25,21:50:00,0.57,0.57,0.5699,0.57,2100,0
2016-05-25,22:00:00,0.588,0.588,0.5644,0.58,700,0
2016-05-26,16:20:00,0.58,0.58,0.58,0.58,433,0
2016-05-26,16:25:00,0.58,0.58,0.58,0.58,100,0
2016-05-26,16:50:00,0.58,0.58,0.58,0.58,100,0
2016-05-26,16:55:00,0.5661,0.5661,0.5661,0.5661,400,0
2016-05-26,17:15:00,0.5799,0.5799,0.5799,0.5799,169,0
2016-05-26,17:35:00,0.5799,0.5799,0.5799,0.5799,100,0
2016-05-26,17:40:00,0.5799,0.5799,0.578,0.578,300,0
2016-05-26,18:00:00,0.5704,0.5705,0.5704,0.5705,400,0
2016-05-26,18:25:00,0.5705,0.5772,0.5705,0.5707,11000,0
2016-05-26,18:40:00,0.5708,0.5708,0.5707,0.5707,1000,0
2016-05-26,18:50:00,0.5707,0.5707,0.5697,0.5697,3313,0
2016-05-26,19:00:00,0.5705,0.5705,0.5705,0.5705,900,0
2016-05-26,19:20:00,0.5704,0.5704,0.5697,0.5697,3200,0
2016-05-26,19:40:00,0.5697,0.5697,0.5697,0.5697,100,0
