Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-22,15:35:00,18,18.1,17.95,17.96,4372,0
2016-06-22,15:40:00,17.96,17.96,17.53,17.68,5438,0
2016-06-22,15:45:00,17.72,17.76,17.6,17.62,6895,0
2016-06-22,15:50:00,17.62,17.82,17.5601,17.71,30420,0
2016-06-22,15:55:00,17.8,17.91,17.7975,17.86,5595,0
2016-06-22,16:00:00,17.89,17.89,17.69,17.83,1887,0
2016-06-22,16:05:00,17.7904,17.7904,17.56,17.56,3740,0
2016-06-22,16:10:00,17.61,17.66,17.56,17.66,5929,0
2016-06-22,16:15:00,17.71,17.71,17.6,17.61,2139,0
2016-06-22,16:20:00,17.7,17.8,17.65,17.69,8913,0
2016-06-22,16:25:00,17.66,17.66,17.57,17.65,2195,0
2016-06-22,16:30:00,17.65,17.67,17.65,17.67,1650,0
2016-06-22,16:35:00,17.73,17.99,17.72,17.95,13703,0
2016-06-22,16:40:00,18.01,18.15,17.96,17.96,15404,0
2016-06-22,16:45:00,18.07,18.18,17.99,18.18,10108,0
2016-06-22,16:50:00,18.18,18.235,18,18.2,10282,0
2016-06-22,16:55:00,18.23,18.255,18.19,18.24,4060,0
2016-06-22,17:00:00,18.22,18.22,17.985,17.985,3200,0
2016-06-22,17:05:00,17.95,18.0975,17.9375,18.0975,600,0
2016-06-22,17:10:00,18.11,18.12,18.02,18.07,6700,0
2016-06-22,17:15:00,18.09,18.13,17.93,17.93,9200,0
2016-06-22,17:20:00,17.87,18.05,17.87,18.05,1100,0
2016-06-22,17:25:00,18.05,18.08,18.04,18.04,700,0
2016-06-22,17:30:00,18,18.01,18,18.01,1800,0
2016-06-22,17:35:00,17.98,17.98,17.79,17.79,10830,0
2016-06-22,17:40:00,17.81,17.9,17.81,17.85,900,0
2016-06-22,17:45:00,17.81,17.87,17.8,17.87,1800,0
2016-06-22,17:50:00,17.86,17.86,17.86,17.86,100,0
2016-06-22,17:55:00,17.83,17.84,17.825,17.825,600,0
2016-06-22,18:00:00,17.79,17.9,17.79,17.9,1300,0
2016-06-22,18:05:00,17.9,17.9,17.77,17.78,1400,0
2016-06-22,18:10:00,17.77,17.77,17.65,17.65,9011,0
2016-06-22,18:15:00,17.66,17.69,17.66,17.69,889,0
2016-06-22,18:20:00,17.7414,17.7414,17.69,17.69,1700,0
2016-06-22,18:25:00,17.66,17.7,17.65,17.65,3300,0
2016-06-22,18:30:00,17.65,17.735,17.65,17.735,3848,0
2016-06-22,18:35:00,17.75,17.75,17.73,17.75,1200,0
