Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-10,15:35:00,0.62,0.62,0.6,0.6199,19487,0
2016-06-10,15:40:00,0.59,0.61,0.58,0.6,24650,0
2016-06-10,15:45:00,0.6,0.6099,0.6,0.6,49382,0
2016-06-10,15:50:00,0.6063,0.6099,0.6,0.6099,4400,0
2016-06-10,15:55:00,0.6,0.6099,0.6,0.6099,13400,0
2016-06-10,16:00:00,0.6019,0.6098,0.6019,0.6067,4000,0
2016-06-10,16:05:00,0.6096,0.6096,0.6096,0.6096,150,0
2016-06-10,16:10:00,0.6,0.6,0.6,0.6,500,0
2016-06-10,16:15:00,0.6,0.6,0.6,0.6,9820,0
2016-06-10,16:20:00,0.6,0.6095,0.6,0.601,5300,0
2016-06-10,16:25:00,0.6095,0.6095,0.6,0.6,6500,0
2016-06-10,16:30:00,0.6095,0.6095,0.6033,0.6033,600,0
2016-06-10,16:45:00,0.6,0.6098,0.6,0.6098,8900,0
2016-06-10,16:50:00,0.6049,0.62,0.6049,0.62,14440,0
2016-06-10,16:55:00,0.6199,0.62,0.6,0.62,9800,0
2016-06-10,17:00:00,0.6001,0.6001,0.6,0.6,1500,0
2016-06-10,17:05:00,0.6182,0.6182,0.6182,0.6182,100,0
2016-06-10,17:25:00,0.61,0.61,0.6,0.6,1176,0
2016-06-10,17:30:00,0.605,0.6091,0.605,0.6091,651,0
2016-06-10,17:35:00,0.61,0.61,0.6,0.6,1800,0
2016-06-10,17:40:00,0.616,0.616,0.6118,0.6118,400,0
2016-06-10,17:45:00,0.6181,0.6181,0.601,0.601,356,0
2016-06-10,18:00:00,0.6038,0.6038,0.6038,0.6038,500,0
2016-06-10,18:05:00,0.6172,0.6172,0.6062,0.6062,1600,0
2016-06-10,18:10:00,0.6054,0.6054,0.6054,0.6054,2000,0
2016-06-10,18:20:00,0.6181,0.6181,0.6181,0.6181,1000,0
2016-06-10,18:50:00,0.6172,0.6172,0.6096,0.61,1250,0
2016-06-10,18:55:00,0.61,0.61,0.61,0.61,2000,0
2016-06-10,19:05:00,0.6105,0.6105,0.6,0.6001,23400,0
2016-06-10,19:20:00,0.6,0.6,0.6,0.6,1400,0
2016-06-10,19:25:00,0.6149,0.6149,0.6149,0.6149,102,0
2016-06-10,19:30:00,0.61,0.61,0.6,0.6,2100,0
2016-06-10,19:55:00,0.6001,0.6001,0.6001,0.6001,600,0
2016-06-10,20:10:00,0.6144,0.6144,0.6144,0.6144,100,0
2016-06-10,20:15:00,0.6,0.6,0.6,0.6,2100,0
2016-06-10,20:20:00,0.614,0.614,0.614,0.614,100,0
2016-06-10,20:25:00,0.6006,0.6044,0.6,0.6044,12500,0
2016-06-10,20:30:00,0.6,0.6,0.6,0.6,8200,0
2016-06-10,20:40:00,0.6,0.6,0.6,0.6,5400,0
2016-06-10,20:45:00,0.6,0.6,0.6,0.6,1600,0
2016-06-10,20:50:00,0.6,0.6,0.6,0.6,700,0
2016-06-10,21:05:00,0.6,0.6002,0.6,0.6002,6198,0
2016-06-10,21:10:00,0.6076,0.6091,0.6,0.6,7650,0
2016-06-10,21:15:00,0.6091,0.6091,0.6091,0.6091,10000,0
2016-06-10,21:20:00,0.6,0.6028,0.6,0.6,3000,0
2016-06-10,21:25:00,0.6,0.6,0.6,0.6,16600,0
2016-06-10,21:40:00,0.6089,0.6089,0.6089,0.6089,4000,0
2016-06-10,21:55:00,0.605,0.605,0.605,0.605,10000,0
2016-06-10,22:00:00,0.59,0.603,0.59,0.6,10080,0
2016-06-13,15:35:00,0.6,0.6,0.6,0.6,11945,0
2016-06-13,15:40:00,0.61,0.61,0.5901,0.5901,6800,0
2016-06-13,15:45:00,0.59,0.5999,0.59,0.5999,8100,0
2016-06-13,15:55:00,0.5999,0.5999,0.5999,0.5999,150,0
2016-06-13,16:05:00,0.59,0.5998,0.59,0.5998,2000,0
2016-06-13,16:10:00,0.59,0.5995,0.59,0.5995,1500,0
2016-06-13,16:20:00,0.59,0.59,0.585,0.585,9794,0
2016-06-13,16:35:00,0.585,0.585,0.585,0.585,5000,0
2016-06-13,16:40:00,0.5994,0.5994,0.5983,0.5983,550,0
2016-06-13,16:45:00,0.5997,0.5997,0.5997,0.5997,100,0
2016-06-13,16:50:00,0.6097,0.6097,0.6097,0.6097,100,0
2016-06-13,17:00:00,0.585,0.6,0.585,0.5949,10300,0
2016-06-13,17:10:00,0.6,0.6,0.6,0.6,1000,0
2016-06-13,17:25:00,0.585,0.595,0.585,0.595,3200,0
2016-06-13,17:45:00,0.595,0.595,0.595,0.595,200,0
2016-06-13,17:50:00,0.595,0.595,0.595,0.595,3971,0
2016-06-13,17:55:00,0.6,0.6,0.6,0.6,22700,0
2016-06-13,18:00:00,0.6048,0.6049,0.6048,0.6049,200,0
2016-06-13,18:05:00,0.6024,0.6024,0.6,0.6,7500,0
2016-06-13,18:10:00,0.6,0.6,0.6,0.6,2700,0
2016-06-13,18:30:00,0.6,0.6,0.6,0.6,19200,0
2016-06-13,18:40:00,0.6,0.6,0.6,0.6,5800,0
2016-06-13,18:45:00,0.6,0.6,0.6,0.6,17100,0
2016-06-13,18:50:00,0.6,0.6021,0.6,0.6021,200,0
2016-06-13,18:55:00,0.6,0.6,0.6,0.6,3100,0
2016-06-13,19:05:00,0.602,0.602,0.602,0.602,1500,0
2016-06-13,19:20:00,0.6001,0.6001,0.6001,0.6001,500,0
2016-06-13,19:25:00,0.602,0.602,0.6,0.6,850,0
2016-06-13,19:30:00,0.6001,0.6001,0.6001,0.6001,2000,0
2016-06-13,19:40:00,0.6,0.6,0.6,0.6,1500,0
2016-06-13,19:45:00,0.6,0.6,0.6,0.6,5945,0
2016-06-13,19:55:00,0.6,0.6,0.6,0.6,1700,0
2016-06-13,20:05:00,0.6,0.6018,0.6,0.6018,2100,0
2016-06-13,20:10:00,0.6,0.6,0.6,0.6,5389,0
2016-06-13,20:20:00,0.6018,0.6018,0.6018,0.6018,1000,0
2016-06-13,20:25:00,0.6,0.6,0.6,0.6,2200,0
2016-06-13,20:30:00,0.6,0.6,0.6,0.6,2000,0
2016-06-13,20:40:00,0.6,0.6,0.6,0.6,3100,0
2016-06-13,20:50:00,0.6,0.6,0.6,0.6,30898,0
2016-06-13,20:55:00,0.6,0.6,0.6,0.6,7850,0
2016-06-13,21:05:00,0.6004,0.6017,0.6,0.6016,4602,0
2016-06-13,21:10:00,0.6,0.6,0.6,0.6,1427,0
2016-06-13,21:15:00,0.6001,0.6001,0.6001,0.6001,100,0
2016-06-13,21:25:00,0.6,0.6,0.6,0.6,6950,0
2016-06-13,21:30:00,0.6,0.601,0.6,0.601,750,0
2016-06-13,21:35:00,0.6,0.6,0.6,0.6,600,0
2016-06-13,21:40:00,0.6003,0.6003,0.6,0.6,1800,0
2016-06-13,21:45:00,0.6,0.6,0.6,0.6,700,0
2016-06-13,21:50:00,0.6,0.6,0.6,0.6,1310,0
2016-06-13,21:55:00,0.6,0.6001,0.6,0.6,720,0
2016-06-13,22:00:00,0.6001,0.6002,0.5851,0.6002,10643,0
2016-06-14,15:35:00,0.61,0.61,0.6003,0.6065,2471,0
2016-06-14,15:40:00,0.6003,0.6003,0.6003,0.6003,100,0
2016-06-14,15:45:00,0.6099,0.6099,0.6099,0.6099,800,0
2016-06-14,15:55:00,0.6003,0.6003,0.6,0.6,2100,0
2016-06-14,16:00:00,0.6,0.6008,0.6,0.6008,8648,0
2016-06-14,16:10:00,0.5998,0.5998,0.5998,0.5998,1500,0
2016-06-14,16:35:00,0.5938,0.5938,0.5938,0.5938,200,0
2016-06-14,16:40:00,0.5938,0.598,0.5938,0.598,600,0
2016-06-14,17:00:00,0.59,0.59,0.59,0.59,5675,0
2016-06-14,17:05:00,0.5875,0.5875,0.58,0.58,5919,0
2016-06-14,17:10:00,0.5926,0.5986,0.5875,0.5986,725,0
2016-06-14,17:15:00,0.598,0.598,0.598,0.598,1000,0
2016-06-14,17:30:00,0.5899,0.5899,0.5899,0.5899,100,0
2016-06-14,17:35:00,0.5866,0.5866,0.5866,0.5866,398,0
2016-06-14,17:55:00,0.5848,0.5848,0.5761,0.5761,6750,0
2016-06-14,18:00:00,0.576,0.576,0.576,0.576,600,0
2016-06-14,18:15:00,0.575,0.5799,0.575,0.5799,2250,0
2016-06-14,18:25:00,0.5799,0.5799,0.57,0.5713,3306,0
2016-06-14,18:30:00,0.57,0.57,0.57,0.57,128,0
2016-06-14,18:35:00,0.5701,0.5701,0.57,0.57,3100,0
2016-06-14,19:15:00,0.5799,0.5799,0.5799,0.5799,1500,0
2016-06-14,19:20:00,0.57,0.57,0.57,0.57,5500,0
2016-06-14,19:35:00,0.5797,0.5797,0.5797,0.5797,1200,0
2016-06-14,19:45:00,0.57,0.5797,0.57,0.5797,300,0
2016-06-14,19:55:00,0.5796,0.5796,0.5796,0.5796,1000,0
2016-06-14,20:05:00,0.5795,0.5795,0.5795,0.5795,100,0
2016-06-14,20:10:00,0.57,0.57,0.57,0.57,900,0
2016-06-14,20:15:00,0.5795,0.5795,0.5795,0.5795,100,0
2016-06-14,20:20:00,0.57,0.57,0.57,0.57,700,0
2016-06-14,20:25:00,0.57,0.58,0.57,0.58,35503,0
2016-06-14,20:35:00,0.59,0.59,0.59,0.59,15800,0
2016-06-14,20:45:00,0.6,0.6,0.6,0.6,37840,0
2016-06-14,20:50:00,0.59,0.59,0.59,0.59,1200,0
2016-06-14,20:55:00,0.6,0.6,0.6,0.6,1500,0
2016-06-14,21:00:00,0.6,0.6,0.6,0.6,4900,0
2016-06-14,21:10:00,0.58,0.58,0.58,0.58,100,0
2016-06-14,21:25:00,0.6,0.6,0.6,0.6,4900,0
2016-06-14,21:35:00,0.6054,0.6054,0.6,0.6,643,0
2016-06-14,21:40:00,0.6054,0.6054,0.6,0.6,3820,0
2016-06-14,21:45:00,0.6017,0.602,0.58,0.602,5930,0
2016-06-14,21:55:00,0.602,0.603,0.602,0.602,2725,0
2016-06-14,22:00:00,0.602,0.602,0.602,0.602,23569,0
2016-06-15,15:35:00,0.61,0.61,0.61,0.61,2151,0
2016-06-15,15:40:00,0.62,0.62,0.62,0.62,231,0
2016-06-15,15:45:00,0.62,0.62,0.581,0.581,4300,0
2016-06-15,15:50:00,0.6086,0.6086,0.6086,0.6086,2450,0
2016-06-15,16:25:00,0.5865,0.5865,0.5865,0.5865,700,0
2016-06-15,16:30:00,0.6,0.6,0.6,0.6,236,0
2016-06-15,16:35:00,0.6,0.6,0.6,0.6,132,0
2016-06-15,16:55:00,0.6,0.6,0.6,0.6,231,0
2016-06-15,17:00:00,0.5975,0.5975,0.5975,0.5975,200,0
2016-06-15,17:05:00,0.6,0.6,0.6,0.6,100,0
2016-06-15,17:15:00,0.6,0.6005,0.582,0.6005,32000,0
2016-06-15,17:25:00,0.6005,0.6005,0.6005,0.6005,500,0
2016-06-15,17:30:00,0.6001,0.6001,0.6001,0.6001,2073,0
2016-06-15,17:50:00,0.6094,0.6094,0.6094,0.6094,1000,0
2016-06-15,17:55:00,0.6068,0.6068,0.6068,0.6068,200,0
2016-06-15,18:05:00,0.6003,0.6003,0.6003,0.6003,1190,0
2016-06-15,18:10:00,0.6003,0.6003,0.6003,0.6003,1000,0
2016-06-15,18:45:00,0.6052,0.6052,0.6052,0.6052,250,0
2016-06-15,18:50:00,0.6097,0.6097,0.6097,0.6097,200,0
2016-06-15,19:10:00,0.6004,0.6004,0.6,0.6,19300,0
2016-06-15,19:15:00,0.6079,0.6079,0.6079,0.6079,100,0
2016-06-15,19:30:00,0.6,0.6,0.6,0.6,63900,0
2016-06-15,19:35:00,0.6,0.6,0.6,0.6,65000,0
2016-06-15,19:40:00,0.6,0.6,0.6,0.6,2500,0
2016-06-15,20:10:00,0.6,0.6,0.6,0.6,277,0
2016-06-15,20:15:00,0.6,0.6,0.6,0.6,1000,0
2016-06-15,20:20:00,0.6095,0.6095,0.6095,0.6095,100,0
2016-06-15,20:30:00,0.6095,0.6095,0.6,0.6095,400,0
2016-06-15,20:40:00,0.6094,0.6094,0.6094,0.6094,2000,0
2016-06-15,20:45:00,0.6001,0.6094,0.6001,0.6094,400,0
2016-06-15,21:00:00,0.6008,0.6008,0.6008,0.6008,3000,0
2016-06-15,21:10:00,0.6014,0.6014,0.6,0.6,400,0
2016-06-15,21:15:00,0.6,0.6,0.6,0.6,600,0
2016-06-15,21:25:00,0.6,0.6,0.6,0.6,600,0
2016-06-15,21:35:00,0.6,0.6,0.6,0.6,690,0
2016-06-15,21:45:00,0.6,0.6,0.6,0.6,1600,0
2016-06-15,21:55:00,0.6,0.6001,0.6,0.6001,6570,0
2016-06-15,22:00:00,0.6,0.6,0.6,0.6,1800,0
2016-06-16,15:35:00,0.6,0.6,0.6,0.6,340,0
2016-06-16,15:40:00,0.58,0.58,0.58,0.58,490,0
2016-06-16,15:45:00,0.609,0.609,0.609,0.609,100,0
2016-06-16,15:50:00,0.609,0.609,0.609,0.609,200,0
2016-06-16,15:55:00,0.597,0.597,0.597,0.597,885,0
2016-06-16,16:00:00,0.6,0.6,0.6,0.6,2500,0
2016-06-16,16:05:00,0.5858,0.5858,0.58,0.58,6200,0
2016-06-16,16:15:00,0.596,0.596,0.596,0.596,301,0
2016-06-16,16:25:00,0.5999,0.5999,0.5999,0.5999,200,0
2016-06-16,16:40:00,0.59,0.5901,0.59,0.59,6700,0
2016-06-16,16:50:00,0.59,0.59,0.59,0.59,800,0
2016-06-16,16:55:00,0.59,0.5903,0.59,0.5903,3500,0
2016-06-16,17:00:00,0.59,0.5907,0.59,0.5907,2500,0
2016-06-16,17:10:00,0.59,0.59,0.59,0.59,14440,0
2016-06-16,17:35:00,0.59,0.59,0.59,0.59,700,0
2016-06-16,18:00:00,0.59,0.59,0.59,0.59,100,0
2016-06-16,18:15:00,0.5901,0.5901,0.5901,0.5901,540,0
2016-06-16,18:35:00,0.59,0.59,0.59,0.59,700,0
2016-06-16,18:45:00,0.59,0.59,0.59,0.59,1677,0
2016-06-16,18:50:00,0.5901,0.5901,0.5901,0.5901,100,0
2016-06-16,18:55:00,0.59,0.5902,0.59,0.59,4700,0
2016-06-16,19:00:00,0.59,0.59,0.59,0.59,100,0
2016-06-16,19:30:00,0.5988,0.5988,0.5988,0.5988,300,0
2016-06-16,19:50:00,0.601,0.601,0.601,0.601,105,0
2016-06-16,20:05:00,0.59,0.59,0.59,0.59,3000,0
2016-06-16,20:20:00,0.5901,0.5901,0.59,0.59,10848,0
2016-06-16,20:50:00,0.59,0.605,0.59,0.5901,2950,0
2016-06-16,21:15:00,0.605,0.605,0.605,0.605,100,0
2016-06-16,21:20:00,0.6025,0.6025,0.6025,0.6025,3000,0
2016-06-16,21:30:00,0.59,0.59,0.59,0.59,4200,0
2016-06-16,21:40:00,0.59,0.59,0.59,0.59,400,0
2016-06-16,21:55:00,0.59,0.59,0.59,0.59,800,0
2016-06-16,22:00:00,0.605,0.605,0.605,0.605,240,0
2016-06-17,15:35:00,0.6,0.607,0.6,0.6,3048,0
2016-06-17,15:40:00,0.61,0.61,0.61,0.61,480,0
2016-06-17,15:45:00,0.6,0.6,0.6,0.6,100,0
2016-06-17,15:55:00,0.6,0.6,0.6,0.6,114,0
2016-06-17,16:00:00,0.5999,0.6,0.5999,0.6,6906,0
2016-06-17,16:05:00,0.6001,0.6001,0.6,0.6,10900,0
2016-06-17,16:10:00,0.6,0.6,0.6,0.6,250,0
2016-06-17,16:20:00,0.6,0.6,0.6,0.6,850,0
2016-06-17,16:25:00,0.6,0.6098,0.6,0.6098,298,0
2016-06-17,16:30:00,0.6034,0.6034,0.6,0.6,24332,0
2016-06-17,16:35:00,0.6049,0.6049,0.6,0.6049,300,0
2016-06-17,16:45:00,0.6049,0.6049,0.6049,0.6049,100,0
2016-06-17,16:50:00,0.6,0.6,0.6,0.6,100,0
2016-06-17,16:55:00,0.6,0.6031,0.6,0.6,2550,0
2016-06-17,17:05:00,0.595,0.595,0.595,0.595,100,0
2016-06-17,17:15:00,0.5999,0.5999,0.595,0.595,8376,0
2016-06-17,17:20:00,0.595,0.5988,0.595,0.5988,1691,0
2016-06-17,17:40:00,0.5994,0.5994,0.59,0.59,19000,0
2016-06-17,18:00:00,0.5994,0.5994,0.5994,0.5994,100,0
2016-06-17,18:05:00,0.584,0.5998,0.584,0.5998,1500,0
2016-06-17,18:25:00,0.595,0.595,0.595,0.595,600,0
2016-06-17,18:30:00,0.5989,0.5989,0.5989,0.5989,1000,0
2016-06-17,18:55:00,0.5875,0.5875,0.585,0.585,11900,0
2016-06-17,19:00:00,0.5989,0.5989,0.5989,0.5989,918,0
2016-06-17,19:15:00,0.5919,0.5919,0.5919,0.5919,500,0
2016-06-17,19:35:00,0.585,0.585,0.585,0.585,2200,0
2016-06-17,19:45:00,0.585,0.585,0.585,0.585,500,0
2016-06-17,20:00:00,0.5899,0.5899,0.5899,0.5899,600,0
2016-06-17,20:05:00,0.5947,0.5947,0.585,0.585,3434,0
2016-06-17,20:10:00,0.585,0.585,0.58,0.58,2700,0
2016-06-17,20:30:00,0.585,0.585,0.5847,0.5847,1600,0
2016-06-17,20:35:00,0.5856,0.5942,0.585,0.585,800,0
2016-06-17,20:45:00,0.5945,0.5945,0.583,0.583,4103,0
2016-06-17,20:50:00,0.589,0.589,0.589,0.589,500,0
2016-06-17,21:00:00,0.5932,0.5932,0.5932,0.5932,100,0
2016-06-17,21:05:00,0.585,0.585,0.5823,0.5823,400,0
2016-06-17,21:20:00,0.585,0.585,0.585,0.585,1911,0
2016-06-17,21:25:00,0.585,0.585,0.585,0.585,2300,0
2016-06-17,21:35:00,0.58,0.5818,0.58,0.5818,2000,0
2016-06-17,21:45:00,0.58,0.58,0.58,0.58,600,0
2016-06-17,21:55:00,0.588,0.5943,0.58,0.58,5200,0
2016-06-17,22:00:00,0.5942,0.595,0.58,0.595,3201,0
2016-06-20,15:35:00,0.65,0.65,0.632,0.632,13025,0
2016-06-20,15:40:00,0.625,0.635,0.62,0.635,700,0
2016-06-20,15:45:00,0.62,0.65,0.62,0.63,12000,0
2016-06-20,15:50:00,0.63,0.6418,0.62,0.62,8065,0
2016-06-20,15:55:00,0.62,0.62,0.62,0.62,1100,0
2016-06-20,16:00:00,0.602,0.602,0.602,0.602,900,0
2016-06-20,16:05:00,0.618,0.618,0.6096,0.6096,2500,0
2016-06-20,16:10:00,0.63,0.63,0.63,0.63,200,0
2016-06-20,16:20:00,0.62,0.62,0.62,0.62,1000,0
