Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-16,15:35:00,33.86,33.86,33.74,33.79,900,0
2016-06-16,15:40:00,33.61,33.73,33.61,33.7,300,0
2016-06-16,15:50:00,33.65,33.8,33.64,33.72,4800,0
2016-06-16,15:55:00,33.8,33.87,33.75,33.85,3300,0
2016-06-16,16:00:00,33.8,33.8,33.75,33.78,600,0
2016-06-16,16:05:00,33.85,33.85,33.7,33.8,2003,0
2016-06-16,16:10:00,33.775,33.81,33.7501,33.7501,2600,0
2016-06-16,16:15:00,33.85,33.85,33.8,33.8,701,0
2016-06-16,16:20:00,33.78,33.78,33.78,33.78,300,0
2016-06-16,16:25:00,33.63,33.66,33.63,33.66,200,0
2016-06-16,16:35:00,33.79,33.84,33.75,33.8,2720,0
2016-06-16,16:40:00,33.8,33.82,33.75,33.7725,1384,0
2016-06-16,16:45:00,33.775,33.775,33.77,33.77,500,0
2016-06-16,16:50:00,33.78,33.8,33.78,33.8,2600,0
2016-06-16,16:55:00,33.795,33.8,33.75,33.75,1000,0
2016-06-16,17:00:00,33.68,33.68,33.68,33.68,100,0
2016-06-16,17:10:00,33.8,33.8,33.77,33.77,1800,0
2016-06-16,17:15:00,33.8,33.8,33.8,33.8,1600,0
2016-06-16,17:20:00,33.8,33.8,33.79,33.79,770,0
2016-06-16,17:25:00,33.82,33.82,33.82,33.82,200,0
2016-06-16,17:30:00,33.86,34,33.85,34,1300,0
2016-06-16,17:35:00,33.99,33.99,33.99,33.99,100,0
2016-06-16,17:40:00,34.02,34.02,34.02,34.02,100,0
2016-06-16,17:45:00,33.98,33.98,33.98,33.98,300,0
2016-06-16,17:50:00,33.93,33.93,33.92,33.93,300,0
2016-06-16,17:55:00,33.84,33.84,33.84,33.84,100,0
2016-06-16,18:00:00,33.8,33.8,33.8,33.8,100,0
2016-06-16,18:10:00,33.79,33.79,33.79,33.79,200,0
2016-06-16,18:20:00,33.83,33.83,33.83,33.83,400,0
2016-06-16,18:25:00,33.9,33.9,33.9,33.9,100,0
2016-06-16,18:30:00,33.89,33.95,33.86,33.95,800,0
2016-06-16,18:35:00,33.93,33.93,33.8,33.87,800,0
2016-06-16,18:40:00,33.92,33.95,33.92,33.95,1200,0
2016-06-16,18:45:00,34.04,34.04,34,34,1500,0
2016-06-16,18:50:00,34,34,33.94,33.965,600,0
2016-06-16,19:00:00,33.9,33.9,33.9,33.9,100,0
2016-06-16,19:05:00,33.93,34.02,33.93,34.02,1100,0
2016-06-16,19:10:00,33.98,33.98,33.97,33.97,200,0
2016-06-16,19:15:00,33.91,33.945,33.91,33.945,263,0
2016-06-16,19:20:00,33.89,33.89,33.89,33.89,100,0
2016-06-16,19:25:00,33.93,33.98,33.93,33.98,200,0
2016-06-16,19:30:00,33.97,34.03,33.97,34.03,300,0
2016-06-16,19:35:00,33.97,34.03,33.97,34.03,200,0
2016-06-16,19:40:00,33.97,33.97,33.97,33.97,100,0
2016-06-16,19:45:00,33.97,34.03,33.97,34.03,500,0
2016-06-16,19:50:00,33.98,33.98,33.97,33.97,400,0
2016-06-16,19:55:00,33.91,33.91,33.91,33.91,100,0
2016-06-16,20:00:00,33.97,33.97,33.89,33.89,200,0
2016-06-16,20:05:00,33.92,33.95,33.89,33.95,400,0
2016-06-16,20:10:00,33.95,33.97,33.95,33.97,1800,0
2016-06-16,20:15:00,34.05,34.09,34.03,34.05,1700,0
2016-06-16,20:20:00,34.06,34.06,34.06,34.06,100,0
2016-06-16,20:25:00,34.14,34.16,34.14,34.16,200,0
2016-06-16,20:30:00,34.07,34.07,34.07,34.07,100,0
2016-06-16,20:35:00,34.07,34.07,34.07,34.07,200,0
2016-06-16,20:40:00,34.07,34.08,34.07,34.08,400,0
2016-06-16,20:50:00,34.08,34.1,34.08,34.1,400,0
2016-06-16,20:55:00,34.13,34.15,34.12,34.15,500,0
2016-06-16,21:00:00,34.12,34.17,34.12,34.17,400,0
2016-06-16,21:05:00,34.17,34.17,34.12,34.12,200,0
2016-06-16,21:10:00,34.11,34.14,34.11,34.12,500,0
2016-06-16,21:20:00,34.13,34.18,33.99,34.01,4098,0
2016-06-16,21:25:00,34.04,34.05,34.03,34.03,400,0
2016-06-16,21:30:00,34.03,34.08,34.03,34.08,200,0
2016-06-16,21:35:00,34.16,34.23,34.16,34.23,400,0
2016-06-16,21:40:00,34.16,34.21,34.07,34.08,1560,0
2016-06-16,21:45:00,34.12,34.12,34.09,34.12,411,0
2016-06-16,21:50:00,34.11,34.11,34.11,34.11,100,0
2016-06-16,21:55:00,34.02,34.11,34.02,34.11,1400,0
2016-06-16,22:00:00,34.1,34.3,34.1,34.27,9010,0
2016-06-17,15:35:00,34.34,34.57,34.31,34.57,41252,0
2016-06-17,15:40:00,33.97,33.97,33.89,33.89,200,0
2016-06-17,15:50:00,34.29,34.29,34.29,34.29,100,0
2016-06-17,15:55:00,34.26,34.34,34.26,34.34,200,0
2016-06-17,16:00:00,34.26,34.29,34.25,34.28,5243,0
2016-06-17,16:05:00,34.28,34.29,34.28,34.29,300,0
2016-06-17,16:15:00,34.44,34.44,34.44,34.44,100,0
2016-06-17,16:20:00,34.42,34.42,34.42,34.42,100,0
2016-06-17,16:25:00,34.4,34.44,34.4,34.44,400,0
2016-06-17,16:30:00,34.44,34.44,34.44,34.44,200,0
2016-06-17,16:35:00,34.44,34.45,34.44,34.45,500,0
2016-06-17,16:40:00,34.35,34.44,34.35,34.44,400,0
2016-06-17,16:45:00,34.45,34.45,34.45,34.45,1100,0
2016-06-17,16:55:00,34.45,34.45,34.45,34.45,100,0
2016-06-17,17:00:00,34.4,34.46,34.4,34.46,600,0
2016-06-17,17:05:00,34.5,34.5,34.45,34.45,700,0
2016-06-17,17:10:00,34.45,34.45,34.43,34.43,200,0
2016-06-17,17:15:00,34.44,34.45,34.245,34.3,900,0
2016-06-17,17:20:00,34.075,34.075,34.075,34.075,100,0
2016-06-17,17:25:00,34.12,34.12,34.12,34.12,100,0
2016-06-17,17:30:00,34.09,34.09,34.04,34.04,300,0
2016-06-17,17:35:00,34.04,34.05,34.04,34.05,300,0
2016-06-17,17:40:00,33.87,33.88,33.87,33.88,200,0
2016-06-17,17:50:00,33.92,33.93,33.92,33.93,200,0
2016-06-17,17:55:00,34.04,34.05,34.04,34.05,300,0
2016-06-17,18:00:00,33.955,33.955,33.88,33.88,2900,0
2016-06-17,18:10:00,34.016,34.016,33.9,33.9,393,0
2016-06-17,18:20:00,34.02,34.02,33.92,33.92,200,0
2016-06-17,18:25:00,33.88,33.88,33.87,33.87,1296,0
2016-06-17,18:30:00,33.83,33.89,33.78,33.78,700,0
2016-06-17,18:40:00,33.9,33.9,33.9,33.9,100,0
2016-06-17,18:50:00,33.78,33.85,33.715,33.715,700,0
2016-06-17,18:55:00,33.7394,33.7394,33.665,33.665,900,0
2016-06-17,19:00:00,33.66,33.66,33.6,33.6,300,0
2016-06-17,19:05:00,33.67,33.69,33.66,33.69,700,0
2016-06-17,19:10:00,33.69,33.71,33.69,33.705,600,0
2016-06-17,19:15:00,33.63,33.63,33.63,33.63,100,0
2016-06-17,19:30:00,33.84,33.84,33.83,33.83,400,0
2016-06-17,19:40:00,33.8,33.8,33.8,33.8,100,0
2016-06-17,19:50:00,33.86,33.86,33.796,33.796,257,0
2016-06-17,19:55:00,33.86,33.89,33.8575,33.89,500,0
2016-06-17,20:00:00,33.89,33.89,33.85,33.85,300,0
2016-06-17,20:05:00,33.84,33.92,33.79,33.79,500,0
2016-06-17,20:10:00,33.83,33.83,33.79,33.79,200,0
2016-06-17,20:15:00,33.79,33.79,33.79,33.79,200,0
2016-06-17,20:20:00,33.71,33.71,33.71,33.71,100,0
2016-06-17,20:25:00,33.79,33.79,33.776,33.776,1600,0
2016-06-17,20:30:00,33.75,33.75,33.75,33.75,100,0
2016-06-17,20:35:00,33.77,33.8,33.75,33.78,1700,0
2016-06-17,20:40:00,33.78,33.78,33.78,33.78,571,0
2016-06-17,20:45:00,33.79,33.84,33.79,33.84,1800,0
2016-06-17,20:50:00,33.86,33.86,33.86,33.86,100,0
2016-06-17,20:55:00,33.9,33.9,33.875,33.875,200,0
2016-06-17,21:00:00,33.96,33.96,33.96,33.96,200,0
2016-06-17,21:05:00,33.92,33.92,33.9,33.9,300,0
2016-06-17,21:15:00,33.8,33.8,33.8,33.8,100,0
2016-06-17,21:25:00,33.86,33.97,33.86,33.97,400,0
2016-06-17,21:30:00,33.925,33.96,33.9,33.96,400,0
2016-06-17,21:35:00,33.93,33.93,33.89,33.89,1100,0
2016-06-17,21:40:00,33.93,33.93,33.93,33.93,200,0
2016-06-17,21:45:00,33.934,33.97,33.934,33.96,550,0
2016-06-17,21:50:00,33.97,33.97,33.95,33.95,885,0
2016-06-17,21:55:00,33.89,33.89,33.75,33.75,3800,0
2016-06-17,22:00:00,33.76,33.85,33.53,33.53,94289,0
2016-06-20,15:35:00,34,34,34,34,801,0
