Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-22,15:35:00,16.74,16.97,16.6972,16.95,25341,0
2016-06-22,15:40:00,16.95,16.95,16.72,16.8601,30693,0
2016-06-22,15:45:00,16.875,16.94,16.8354,16.88,53045,0
2016-06-22,15:50:00,16.87,16.9,16.81,16.87,56808,0
2016-06-22,15:55:00,16.875,16.91,16.83,16.83,62683,0
2016-06-22,16:00:00,16.84,16.845,16.77,16.77,30817,0
2016-06-22,16:05:00,16.77,16.82,16.69,16.7,43692,0
2016-06-22,16:10:00,16.7,16.73,16.65,16.69,47082,0
2016-06-22,16:15:00,16.7,16.76,16.67,16.75,47044,0
2016-06-22,16:20:00,16.755,16.77,16.66,16.69,42989,0
2016-06-22,16:25:00,16.69,16.71,16.655,16.71,52641,0
2016-06-22,16:30:00,16.71,16.73,16.635,16.69,32412,0
2016-06-22,16:35:00,16.7,17.24,16.6,17.2142,130397,0
2016-06-22,16:40:00,17.2,17.27,16.99,17.02,61246,0
2016-06-22,16:45:00,17.02,17.14,16.96,17.1,40808,0
2016-06-22,16:50:00,17.11,17.27,17.04,17.26,55286,0
2016-06-22,16:55:00,17.27,17.34,17.21,17.23,72919,0
2016-06-22,17:00:00,17.23,17.24,17.11,17.18,34457,0
2016-06-22,17:05:00,17.17,17.29,17.14,17.29,47138,0
2016-06-22,17:10:00,17.29,17.31,17.25,17.3017,47335,0
2016-06-22,17:15:00,17.3,17.315,17.16,17.17,48568,0
2016-06-22,17:20:00,17.174,17.24,17.165,17.2,35368,0
2016-06-22,17:25:00,17.2,17.25,17.195,17.2,16100,0
2016-06-22,17:30:00,17.2,17.27,17.2,17.24,18937,0
2016-06-22,17:35:00,17.24,17.24,17.06,17.0883,55272,0
2016-06-22,17:40:00,17.09,17.13,17.06,17.09,29966,0
2016-06-22,17:45:00,17.08,17.11,17.0289,17.095,47993,0
2016-06-22,17:50:00,17.09,17.09,16.9936,16.9936,43318,0
2016-06-22,17:55:00,16.9964,17.07,16.995,17.02,49964,0
2016-06-22,18:00:00,17.03,17.07,17.03,17.04,34151,0
2016-06-22,18:05:00,17.04,17.065,17.01,17.02,16529,0
2016-06-22,18:10:00,17.013,17.013,16.96,16.97,23340,0
2016-06-22,18:15:00,16.98,17.04,16.975,17.01,21605,0
2016-06-22,18:20:00,17.02,17.02,16.96,16.97,16440,0
2016-06-22,18:25:00,16.96,16.96,16.84,16.8463,61458,0
2016-06-22,18:30:00,16.85,16.91,16.84,16.91,25181,0
2016-06-22,18:35:00,16.9,16.915,16.87,16.91,15906,0
2016-06-22,18:40:00,16.9,16.905,16.84,16.855,17595,0
2016-06-22,18:45:00,16.85,16.855,16.74,16.745,61482,0
2016-06-22,18:50:00,16.745,16.745,16.69,16.73,41030,0
2016-06-22,18:55:00,16.73,16.745,16.7,16.72,28479,0
2016-06-22,19:00:00,16.715,16.78,16.715,16.76,25166,0
2016-06-22,19:05:00,16.7599,16.7599,16.725,16.75,30351,0
2016-06-22,19:10:00,16.75,16.76,16.705,16.705,39464,0
2016-06-22,19:15:00,16.7,16.77,16.7,16.77,29707,0
2016-06-22,19:20:00,16.78,16.78,16.735,16.76,17828,0
2016-06-22,19:25:00,16.77,16.79,16.74,16.7599,18792,0
2016-06-22,19:30:00,16.76,16.83,16.75,16.81,18950,0
2016-06-22,19:35:00,16.81,16.82,16.75,16.79,21747,0
2016-06-22,19:40:00,16.79,16.83,16.78,16.83,16139,0
2016-06-22,19:45:00,16.83,16.8325,16.79,16.83,18021,0
2016-06-22,19:50:00,16.82,16.875,16.82,16.86,17201,0
2016-06-22,19:55:00,16.865,16.91,16.86,16.88,17579,0
2016-06-22,20:00:00,16.885,16.91,16.87,16.875,14325,0
2016-06-22,20:05:00,16.87,16.875,16.84,16.865,10048,0
2016-06-22,20:10:00,16.86,16.9,16.86,16.8799,19572,0
