Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-22,15:35:00,2.39,2.4899,2.39,2.4699,46923,0
2016-06-22,15:40:00,2.465,2.465,2.41,2.41,29624,0
2016-06-22,15:45:00,2.411,2.45,2.37,2.45,45389,0
2016-06-22,15:50:00,2.445,2.45,2.445,2.45,1850,0
2016-06-22,15:55:00,2.45,2.45,2.4401,2.445,8876,0
2016-06-22,16:00:00,2.445,2.45,2.43,2.435,11900,0
2016-06-22,16:05:00,2.44,2.44,2.435,2.435,4915,0
2016-06-22,16:10:00,2.43,2.43,2.4,2.405,14966,0
2016-06-22,16:15:00,2.405,2.41,2.401,2.41,23435,0
2016-06-22,16:20:00,2.4001,2.4001,2.37,2.37,13450,0
2016-06-22,16:25:00,2.375,2.375,2.361,2.3698,12950,0
2016-06-22,16:30:00,2.365,2.37,2.36,2.365,13815,0
2016-06-22,16:35:00,2.37,2.51,2.36,2.51,58204,0
2016-06-22,16:40:00,2.52,2.55,2.46,2.47,31763,0
2016-06-22,16:45:00,2.462,2.48,2.4501,2.48,10745,0
2016-06-22,16:50:00,2.48,2.53,2.4799,2.53,29825,0
2016-06-22,16:55:00,2.525,2.56,2.525,2.55,10620,0
2016-06-22,17:00:00,2.5499,2.55,2.53,2.53,25308,0
2016-06-22,17:05:00,2.52,2.55,2.52,2.5432,15967,0
2016-06-22,17:10:00,2.55,2.55,2.51,2.51,18725,0
2016-06-22,17:15:00,2.5199,2.52,2.49,2.495,9992,0
2016-06-22,17:20:00,2.495,2.5,2.49,2.495,3600,0
2016-06-22,17:25:00,2.495,2.5,2.495,2.495,8900,0
2016-06-22,17:30:00,2.495,2.495,2.465,2.4744,43138,0
2016-06-22,17:35:00,2.47,2.47,2.46,2.46,6128,0
2016-06-22,17:40:00,2.465,2.4699,2.455,2.455,5200,0
2016-06-22,17:45:00,2.455,2.455,2.44,2.445,8661,0
2016-06-22,17:50:00,2.445,2.4452,2.44,2.445,3276,0
2016-06-22,17:55:00,2.44,2.45,2.44,2.445,6100,0
2016-06-22,18:00:00,2.45,2.46,2.445,2.455,19409,0
2016-06-22,18:05:00,2.46,2.46,2.42,2.42,18995,0
2016-06-22,18:10:00,2.4164,2.4164,2.4,2.41,30889,0
2016-06-22,18:15:00,2.41,2.44,2.41,2.44,13050,0
2016-06-22,18:20:00,2.435,2.435,2.43,2.435,1000,0
2016-06-22,18:25:00,2.435,2.44,2.42,2.42,10405,0
2016-06-22,18:30:00,2.41,2.415,2.4,2.4001,14062,0
2016-06-22,18:35:00,2.41,2.41,2.4,2.405,2817,0
2016-06-22,18:40:00,2.41,2.43,2.405,2.42,20284,0
2016-06-22,18:45:00,2.4299,2.4299,2.4,2.4,9339,0
2016-06-22,18:50:00,2.4,2.405,2.4,2.4,4000,0
2016-06-22,18:55:00,2.4,2.4099,2.4,2.4099,3400,0
2016-06-22,19:00:00,2.4,2.405,2.39,2.395,22270,0
2016-06-22,19:05:00,2.4,2.4,2.39,2.3932,10210,0
2016-06-22,19:10:00,2.3993,2.3993,2.39,2.39,8595,0
2016-06-22,19:15:00,2.38,2.38,2.355,2.355,18287,0
2016-06-22,19:20:00,2.36,2.37,2.35,2.3599,54631,0
2016-06-22,19:25:00,2.355,2.36,2.353,2.353,19512,0
2016-06-22,19:30:00,2.359,2.36,2.35,2.36,18600,0
2016-06-22,19:35:00,2.36,2.36,2.35,2.3501,19188,0
2016-06-22,19:40:00,2.3599,2.36,2.35,2.35,23885,0
2016-06-22,19:45:00,2.355,2.355,2.33,2.3301,33820,0
2016-06-22,19:50:00,2.335,2.36,2.335,2.355,33618,0
2016-06-22,19:55:00,2.36,2.365,2.355,2.355,17058,0
2016-06-22,20:00:00,2.3598,2.36,2.335,2.335,25702,0
2016-06-22,20:05:00,2.34,2.34,2.33,2.334,5354,0
2016-06-22,20:10:00,2.33,2.33,2.33,2.33,100,0
2016-06-22,20:15:00,2.33,2.3399,2.32,2.32,32992,0
2016-06-22,20:20:00,2.315,2.3165,2.31,2.3165,5300,0
2016-06-22,20:25:00,2.315,2.325,2.31,2.32,27147,0
2016-06-22,20:30:00,2.33,2.33,2.32,2.32,30718,0
2016-06-22,20:35:00,2.32,2.325,2.29,2.29,107106,0
2016-06-22,20:40:00,2.296,2.2964,2.295,2.295,2500,0
2016-06-22,20:45:00,2.295,2.3,2.29,2.29,5100,0
2016-06-22,20:50:00,2.29,2.3,2.27,2.27,72497,0
2016-06-22,20:55:00,2.27,2.33,2.27,2.33,38694,0
2016-06-22,21:00:00,2.33,2.34,2.325,2.335,179900,0
2016-06-22,21:05:00,2.3384,2.34,2.335,2.335,12100,0
2016-06-22,21:10:00,2.34,2.36,2.335,2.35,305097,0
2016-06-22,21:15:00,2.34,2.345,2.305,2.32,61919,0
2016-06-22,21:20:00,2.32,2.35,2.315,2.34,132418,0
2016-06-22,21:25:00,2.3201,2.33,2.3036,2.3036,25400,0
2016-06-22,21:30:00,2.3099,2.32,2.305,2.31,71226,0
2016-06-22,21:35:00,2.32,2.34,2.31,2.33,167439,0
2016-06-22,21:40:00,2.33,2.34,2.325,2.33,66921,0
