Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-22,15:35:00,17.94,18.07,17.94,18.07,700,0
2016-06-22,15:45:00,18.08,18.08,17.83,17.83,1700,0
2016-06-22,15:50:00,17.86,17.86,17.67,17.67,6842,0
2016-06-22,15:55:00,17.67,17.71,17.6,17.6,3920,0
2016-06-22,16:00:00,17.59,17.59,17.535,17.55,4100,0
2016-06-22,16:05:00,17.54,17.64,17.49,17.64,3547,0
2016-06-22,16:10:00,17.63,17.695,17.63,17.67,4389,0
2016-06-22,16:15:00,17.67,17.7,17.64,17.7,5700,0
2016-06-22,16:20:00,17.73,17.76,17.71,17.7201,2000,0
2016-06-22,16:25:00,17.74,17.76,17.68,17.68,3700,0
2016-06-22,16:30:00,17.675,17.675,17.6,17.61,3300,0
2016-06-22,16:35:00,17.6,17.75,17.6,17.75,3205,0
2016-06-22,16:40:00,17.78,17.78,17.75,17.76,1900,0
2016-06-22,16:45:00,17.74,17.81,17.74,17.78,2100,0
2016-06-22,16:50:00,17.8,17.81,17.73,17.81,2900,0
2016-06-22,16:55:00,17.82,17.85,17.82,17.82,1400,0
2016-06-22,17:00:00,17.85,17.85,17.79,17.81,1100,0
2016-06-22,17:05:00,17.79,17.85,17.78,17.78,3100,0
2016-06-22,17:10:00,17.81,17.84,17.79,17.84,2000,0
2016-06-22,17:15:00,17.85,17.92,17.85,17.89,2550,0
2016-06-22,17:20:00,17.92,17.93,17.87,17.87,2200,0
2016-06-22,17:25:00,17.87,17.87,17.81,17.83,2200,0
2016-06-22,17:30:00,17.84,17.84,17.79,17.8,1800,0
2016-06-22,17:35:00,17.78,17.785,17.73,17.74,2600,0
2016-06-22,17:40:00,17.74,17.8,17.74,17.79,2900,0
2016-06-22,17:45:00,17.79,17.79,17.74,17.79,2741,0
2016-06-22,17:50:00,17.79,17.82,17.75,17.75,3000,0
2016-06-22,17:55:00,17.75,17.79,17.72,17.79,3067,0
2016-06-22,18:00:00,17.8,17.8,17.74,17.74,1800,0
2016-06-22,18:05:00,17.74,17.79,17.74,17.76,1200,0
2016-06-22,18:10:00,17.77,17.77,17.73,17.75,3200,0
2016-06-22,18:15:00,17.77,17.775,17.73,17.73,3707,0
2016-06-22,18:20:00,17.725,17.725,17.69,17.69,1700,0
2016-06-22,18:25:00,17.685,17.685,17.6,17.6,2300,0
2016-06-22,18:30:00,17.59,17.64,17.57,17.64,2700,0
2016-06-22,18:35:00,17.64,17.64,17.62,17.62,900,0
2016-06-22,18:40:00,17.62,17.62,17.57,17.58,1200,0
2016-06-22,18:45:00,17.57,17.62,17.56,17.56,2500,0
2016-06-22,18:50:00,17.56,17.58,17.54,17.58,2100,0
2016-06-22,18:55:00,17.57,17.58,17.54,17.54,3161,0
2016-06-22,19:00:00,17.53,17.6,17.52,17.57,2300,0
2016-06-22,19:05:00,17.57,17.57,17.52,17.56,800,0
2016-06-22,19:10:00,17.545,17.545,17.47,17.48,2600,0
2016-06-22,19:15:00,17.47,17.54,17.47,17.54,944,0
2016-06-22,19:20:00,17.52,17.54,17.49,17.53,2900,0
2016-06-22,19:25:00,17.54,17.54,17.49,17.54,1500,0
2016-06-22,19:30:00,17.55,17.55,17.5,17.54,1200,0
2016-06-22,19:35:00,17.58,17.61,17.57,17.61,1500,0
2016-06-22,19:40:00,17.61,17.61,17.53,17.53,1500,0
2016-06-22,19:45:00,17.504,17.53,17.47,17.53,1300,0
2016-06-22,19:50:00,17.53,17.55,17.52,17.52,1100,0
2016-06-22,19:55:00,17.53,17.53,17.49,17.5,2000,0
2016-06-22,20:00:00,17.53,17.57,17.53,17.53,1700,0
2016-06-22,20:05:00,17.53,17.55,17.5,17.55,1300,0
2016-06-22,20:10:00,17.57,17.6,17.54,17.54,2378,0
2016-06-22,20:15:00,17.55,17.59,17.55,17.55,3300,0
2016-06-22,20:20:00,17.57,17.57,17.55,17.56,1000,0
2016-06-22,20:25:00,17.55,17.57,17.49,17.57,2900,0
2016-06-22,20:30:00,17.5601,17.58,17.525,17.55,1900,0
2016-06-22,20:35:00,17.5375,17.55,17.44,17.455,2500,0
2016-06-22,20:40:00,17.46,17.49,17.44,17.49,3300,0
2016-06-22,20:45:00,17.505,17.52,17.5,17.515,1300,0
2016-06-22,20:50:00,17.51,17.56,17.48,17.56,4900,0
2016-06-22,20:55:00,17.55,17.55,17.51,17.53,2800,0
2016-06-22,21:00:00,17.54,17.59,17.54,17.59,2636,0
2016-06-22,21:05:00,17.59,17.63,17.59,17.61,3900,0
2016-06-22,21:10:00,17.6,17.62,17.59,17.59,4100,0
2016-06-22,21:15:00,17.58,17.6,17.56,17.59,3200,0
2016-06-22,21:20:00,17.59,17.59,17.56,17.56,2700,0
2016-06-22,21:25:00,17.55,17.59,17.54,17.5815,3215,0
2016-06-22,21:30:00,17.6,17.61,17.56,17.575,4725,0
2016-06-22,21:35:00,17.58,17.6,17.58,17.5901,3300,0
2016-06-22,21:40:00,17.6,17.62,17.555,17.62,8936,0
2016-06-22,21:45:00,17.62,17.65,17.59,17.62,9654,0
2016-06-22,21:50:00,17.62,17.62,17.57,17.61,8105,0
2016-06-22,21:55:00,17.61,17.68,17.6,17.67,20435,0
2016-06-22,22:00:00,17.67,17.67,17.615,17.64,47148,0
2016-06-23,15:35:00,17.75,18.1,17.75,18.1,12388,0
2016-06-23,15:40:00,18.02,18.1,18.01,18.08,8898,0
2016-06-23,15:45:00,18.06,18.37,18.01,18.25,31625,0
2016-06-23,15:50:00,18.205,18.24,17.96,18.04,14700,0
2016-06-23,15:55:00,17.92,18.1,17.92,18.06,7600,0
2016-06-23,16:00:00,18.06,18.15,18.02,18.15,11700,0
2016-06-23,16:05:00,18.16,18.21,18.09,18.15,2587,0
2016-06-23,16:10:00,18.13,18.13,18.1,18.12,2800,0
2016-06-23,16:15:00,18.12,18.14,18.09,18.12,4352,0
2016-06-23,16:20:00,18.095,18.15,18.09,18.11,3300,0
2016-06-23,16:25:00,18.09,18.13,18.09,18.09,2000,0
2016-06-23,16:30:00,18.09,18.09,18,18.05,2600,0
2016-06-23,16:35:00,17.99,17.99,17.92,17.92,4300,0
2016-06-23,16:40:00,17.93,17.93,17.86,17.8799,3600,0
2016-06-23,16:45:00,17.84,17.86,17.84,17.855,2307,0
2016-06-23,16:50:00,17.86,17.885,17.84,17.84,3900,0
2016-06-23,16:55:00,17.85,17.86,17.82,17.82,3500,0
2016-06-23,17:00:00,17.82,17.85,17.82,17.82,1800,0
2016-06-23,17:05:00,17.815,17.84,17.78,17.79,3200,0
2016-06-23,17:10:00,17.79,17.84,17.7899,17.81,1800,0
2016-06-23,17:15:00,17.81,17.84,17.81,17.83,2200,0
2016-06-23,17:20:00,17.84,17.85,17.82,17.8499,2570,0
2016-06-23,17:25:00,17.85,17.87,17.84,17.87,3500,0
2016-06-23,17:30:00,17.88,17.91,17.86,17.91,2800,0
2016-06-23,17:35:00,17.92,17.96,17.91,17.94,1900,0
2016-06-23,17:40:00,17.95,17.98,17.94,17.96,1870,0
2016-06-23,17:45:00,17.94,17.94,17.92,17.925,1400,0
2016-06-23,17:50:00,17.92,17.96,17.91,17.95,3900,0
2016-06-23,17:55:00,17.98,18.02,17.97,17.995,4332,0
2016-06-23,18:00:00,18,18.05,18,18,2800,0
2016-06-23,18:05:00,17.97,17.97,17.92,17.92,2219,0
2016-06-23,18:10:00,17.9,17.92,17.9,17.92,2800,0
2016-06-23,18:15:00,17.93,17.9307,17.91,17.91,2004,0
2016-06-23,18:20:00,17.91,17.94,17.91,17.93,3200,0
2016-06-23,18:25:00,17.93,17.93,17.92,17.93,900,0
2016-06-23,18:30:00,17.94,17.94,17.91,17.91,1700,0
2016-06-23,18:35:00,17.89,17.89,17.885,17.89,1300,0
2016-06-23,18:40:00,17.89,17.89,17.845,17.85,5289,0
2016-06-23,18:45:00,17.85,17.85,17.8,17.8,3100,0
2016-06-23,18:50:00,17.805,17.82,17.77,17.82,3247,0
2016-06-23,18:55:00,17.82,17.83,17.82,17.825,5150,0
2016-06-23,19:00:00,17.83,17.835,17.81,17.81,1930,0
2016-06-23,19:05:00,17.78,17.82,17.78,17.78,2100,0
2016-06-23,19:10:00,17.79,17.805,17.77,17.79,2800,0
2016-06-23,19:15:00,17.79,17.79,17.76,17.76,1800,0
2016-06-23,19:20:00,17.78,17.823,17.78,17.823,2100,0
2016-06-23,19:25:00,17.84,17.87,17.83,17.86,1900,0
2016-06-23,19:30:00,17.86,17.865,17.835,17.85,4235,0
2016-06-23,19:35:00,17.85,17.86,17.835,17.84,2000,0
2016-06-23,19:40:00,17.83,17.8301,17.8,17.8,1900,0
2016-06-23,19:45:00,17.8,17.81,17.78,17.79,3577,0
2016-06-23,19:50:00,17.78,17.785,17.77,17.77,1300,0
2016-06-23,19:55:00,17.77,17.77,17.74,17.76,5124,0
2016-06-23,20:00:00,17.76,17.76,17.74,17.75,2400,0
2016-06-23,20:05:00,17.76,17.76,17.72,17.73,1500,0
2016-06-23,20:10:00,17.73,17.77,17.73,17.77,1963,0
2016-06-23,20:15:00,17.77,17.79,17.76,17.76,2649,0
2016-06-23,20:20:00,17.76,17.77,17.71,17.71,4999,0
2016-06-23,20:25:00,17.71,17.71,17.69,17.69,3119,0
2016-06-23,20:30:00,17.7,17.74,17.69,17.71,2670,0
2016-06-23,20:35:00,17.74,17.75,17.72,17.74,1870,0
2016-06-23,20:40:00,17.74,17.75,17.735,17.745,1900,0
2016-06-23,20:45:00,17.745,17.745,17.69,17.69,3603,0
2016-06-23,20:50:00,17.7,17.71,17.685,17.69,2100,0
2016-06-23,20:55:00,17.705,17.73,17.7,17.71,3921,0
2016-06-23,21:00:00,17.72,17.74,17.71,17.71,2700,0
2016-06-23,21:05:00,17.71,17.7352,17.69,17.69,5015,0
2016-06-23,21:10:00,17.7,17.71,17.69,17.71,2600,0
2016-06-23,21:15:00,17.71,17.735,17.71,17.72,3150,0
2016-06-23,21:20:00,17.73,17.73,17.69,17.69,4545,0
2016-06-23,21:25:00,17.69,17.71,17.65,17.66,6300,0
2016-06-23,21:30:00,17.67,17.69,17.65,17.67,4400,0
2016-06-23,21:35:00,17.68,17.74,17.68,17.74,5700,0
2016-06-23,21:40:00,17.74,17.74,17.7,17.7,5286,0
2016-06-23,21:45:00,17.7,17.78,17.68,17.75,10003,0
2016-06-23,21:50:00,17.74,17.76,17.73,17.75,10563,0
2016-06-23,21:55:00,17.75,17.79,17.74,17.74,19514,0
2016-06-23,22:00:00,17.74,17.75,17.73,17.75,28774,0
2016-06-24,15:35:00,17.16,17.16,17.1301,17.1301,2164,0
2016-06-24,15:40:00,17.345,17.44,17.21,17.35,1203,0
2016-06-24,15:45:00,17.31,17.49,17.3,17.485,6610,0
2016-06-24,15:50:00,17.51,17.54,17.41,17.45,6170,0
2016-06-24,15:55:00,17.45,17.46,17.29,17.29,4162,0
2016-06-24,16:00:00,17.37,17.49,17.37,17.41,3623,0
2016-06-24,16:05:00,17.33,17.43,17.33,17.4,1600,0
2016-06-24,16:10:00,17.37,17.46,17.37,17.46,700,0
2016-06-24,16:15:00,17.425,17.5,17.4075,17.44,4458,0
2016-06-24,16:20:00,17.42,17.48,17.396,17.4,5453,0
2016-06-24,16:25:00,17.39,17.47,17.38,17.45,4200,0
2016-06-24,16:30:00,17.44,17.47,17.39,17.47,4376,0
2016-06-24,16:35:00,17.46,17.46,17.38,17.38,4000,0
2016-06-24,16:40:00,17.36,17.42,17.33,17.42,3809,0
2016-06-24,16:45:00,17.45,17.49,17.39,17.415,900,0
2016-06-24,16:50:00,17.44,17.45,17.4,17.4,2400,0
2016-06-24,16:55:00,17.3375,17.38,17.3375,17.3496,1400,0
2016-06-24,17:00:00,17.35,17.36,17.2824,17.2824,5337,0
2016-06-24,17:05:00,17.25,17.25,17.21,17.22,2920,0
2016-06-24,17:10:00,17.2,17.2,17.13,17.13,1630,0
2016-06-24,17:15:00,17.15,17.21,17.15,17.205,7114,0
2016-06-24,17:20:00,17.2,17.23,17.195,17.23,3826,0
2016-06-24,17:25:00,17.23,17.24,17.21,17.23,1700,0
2016-06-24,17:30:00,17.24,17.29,17.23,17.29,3050,0
2016-06-24,17:35:00,17.31,17.31,17.23,17.25,2606,0
2016-06-24,17:40:00,17.24,17.27,17.24,17.26,3800,0
2016-06-24,17:45:00,17.28,17.36,17.28,17.31,4491,0
2016-06-24,17:50:00,17.32,17.39,17.31,17.38,6527,0
2016-06-24,17:55:00,17.38,17.44,17.37,17.42,5100,0
2016-06-24,18:00:00,17.41,17.46,17.41,17.46,3100,0
2016-06-24,18:05:00,17.45,17.48,17.44,17.47,4300,0
2016-06-24,18:10:00,17.46,17.5,17.46,17.46,2600,0
2016-06-24,18:15:00,17.44,17.44,17.34,17.37,862,0
2016-06-24,18:20:00,17.37,17.4,17.36,17.36,3000,0
2016-06-24,18:25:00,17.37,17.37,17.31,17.34,2909,0
2016-06-24,18:30:00,17.33,17.36,17.32,17.36,1989,0
2016-06-24,18:35:00,17.35,17.4,17.32,17.35,5300,0
2016-06-24,18:40:00,17.36,17.4,17.35,17.4,3088,0
2016-06-24,18:45:00,17.39,17.49,17.36,17.46,8900,0
2016-06-24,18:50:00,17.4872,17.5,17.45,17.5,3500,0
2016-06-24,18:55:00,17.5,17.53,17.47,17.47,2827,0
2016-06-24,19:00:00,17.47,17.47,17.29,17.33,27867,0
2016-06-24,19:05:00,17.33,17.39,17.31,17.37,2608,0
2016-06-24,19:10:00,17.3475,17.3997,17.3475,17.36,4498,0
2016-06-24,19:15:00,17.36,17.39,17.35,17.35,2365,0
2016-06-24,19:20:00,17.36,17.44,17.34,17.43,4320,0
2016-06-24,19:25:00,17.46,17.46,17.41,17.44,2254,0
2016-06-24,19:30:00,17.45,17.48,17.44,17.47,1903,0
2016-06-24,19:35:00,17.47,17.47,17.35,17.405,5100,0
2016-06-24,19:40:00,17.43,17.43,17.41,17.42,2368,0
2016-06-24,19:45:00,17.41,17.41,17.35,17.3675,3650,0
2016-06-24,19:50:00,17.39,17.44,17.39,17.4,6600,0
2016-06-24,19:55:00,17.4,17.46,17.4,17.45,2778,0
2016-06-24,20:00:00,17.46,17.49,17.45,17.47,3200,0
2016-06-24,20:05:00,17.4504,17.49,17.44,17.4899,4050,0
2016-06-24,20:10:00,17.48,17.51,17.47,17.51,3500,0
2016-06-24,20:15:00,17.51,17.51,17.46,17.47,1700,0
2016-06-24,20:20:00,17.46,17.47,17.42,17.47,4800,0
2016-06-24,20:25:00,17.46,17.52,17.46,17.48,11936,0
2016-06-24,20:30:00,17.48,17.51,17.45,17.47,6075,0
2016-06-24,20:35:00,17.47,17.49,17.4499,17.47,6569,0
2016-06-24,20:40:00,17.465,17.48,17.46,17.46,6000,0
2016-06-24,20:45:00,17.455,17.47,17.45,17.46,5036,0
2016-06-24,20:50:00,17.45,17.48,17.4,17.465,11897,0
2016-06-24,20:55:00,17.46,17.48,17.455,17.4632,6207,0
2016-06-24,21:00:00,17.47,17.471,17.44,17.44,3036,0
2016-06-24,21:05:00,17.45,17.5,17.42,17.42,8000,0
2016-06-24,21:10:00,17.41,17.4198,17.4,17.405,5052,0
2016-06-24,21:15:00,17.42,17.44,17.4,17.4,4092,0
2016-06-24,21:20:00,17.395,17.41,17.37,17.4,8781,0
2016-06-24,21:25:00,17.385,17.45,17.385,17.41,6537,0
2016-06-24,21:30:00,17.41,17.42,17.36,17.36,9079,0
2016-06-24,21:35:00,17.37,17.46,17.36,17.42,12316,0
2016-06-24,21:40:00,17.45,17.48,17.4,17.44,12448,0
2016-06-24,21:45:00,17.45,17.47,17.43,17.47,9635,0
2016-06-24,21:50:00,17.5,17.5,17.46,17.46,12184,0
2016-06-24,21:55:00,17.4,17.45,17.33,17.41,43689,0
