Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-20,15:35:00,10.72,10.72,10.621,10.641,2411,0
2016-06-20,15:45:00,10.71,10.71,10.71,10.71,100,0
2016-06-20,15:55:00,10.679,10.71,10.679,10.71,1914,0
2016-06-20,16:00:00,10.73,10.74,10.71,10.73,1404,0
2016-06-20,16:05:00,10.74,10.762,10.74,10.762,1305,0
2016-06-20,16:10:00,10.81,10.84,10.81,10.84,1204,0
2016-06-20,16:15:00,10.84,10.84,10.8,10.8,2007,0
2016-06-20,16:20:00,10.78,10.79,10.761,10.79,1104,0
2016-06-20,16:25:00,10.82,10.84,10.8,10.812,16110,0
2016-06-20,16:30:00,10.83,10.84,10.771,10.795,4517,0
2016-06-20,16:35:00,10.78,10.79,10.77,10.79,3212,0
2016-06-20,16:40:00,10.81,10.82,10.81,10.81,2509,0
2016-06-20,16:45:00,10.81,10.835,10.81,10.83,803,0
2016-06-20,16:50:00,10.82,10.875,10.82,10.875,1305,0
2016-06-20,17:00:00,10.88,10.89,10.87,10.87,1004,0
2016-06-20,17:05:00,10.895,10.895,10.895,10.895,100,0
2016-06-20,17:10:00,10.9,10.939,10.9,10.939,1959,0
2016-06-20,17:15:00,10.959,10.999,10.959,10.999,602,0
2016-06-20,17:20:00,10.996,11.009,10.996,11.009,1405,0
2016-06-20,17:25:00,10.989,11.019,10.989,11.019,703,0
2016-06-20,17:30:00,10.999,11.009,10.95,10.96,2509,0
2016-06-20,17:35:00,10.969,10.969,10.953,10.953,604,0
2016-06-20,17:40:00,10.959,10.969,10.939,10.939,4361,0
2016-06-20,17:45:00,10.949,10.949,10.924,10.924,1756,0
2016-06-20,17:50:00,10.929,10.934,10.87,10.88,7126,0
2016-06-20,17:55:00,10.89,10.919,10.888,10.919,2208,0
2016-06-20,18:00:00,10.905,10.949,10.89,10.949,2610,0
2016-06-20,18:10:00,10.959,10.969,10.959,10.969,201,0
2016-06-20,18:15:00,10.969,10.999,10.969,10.989,703,0
2016-06-20,18:20:00,10.989,10.989,10.979,10.979,703,0
2016-06-20,18:25:00,10.969,10.969,10.969,10.969,201,0
2016-06-20,18:30:00,10.979,10.979,10.979,10.979,703,0
2016-06-20,18:35:00,10.989,10.989,10.979,10.989,1004,0
2016-06-20,18:40:00,10.989,10.999,10.969,10.969,2710,0
2016-06-20,18:45:00,10.979,10.979,10.969,10.97,502,0
2016-06-20,18:50:00,10.969,10.969,10.929,10.929,1706,0
2016-06-20,18:55:00,10.901,10.91,10.901,10.91,803,0
2016-06-20,19:10:00,10.89,10.91,10.89,10.91,502,0
2016-06-20,19:15:00,10.91,10.91,10.84,10.84,1683,0
2016-06-20,19:20:00,10.83,10.86,10.83,10.86,1305,0
2016-06-20,19:25:00,10.86,10.87,10.86,10.87,401,0
2016-06-20,19:30:00,10.87,10.87,10.87,10.87,100,0
2016-06-20,19:40:00,10.89,10.9,10.885,10.9,803,0
2016-06-20,19:45:00,10.91,10.91,10.891,10.891,1076,0
2016-06-20,19:50:00,10.895,10.895,10.87,10.87,1706,0
2016-06-20,19:55:00,10.85,10.86,10.85,10.851,2208,0
2016-06-20,20:00:00,10.87,10.88,10.87,10.88,502,0
2016-06-20,20:05:00,10.88,10.88,10.87,10.875,1104,0
2016-06-20,20:10:00,10.86,10.86,10.85,10.85,1305,0
2016-06-20,20:15:00,10.84,10.843,10.801,10.83,1606,0
2016-06-20,20:20:00,10.84,10.84,10.84,10.84,100,0
2016-06-20,20:25:00,10.85,10.86,10.84,10.85,1506,0
2016-06-20,20:30:00,10.85,10.855,10.84,10.84,1405,0
2016-06-20,20:35:00,10.831,10.84,10.83,10.835,401,0
2016-06-20,20:40:00,10.84,10.86,10.84,10.86,937,0
2016-06-20,20:45:00,10.87,10.88,10.87,10.88,401,0
2016-06-20,20:55:00,10.88,10.9,10.88,10.9,602,0
2016-06-20,21:00:00,10.9,10.91,10.9,10.903,703,0
2016-06-20,21:05:00,10.91,10.919,10.91,10.919,301,0
2016-06-20,21:10:00,10.924,10.939,10.84,10.851,4617,0
2016-06-20,21:15:00,10.855,10.855,10.855,10.855,100,0
2016-06-20,21:20:00,10.855,10.855,10.84,10.84,1305,0
2016-06-20,21:25:00,10.83,10.83,10.8,10.82,502,0
2016-06-20,21:30:00,10.801,10.801,10.79,10.8,1155,0
2016-06-20,21:35:00,10.79,10.8,10.79,10.8,1104,0
2016-06-20,21:40:00,10.802,10.84,10.802,10.84,2710,0
2016-06-20,21:45:00,10.833,10.85,10.833,10.835,1507,0
2016-06-20,21:50:00,10.835,10.84,10.82,10.82,2309,0
2016-06-20,21:55:00,10.815,10.815,10.77,10.775,4416,0
2016-06-20,22:00:00,10.78,10.8,10.77,10.78,6930,0
2016-06-21,15:35:00,10.81,10.81,10.78,10.78,1939,0
2016-06-21,15:40:00,10.79,10.79,10.79,10.79,502,0
2016-06-21,15:50:00,10.82,10.82,10.79,10.79,803,0
2016-06-21,15:55:00,10.79,10.81,10.78,10.78,803,0
2016-06-21,16:05:00,10.79,10.791,10.78,10.791,803,0
2016-06-21,16:10:00,10.78,10.79,10.76,10.76,1907,0
2016-06-21,16:15:00,10.768,10.771,10.768,10.771,527,0
2016-06-21,16:20:00,10.8,10.81,10.8,10.81,502,0
2016-06-21,16:25:00,10.8,10.805,10.69,10.69,1506,0
2016-06-21,16:30:00,10.7,10.75,10.7,10.75,1067,0
2016-06-21,16:35:00,10.75,10.75,10.75,10.75,100,0
2016-06-21,16:40:00,10.74,10.74,10.7,10.7,602,0
2016-06-21,16:45:00,10.7,10.7,10.685,10.7,1305,0
2016-06-21,16:50:00,10.68,10.69,10.67,10.67,703,0
2016-06-21,16:55:00,10.653,10.66,10.65,10.65,817,0
2016-06-21,17:00:00,10.66,10.67,10.65,10.66,1807,0
2016-06-21,17:05:00,10.65,10.67,10.641,10.67,1706,0
2016-06-21,17:10:00,10.68,10.68,10.68,10.68,1004,0
2016-06-21,17:15:00,10.69,10.71,10.69,10.69,2007,0
2016-06-21,17:20:00,10.7,10.7,10.69,10.7,3011,0
2016-06-21,17:25:00,10.68,10.71,10.68,10.71,703,0
2016-06-21,17:30:00,10.74,10.76,10.74,10.76,502,0
2016-06-21,17:35:00,10.76,10.78,10.7,10.7,2108,0
2016-06-21,17:40:00,10.7,10.7,10.691,10.691,401,0
2016-06-21,17:45:00,10.69,10.69,10.67,10.67,602,0
2016-06-21,17:50:00,10.68,10.68,10.671,10.671,201,0
2016-06-21,17:55:00,10.67,10.67,10.67,10.67,502,0
2016-06-21,18:00:00,10.65,10.65,10.631,10.631,602,0
2016-06-21,18:05:00,10.636,10.641,10.631,10.641,1004,0
2016-06-21,18:10:00,10.641,10.645,10.632,10.645,803,0
2016-06-21,18:15:00,10.642,10.65,10.642,10.65,292,0
2016-06-21,18:20:00,10.65,10.66,10.65,10.66,713,0
2016-06-21,18:30:00,10.69,10.69,10.66,10.66,2196,0
2016-06-21,18:35:00,10.67,10.67,10.66,10.66,1305,0
2016-06-21,18:40:00,10.65,10.65,10.631,10.631,1204,0
2016-06-21,18:45:00,10.641,10.642,10.631,10.631,1204,0
2016-06-21,18:50:00,10.631,10.631,10.611,10.611,301,0
2016-06-21,18:55:00,10.611,10.611,10.606,10.611,903,0
2016-06-21,19:05:00,10.611,10.621,10.611,10.611,602,0
2016-06-21,19:10:00,10.621,10.621,10.621,10.621,602,0
2016-06-21,19:15:00,10.636,10.636,10.611,10.619,2710,0
2016-06-21,19:20:00,10.612,10.612,10.611,10.611,1184,0
2016-06-21,19:25:00,10.616,10.616,10.611,10.611,1345,0
2016-06-21,19:30:00,10.601,10.601,10.601,10.601,301,0
2016-06-21,19:35:00,10.609,10.611,10.601,10.601,2710,0
2016-06-21,19:40:00,10.602,10.61,10.601,10.606,2464,0
2016-06-21,19:45:00,10.611,10.641,10.611,10.641,2309,0
2016-06-21,19:55:00,10.65,10.65,10.631,10.631,251,0
