Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-22,15:35:00,141.41,142.9799,141.41,142.9799,4830,0
2016-06-22,15:40:00,140.73,142.3599,140.73,141.34,2600,0
2016-06-22,15:45:00,141.73,141.75,140.88,141.13,3419,0
2016-06-22,15:50:00,141.08,141.39,141,141.39,2200,0
2016-06-22,15:55:00,141.24,141.38,140.97,141.1,3000,0
2016-06-22,16:00:00,141.19,141.3,141.035,141.3,1880,0
2016-06-22,16:05:00,141.37,141.5,141.165,141.26,2500,0
2016-06-22,16:10:00,141.09,141.14,140.74,140.95,6346,0
2016-06-22,16:15:00,140.98,141.26,140.92,141.25,1595,0
2016-06-22,16:20:00,141.2,141.28,140.9,141.02,9400,0
2016-06-22,16:25:00,141.04,141.4931,141.02,141.24,6011,0
2016-06-22,16:30:00,141.2,141.4,141.13,141.2,4515,0
2016-06-22,16:35:00,141.28,144.5,141.28,144.5,10966,0
2016-06-22,16:40:00,144.59,144.83,143.57,143.5775,20720,0
2016-06-22,16:45:00,143.61,144.78,143.61,144.78,13845,0
2016-06-22,16:50:00,144.51,144.99,144.32,144.98,11866,0
2016-06-22,16:55:00,144.98,145.41,144.86,145.24,17240,0
2016-06-22,17:00:00,145.35,145.37,144.73,145.1,13899,0
2016-06-22,17:05:00,145.2,145.8,145.02,145.78,5200,0
2016-06-22,17:10:00,145.65,145.67,145.2101,145.42,7335,0
2016-06-22,17:15:00,145.52,146.14,145.38,145.38,20247,0
2016-06-22,17:20:00,145.4,146.01,145.34,146,8161,0
2016-06-22,17:25:00,145.9,145.93,145.2,145.2,6415,0
2016-06-22,17:30:00,145.27,145.7,145.27,145.57,6834,0
2016-06-22,17:35:00,145.39,145.39,144.3601,144.3601,12567,0
2016-06-22,17:40:00,144.6,144.78,144.41,144.41,3801,0
2016-06-22,17:45:00,144.43,144.694,144.215,144.69,6000,0
2016-06-22,17:50:00,144.5775,144.5775,144.2901,144.46,10650,0
2016-06-22,17:55:00,144.46,144.6,144.42,144.55,6900,0
2016-06-22,18:00:00,144.7,144.98,144.68,144.9,9100,0
2016-06-22,18:05:00,144.9,145,144.61,144.9,13623,0
2016-06-22,18:10:00,144.91,144.91,144.3,144.42,14799,0
2016-06-22,18:15:00,144.42,144.42,143.945,144.02,13000,0
2016-06-22,18:20:00,144.04,144.21,143.8,143.8,3750,0
2016-06-22,18:25:00,143.675,144,143.665,143.69,6121,0
2016-06-22,18:30:00,143.53,143.925,143.48,143.925,5268,0
2016-06-22,18:35:00,143.9,143.9,143.6,143.6,3900,0
2016-06-22,18:40:00,143.54,143.54,143.18,143.18,1700,0
2016-06-22,18:45:00,143.0725,143.42,143.02,143.27,5650,0
2016-06-22,18:50:00,143.15,143.394,143.01,143.27,8900,0
2016-06-22,18:55:00,143.25,143.37,143.06,143.06,2400,0
2016-06-22,19:00:00,143.02,143.2,142.67,142.9,12040,0
2016-06-22,19:05:00,142.91,143.1,142.78,143.1,3780,0
2016-06-22,19:10:00,143.1,143.1,142.63,142.63,2300,0
2016-06-22,19:15:00,142.46,142.6,142.3,142.3201,5283,0
2016-06-22,19:20:00,142.47,142.7,142.37,142.68,5614,0
2016-06-22,19:25:00,142.74,142.998,142.68,142.78,2100,0
2016-06-22,19:30:00,142.82,143.05,142.77,143.045,4705,0
2016-06-22,19:35:00,143.09,143.14,142.8801,143.08,4200,0
2016-06-22,19:40:00,143.07,143.2975,143.07,143.2975,2300,0
2016-06-22,19:45:00,143.31,143.31,143.08,143.24,5100,0
2016-06-22,19:50:00,143.22,143.48,143.22,143.48,3235,0
2016-06-22,19:55:00,143.44,143.7882,143.39,143.455,5700,0
2016-06-22,20:00:00,143.58,143.89,143.45,143.48,3339,0
2016-06-22,20:05:00,143.45,143.45,143.29,143.34,2700,0
2016-06-22,20:10:00,143.58,143.58,143.36,143.36,4900,0
2016-06-22,20:15:00,143.435,143.51,143.36,143.37,3719,0
2016-06-22,20:20:00,143.33,143.5,143.3175,143.43,2800,0
2016-06-22,20:25:00,143.3,143.3,142.9,142.95,2600,0
2016-06-22,20:30:00,142.97,143.164,142.97,142.98,1400,0
2016-06-22,20:35:00,143.13,143.27,142.98,143.1,6500,0
2016-06-22,20:40:00,143.1125,143.14,142.85,143.09,16521,0
2016-06-22,20:45:00,143.03,143.09,142.8301,143.09,4374,0
2016-06-22,20:50:00,143.14,143.19,142.91,143.12,4157,0
2016-06-22,20:55:00,143.065,143.27,143.05,143.27,2000,0
2016-06-22,21:00:00,143.24,143.27,143.08,143.15,14780,0
2016-06-22,21:05:00,143.15,143.5995,143.15,143.52,5900,0
2016-06-22,21:10:00,143.49,143.49,143.21,143.21,3299,0
2016-06-22,21:15:00,143.21,143.38,142.95,143.38,5898,0
2016-06-22,21:20:00,143.36,143.37,143.06,143.06,7069,0
2016-06-22,21:25:00,143.05,143.07,142.67,142.77,7693,0
2016-06-22,21:30:00,142.81,143.05,142.73,142.76,2500,0
2016-06-22,21:35:00,142.77,143.03,142.77,142.98,3191,0
2016-06-22,21:40:00,142.92,142.99,142.77,142.92,3343,0
2016-06-22,21:45:00,142.98,143.14,142.82,142.93,6300,0
2016-06-22,21:50:00,143.02,143.02,142.67,142.775,4600,0
2016-06-22,21:55:00,142.91,143.01,142.74,142.92,5849,0
2016-06-22,22:00:00,143.02,143.12,142.73,142.87,25196,0
2016-06-23,15:35:00,144.47,144.99,143.7301,144.99,2419,0
2016-06-23,15:40:00,144.905,144.91,143.87,144.01,1400,0
2016-06-23,15:45:00,144.57,144.57,142.28,142.28,16445,0
2016-06-23,15:50:00,142.24,143.9,142.04,143.9,10099,0
2016-06-23,15:55:00,143.7491,143.8,143.615,143.8,2100,0
2016-06-23,16:00:00,143.73,143.86,143.63,143.71,1800,0
2016-06-23,16:05:00,143.77,144,143.6,143.77,5450,0
2016-06-23,16:10:00,143.765,143.78,143.01,143.5005,10095,0
2016-06-23,16:15:00,143.4,143.92,143.03,143.03,8249,0
2016-06-23,16:20:00,143.1,143.57,143.07,143.36,6248,0
2016-06-23,16:25:00,143.56,143.68,143.21,143.21,4600,0
2016-06-23,16:30:00,143.26,143.79,142.78,142.78,7200,0
2016-06-23,16:35:00,142.9066,143.1,142.45,142.9,5716,0
2016-06-23,16:40:00,142.78,143.01,142.71,143.01,4535,0
2016-06-23,16:45:00,142.935,143.2,142.82,143.2,87206,0
2016-06-23,16:50:00,143.15,143.17,142.87,142.89,2200,0
2016-06-23,16:55:00,142.79,143.3,142.7,143.185,5350,0
2016-06-23,17:00:00,143.265,143.68,143.1,143.5,5500,0
2016-06-23,17:05:00,143.54,143.87,143.4,143.87,4100,0
2016-06-23,17:10:00,143.69,143.69,143.43,143.51,13900,0
2016-06-23,17:15:00,143.39,143.72,143.39,143.6,10964,0
2016-06-23,17:20:00,143.65,143.75,143.65,143.74,1500,0
2016-06-23,17:25:00,143.68,143.68,143.23,143.44,9016,0
2016-06-23,17:30:00,143.415,143.88,143.415,143.6,5657,0
2016-06-23,17:35:00,143.71,143.94,143.64,143.87,3211,0
2016-06-23,17:40:00,143.79,143.79,143.54,143.642,1200,0
2016-06-23,17:45:00,143.7,143.7,143.25,143.32,4125,0
2016-06-23,17:50:00,143.23,143.55,143.07,143.55,4580,0
2016-06-23,17:55:00,143.59,143.81,143.49,143.67,5061,0
2016-06-23,18:00:00,143.55,143.655,143.52,143.53,1687,0
2016-06-23,18:05:00,143.53,143.71,143.53,143.5875,5918,0
2016-06-23,18:10:00,143.53,143.77,143.48,143.74,5225,0
2016-06-23,18:15:00,143.77,143.875,143.57,143.875,4227,0
2016-06-23,18:20:00,143.89,144.08,143.5,143.5,9267,0
2016-06-23,18:25:00,143.635,143.91,143.54,143.91,8100,0
2016-06-23,18:30:00,144.03,144.04,143.86,144.03,12524,0
2016-06-23,18:35:00,143.98,144.21,143.98,144.0975,8150,0
2016-06-23,18:40:00,144.18,144.26,143.79,143.79,9593,0
2016-06-23,18:45:00,143.87,143.91,143.48,143.69,6734,0
2016-06-23,18:50:00,143.7,143.74,143.55,143.6025,1900,0
2016-06-23,18:55:00,143.59,143.79,143.54,143.74,5664,0
2016-06-23,19:00:00,143.71,143.79,143.48,143.75,5995,0
