Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-16,15:35:00,28.68,28.78,28.68,28.78,276,0
2016-06-16,15:45:00,28.61,28.61,28.22,28.39,1358,0
2016-06-16,15:50:00,28.38,28.55,28.25,28.34,15700,0
2016-06-16,15:55:00,28.38,28.38,28.38,28.38,100,0
2016-06-16,16:00:00,28.3168,28.34,28.28,28.34,500,0
2016-06-16,16:15:00,28.37,28.52,28.37,28.465,1000,0
2016-06-16,16:20:00,28.465,28.465,28.28,28.28,900,0
2016-06-16,16:25:00,28.27,28.27,28.07,28.08,1000,0
2016-06-16,16:30:00,28.14,28.22,28.14,28.22,700,0
2016-06-16,16:35:00,28.33,28.33,28.22,28.22,500,0
2016-06-16,16:40:00,28.25,28.32,28.25,28.32,400,0
2016-06-16,16:50:00,28.32,28.33,28.23,28.27,1500,0
2016-06-16,16:55:00,28.27,28.33,28.25,28.32,2502,0
2016-06-16,17:00:00,28.28,28.36,28.26,28.28,4696,0
2016-06-16,17:05:00,28.33,28.43,28.33,28.33,5000,0
2016-06-16,17:15:00,28.28,28.28,28.28,28.28,100,0
2016-06-16,17:20:00,28.39,28.39,28.34,28.34,200,0
2016-06-16,17:25:00,28.365,28.575,28.365,28.575,3000,0
2016-06-16,17:30:00,28.64,28.705,28.63,28.705,1800,0
2016-06-16,17:40:00,28.58,28.7,28.58,28.7,800,0
2016-06-16,17:45:00,28.76,28.77,28.76,28.77,1300,0
2016-06-16,17:50:00,28.77,28.77,28.71,28.71,800,0
2016-06-16,17:55:00,28.61,28.71,28.61,28.71,500,0
2016-06-16,18:00:00,28.76,28.77,28.74,28.77,1400,0
2016-06-16,18:05:00,28.77,28.77,28.71,28.71,600,0
2016-06-16,18:10:00,28.77,28.83,28.65,28.83,800,0
2016-06-16,18:15:00,28.88,28.92,28.77,28.9,1600,0
2016-06-16,18:20:00,28.84,28.9,28.81,28.9,900,0
2016-06-16,18:25:00,28.89,28.9,28.83,28.83,1179,0
2016-06-16,18:30:00,28.9,28.9,28.88,28.9,1000,0
2016-06-16,18:35:00,28.885,28.9,28.84,28.84,800,0
2016-06-16,18:40:00,28.83,28.9,28.83,28.9,300,0
2016-06-16,18:45:00,28.87,28.93,28.87,28.93,1200,0
2016-06-16,18:50:00,28.91,28.99,28.91,28.99,400,0
2016-06-16,18:55:00,28.915,28.94,28.72,28.72,5402,0
2016-06-16,19:00:00,28.75,28.85,28.75,28.82,4700,0
2016-06-16,19:10:00,28.76,28.83,28.7,28.83,600,0
2016-06-16,19:15:00,28.78,28.85,28.78,28.85,1100,0
2016-06-16,19:20:00,28.85,28.85,28.84,28.85,600,0
2016-06-16,19:25:00,28.85,28.85,28.8,28.85,1232,0
2016-06-16,19:30:00,28.81,28.85,28.81,28.85,1133,0
2016-06-16,19:35:00,28.85,28.85,28.85,28.85,200,0
2016-06-16,19:40:00,28.8,28.84,28.8,28.84,500,0
2016-06-16,19:45:00,28.84,28.85,28.83,28.83,1017,0
2016-06-16,19:50:00,28.85,28.92,28.85,28.92,1700,0
2016-06-16,19:55:00,28.92,28.93,28.85,28.85,600,0
2016-06-16,20:00:00,28.85,28.85,28.85,28.85,500,0
2016-06-16,20:10:00,28.8,28.8,28.77,28.77,300,0
2016-06-16,20:15:00,28.84,28.85,28.83,28.85,600,0
