Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-03,15:35:00,25.23,25.23,25.23,25.23,391,0
2016-06-03,15:50:00,25.8,25.82,25.53,25.53,1700,0
2016-06-03,15:55:00,25.42,25.53,25.3,25.53,3000,0
2016-06-03,16:00:00,25.4,25.57,25.4,25.57,2980,0
2016-06-03,16:15:00,25.34,25.36,25.26,25.26,600,0
2016-06-03,16:25:00,25.352,25.352,25.3,25.3,700,0
2016-06-03,16:30:00,25.19,25.19,25.17,25.17,520,0
2016-06-03,16:40:00,25.205,25.45,25.202,25.25,6751,0
2016-06-03,16:55:00,25.33,25.33,25.25,25.25,500,0
2016-06-03,17:00:00,25.33,25.44,25.33,25.44,1500,0
2016-06-03,17:05:00,25.44,25.44,25.33,25.33,400,0
2016-06-03,17:15:00,25.34,25.34,25.33,25.33,300,0
2016-06-03,17:20:00,25.3,25.3,25.3,25.3,200,0
2016-06-03,17:25:00,25.25,25.25,25.25,25.25,700,0
2016-06-03,17:40:00,25.28,25.28,25.2,25.2,600,0
2016-06-03,18:00:00,25.13,25.13,25.12,25.12,400,0
2016-06-03,18:10:00,25.18,25.18,25.18,25.18,100,0
2016-06-03,18:15:00,25.09,25.09,25.08,25.08,500,0
2016-06-03,18:20:00,25.1,25.1,25.1,25.1,100,0
2016-06-03,18:25:00,25.145,25.26,25.145,25.26,700,0
2016-06-03,18:30:00,25.31,25.37,25.31,25.37,900,0
2016-06-03,18:40:00,25.37,25.38,25.37,25.38,400,0
2016-06-03,18:45:00,25.38,25.38,25.38,25.38,300,0
2016-06-03,18:50:00,25.38,25.38,25.38,25.38,300,0
2016-06-03,18:55:00,25.38,25.38,25.38,25.38,400,0
2016-06-03,19:00:00,25.31,25.31,25.31,25.31,100,0
2016-06-03,19:05:00,25.29,25.39,25.29,25.39,1000,0
2016-06-03,19:20:00,25.38,25.38,25.38,25.38,200,0
2016-06-03,19:25:00,25.4,25.4,25.4,25.4,100,0
2016-06-03,19:40:00,25.49,25.49,25.49,25.49,300,0
2016-06-03,19:45:00,25.51,25.51,25.51,25.51,100,0
2016-06-03,19:50:00,25.52,25.52,25.52,25.52,200,0
2016-06-03,20:10:00,25.56,25.58,25.56,25.58,300,0
2016-06-03,20:20:00,25.63,25.63,25.63,25.63,100,0
2016-06-03,20:35:00,25.75,25.75,25.75,25.75,200,0
2016-06-03,20:50:00,25.71,25.71,25.71,25.71,100,0
2016-06-03,20:55:00,25.71,25.71,25.71,25.71,200,0
2016-06-03,21:00:00,25.722,25.722,25.71,25.71,1100,0
2016-06-03,21:05:00,25.76,25.805,25.76,25.805,400,0
2016-06-03,21:10:00,25.85,25.85,25.8,25.82,1600,0
2016-06-03,21:15:00,25.92,25.92,25.75,25.76,1300,0
2016-06-03,21:20:00,25.74,25.74,25.74,25.74,100,0
2016-06-03,21:25:00,25.72,25.72,25.72,25.72,100,0
2016-06-03,21:30:00,25.71,25.71,25.71,25.71,200,0
2016-06-03,21:50:00,25.65,25.65,25.65,25.65,100,0
2016-06-03,21:55:00,25.75,25.75,25.75,25.75,100,0
2016-06-03,22:00:00,25.74,25.75,25.66,25.71,1846,0
2016-06-06,15:35:00,25.75,25.75,25.74,25.74,1173,0
2016-06-06,15:40:00,25.75,25.75,25.75,25.75,801,0
2016-06-06,15:45:00,25.75,25.75,25.74,25.75,600,0
2016-06-06,15:50:00,25.75,25.75,25.75,25.75,300,0
2016-06-06,16:00:00,25.78,25.78,25.67,25.67,1400,0
2016-06-06,16:05:00,25.77,25.77,25.71,25.71,900,0
2016-06-06,16:10:00,25.71,25.71,25.71,25.71,533,0
2016-06-06,16:20:00,25.56,25.56,25.55,25.55,500,0
2016-06-06,16:30:00,25.9811,25.9811,25.67,25.96,1653,0
2016-06-06,16:45:00,25.63,25.63,25.59,25.6,1300,0
2016-06-06,16:50:00,25.47,25.48,25.42,25.42,600,0
2016-06-06,17:00:00,25.42,25.46,25.42,25.42,600,0
2016-06-06,17:10:00,25.42,25.42,25.42,25.42,500,0
2016-06-06,17:25:00,25.43,25.69,25.42,25.69,700,0
2016-06-06,17:30:00,25.65,25.65,25.6132,25.6132,400,0
2016-06-06,17:35:00,25.7199,25.7199,25.42,25.42,1017,0
2016-06-06,17:45:00,25.42,25.43,25.42,25.42,500,0
2016-06-06,17:50:00,25.53,25.53,25.42,25.43,700,0
2016-06-06,17:55:00,25.5807,25.5807,25.4615,25.49,400,0
2016-06-06,18:00:00,25.42,25.51,25.42,25.505,900,0
2016-06-06,18:05:00,25.5726,25.66,25.5,25.56,1000,0
2016-06-06,18:10:00,25.659,25.659,25.41,25.535,1127,0
2016-06-06,18:15:00,25.4601,25.4601,25.4601,25.4601,100,0
2016-06-06,18:20:00,25.42,25.42,25.42,25.42,300,0
2016-06-06,18:25:00,25.42,25.505,25.42,25.505,1000,0
2016-06-06,18:30:00,25.5,25.5,25.43,25.43,500,0
2016-06-06,18:35:00,25.44,25.44,25.43,25.43,300,0
2016-06-06,18:40:00,25.45,25.45,25.45,25.45,100,0
2016-06-06,18:45:00,25.44,25.44,25.43,25.43,200,0
2016-06-06,18:50:00,25.7,25.7,25.7,25.7,100,0
2016-06-06,18:55:00,25.48,25.48,25.48,25.48,100,0
2016-06-06,19:00:00,25.52,25.56,25.48,25.56,700,0
2016-06-06,19:05:00,25.555,25.555,25.55,25.55,200,0
2016-06-06,19:15:00,25.532,25.532,25.532,25.532,200,0
2016-06-06,19:25:00,25.51,25.51,25.51,25.51,100,0
2016-06-06,19:40:00,25.43,25.43,25.43,25.43,100,0
2016-06-06,20:10:00,25.505,25.505,25.505,25.505,100,0
2016-06-06,20:15:00,25.58,25.58,25.58,25.58,100,0
2016-06-06,20:20:00,25.505,25.505,25.505,25.505,100,0
2016-06-06,20:35:00,25.48,25.48,25.48,25.48,100,0
2016-06-06,20:45:00,25.48,25.58,25.48,25.58,900,0
2016-06-06,20:50:00,25.49,25.49,25.49,25.49,100,0
2016-06-06,20:55:00,25.5,25.5,25.5,25.5,100,0
2016-06-06,21:00:00,25.68,25.68,25.68,25.68,100,0
2016-06-06,21:10:00,25.665,25.665,25.665,25.665,100,0
2016-06-06,21:15:00,25.7,25.7,25.7,25.7,100,0
2016-06-06,21:25:00,25.69,25.8125,25.69,25.8125,1500,0
2016-06-06,21:30:00,25.78,25.78,25.76,25.76,1500,0
2016-06-06,21:45:00,25.865,25.865,25.77,25.78,900,0
2016-06-06,21:50:00,25.87,25.87,25.76,25.76,1956,0
2016-06-06,21:55:00,25.738,25.738,25.63,25.63,300,0
2016-06-06,22:00:00,25.74,25.74,25.65,25.68,1458,0
2016-06-07,15:35:00,25.75,25.75,25.75,25.75,202,0
2016-06-07,15:40:00,25.75,25.75,25.75,25.75,300,0
2016-06-07,15:45:00,25.73,25.73,25.73,25.73,100,0
2016-06-07,15:50:00,25.6965,25.6965,25.6965,25.6965,100,0
2016-06-07,15:55:00,25.7056,25.7056,25.7056,25.7056,500,0
2016-06-07,16:00:00,25.75,25.75,25.62,25.62,2565,0
2016-06-07,16:15:00,25.63,25.63,25.63,25.63,100,0
2016-06-07,16:25:00,25.63,25.63,25.63,25.63,100,0
2016-06-07,16:40:00,25.62,25.66,25.62,25.66,400,0
2016-06-07,16:50:00,25.6446,25.6446,25.6446,25.6446,230,0
2016-06-07,16:55:00,25.74,25.74,25.7067,25.7067,300,0
2016-06-07,17:20:00,25.72,25.72,25.72,25.72,200,0
2016-06-07,17:25:00,25.73,25.74,25.73,25.74,400,0
2016-06-07,17:35:00,25.75,25.75,25.75,25.75,400,0
2016-06-07,17:40:00,25.75,25.78,25.73,25.77,2390,0
2016-06-07,17:45:00,25.75,25.75,25.72,25.72,1236,0
2016-06-07,17:50:00,25.75,25.75,25.75,25.75,100,0
2016-06-07,18:00:00,25.72,25.7295,25.72,25.72,300,0
2016-06-07,18:05:00,25.73,25.75,25.73,25.75,400,0
2016-06-07,18:10:00,25.75,25.75,25.75,25.75,100,0
2016-06-07,18:15:00,25.75,25.75,25.75,25.75,200,0
2016-06-07,18:20:00,25.75,25.77,25.75,25.75,1900,0
2016-06-07,18:25:00,25.87,25.87,25.75,25.75,400,0
2016-06-07,18:40:00,25.76,25.8095,25.75,25.8095,2000,0
2016-06-07,18:45:00,25.8,25.85,25.75,25.8,21768,0
2016-06-07,18:50:00,25.8,25.87,25.731,25.87,1700,0
2016-06-07,18:55:00,25.87,25.88,25.87,25.88,400,0
2016-06-07,19:00:00,25.72,25.72,25.72,25.72,100,0
2016-06-07,19:10:00,25.8,25.8,25.8,25.8,100,0
2016-06-07,19:15:00,25.81,25.85,25.79,25.81,12850,0
2016-06-07,19:20:00,25.8,25.8,25.8,25.8,100,0
2016-06-07,19:30:00,25.81,25.81,25.8,25.81,500,0
2016-06-07,19:35:00,25.79,25.79,25.63,25.73,600,0
2016-06-07,19:40:00,25.7,25.7,25.7,25.7,100,0
2016-06-07,19:45:00,25.7,25.7,25.7,25.7,100,0
2016-06-07,19:55:00,25.7,25.7,25.7,25.7,100,0
2016-06-07,20:10:00,25.66,25.66,25.66,25.66,100,0
2016-06-07,20:30:00,25.672,25.672,25.672,25.672,200,0
2016-06-07,20:55:00,25.74,25.74,25.74,25.74,100,0
2016-06-07,21:00:00,25.79,25.805,25.71,25.71,600,0
2016-06-07,21:05:00,25.8564,25.8564,25.8564,25.8564,100,0
2016-06-07,21:15:00,25.845,25.845,25.75,25.82,5100,0
2016-06-07,21:20:00,25.75,25.75,25.75,25.75,100,0
2016-06-07,21:25:00,25.91,25.91,25.77,25.77,600,0
2016-06-07,21:30:00,25.8,25.8,25.8,25.8,200,0
2016-06-07,21:35:00,25.81,25.82,25.8,25.8,700,0
2016-06-07,21:40:00,25.9,25.9,25.8,25.8,400,0
2016-06-07,21:55:00,25.76,25.76,25.71,25.71,1700,0
2016-06-07,22:00:00,25.69,25.72,25.64,25.72,1454,0
2016-06-08,15:35:00,25.75,25.75,25.75,25.75,1321,0
2016-06-08,15:40:00,25.74,25.75,25.74,25.75,600,0
2016-06-08,15:45:00,25.75,25.75,25.75,25.75,300,0
2016-06-08,15:50:00,25.75,25.77,25.73,25.75,2186,0
2016-06-08,15:55:00,25.75,25.75,25.75,25.75,700,0
2016-06-08,16:15:00,25.73,25.73,25.73,25.73,257,0
2016-06-08,16:25:00,25.72,25.72,25.72,25.72,100,0
2016-06-08,16:35:00,25.7252,25.7252,25.7252,25.7252,180,0
2016-06-08,17:10:00,25.7244,25.7244,25.7244,25.7244,160,0
2016-06-08,17:30:00,25.7,25.73,25.66,25.73,500,0
2016-06-08,17:35:00,25.72,25.72,25.72,25.72,100,0
2016-06-08,17:45:00,25.744,25.744,25.744,25.744,100,0
2016-06-08,17:50:00,25.74,25.74,25.74,25.74,400,0
2016-06-08,18:00:00,25.75,25.75,25.75,25.75,200,0
2016-06-08,18:05:00,25.7168,25.75,25.7168,25.75,800,0
2016-06-08,18:10:00,25.75,25.75,25.75,25.75,200,0
2016-06-08,18:20:00,25.945,25.9617,25.8001,25.9617,650,0
2016-06-08,18:25:00,25.8858,25.8858,25.8858,25.8858,100,0
2016-06-08,18:30:00,25.94,26,25.94,26,200,0
2016-06-08,18:35:00,26,26,26,26,100,0
2016-06-08,19:00:00,25.9,26,25.9,25.9705,300,0
2016-06-08,19:05:00,26,26,26,26,100,0
2016-06-08,19:15:00,26.1,26.1,26.093,26.093,600,0
2016-06-08,19:30:00,26.03,26.051,26.03,26.051,200,0
2016-06-08,20:05:00,26.21,26.23,26.17,26.23,1400,0
2016-06-08,20:35:00,26.08,26.08,26.08,26.08,100,0
2016-06-08,20:50:00,26.2881,26.36,26.2881,26.36,200,0
2016-06-08,21:00:00,26.28,26.28,26.28,26.28,100,0
2016-06-08,21:10:00,26.4,26.4,26.4,26.4,300,0
2016-06-08,21:25:00,26.38,26.4078,26.36,26.4078,1200,0
2016-06-08,21:35:00,26.39,26.39,26.39,26.39,400,0
2016-06-08,21:40:00,26.422,26.422,26.422,26.422,500,0
2016-06-08,21:45:00,26.3,26.43,26.3,26.43,300,0
2016-06-08,21:55:00,26.42,26.43,26.3842,26.3842,2148,0
2016-06-08,22:00:00,26.37,26.42,26.31,26.41,1936,0
2016-06-09,15:35:00,26.32,26.32,26.32,26.32,300,0
2016-06-09,16:20:00,26.3882,26.4134,26.3882,26.4134,313,0
2016-06-09,16:25:00,26.38,26.43,26.3,26.31,900,0
2016-06-09,16:30:00,26.42,26.51,26.387,26.387,2450,0
2016-06-09,16:35:00,26.34,26.43,26.2701,26.2701,1300,0
2016-06-09,16:40:00,26.3,26.3,26.1,26.1,800,0
2016-06-09,16:50:00,26.29,26.315,26.29,26.315,1400,0
2016-06-09,17:00:00,26.19,26.19,26.17,26.17,600,0
2016-06-09,17:15:00,26.18,26.18,26.18,26.18,300,0
2016-06-09,17:20:00,26.17,26.4032,26.17,26.4032,300,0
2016-06-09,17:25:00,26.4399,26.4399,26.11,26.11,1270,0
2016-06-09,17:35:00,26.11,26.11,26.11,26.11,100,0
2016-06-09,17:40:00,26.01,26.01,25.99,25.99,392,0
2016-06-09,17:45:00,25.9,25.95,25.9,25.95,250,0
2016-06-09,17:50:00,25.94,25.94,25.94,25.94,200,0
2016-06-09,18:00:00,25.905,25.905,25.745,25.745,3120,0
2016-06-09,18:10:00,25.58,25.78,25.57,25.78,700,0
2016-06-09,18:25:00,25.67,25.67,25.64,25.64,600,0
2016-06-09,18:30:00,25.8,25.8,25.8,25.8,100,0
2016-06-09,18:45:00,25.58,25.58,25.54,25.54,500,0
2016-06-09,19:00:00,25.57,25.58,25.54,25.54,500,0
2016-06-09,19:05:00,25.44,25.44,25.44,25.44,100,0
2016-06-09,19:10:00,25.45,25.5,25.4101,25.5,1788,0
2016-06-09,19:15:00,25.54,25.54,25.54,25.54,100,0
2016-06-09,19:20:00,25.55,25.6,25.55,25.6,450,0
2016-06-09,19:30:00,25.6,25.6,25.6,25.6,500,0
2016-06-09,19:35:00,25.61,25.646,25.49,25.5904,2590,0
2016-06-09,19:40:00,25.45,25.45,25.45,25.45,100,0
2016-06-09,19:45:00,25.45,25.53,25.45,25.53,300,0
2016-06-09,19:55:00,25.52,25.52,25.41,25.41,300,0
2016-06-09,20:00:00,25.47,25.4999,25.46,25.46,3200,0
2016-06-09,20:05:00,25.5599,25.5599,25.5,25.5,1200,0
2016-06-09,20:10:00,25.5499,25.5499,25.5,25.5,293,0
2016-06-09,20:15:00,25.5,25.54,25.5,25.54,200,0
2016-06-09,20:30:00,25.6399,25.6399,25.55,25.55,700,0
2016-06-09,20:35:00,25.48,25.48,25.48,25.48,100,0
2016-06-09,20:40:00,25.49,25.55,25.49,25.55,200,0
2016-06-09,20:45:00,25.51,25.51,25.51,25.51,100,0
2016-06-09,20:50:00,25.52,25.68,25.52,25.68,300,0
2016-06-09,20:55:00,25.55,25.67,25.55,25.67,200,0
2016-06-09,21:00:00,25.6,25.6,25.57,25.57,200,0
2016-06-09,21:05:00,25.58,25.58,25.58,25.58,100,0
2016-06-09,21:15:00,25.8,25.8,25.7601,25.7601,200,0
2016-06-09,21:20:00,25.78,25.78,25.76,25.76,400,0
2016-06-09,21:25:00,26,26,25.98,25.99,400,0
2016-06-09,21:35:00,26.01,26.01,26.0001,26.01,959,0
2016-06-09,21:50:00,26.03,26.03,26.01,26.02,693,0
2016-06-09,21:55:00,26.21,26.21,26.21,26.21,100,0
2016-06-09,22:00:00,26.17,26.17,25.97,25.97,2406,0
2016-06-10,16:30:00,26.1,26.1,25.98,25.98,300,0
