Date,Time,Open,High,Low,Close,Volume,OpenInt
2013-04-04,19:00:00,17.571,17.571,17.571,17.571,104,0
2013-04-04,19:05:00,17.467,17.467,17.467,17.467,104,0
2013-04-04,20:30:00,17.467,17.645,17.467,17.645,220,0
2013-04-08,19:55:00,17.56,17.56,17.467,17.467,220,0
2013-04-08,21:25:00,17.467,17.56,17.467,17.56,3104,0
2013-04-09,15:50:00,16.933,17.162,16.933,17.162,1413,0
2013-04-09,16:15:00,17.265,17.265,17.265,17.265,220,0
2013-04-09,16:25:00,17.236,17.236,17.236,17.236,149,0
2013-04-09,16:30:00,17.265,17.467,17.265,17.467,5847,0
2013-04-09,16:35:00,17.695,17.695,17.695,17.695,279,0
2013-04-09,16:50:00,17.467,17.467,17.467,17.467,228,0
2013-04-09,17:25:00,17.467,17.467,17.467,17.467,104,0
2013-04-09,20:25:00,17.695,17.695,17.695,17.695,104,0
2013-04-10,15:35:00,17.644,17.644,17.644,17.644,104,0
2013-04-10,16:35:00,17.686,17.686,17.686,17.686,1632,0
2013-04-10,16:55:00,17.695,17.695,17.695,17.695,104,0
2013-04-10,21:55:00,17.789,17.789,17.77,17.789,971,0
2013-04-11,15:35:00,17.77,17.77,17.77,17.77,325,0
2013-04-12,17:10:00,17.485,17.485,17.485,17.485,649,0
2013-04-15,15:35:00,17.467,17.467,17.467,17.467,325,0
2013-04-15,15:50:00,17.236,17.236,17.236,17.236,545,0
2013-04-17,15:35:00,17.34,17.34,17.34,17.34,649,0
2013-04-17,19:35:00,17.34,17.34,17.34,17.34,104,0
2013-04-18,15:55:00,17.331,17.331,17.331,17.331,104,0
2013-04-22,19:15:00,17.513,17.513,17.513,17.513,649,0
2013-04-23,15:35:00,17.513,17.513,17.513,17.513,220,0
2013-04-23,16:00:00,17.513,17.56,17.513,17.56,262,0
2013-04-23,18:05:00,17.56,17.56,17.56,17.56,978,0
2013-04-25,15:35:00,17.56,17.56,17.56,17.56,394,0
2013-04-29,15:35:00,17.531,17.531,17.531,17.531,104,0
2013-04-29,15:40:00,17.541,17.541,17.541,17.541,436,0
2013-04-29,20:10:00,17.541,17.541,17.541,17.541,436,0
2013-04-29,21:10:00,17.541,17.541,17.541,17.541,104,0
2013-04-30,15:35:00,17.513,17.513,17.513,17.513,104,0
2013-05-01,18:55:00,17.513,17.513,17.513,17.513,157,0
2013-05-01,20:30:00,17.513,17.513,17.513,17.513,220,0
2013-05-03,18:45:00,17.588,17.588,17.588,17.588,165,0
2013-05-06,17:10:00,17.42,17.42,17.42,17.42,220,0
2013-05-06,17:25:00,17.426,17.426,17.426,17.426,220,0
2013-05-06,17:35:00,17.418,17.418,17.418,17.418,104,0
2013-05-07,15:35:00,17.35,17.35,17.35,17.35,325,0
2013-05-10,15:35:00,17.513,17.513,17.513,17.513,325,0
2013-05-14,16:25:00,17.541,17.541,17.531,17.531,493,0
2013-05-22,15:35:00,17.56,17.56,17.56,17.56,109,0
2013-05-30,15:45:00,17.541,17.541,17.541,17.541,220,0
2013-05-30,16:05:00,17.467,17.467,17.448,17.467,736,0
2013-06-03,17:35:00,17.78,17.789,17.78,17.789,1089,0
2013-06-04,20:25:00,17.685,17.685,17.685,17.685,168,0
2013-06-05,16:50:00,17.331,17.331,17.331,17.331,104,0
2013-06-05,20:40:00,17.42,17.42,17.42,17.42,245,0
2013-06-05,21:30:00,18.387,18.387,18.177,18.177,1305,0
2013-06-05,21:35:00,18.177,18.177,18.177,18.177,649,0
2013-06-07,18:30:00,17.521,17.521,17.521,17.521,104,0
2013-06-07,20:55:00,17.521,17.521,17.521,17.521,104,0
2013-06-07,21:55:00,17.58,17.58,17.58,17.58,104,0
2013-06-07,22:00:00,17.616,17.616,17.616,17.616,104,0
2013-06-10,15:35:00,17.531,17.531,17.531,17.531,208,0
2013-06-10,18:15:00,18.192,18.192,18.192,18.192,220,0
2013-06-11,15:35:00,17.855,17.855,17.855,17.855,325,0
2013-06-11,20:40:00,17.714,17.714,17.714,17.714,104,0
2013-06-13,18:10:00,18.202,18.202,18.202,18.202,520,0
2013-06-14,15:35:00,18.177,18.177,18.177,18.177,220,0
2013-06-14,16:55:00,18.177,18.177,18.144,18.144,649,0
2013-06-17,21:45:00,17.971,17.971,17.971,17.971,413,0
2013-06-18,15:35:00,18.009,18.009,18.009,18.009,436,0
2013-06-18,19:55:00,17.56,17.597,17.56,17.56,1062,0
2013-06-18,22:00:00,17.588,17.588,17.588,17.588,104,0
2013-06-19,21:35:00,17.927,17.927,17.927,17.927,763,0
2013-06-21,18:00:00,17.927,17.927,17.927,17.927,220,0
2013-06-21,18:05:00,18.064,18.064,18.064,18.064,436,0
2013-06-21,19:55:00,17.927,17.927,17.927,17.927,1794,0
2013-06-28,21:40:00,17.995,17.995,17.592,17.592,1032,0
2013-07-01,20:55:00,17.718,17.775,17.718,17.775,434,0
2013-07-02,19:40:00,17.976,17.976,17.976,17.976,104,0
2013-07-02,19:45:00,17.986,17.986,17.986,17.986,104,0
2013-07-02,19:50:00,17.986,17.986,17.986,17.986,219,0
2013-07-02,20:00:00,17.995,17.995,17.995,17.995,104,0
2013-07-02,20:05:00,17.995,17.995,17.995,17.995,104,0
2013-07-02,20:20:00,17.995,17.995,17.995,17.995,133,0
2013-07-02,22:00:00,17.995,17.995,17.995,17.995,219,0
2013-07-03,15:35:00,18.136,18.136,18.136,18.136,434,0
2013-07-03,15:50:00,17.304,17.535,17.304,17.535,866,0
2013-07-08,21:10:00,17.791,17.802,17.535,17.535,7370,0
2013-07-08,21:55:00,17.535,17.535,17.535,17.535,2283,0
2013-07-09,17:25:00,18.079,18.079,18.079,18.079,104,0
2013-07-09,17:30:00,17.535,17.563,17.535,17.535,3793,0
2013-07-09,20:55:00,17.647,17.699,17.539,17.539,2600,0
2013-07-10,15:35:00,17.525,17.525,17.525,17.525,118,0
2013-07-10,21:35:00,17.535,17.535,17.535,17.535,5420,0
