Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-21,15:35:00,89.22,89.23,89.19,89.19,1347,0
2016-06-21,15:40:00,88.68,88.75,88.68,88.75,200,0
2016-06-21,15:45:00,88.77,89.52,88.77,89.52,200,0
2016-06-21,15:50:00,88.88,89.47,88.83,88.83,600,0
2016-06-21,15:55:00,88.83,88.83,88.53,88.53,1200,0
2016-06-21,16:00:00,88.79,89.16,88.79,88.91,1405,0
2016-06-21,16:05:00,89.04,89.04,88.75,88.75,700,0
2016-06-21,16:10:00,88.9,89.13,88.9,89.13,700,0
2016-06-21,16:15:00,89.03,89.3,88.95,89.3,600,0
2016-06-21,16:20:00,89.25,89.26,89.04,89.2,1100,0
2016-06-21,16:25:00,88.93,88.93,88.68,88.68,900,0
2016-06-21,16:30:00,88.86,88.89,88.65,88.87,2950,0
2016-06-21,16:35:00,88.93,88.94,88.81,88.94,600,0
2016-06-21,16:40:00,88.853,88.91,88.81,88.91,600,0
2016-06-21,16:45:00,88.92,88.92,88.63,88.63,350,0
2016-06-21,16:50:00,88.59,88.69,88.54,88.54,700,0
2016-06-21,16:55:00,88.58,88.61,88.545,88.61,1400,0
2016-06-21,17:00:00,88.58,88.58,88.35,88.39,1700,0
2016-06-21,17:05:00,88.47,88.47,88.38,88.39,600,0
2016-06-21,17:10:00,88.48,88.66,88.43,88.43,1505,0
2016-06-21,17:15:00,88.43,88.69,88.34,88.69,1125,0
2016-06-21,17:20:00,88.69,88.71,88.69,88.7,300,0
2016-06-21,17:25:00,88.71,88.83,88.71,88.75,500,0
2016-06-21,17:30:00,88.74,88.92,88.74,88.92,400,0
2016-06-21,17:35:00,88.79,88.79,88.6,88.6,800,0
2016-06-21,17:40:00,88.56,88.56,88.475,88.475,200,0
2016-06-21,17:45:00,88.44,88.56,88.41,88.56,1200,0
2016-06-21,17:50:00,88.52,88.52,88.52,88.52,100,0
2016-06-21,17:55:00,88.33,88.33,88.24,88.24,400,0
2016-06-21,18:00:00,88.24,88.301,88.24,88.301,400,0
2016-06-21,18:05:00,88.4,88.74,88.375,88.67,1300,0
2016-06-21,18:10:00,88.67,88.67,88.63,88.63,200,0
2016-06-21,18:15:00,88.57,88.81,88.396,88.81,1000,0
2016-06-21,18:20:00,88.89,88.89,88.85,88.85,200,0
2016-06-21,18:25:00,88.8,88.91,88.8,88.91,300,0
2016-06-21,18:30:00,88.821,88.91,88.821,88.9,327,0
2016-06-21,18:35:00,88.9,89.04,88.81,88.88,3700,0
2016-06-21,18:40:00,88.97,88.97,88.821,88.821,200,0
2016-06-21,18:45:00,88.99,88.99,88.99,88.99,100,0
2016-06-21,18:50:00,88.89,88.89,88.84,88.89,600,0
2016-06-21,18:55:00,88.805,88.92,88.805,88.92,300,0
2016-06-21,19:00:00,88.83,88.83,88.83,88.83,100,0
2016-06-21,19:05:00,88.93,89.02,88.93,88.95,1400,0
2016-06-21,19:10:00,88.97,89.03,88.93,88.93,890,0
2016-06-21,19:15:00,88.89,88.93,88.83,88.93,1700,0
2016-06-21,19:20:00,88.97,88.97,88.97,88.97,100,0
2016-06-21,19:25:00,88.85,88.91,88.85,88.91,700,0
2016-06-21,19:35:00,88.97,89.06,88.97,89.06,600,0
2016-06-21,19:40:00,88.97,88.97,88.76,88.83,1561,0
