Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-22,15:35:00,9.59,9.77,9.52,9.59,2535,0
2016-06-22,15:40:00,9.58,9.58,9.49,9.49,1500,0
2016-06-22,15:45:00,9.51,9.51,9.44,9.44,400,0
2016-06-22,15:50:00,9.43,9.45,9.43,9.45,200,0
2016-06-22,15:55:00,9.46,9.47,9.46,9.47,200,0
2016-06-22,16:00:00,9.49,9.53,9.47,9.47,1165,0
2016-06-22,16:05:00,9.47,9.49,9.43,9.43,2081,0
2016-06-22,16:10:00,9.45,9.53,9.45,9.485,3600,0
2016-06-22,16:15:00,9.5,9.562,9.5,9.53,2200,0
2016-06-22,16:20:00,9.54,9.57,9.5,9.55,3600,0
2016-06-22,16:25:00,9.5672,9.57,9.5,9.5534,2000,0
2016-06-22,16:30:00,9.59,9.59,9.51,9.51,600,0
2016-06-22,16:35:00,9.53,9.535,9.53,9.535,600,0
2016-06-22,16:40:00,9.55,9.61,9.54,9.61,2200,0
2016-06-22,16:45:00,9.64,9.65,9.61,9.61,400,0
2016-06-22,16:50:00,9.6,9.66,9.58,9.66,1400,0
2016-06-22,16:55:00,9.63,9.64,9.63,9.64,1600,0
2016-06-22,17:00:00,9.66,9.68,9.66,9.675,400,0
2016-06-22,17:05:00,9.67,9.69,9.66,9.68,2300,0
2016-06-22,17:10:00,9.66,9.68,9.66,9.68,200,0
2016-06-22,17:15:00,9.68,9.72,9.67,9.7,1000,0
2016-06-22,17:20:00,9.68,9.7,9.67,9.7,900,0
2016-06-22,17:25:00,9.6952,9.6952,9.64,9.65,1923,0
2016-06-22,17:30:00,9.66,9.67,9.63,9.64,2100,0
2016-06-22,17:35:00,9.64,9.66,9.63,9.65,3400,0
2016-06-22,17:40:00,9.68,9.68,9.64,9.66,1600,0
2016-06-22,17:45:00,9.67,9.67,9.635,9.645,2100,0
2016-06-22,17:50:00,9.63,9.66,9.61,9.65,7200,0
2016-06-22,17:55:00,9.65,9.67,9.65,9.67,300,0
2016-06-22,18:00:00,9.65,9.68,9.635,9.65,1200,0
2016-06-22,18:05:00,9.64,9.68,9.63,9.68,1700,0
2016-06-22,18:10:00,9.645,9.65,9.64,9.64,600,0
2016-06-22,18:15:00,9.65,9.66,9.65,9.66,600,0
2016-06-22,18:20:00,9.65,9.65,9.62,9.63,1400,0
2016-06-22,18:25:00,9.638,9.65,9.61,9.64,4500,0
2016-06-22,18:30:00,9.62,9.65,9.6,9.6,3300,0
2016-06-22,18:35:00,9.63,9.63,9.51,9.51,3917,0
2016-06-22,18:40:00,9.52,9.52,9.52,9.52,200,0
2016-06-22,18:45:00,9.54,9.58,9.54,9.58,1200,0
2016-06-22,18:50:00,9.56,9.56,9.54,9.54,400,0
2016-06-22,18:55:00,9.53,9.55,9.525,9.525,4400,0
2016-06-22,19:00:00,9.51,9.57,9.51,9.535,3300,0
2016-06-22,19:05:00,9.54,9.55,9.51,9.51,2200,0
2016-06-22,19:10:00,9.52,9.52,9.49,9.49,1000,0
2016-06-22,19:15:00,9.48,9.51,9.47,9.51,1000,0
2016-06-22,19:20:00,9.52,9.52,9.5,9.51,300,0
2016-06-22,19:25:00,9.4934,9.4934,9.4934,9.4934,475,0
2016-06-22,19:30:00,9.51,9.5172,9.49,9.5172,1800,0
2016-06-22,19:40:00,9.49,9.51,9.49,9.51,700,0
2016-06-22,19:45:00,9.52,9.52,9.52,9.52,200,0
2016-06-22,19:50:00,9.52,9.52,9.52,9.52,200,0
2016-06-22,19:55:00,9.5,9.5,9.5,9.5,700,0
2016-06-22,20:00:00,9.5,9.52,9.495,9.52,1100,0
2016-06-22,20:05:00,9.5,9.5199,9.495,9.5199,833,0
2016-06-22,20:10:00,9.5,9.5,9.5,9.5,100,0
2016-06-22,20:15:00,9.5,9.5,9.49,9.5,1700,0
2016-06-22,20:20:00,9.5,9.5002,9.5,9.5,1200,0
2016-06-22,20:25:00,9.49,9.51,9.49,9.51,1661,0
2016-06-22,20:30:00,9.515,9.515,9.5,9.5093,402,0
2016-06-22,20:35:00,9.5,9.51,9.5,9.51,800,0
2016-06-22,20:40:00,9.5,9.51,9.5,9.51,900,0
2016-06-22,20:45:00,9.505,9.505,9.5,9.5,500,0
2016-06-22,20:50:00,9.5,9.5,9.47,9.47,1000,0
2016-06-22,20:55:00,9.4712,9.5,9.4712,9.5,880,0
2016-06-22,21:00:00,9.5,9.52,9.5,9.52,200,0
2016-06-22,21:05:00,9.5,9.5,9.49,9.49,900,0
2016-06-22,21:10:00,9.5,9.51,9.48,9.5,4700,0
2016-06-22,21:15:00,9.5,9.51,9.49,9.49,1300,0
2016-06-22,21:20:00,9.5,9.51,9.495,9.5,2100,0
2016-06-22,21:25:00,9.5,9.51,9.485,9.5,5769,0
2016-06-22,21:30:00,9.51,9.51,9.48,9.5,3700,0
2016-06-22,21:35:00,9.5,9.51,9.4832,9.5016,1100,0
2016-06-22,21:40:00,9.52,9.52,9.5,9.5,9699,0
2016-06-22,21:45:00,9.51,9.51,9.48,9.505,5263,0
2016-06-22,21:50:00,9.505,9.51,9.485,9.505,16171,0
2016-06-22,21:55:00,9.5,9.5,9.47,9.47,20828,0
2016-06-22,22:00:00,9.48,9.48,9.44,9.45,8943,0
2016-06-23,15:35:00,9.53,9.55,9.405,9.44,31711,0
2016-06-23,15:40:00,9.44,9.54,9.4,9.51,10715,0
2016-06-23,15:45:00,9.4904,9.58,9.48,9.56,4048,0
2016-06-23,15:50:00,9.51,9.54,9.51,9.54,400,0
2016-06-23,15:55:00,9.54,9.58,9.49,9.5,5999,0
2016-06-23,16:00:00,9.52,9.55,9.495,9.55,1377,0
2016-06-23,16:05:00,9.55,9.63,9.55,9.63,800,0
2016-06-23,16:10:00,9.63,9.67,9.63,9.63,2700,0
