Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-21,15:35:00,7.71,7.71,7.71,7.71,452,0
2016-06-21,15:40:00,7.6,7.6219,7.52,7.52,600,0
2016-06-21,15:45:00,7.52,7.6,7.402,7.6,2000,0
2016-06-21,15:50:00,7.56,7.63,7.56,7.63,600,0
2016-06-21,16:00:00,7.58,7.5922,7.58,7.5922,200,0
2016-06-21,16:05:00,7.54,7.54,7.54,7.54,100,0
2016-06-21,16:10:00,7.5199,7.62,7.5199,7.61,1500,0
2016-06-21,16:15:00,7.5592,7.6,7.5592,7.6,250,0
2016-06-21,16:20:00,7.56,7.56,7.51,7.51,200,0
2016-06-21,16:35:00,7.51,7.57,7.51,7.57,200,0
2016-06-21,16:45:00,7.51,7.51,7.41,7.46,1900,0
2016-06-21,16:50:00,7.47,7.53,7.47,7.53,3300,0
2016-06-21,16:55:00,7.4599,7.47,7.41,7.47,650,0
2016-06-21,17:05:00,7.4265,7.45,7.42,7.45,800,0
2016-06-21,17:15:00,7.45,7.47,7.45,7.47,400,0
2016-06-21,17:20:00,7.47,7.47,7.47,7.47,100,0
2016-06-21,17:25:00,7.44,7.44,7.42,7.44,1200,0
2016-06-21,17:30:00,7.39,7.43,7.39,7.43,200,0
2016-06-21,17:35:00,7.4,7.4,7.36,7.37,600,0
2016-06-21,17:40:00,7.3875,7.41,7.38,7.38,700,0
2016-06-21,17:45:00,7.41,7.47,7.4,7.43,1300,0
2016-06-21,17:55:00,7.31,7.38,7.31,7.33,8200,0
2016-06-21,18:00:00,7.33,7.35,7.33,7.35,700,0
2016-06-21,18:05:00,7.35,7.35,7.35,7.35,100,0
2016-06-21,18:10:00,7.33,7.48,7.29,7.45,15474,0
2016-06-21,18:15:00,7.45,7.48,7.45,7.48,700,0
2016-06-21,18:20:00,7.48,7.55,7.465,7.52,6649,0
2016-06-21,18:25:00,7.49,7.6,7.44,7.45,15217,0
2016-06-21,18:30:00,7.46,7.46,7.36,7.41,4401,0
2016-06-21,18:35:00,7.4,7.4,7.35,7.35,1304,0
2016-06-21,18:40:00,7.36,7.36,7.36,7.36,100,0
2016-06-21,18:45:00,7.35,7.42,7.35,7.42,1257,0
2016-06-21,18:50:00,7.41,7.41,7.3205,7.33,792,0
2016-06-21,18:55:00,7.333,7.333,7.333,7.333,100,0
2016-06-21,19:00:00,7.37,7.37,7.37,7.37,100,0
2016-06-21,19:10:00,7.345,7.38,7.345,7.38,700,0
2016-06-21,19:15:00,7.3799,7.3799,7.3799,7.3799,100,0
2016-06-21,19:20:00,7.37,7.38,7.37,7.37,400,0
2016-06-21,19:25:00,7.36,7.38,7.36,7.38,1200,0
2016-06-21,19:30:00,7.36,7.36,7.36,7.36,100,0
2016-06-21,19:35:00,7.37,7.37,7.37,7.37,300,0
