Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-10,15:35:00,15.53,16.135,15.53,15.99,642,0
2016-06-10,15:55:00,15.6,15.61,15.6,15.61,247,0
2016-06-10,16:00:00,15.81,15.83,15.81,15.83,200,0
2016-06-10,16:05:00,15.79,15.79,15.79,15.79,100,0
2016-06-10,16:15:00,15.7,15.71,15.7,15.71,200,0
2016-06-10,16:20:00,15.75,15.75,15.75,15.75,200,0
2016-06-10,16:25:00,15.78,15.79,15.7665,15.79,400,0
2016-06-10,16:30:00,15.7958,15.7958,15.7958,15.7958,200,0
2016-06-10,16:35:00,15.8,15.88,15.77,15.81,1400,0
2016-06-10,16:40:00,15.93,15.93,15.93,15.93,200,0
2016-06-10,16:45:00,15.88,15.915,15.87,15.87,600,0
2016-06-10,16:50:00,15.87,15.9,15.87,15.9,200,0
2016-06-10,17:10:00,15.96,15.99,15.95,15.99,2200,0
2016-06-10,17:15:00,16,16,15.97,15.97,2376,0
2016-06-10,17:20:00,15.92,15.92,15.83,15.86,1000,0
2016-06-10,17:25:00,15.84,15.9385,15.84,15.9,1700,0
2016-06-10,17:40:00,15.85,15.85,15.85,15.85,100,0
2016-06-10,17:45:00,15.84,15.91,15.84,15.91,200,0
2016-06-10,17:50:00,15.94,15.94,15.94,15.94,100,0
2016-06-10,18:00:00,15.88,15.98,15.88,15.88,2000,0
2016-06-10,18:10:00,15.88,15.88,15.88,15.88,200,0
2016-06-10,18:15:00,15.83,15.83,15.83,15.83,100,0
2016-06-10,18:20:00,15.83,15.86,15.36,15.37,10242,0
2016-06-10,18:25:00,15.52,15.52,15.41,15.41,500,0
2016-06-10,18:30:00,15.52,15.52,15.38,15.38,200,0
2016-06-10,18:35:00,15.37,15.43,15.37,15.43,200,0
2016-06-10,18:45:00,15.38,15.38,15.37,15.37,200,0
2016-06-10,19:05:00,15.44,15.44,15.43,15.43,200,0
2016-06-10,19:10:00,15.43,15.43,15.42,15.42,200,0
2016-06-10,19:15:00,15.38,15.38,15.38,15.38,100,0
2016-06-10,19:30:00,15.37,15.37,15.37,15.37,100,0
2016-06-10,19:40:00,15.39,15.45,15.39,15.4,700,0
2016-06-10,19:50:00,15.4,15.42,15.4,15.42,200,0
2016-06-10,19:55:00,15.35,15.35,15.35,15.35,100,0
2016-06-10,20:00:00,15.29,15.29,15.27,15.27,200,0
2016-06-10,20:10:00,15.27,15.27,15.27,15.27,400,0
2016-06-10,20:15:00,15.25,15.3,15.24,15.24,800,0
2016-06-10,20:35:00,15.29,15.29,15.29,15.29,100,0
2016-06-10,20:40:00,15.3,15.4,15.29,15.365,3488,0
2016-06-10,20:45:00,15.38,15.38,15.38,15.38,500,0
2016-06-10,20:50:00,15.38,15.4,15.26,15.26,1000,0
2016-06-10,20:55:00,15.27,15.27,15.18,15.18,1200,0
2016-06-10,21:00:00,15.21,15.21,15.11,15.12,1100,0
2016-06-10,21:05:00,15.13,15.17,15.13,15.15,1290,0
2016-06-10,21:10:00,15.25,15.25,15.13,15.15,1600,0
2016-06-10,21:15:00,15.14,15.15,15.125,15.13,800,0
2016-06-10,21:20:00,15.1,15.1,15.1,15.1,100,0
2016-06-10,21:25:00,15.14,15.14,15.14,15.14,100,0
2016-06-10,21:35:00,15.26,15.26,15.26,15.26,200,0
2016-06-10,21:40:00,15.3,15.35,15.3,15.35,400,0
2016-06-10,21:45:00,15.34,15.34,15.32,15.33,1000,0
2016-06-10,21:50:00,15.34,15.38,15.34,15.38,800,0
2016-06-10,21:55:00,15.39,15.4,15.36,15.4,400,0
2016-06-10,22:00:00,15.39,15.39,15.32,15.32,3087,0
2016-06-13,15:35:00,15.36,15.87,15.36,15.73,742,0
2016-06-13,15:40:00,15.67,15.67,15.42,15.42,500,0
2016-06-13,15:45:00,15.29,15.3,15.29,15.3,200,0
2016-06-13,15:50:00,15.31,15.35,15.25,15.34,400,0
2016-06-13,15:55:00,15.4,15.4,15.34,15.34,300,0
2016-06-13,16:00:00,15.46,15.46,15.46,15.46,200,0
2016-06-13,16:10:00,15.38,15.38,15.36,15.38,840,0
2016-06-13,16:15:00,15.36,15.385,15.34,15.35,900,0
2016-06-13,16:20:00,15.33,15.39,15.29,15.39,300,0
2016-06-13,16:25:00,15.36,15.37,15.36,15.37,200,0
2016-06-13,16:30:00,15.46,15.46,15.45,15.45,200,0
2016-06-13,16:35:00,15.49,15.51,15.49,15.51,400,0
2016-06-13,16:40:00,15.51,15.51,15.45,15.45,200,0
2016-06-13,16:45:00,15.49,15.54,15.49,15.54,400,0
2016-06-13,16:50:00,15.57,15.62,15.57,15.62,400,0
2016-06-13,17:00:00,15.61,15.61,15.54,15.54,600,0
2016-06-13,17:05:00,15.53,15.54,15.51,15.54,500,0
2016-06-13,17:10:00,15.54,15.62,15.46,15.62,1700,0
2016-06-13,17:15:00,15.5,15.5,15.5,15.5,100,0
2016-06-13,17:25:00,15.57,15.58,15.57,15.58,400,0
2016-06-13,17:30:00,15.6,15.62,15.6,15.62,200,0
2016-06-13,17:35:00,15.75,15.75,15.75,15.75,100,0
2016-06-13,17:40:00,15.7,15.7,15.69,15.69,200,0
2016-06-13,17:45:00,15.69,15.75,15.69,15.75,801,0
2016-06-13,17:50:00,15.73,15.73,15.67,15.67,400,0
2016-06-13,17:55:00,15.62,15.62,15.62,15.62,100,0
2016-06-13,18:00:00,15.62,15.62,15.605,15.605,400,0
2016-06-13,18:05:00,15.65,15.65,15.65,15.65,100,0
2016-06-13,18:15:00,15.65,15.65,15.65,15.65,200,0
2016-06-13,18:20:00,15.66,15.7,15.66,15.7,300,0
2016-06-13,18:25:00,15.69,15.69,15.69,15.69,100,0
2016-06-13,18:30:00,15.69,15.73,15.69,15.73,200,0
2016-06-13,18:40:00,15.74,15.74,15.74,15.74,100,0
2016-06-13,18:50:00,15.74,15.74,15.66,15.66,600,0
2016-06-13,18:55:00,15.63,15.69,15.63,15.66,600,0
2016-06-13,19:00:00,15.6,15.61,15.6,15.61,200,0
2016-06-13,19:05:00,15.64,15.64,15.58,15.58,548,0
2016-06-13,19:20:00,15.61,15.61,15.61,15.61,100,0
2016-06-13,19:25:00,15.58,15.62,15.58,15.62,300,0
2016-06-13,19:35:00,15.65,15.65,15.65,15.65,100,0
2016-06-13,19:40:00,15.64,15.64,15.64,15.64,100,0
2016-06-13,19:45:00,15.62,15.62,15.6,15.6,200,0
2016-06-13,19:50:00,15.62,15.62,15.57,15.59,300,0
2016-06-13,20:00:00,15.62,15.62,15.58,15.58,500,0
2016-06-13,20:05:00,15.6,15.63,15.6,15.6,502,0
2016-06-13,20:15:00,15.63,15.63,15.63,15.63,200,0
2016-06-13,20:20:00,15.65,15.65,15.62,15.62,200,0
2016-06-13,20:25:00,15.64,15.64,15.64,15.64,100,0
2016-06-13,20:30:00,15.64,15.64,15.64,15.64,200,0
2016-06-13,20:35:00,15.65,15.72,15.65,15.72,200,0
2016-06-13,20:40:00,15.7,15.7,15.7,15.7,300,0
2016-06-13,20:45:00,15.71,15.71,15.71,15.71,100,0
2016-06-13,20:50:00,15.715,15.81,15.69,15.69,9899,0
2016-06-13,20:55:00,15.81,15.81,15.81,15.81,100,0
2016-06-13,21:00:00,15.81,15.81,15.81,15.81,400,0
2016-06-13,21:15:00,15.66,15.69,15.66,15.69,300,0
2016-06-13,21:20:00,15.73,15.73,15.73,15.73,100,0
2016-06-13,21:25:00,15.73,15.73,15.66,15.66,824,0
2016-06-13,21:30:00,15.63,15.68,15.63,15.63,500,0
2016-06-13,21:35:00,15.62,15.71,15.57,15.68,1900,0
2016-06-13,21:40:00,15.69,15.75,15.63,15.63,1500,0
2016-06-13,21:45:00,15.65,15.68,15.62,15.66,1000,0
