Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-20,15:35:00,2.81,2.88,2.8,2.86,6530,0
2016-06-20,15:40:00,2.82,2.82,2.8,2.82,1000,0
2016-06-20,15:45:00,2.8,2.8113,2.77,2.78,15994,0
2016-06-20,15:50:00,2.78,2.786,2.77,2.78,7802,0
2016-06-20,15:55:00,2.77,2.7799,2.71,2.715,12465,0
2016-06-20,16:00:00,2.71,2.7299,2.71,2.7299,5500,0
2016-06-20,16:05:00,2.71,2.73,2.71,2.73,1900,0
2016-06-20,16:10:00,2.73,2.8,2.73,2.8,2600,0
2016-06-20,16:15:00,2.79,2.79,2.79,2.79,200,0
2016-06-20,16:20:00,2.77,2.82,2.77,2.82,910,0
2016-06-20,16:25:00,2.79,2.85,2.79,2.85,500,0
2016-06-20,16:30:00,2.85,2.85,2.77,2.81,7309,0
2016-06-20,16:35:00,2.78,2.8399,2.78,2.78,2900,0
2016-06-20,16:40:00,2.8149,2.83,2.79,2.8,1090,0
2016-06-20,16:45:00,2.83,2.83,2.83,2.83,100,0
2016-06-20,16:55:00,2.8025,2.83,2.8025,2.81,800,0
2016-06-20,17:00:00,2.83,2.83,2.81,2.825,1800,0
2016-06-20,17:05:00,2.82,2.825,2.82,2.82,1300,0
2016-06-20,17:10:00,2.81,2.82,2.81,2.82,700,0
2016-06-20,17:15:00,2.81,2.83,2.81,2.83,2300,0
2016-06-20,17:20:00,2.81,2.83,2.81,2.83,3029,0
2016-06-20,17:25:00,2.81,2.81,2.81,2.81,100,0
2016-06-20,17:30:00,2.8,2.8,2.8,2.8,600,0
2016-06-20,17:35:00,2.82,2.83,2.81,2.8234,2500,0
2016-06-20,17:40:00,2.8286,2.8286,2.8,2.8,3170,0
2016-06-20,17:45:00,2.82,2.82,2.82,2.82,100,0
2016-06-20,17:50:00,2.81,2.81,2.81,2.81,500,0
2016-06-20,17:55:00,2.82,2.82,2.82,2.82,1100,0
2016-06-20,18:00:00,2.85,2.85,2.84,2.84,1200,0
2016-06-20,18:05:00,2.845,2.845,2.83,2.84,1500,0
2016-06-20,18:10:00,2.83,2.85,2.83,2.84,3200,0
2016-06-20,18:15:00,2.83,2.85,2.8201,2.8201,8778,0
2016-06-20,18:20:00,2.82,2.835,2.82,2.82,6000,0
2016-06-20,18:25:00,2.82,2.82,2.79,2.79,3100,0
2016-06-20,18:30:00,2.76,2.77,2.73,2.77,2800,0
2016-06-20,18:35:00,2.76,2.79,2.74,2.78,2100,0
2016-06-20,18:40:00,2.77,2.77,2.77,2.77,800,0
2016-06-20,18:45:00,2.77,2.77,2.77,2.77,400,0
2016-06-20,18:50:00,2.76,2.76,2.74,2.74,300,0
2016-06-20,18:55:00,2.74,2.78,2.74,2.75,3500,0
2016-06-20,19:00:00,2.78,2.81,2.78,2.81,900,0
2016-06-20,19:05:00,2.81,2.83,2.81,2.81,1539,0
2016-06-20,19:10:00,2.8,2.805,2.8,2.8,648,0
2016-06-20,19:15:00,2.82,2.82,2.8,2.8047,700,0
2016-06-20,19:20:00,2.81,2.81,2.81,2.81,100,0
2016-06-20,19:25:00,2.82,2.82,2.81,2.81,1300,0
2016-06-20,19:30:00,2.81,2.81,2.8,2.81,700,0
2016-06-20,19:35:00,2.8022,2.8022,2.76,2.76,5481,0
2016-06-20,19:40:00,2.75,2.76,2.75,2.76,900,0
2016-06-20,19:50:00,2.77,2.78,2.77,2.77,1300,0
