Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-09,15:35:00,49.42,49.42,49.185,49.185,532,0
2016-06-09,15:40:00,48.67,49.1,48.67,49.1,200,0
2016-06-09,15:45:00,48.63,49,48.62,48.9,400,0
2016-06-09,15:50:00,48.787,48.787,48.48,48.48,600,0
2016-06-09,15:55:00,48.48,48.54,48.48,48.54,200,0
2016-06-09,16:00:00,48.58,48.64,48.58,48.6,400,0
2016-06-09,16:05:00,48.72,48.8199,48.67,48.8199,1500,0
2016-06-09,16:20:00,48.85,49.1,48.85,49.1,300,0
2016-06-09,16:35:00,49.19,49.19,49.05,49.05,733,0
2016-06-09,16:40:00,48.99,48.99,48.99,48.99,100,0
2016-06-09,16:45:00,48.88,48.88,48.88,48.88,100,0
2016-06-09,16:50:00,48.85,48.85,48.85,48.85,100,0
2016-06-09,16:55:00,49.09,49.09,49.09,49.09,100,0
2016-06-09,17:05:00,49.21,49.21,49.02,49.02,200,0
2016-06-09,17:10:00,49.2,49.31,49.19,49.31,500,0
2016-06-09,17:20:00,49.19,49.19,49.19,49.19,100,0
2016-06-09,17:30:00,49.08,49.08,49.08,49.08,100,0
2016-06-09,17:55:00,49.16,49.16,49.16,49.16,200,0
2016-06-09,18:05:00,49.18,49.18,49.18,49.18,100,0
2016-06-09,18:15:00,49.15,49.15,49.15,49.15,100,0
2016-06-09,18:30:00,49.22,49.23,49.22,49.23,200,0
2016-06-09,18:35:00,49.28,49.28,49.28,49.28,100,0
2016-06-09,18:50:00,49.4,49.4,49.4,49.4,100,0
2016-06-09,18:55:00,49.46,49.46,49.46,49.46,100,0
2016-06-09,19:00:00,49.56,49.56,49.56,49.56,100,0
2016-06-09,19:15:00,49.41,49.41,49.37,49.37,200,0
2016-06-09,19:25:00,49.52,49.55,49.45,49.45,800,0
2016-06-09,19:40:00,49.3,49.3,49.3,49.3,100,0
2016-06-09,20:05:00,49.32,49.33,49.3,49.33,400,0
2016-06-09,20:10:00,49.25,49.25,49.25,49.25,100,0
2016-06-09,20:15:00,49.34,49.34,49.34,49.34,500,0
2016-06-09,20:30:00,49.4,49.4,49.36,49.36,300,0
2016-06-09,20:40:00,49.41,49.41,49.41,49.41,1338,0
2016-06-09,20:50:00,49.37,49.37,49.37,49.37,100,0
2016-06-09,21:45:00,49.35,49.35,49.35,49.35,100,0
2016-06-09,21:50:00,49.32,49.32,49.32,49.32,100,0
2016-06-09,21:55:00,49.33,49.33,49.33,49.33,100,0
2016-06-09,22:00:00,49.34,49.34,49.28,49.28,5881,0
2016-06-10,15:35:00,49.09,49.09,49.09,49.09,590,0
2016-06-10,15:45:00,49.04,49.04,49.02,49.02,300,0
2016-06-10,15:50:00,49.03,49.24,49,49,500,0
2016-06-10,15:55:00,49.01,49.02,49.01,49.02,339,0
2016-06-10,16:00:00,49.03,49.06,49.03,49.06,200,0
2016-06-10,16:05:00,49.07,49.07,48.99,48.99,200,0
2016-06-10,16:10:00,48.83,48.83,48.83,48.83,100,0
2016-06-10,16:15:00,48.84,48.89,48.84,48.89,200,0
2016-06-10,16:20:00,48.6,48.78,48.6,48.78,400,0
2016-06-10,16:25:00,48.73,48.78,48.73,48.78,300,0
2016-06-10,16:30:00,49.099,49.099,49.099,49.099,100,0
2016-06-10,16:50:00,48.96,48.96,48.96,48.96,100,0
2016-06-10,16:55:00,48.92,48.92,48.92,48.92,100,0
2016-06-10,17:00:00,48.99,48.99,48.99,48.99,100,0
2016-06-10,17:05:00,49.16,49.16,49.16,49.16,100,0
2016-06-10,17:30:00,49.22,49.22,49.22,49.22,100,0
2016-06-10,17:35:00,49.18,49.18,49.18,49.18,200,0
2016-06-10,17:40:00,49.14,49.14,49,49,300,0
2016-06-10,17:45:00,49.119,49.119,49.05,49.0899,400,0
2016-06-10,17:55:00,49.1,49.11,49.1,49.11,200,0
2016-06-10,18:05:00,49.32,49.32,49.32,49.32,100,0
2016-06-10,18:15:00,49.2632,49.2632,49.2632,49.2632,100,0
2016-06-10,19:25:00,49.02,49.02,49.02,49.02,100,0
2016-06-10,20:25:00,49.05,49.07,49.05,49.07,1000,0
2016-06-10,20:30:00,49.07,49.07,49.07,49.07,100,0
2016-06-10,20:40:00,49.13,49.13,49.13,49.13,700,0
2016-06-10,20:55:00,49.25,49.25,49.25,49.25,100,0
2016-06-10,21:00:00,49.06,49.06,49.06,49.06,100,0
2016-06-10,21:10:00,49.22,49.22,49.22,49.22,100,0
2016-06-10,21:15:00,49.14,49.22,49.14,49.22,200,0
2016-06-10,21:30:00,49.22,49.22,49.22,49.22,800,0
2016-06-10,21:35:00,49.21,49.21,49.13,49.13,605,0
2016-06-10,21:40:00,49.13,49.21,49.13,49.13,300,0
2016-06-10,21:45:00,49.05,49.05,49.05,49.05,100,0
2016-06-10,21:50:00,49.04,49.16,49,49.13,1662,0
2016-06-10,22:00:00,49.12,49.15,49.075,49.15,1005,0
2016-06-13,15:35:00,48.52,48.52,48.02,48.04,2564,0
2016-06-13,15:40:00,48.11,48.34,48.11,48.33,500,0
2016-06-13,15:45:00,48.11,48.57,48.11,48.57,700,0
2016-06-13,15:50:00,48.35,48.53,48.35,48.53,1701,0
2016-06-13,15:55:00,48.49,48.53,48.43,48.43,700,0
2016-06-13,16:05:00,48.41,48.46,48.41,48.46,500,0
2016-06-13,16:10:00,48.43,48.43,48.33,48.38,1800,0
2016-06-13,16:30:00,48.52,48.54,48.47,48.47,1100,0
2016-06-13,16:35:00,48.52,48.54,48.52,48.54,600,0
2016-06-13,16:40:00,48.46,48.46,48.46,48.46,100,0
2016-06-13,16:45:00,48.33,48.33,48.33,48.33,100,0
2016-06-13,16:50:00,48.33,48.33,48.33,48.33,200,0
2016-06-13,17:00:00,48.09,48.2,48.09,48.14,400,0
2016-06-13,17:10:00,48.17,48.2,48.1,48.2,1500,0
2016-06-13,17:20:00,48.13,48.13,48.13,48.13,100,0
2016-06-13,17:30:00,48.15,48.17,48.15,48.17,200,0
2016-06-13,17:45:00,48.03,48.03,48.01,48.01,500,0
2016-06-13,17:50:00,48.01,48.01,47.97,47.97,800,0
2016-06-13,17:55:00,47.96,47.96,47.96,47.96,100,0
2016-06-13,18:05:00,47.98,48,47.98,47.99,1050,0
2016-06-13,18:10:00,47.99,48.07,47.99,48.07,700,0
2016-06-13,18:20:00,48.06,48.06,48.06,48.06,100,0
2016-06-13,18:35:00,48.04,48.04,48.04,48.04,100,0
2016-06-13,18:45:00,48.05,48.06,48.05,48.06,200,0
2016-06-13,19:15:00,47.994,48.01,47.93,47.98,1100,0
2016-06-13,19:20:00,47.94,47.94,47.92,47.92,200,0
2016-06-13,19:25:00,47.88,47.99,47.88,47.99,800,0
2016-06-13,19:30:00,47.99,48.02,47.91,48.02,1000,0
2016-06-13,19:40:00,47.84,47.84,47.84,47.84,200,0
2016-06-13,19:45:00,47.87,47.9,47.87,47.9,800,0
2016-06-13,19:50:00,47.95,47.95,47.88,47.88,600,0
2016-06-13,19:55:00,47.87,47.87,47.86,47.86,400,0
2016-06-13,20:10:00,47.87,47.92,47.87,47.92,800,0
2016-06-13,20:30:00,47.86,47.86,47.74,47.74,1700,0
2016-06-13,20:35:00,47.82,47.89,47.82,47.85,1700,0
2016-06-13,20:40:00,47.86,47.92,47.86,47.92,300,0
2016-06-13,20:45:00,47.92,47.92,47.92,47.92,100,0
2016-06-13,20:55:00,47.91,47.91,47.9,47.9,200,0
2016-06-13,21:05:00,47.92,47.92,47.92,47.92,100,0
2016-06-13,21:10:00,47.86,47.86,47.76,47.76,400,0
2016-06-13,21:25:00,47.79,47.81,47.76,47.78,800,0
2016-06-13,21:30:00,47.8,47.8,47.76,47.765,400,0
2016-06-13,21:40:00,47.71,47.73,47.66,47.72,1200,0
2016-06-13,21:50:00,47.62,47.64,47.62,47.64,1400,0
2016-06-13,21:55:00,47.66,47.67,47.64,47.66,1300,0
2016-06-13,22:00:00,47.65,47.81,47.65,47.78,4382,0
2016-06-14,15:35:00,47.68,47.68,47.68,47.68,431,0
2016-06-14,16:05:00,47.57,47.57,47.57,47.57,100,0
2016-06-14,16:10:00,47.66,47.66,47.53,47.55,600,0
2016-06-14,16:30:00,47.49,47.49,47.49,47.49,100,0
2016-06-14,16:35:00,47.5,47.7,47.5,47.61,900,0
2016-06-14,16:40:00,47.52,47.52,47.51,47.51,200,0
2016-06-14,16:45:00,47.54,47.58,47.54,47.58,200,0
2016-06-14,17:00:00,47.38,47.54,47.38,47.54,600,0
2016-06-14,17:05:00,47.47,47.61,47.32,47.61,3191,0
2016-06-14,17:10:00,47.55,47.57,47.47,47.47,400,0
2016-06-14,17:15:00,47.45,47.45,47.45,47.45,100,0
2016-06-14,17:35:00,47.52,47.53,47.52,47.53,200,0
2016-06-14,17:50:00,47.38,47.39,47.38,47.39,400,0
2016-06-14,17:55:00,47.35,47.35,47.29,47.31,800,0
2016-06-14,18:00:00,47.335,47.34,47.16,47.34,2181,0
2016-06-14,18:05:00,47.35,47.39,47.31,47.39,600,0
2016-06-14,18:10:00,47.24,47.24,47.24,47.24,100,0
2016-06-14,18:25:00,47.34,47.4,47.34,47.4,400,0
2016-06-14,18:30:00,47.45,47.55,47.45,47.55,300,0
2016-06-14,18:35:00,47.66,47.66,47.66,47.66,100,0
2016-06-14,18:40:00,47.55,47.55,47.5,47.5,200,0
2016-06-14,18:45:00,47.6,47.6,47.6,47.6,100,0
2016-06-14,18:55:00,47.49,47.49,47.49,47.49,100,0
2016-06-14,19:00:00,47.52,47.52,47.52,47.52,100,0
2016-06-14,19:05:00,47.634,47.634,47.634,47.634,100,0
2016-06-14,19:10:00,47.73,47.73,47.73,47.73,100,0
2016-06-14,19:25:00,47.515,47.515,47.515,47.515,100,0
2016-06-14,19:35:00,47.59,47.59,47.59,47.59,100,0
2016-06-14,19:40:00,47.5,47.5,47.48,47.48,300,0
2016-06-14,19:45:00,47.46,47.46,47.46,47.46,300,0
2016-06-14,19:50:00,47.47,47.47,47.47,47.47,100,0
2016-06-14,19:55:00,47.46,47.46,47.46,47.46,200,0
2016-06-14,20:00:00,47.46,47.46,47.46,47.46,200,0
2016-06-14,20:05:00,47.5,47.5,47.5,47.5,200,0
2016-06-14,20:10:00,47.5,47.5,47.41,47.41,200,0
