Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-20,15:35:00,1.39,1.42,1.39,1.42,200,0
2016-06-20,15:40:00,1.41,1.4101,1.41,1.4101,200,0
2016-06-20,15:45:00,1.41,1.41,1.41,1.41,100,0
2016-06-20,15:50:00,1.39,1.39,1.39,1.39,100,0
2016-06-20,15:55:00,1.39,1.39,1.39,1.39,300,0
2016-06-20,16:05:00,1.38,1.38,1.38,1.38,1079,0
2016-06-20,16:10:00,1.3801,1.39,1.3801,1.39,915,0
2016-06-20,16:15:00,1.39,1.4,1.39,1.395,600,0
2016-06-20,16:20:00,1.39,1.4,1.39,1.4,200,0
2016-06-20,16:25:00,1.3999,1.4,1.39,1.4,5900,0
2016-06-20,16:30:00,1.4,1.41,1.4,1.41,1500,0
2016-06-20,16:40:00,1.4,1.41,1.4,1.4,600,0
2016-06-20,16:45:00,1.4,1.405,1.4,1.405,300,0
2016-06-20,16:50:00,1.4,1.4,1.4,1.4,100,0
2016-06-20,16:55:00,1.41,1.41,1.4,1.4,400,0
2016-06-20,17:00:00,1.41,1.41,1.41,1.41,200,0
2016-06-20,17:05:00,1.405,1.41,1.4,1.405,1300,0
2016-06-20,17:10:00,1.405,1.405,1.4,1.405,500,0
2016-06-20,17:15:00,1.4,1.405,1.4,1.4,374,0
2016-06-20,17:20:00,1.405,1.405,1.405,1.405,200,0
2016-06-20,17:25:00,1.41,1.41,1.4,1.4,1500,0
2016-06-20,17:30:00,1.405,1.405,1.4,1.4,3175,0
2016-06-20,17:35:00,1.4,1.4,1.39,1.39,968,0
2016-06-20,17:40:00,1.39,1.4,1.39,1.39,500,0
2016-06-20,17:45:00,1.39,1.3901,1.39,1.3901,200,0
2016-06-20,17:50:00,1.39,1.4,1.39,1.39,500,0
2016-06-20,17:55:00,1.39,1.3996,1.39,1.3996,600,0
2016-06-20,18:00:00,1.38,1.39,1.38,1.39,300,0
2016-06-20,18:05:00,1.4,1.4,1.38,1.39,400,0
2016-06-20,18:10:00,1.38,1.39,1.38,1.385,300,0
2016-06-20,18:15:00,1.39,1.39,1.38,1.38,300,0
2016-06-20,18:20:00,1.385,1.39,1.38,1.38,500,0
2016-06-20,18:25:00,1.38,1.3885,1.38,1.3885,300,0
2016-06-20,18:30:00,1.38,1.38,1.38,1.38,2058,0
2016-06-20,18:35:00,1.38,1.38,1.36,1.36,3233,0
2016-06-20,18:40:00,1.37,1.37,1.365,1.37,1700,0
2016-06-20,18:45:00,1.37,1.375,1.37,1.375,200,0
2016-06-20,18:50:00,1.37,1.37,1.37,1.37,300,0
2016-06-20,18:55:00,1.38,1.38,1.37,1.37,2000,0
2016-06-20,19:00:00,1.38,1.38,1.38,1.38,200,0
2016-06-20,19:05:00,1.37,1.38,1.37,1.38,400,0
2016-06-20,19:10:00,1.3764,1.39,1.37,1.385,11300,0
2016-06-20,19:15:00,1.38,1.38,1.37,1.37,3800,0
2016-06-20,19:20:00,1.37,1.37,1.37,1.37,100,0
2016-06-20,19:25:00,1.38,1.38,1.375,1.375,300,0
2016-06-20,19:30:00,1.38,1.38,1.37,1.38,700,0
