Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-17,15:35:00,14.44,14.44,14.44,14.44,26487,0
2016-06-17,15:40:00,14.34,14.35,14.23,14.23,1100,0
2016-06-17,15:45:00,14.26,14.34,14.2001,14.2001,2303,0
2016-06-17,15:50:00,14.3,14.3,14.235,14.235,700,0
2016-06-17,15:55:00,14.31,14.31,14.31,14.31,600,0
2016-06-17,16:05:00,14.36,14.36,14.36,14.36,100,0
2016-06-17,16:10:00,14.32,14.32,14.27,14.27,200,0
2016-06-17,16:20:00,14.39,14.42,14.39,14.42,200,0
2016-06-17,16:25:00,14.42,14.43,14.42,14.43,600,0
2016-06-17,16:30:00,14.4063,14.4063,14.3701,14.3701,919,0
2016-06-17,16:35:00,14.42,14.43,14.42,14.43,500,0
2016-06-17,16:40:00,14.43,14.43,14.41,14.42,1500,0
2016-06-17,16:45:00,14.42,14.42,14.42,14.42,300,0
2016-06-17,16:50:00,14.36,14.4,14.36,14.4,500,0
2016-06-17,16:55:00,14.4,14.4,14.39,14.39,300,0
2016-06-17,17:00:00,14.36,14.365,14.35,14.35,300,0
2016-06-17,17:10:00,14.29,14.29,14.25,14.25,300,0
2016-06-17,17:15:00,14.18,14.18,14.18,14.18,100,0
2016-06-17,17:20:00,14.22,14.22,14.18,14.18,550,0
2016-06-17,17:30:00,14.18,14.185,14.18,14.185,500,0
2016-06-17,17:35:00,14.17,14.175,14.15,14.175,700,0
2016-06-17,17:40:00,14.15,14.15,14.13,14.13,400,0
2016-06-17,17:45:00,14.16,14.17,14.16,14.17,850,0
2016-06-17,17:50:00,14.185,14.185,14.09,14.09,2200,0
2016-06-17,17:55:00,14.12,14.12,14.12,14.12,300,0
2016-06-17,18:00:00,14.09,14.13,14.09,14.13,900,0
2016-06-17,18:10:00,14.15,14.15,14.13,14.13,700,0
2016-06-17,18:15:00,14.1583,14.1583,14.14,14.14,300,0
2016-06-17,18:20:00,14.115,14.115,14.115,14.115,100,0
2016-06-17,18:30:00,14.09,14.09,14.09,14.09,200,0
2016-06-17,18:35:00,14.1,14.1,14.09,14.09,300,0
2016-06-17,18:40:00,14.094,14.094,14.09,14.09,600,0
2016-06-17,18:45:00,14.12,14.12,14.12,14.12,100,0
2016-06-17,18:50:00,14.13,14.13,14.13,14.13,100,0
2016-06-17,18:55:00,14.13,14.13,14.13,14.13,300,0
2016-06-17,19:00:00,14.12,14.1234,14.11,14.115,807,0
2016-06-17,19:05:00,14.09,14.09,14.09,14.09,100,0
2016-06-17,19:10:00,14.06,14.08,14.06,14.08,200,0
2016-06-17,19:15:00,14.06,14.06,14.06,14.06,200,0
2016-06-17,19:25:00,14.08,14.08,14.08,14.08,100,0
2016-06-17,19:35:00,14.12,14.12,14.12,14.12,100,0
2016-06-17,19:40:00,14.11,14.13,14.11,14.13,300,0
2016-06-17,19:45:00,14.12,14.17,14.12,14.17,600,0
2016-06-17,19:50:00,14.17,14.19,14.17,14.19,1000,0
2016-06-17,19:55:00,14.19,14.22,14.19,14.21,700,0
2016-06-17,20:00:00,14.25,14.2599,14.25,14.2599,1540,0
2016-06-17,20:05:00,14.22,14.22,14.22,14.22,200,0
2016-06-17,20:25:00,14.16,14.19,14.14,14.19,300,0
2016-06-17,20:30:00,14.15,14.18,14.14,14.14,600,0
2016-06-17,20:40:00,14.15,14.15,14.14,14.15,300,0
2016-06-17,20:45:00,14.15,14.16,14.15,14.16,800,0
2016-06-17,20:55:00,14.18,14.18,14.18,14.18,100,0
2016-06-17,21:00:00,14.16,14.175,14.16,14.175,200,0
2016-06-17,21:05:00,14.18,14.21,14.16,14.17,5130,0
2016-06-17,21:10:00,14.18,14.19,14.18,14.18,1700,0
2016-06-17,21:15:00,14.21,14.23,14.21,14.21,600,0
2016-06-17,21:25:00,14.23,14.25,14.23,14.24,1000,0
2016-06-17,21:35:00,14.25,14.2662,14.25,14.25,1600,0
2016-06-17,21:40:00,14.26,14.26,14.26,14.26,300,0
2016-06-17,21:45:00,14.26,14.26,14.21,14.22,5155,0
2016-06-17,21:50:00,14.23,14.25,14.22,14.225,900,0
2016-06-17,21:55:00,14.19,14.19,14.12,14.13,4094,0
2016-06-17,22:00:00,14.11,14.18,14.11,14.15,4140,0
2016-06-20,15:35:00,14.36,14.36,14.36,14.36,900,0
2016-06-20,15:45:00,14.3657,14.4599,14.2948,14.44,1900,0
2016-06-20,15:50:00,14.42,14.42,14.37,14.375,2750,0
2016-06-20,15:55:00,14.42,14.42,14.3801,14.3801,500,0
2016-06-20,16:05:00,14.6,14.74,14.6,14.74,924,0
2016-06-20,16:10:00,14.76,14.77,14.61,14.61,1000,0
2016-06-20,16:20:00,14.57,14.57,14.52,14.52,800,0
2016-06-20,16:25:00,14.54,14.54,14.54,14.54,100,0
2016-06-20,16:30:00,14.55,14.55,14.55,14.55,501,0
2016-06-20,16:35:00,14.59,14.59,14.59,14.59,331,0
2016-06-20,16:40:00,14.595,14.61,14.595,14.61,200,0
2016-06-20,16:45:00,14.61,14.66,14.61,14.66,400,0
2016-06-20,16:50:00,14.67,14.67,14.67,14.67,100,0
2016-06-20,16:55:00,14.67,14.675,14.65,14.65,1000,0
2016-06-20,17:10:00,14.5901,14.65,14.5901,14.65,746,0
2016-06-20,17:15:00,14.74,14.74,14.74,14.74,100,0
2016-06-20,17:20:00,14.72,14.72,14.72,14.72,200,0
2016-06-20,17:25:00,14.714,14.77,14.714,14.77,608,0
2016-06-20,17:30:00,14.745,14.745,14.745,14.745,100,0
2016-06-20,17:35:00,14.77,14.78,14.74,14.78,1440,0
2016-06-20,17:40:00,14.795,14.795,14.795,14.795,200,0
2016-06-20,17:45:00,14.795,14.9,14.795,14.83,3500,0
2016-06-20,17:50:00,14.82,14.84,14.82,14.84,900,0
2016-06-20,18:00:00,14.79,14.81,14.79,14.81,300,0
2016-06-20,18:05:00,14.89,14.89,14.88,14.88,200,0
2016-06-20,18:10:00,14.88,14.88,14.88,14.88,100,0
2016-06-20,18:20:00,14.88,14.88,14.88,14.88,100,0
