Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-22,15:35:00,32.69,32.69,32.6,32.6,2215,0
2016-06-22,15:40:00,32.6,32.63,32.46,32.56,2570,0
2016-06-22,15:45:00,32.54,32.64,32.53,32.55,2533,0
2016-06-22,15:50:00,32.49,32.52,32.49,32.51,2700,0
2016-06-22,15:55:00,32.49,32.49,32.44,32.45,2600,0
2016-06-22,16:00:00,32.45,32.54,32.43,32.44,3500,0
2016-06-22,16:05:00,32.42,32.44,32.39,32.39,2500,0
2016-06-22,16:10:00,32.38,32.4,32.35,32.37,2700,0
2016-06-22,16:15:00,32.38,32.46,32.38,32.41,4400,0
2016-06-22,16:20:00,32.42,32.5,32.42,32.5,2900,0
2016-06-22,16:25:00,32.51,32.6,32.51,32.6,1900,0
2016-06-22,16:30:00,32.65,32.65,32.62,32.65,1100,0
2016-06-22,16:35:00,32.64,32.64,32.56,32.58,3700,0
2016-06-22,16:40:00,32.58,32.58,32.52,32.52,2300,0
2016-06-22,16:45:00,32.55,32.595,32.55,32.56,2400,0
2016-06-22,16:50:00,32.57,32.61,32.57,32.58,3200,0
2016-06-22,16:55:00,32.6,32.63,32.6,32.63,3500,0
2016-06-22,17:00:00,32.64,32.67,32.63,32.65,5200,0
2016-06-22,17:05:00,32.65,32.67,32.64,32.66,2900,0
2016-06-22,17:10:00,32.65,32.65,32.62,32.62,1200,0
2016-06-22,17:15:00,32.62,32.67,32.62,32.67,5300,0
2016-06-22,17:20:00,32.68,32.77,32.68,32.76,8100,0
2016-06-22,17:25:00,32.76,32.7699,32.73,32.74,4600,0
2016-06-22,17:30:00,32.74,32.7899,32.73,32.7899,4400,0
2016-06-22,17:35:00,32.78,32.78,32.7,32.75,10699,0
2016-06-22,17:40:00,32.7599,32.82,32.7599,32.79,3100,0
2016-06-22,17:45:00,32.79,32.84,32.77,32.83,5600,0
2016-06-22,17:50:00,32.84,32.86,32.82,32.85,3015,0
2016-06-22,17:55:00,32.84,32.84,32.8,32.83,3767,0
2016-06-22,18:00:00,32.82,32.82,32.76,32.76,2300,0
2016-06-22,18:05:00,32.73,32.77,32.69,32.69,4800,0
2016-06-22,18:10:00,32.7,32.705,32.67,32.67,3410,0
2016-06-22,18:15:00,32.69,32.71,32.69,32.71,500,0
2016-06-22,18:20:00,32.7,32.7,32.66,32.66,4000,0
2016-06-22,18:25:00,32.64,32.64,32.575,32.575,2900,0
2016-06-22,18:30:00,32.56,32.6,32.56,32.59,2062,0
2016-06-22,18:35:00,32.575,32.59,32.54,32.57,2300,0
2016-06-22,18:40:00,32.6,32.62,32.58,32.58,3100,0
2016-06-22,18:45:00,32.5899,32.59,32.55,32.5614,3500,0
2016-06-22,18:50:00,32.58,32.58,32.53,32.54,1300,0
2016-06-22,18:55:00,32.55,32.57,32.52,32.56,2600,0
2016-06-22,19:00:00,32.56,32.56,32.56,32.56,1300,0
2016-06-22,19:05:00,32.56,32.56,32.5,32.525,1000,0
2016-06-22,19:10:00,32.51,32.51,32.48,32.49,1800,0
2016-06-22,19:15:00,32.47,32.49,32.45,32.48,3300,0
2016-06-22,19:20:00,32.48,32.51,32.47,32.51,1300,0
2016-06-22,19:25:00,32.52,32.52,32.46,32.46,1600,0
2016-06-22,19:30:00,32.45,32.49,32.45,32.47,1792,0
2016-06-22,19:35:00,32.46,32.48,32.41,32.41,1700,0
2016-06-22,19:40:00,32.41,32.43,32.3826,32.43,3191,0
2016-06-22,19:45:00,32.44,32.52,32.43,32.49,10698,0
2016-06-22,19:50:00,32.48,32.49,32.47,32.47,1300,0
2016-06-22,19:55:00,32.48,32.5,32.47,32.485,2900,0
2016-06-22,20:00:00,32.485,32.485,32.46,32.46,1503,0
2016-06-22,20:05:00,32.45,32.46,32.43,32.43,4023,0
2016-06-22,20:10:00,32.44,32.465,32.43,32.44,3201,0
2016-06-22,20:15:00,32.44,32.455,32.431,32.455,2217,0
2016-06-22,20:20:00,32.45,32.45,32.44,32.44,1300,0
2016-06-22,20:25:00,32.42,32.43,32.4,32.42,2425,0
2016-06-22,20:30:00,32.41,32.45,32.4,32.44,5000,0
2016-06-22,20:35:00,32.44,32.44,32.4,32.4,3060,0
2016-06-22,20:40:00,32.39,32.4,32.34,32.37,2700,0
2016-06-22,20:45:00,32.3728,32.44,32.3728,32.41,6975,0
2016-06-22,20:50:00,32.4,32.47,32.385,32.42,9968,0
2016-06-22,20:55:00,32.45,32.47,32.43,32.47,1700,0
2016-06-22,21:00:00,32.47,32.49,32.455,32.47,2600,0
2016-06-22,21:05:00,32.46,32.49,32.46,32.47,3900,0
2016-06-22,21:10:00,32.46,32.47,32.44,32.45,3000,0
2016-06-22,21:15:00,32.445,32.46,32.44,32.46,2802,0
2016-06-22,21:20:00,32.46,32.48,32.43,32.46,5478,0
2016-06-22,21:25:00,32.46,32.46,32.44,32.44,3039,0
2016-06-22,21:30:00,32.44,32.45,32.42,32.42,2500,0
