Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-03-17,14:45:00,15.269,15.269,15.269,15.269,252,0
2016-03-17,15:00:00,15.274,15.274,15.234,15.234,5276,0
2016-03-17,15:10:00,15.201,15.224,15.201,15.224,779,0
2016-03-17,15:15:00,15.219,15.224,15.219,15.224,1717,0
2016-03-17,15:55:00,15.274,15.333,15.264,15.333,2276,0
2016-03-17,16:00:00,15.333,15.333,15.333,15.333,100,0
2016-03-17,16:10:00,15.323,15.323,15.323,15.323,502,0
2016-03-17,16:25:00,15.333,15.393,15.333,15.393,904,0
2016-03-17,16:35:00,15.423,15.423,15.343,15.343,904,0
2016-03-17,17:25:00,15.423,15.423,15.423,15.423,100,0
2016-03-17,17:45:00,15.383,15.423,15.383,15.383,3116,0
2016-03-17,17:55:00,15.423,15.423,15.423,15.423,654,0
2016-03-17,18:05:00,15.423,15.423,15.423,15.423,854,0
2016-03-17,18:10:00,15.423,15.423,15.423,15.423,201,0
2016-03-17,18:15:00,15.413,15.423,15.413,15.423,502,0
2016-03-17,18:25:00,15.423,15.423,15.413,15.423,2714,0
2016-03-17,18:30:00,15.423,15.423,15.423,15.423,265,0
2016-03-17,19:40:00,15.383,15.383,15.383,15.383,201,0
2016-03-17,19:50:00,15.333,15.333,15.333,15.333,100,0
2016-03-17,19:55:00,15.383,15.383,15.383,15.383,704,0
2016-03-17,20:00:00,15.383,15.383,15.373,15.373,302,0
2016-03-17,20:05:00,15.373,15.373,15.373,15.373,1608,0
2016-03-17,20:10:00,15.363,15.363,15.363,15.363,100,0
2016-03-17,20:15:00,15.403,15.403,15.363,15.363,252,0
2016-03-17,20:20:00,15.363,15.363,15.363,15.363,100,0
2016-03-17,20:25:00,15.423,15.423,15.373,15.373,804,0
2016-03-17,20:30:00,15.373,15.423,15.373,15.423,1106,0
2016-03-17,20:35:00,15.403,15.403,15.403,15.403,201,0
2016-03-17,20:40:00,15.393,15.393,15.393,15.393,201,0
2016-03-17,20:45:00,15.393,15.423,15.393,15.423,579,0
2016-03-17,20:50:00,15.403,15.423,15.403,15.413,2714,0
2016-03-17,20:55:00,15.423,15.443,15.403,15.443,5645,0
2016-03-17,21:00:00,15.473,15.483,15.383,15.383,5605,0
2016-03-18,14:35:00,15.353,15.353,15.353,15.353,100,0
2016-03-18,14:40:00,15.523,15.523,15.523,15.523,1005,0
2016-03-18,14:45:00,15.523,15.573,15.443,15.573,4724,0
2016-03-18,14:50:00,15.573,15.573,15.573,15.573,201,0
2016-03-18,14:55:00,15.662,15.662,15.662,15.662,654,0
2016-03-18,15:00:00,15.608,15.608,15.573,15.573,10452,0
2016-03-18,15:05:00,15.603,15.632,15.603,15.632,520,0
2016-03-18,15:10:00,15.622,15.622,15.622,15.622,100,0
2016-03-18,15:20:00,15.583,15.583,15.553,15.573,704,0
2016-03-18,15:25:00,15.583,15.583,15.503,15.583,2303,0
2016-03-18,15:45:00,15.583,15.583,15.583,15.583,100,0
2016-03-18,15:50:00,15.622,15.622,15.583,15.583,1306,0
2016-03-18,16:05:00,15.622,15.622,15.622,15.622,247,0
2016-03-18,16:15:00,15.622,15.652,15.593,15.613,6638,0
2016-03-18,16:20:00,15.622,15.622,15.622,15.622,1005,0
2016-03-18,16:25:00,15.622,15.622,15.622,15.622,302,0
2016-03-18,16:30:00,15.606,15.606,15.606,15.606,352,0
2016-03-18,16:35:00,15.622,15.622,15.622,15.622,302,0
2016-03-18,16:45:00,15.622,15.622,15.622,15.622,344,0
2016-03-18,16:50:00,15.622,15.622,15.622,15.622,100,0
2016-03-18,16:55:00,15.622,15.622,15.622,15.622,302,0
2016-03-18,17:00:00,15.622,15.622,15.622,15.622,2110,0
2016-03-18,17:05:00,15.622,15.622,15.622,15.622,265,0
2016-03-18,17:10:00,15.613,15.622,15.613,15.622,201,0
2016-03-18,17:15:00,15.613,15.613,15.613,15.613,201,0
2016-03-18,17:20:00,15.622,15.622,15.622,15.622,201,0
2016-03-18,17:25:00,15.622,15.622,15.583,15.603,2512,0
2016-03-18,17:35:00,15.622,15.622,15.613,15.613,904,0
2016-03-18,17:40:00,15.613,15.62,15.613,15.62,7631,0
2016-03-18,17:45:00,15.622,15.642,15.613,15.622,6427,0
2016-03-18,17:50:00,15.632,15.632,15.632,15.632,302,0
2016-03-18,18:05:00,15.672,15.672,15.672,15.672,100,0
2016-03-18,18:45:00,15.672,15.672,15.672,15.672,201,0
2016-03-18,18:50:00,15.672,15.672,15.662,15.662,603,0
2016-03-18,18:55:00,15.642,15.642,15.642,15.642,302,0
2016-03-18,19:30:00,15.632,15.632,15.622,15.622,1903,0
2016-03-18,19:35:00,15.622,15.632,15.603,15.603,1582,0
2016-03-18,19:40:00,15.622,15.632,15.622,15.632,2961,0
2016-03-18,19:45:00,15.627,15.632,15.622,15.622,2110,0
2016-03-18,19:50:00,15.622,15.622,15.622,15.622,1978,0
2016-03-18,19:55:00,15.593,15.593,15.593,15.593,100,0
2016-03-18,20:00:00,15.613,15.613,15.613,15.613,100,0
2016-03-18,20:05:00,15.613,15.613,15.613,15.613,100,0
2016-03-18,20:10:00,15.622,15.622,15.613,15.613,201,0
2016-03-18,20:15:00,15.613,15.613,15.613,15.613,887,0
2016-03-18,20:20:00,15.613,15.613,15.613,15.613,201,0
2016-03-18,20:25:00,15.622,15.622,15.613,15.613,2211,0
2016-03-18,20:30:00,15.622,15.632,15.622,15.622,694,0
2016-03-18,20:35:00,15.622,15.622,15.622,15.622,201,0
2016-03-18,20:40:00,15.642,15.642,15.642,15.642,302,0
