Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-10-26,15:50:00,6.13,6.13,6.13,6.13,100,0
2015-10-26,16:45:00,6.32,6.32,6.32,6.32,100,0
2015-10-26,17:50:00,5.994,6.0628,5.993,6.016,2191,0
2015-10-27,19:40:00,6.18,6.18,6.18,6.18,100,0
2015-10-27,21:00:00,6.25,6.25,6.02,6.02,320,0
2015-10-28,15:00:00,6.02,6.26,5.85,5.95,2941,0
2015-10-28,15:05:00,5.95,5.95,5.95,5.95,600,0
2015-10-28,15:40:00,6.16,6.16,6.16,6.16,100,0
2015-10-28,15:45:00,6.15,6.15,6.15,6.15,100,0
2015-10-28,20:35:00,6.05,6.05,6.04,6.05,1002,0
2015-10-29,14:45:00,5.7101,5.7101,5.7101,5.7101,1000,0
2015-10-29,16:20:00,5.999,5.999,5.999,5.999,2210,0
2015-10-29,16:25:00,5.9909,5.9909,5.99,5.99,200,0
2015-10-29,16:30:00,6,6,6,6,100,0
2015-10-29,17:15:00,6.28,6.28,6.2242,6.2242,419,0
2015-10-29,17:20:00,6.3,6.3,6.2241,6.29,1500,0
2015-10-30,19:00:00,6.2499,6.2499,6.2499,6.2499,100,0
2015-10-30,20:55:00,6.2399,6.2399,6.2399,6.2399,480,0
2015-11-02,15:35:00,7.02,7.05,7.02,7.03,6564,0
2015-11-02,16:00:00,7.24,7.24,7.09,7.09,200,0
2015-11-02,16:10:00,7.28,7.45,7.28,7.3,2702,0
2015-11-02,16:15:00,7.3,7.3,7.3,7.3,300,0
2015-11-02,16:20:00,7.3,7.3,7.2999,7.3,500,0
2015-11-02,16:25:00,7.29,7.3,7.29,7.3,900,0
2015-11-02,16:30:00,7.3,7.3,7.2999,7.3,700,0
2015-11-02,16:35:00,7.3,7.3,7.3,7.3,300,0
2015-11-02,16:55:00,7.3001,7.4,7.3001,7.4,601,0
2015-11-02,17:05:00,7.4,7.4,7.4,7.4,300,0
2015-11-02,17:15:00,7.31,7.31,7.3,7.3,500,0
2015-11-02,17:20:00,7.3,7.3,7.3,7.3,100,0
2015-11-02,17:25:00,7.3,7.4,7.205,7.23,600,0
2015-11-02,17:30:00,7.25,7.3,7.25,7.3,2200,0
2015-11-02,17:35:00,7.25,7.25,7.25,7.25,100,0
2015-11-02,17:40:00,7.255,7.3,7.09,7.09,3391,0
2015-11-02,18:00:00,7.23,7.25,7.23,7.25,900,0
2015-11-02,18:10:00,7.11,7.25,7.1,7.25,5501,0
2015-11-02,18:20:00,7.25,7.25,7.25,7.25,300,0
2015-11-02,18:30:00,7.25,7.25,7.2499,7.25,12300,0
2015-11-02,18:40:00,7.299,7.31,7.2949,7.31,3500,0
2015-11-02,18:45:00,7.28,7.28,7.28,7.28,100,0
2015-11-02,19:10:00,7.28,7.28,7.28,7.28,100,0
2015-11-02,20:05:00,7.24,7.25,7.24,7.25,1101,0
