Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-22,15:35:00,4.69,4.71,4.69,4.705,19620,0
2016-06-22,15:40:00,4.71,4.71,4.65,4.6501,17412,0
2016-06-22,15:45:00,4.66,4.66,4.6,4.61,71530,0
2016-06-22,15:50:00,4.62,4.62,4.47,4.55,197600,0
2016-06-22,15:55:00,4.55,4.6199,4.55,4.59,31099,0
2016-06-22,16:00:00,4.59,4.5901,4.55,4.55,16716,0
2016-06-22,16:05:00,4.5407,4.55,4.51,4.5299,27217,0
2016-06-22,16:10:00,4.52,4.53,4.52,4.53,10690,0
2016-06-22,16:15:00,4.54,4.5499,4.52,4.54,24472,0
2016-06-22,16:20:00,4.55,4.57,4.55,4.5501,10808,0
2016-06-22,16:25:00,4.55,4.56,4.525,4.53,26470,0
2016-06-22,16:30:00,4.53,4.57,4.53,4.56,10710,0
2016-06-22,16:35:00,4.56,4.59,4.55,4.59,24750,0
2016-06-22,16:40:00,4.5855,4.59,4.57,4.572,15912,0
2016-06-22,16:45:00,4.58,4.5997,4.57,4.5993,11608,0
2016-06-22,16:50:00,4.6,4.615,4.59,4.6,16900,0
2016-06-22,16:55:00,4.6199,4.62,4.6064,4.61,11905,0
2016-06-22,17:00:00,4.61,4.62,4.61,4.62,4435,0
2016-06-22,17:05:00,4.62,4.62,4.6,4.605,6462,0
2016-06-22,17:10:00,4.6,4.62,4.6,4.61,20133,0
2016-06-22,17:15:00,4.61,4.61,4.58,4.59,15176,0
2016-06-22,17:20:00,4.59,4.6,4.58,4.58,5900,0
2016-06-22,17:25:00,4.585,4.64,4.58,4.581,47152,0
2016-06-22,17:30:00,4.58,4.59,4.58,4.58,2300,0
2016-06-22,17:35:00,4.59,4.59,4.58,4.59,3800,0
2016-06-22,17:40:00,4.58,4.62,4.58,4.61,9499,0
2016-06-22,17:45:00,4.61,4.61,4.59,4.6,10250,0
2016-06-22,17:50:00,4.59,4.6,4.59,4.59,800,0
2016-06-22,17:55:00,4.595,4.6,4.585,4.6,5200,0
2016-06-22,18:00:00,4.6,4.6,4.59,4.59,8800,0
2016-06-22,18:05:00,4.5999,4.6,4.58,4.58,9154,0
2016-06-22,18:10:00,4.59,4.61,4.58,4.61,11615,0
2016-06-22,18:15:00,4.61,4.63,4.61,4.62,6200,0
2016-06-22,18:20:00,4.63,4.63,4.62,4.625,5863,0
2016-06-22,18:25:00,4.63,4.63,4.615,4.615,7100,0
2016-06-22,18:30:00,4.61,4.63,4.59,4.63,55400,0
2016-06-22,18:35:00,4.63,4.64,4.63,4.64,10179,0
2016-06-22,18:40:00,4.65,4.68,4.65,4.66,16900,0
