Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-21,15:35:00,24.6,24.62,24.54,24.54,16528,0
2016-06-21,15:40:00,24.54,24.55,24.485,24.5,42713,0
2016-06-21,15:45:00,24.5,24.555,24.5,24.51,9200,0
2016-06-21,15:50:00,24.5,24.515,24.5,24.515,3653,0
2016-06-21,15:55:00,24.51,24.51,24.51,24.51,2007,0
2016-06-21,16:00:00,24.51,24.525,24.51,24.51,2430,0
2016-06-21,16:05:00,24.52,24.52,24.52,24.52,1100,0
2016-06-21,16:10:00,24.52,24.525,24.52,24.52,3500,0
2016-06-21,16:15:00,24.52,24.525,24.51,24.51,13861,0
2016-06-21,16:20:00,24.51,24.515,24.51,24.51,1300,0
2016-06-21,16:25:00,24.51,24.515,24.51,24.51,13422,0
2016-06-21,16:30:00,24.51,24.52,24.51,24.52,700,0
2016-06-21,16:35:00,24.515,24.535,24.495,24.495,27287,0
2016-06-21,16:40:00,24.5,24.52,24.49,24.52,6900,0
2016-06-21,16:50:00,24.515,24.515,24.51,24.51,3253,0
2016-06-21,16:55:00,24.51,24.51,24.51,24.51,100,0
2016-06-21,17:00:00,24.52,24.53,24.51,24.51,4653,0
2016-06-21,17:05:00,24.51,24.52,24.51,24.51,6100,0
2016-06-21,17:10:00,24.515,24.54,24.51,24.54,1700,0
2016-06-21,17:15:00,24.54,24.54,24.525,24.53,700,0
2016-06-21,17:20:00,24.53,24.53,24.53,24.53,100,0
2016-06-21,17:25:00,24.53,24.55,24.53,24.55,1300,0
2016-06-21,17:30:00,24.54,24.56,24.54,24.555,2000,0
2016-06-21,17:35:00,24.55,24.55,24.53,24.53,700,0
2016-06-21,17:40:00,24.53,24.53,24.515,24.515,1700,0
2016-06-21,17:45:00,24.5115,24.5115,24.51,24.51,600,0
2016-06-21,17:55:00,24.5125,24.515,24.51,24.515,1300,0
2016-06-21,18:00:00,24.51,24.515,24.51,24.515,800,0
2016-06-21,18:05:00,24.515,24.519,24.515,24.519,1100,0
2016-06-21,18:10:00,24.515,24.5199,24.51,24.51,4100,0
2016-06-21,18:15:00,24.51,24.51,24.51,24.51,300,0
2016-06-21,18:20:00,24.51,24.52,24.51,24.51,500,0
2016-06-21,18:25:00,24.515,24.515,24.51,24.515,1749,0
2016-06-21,18:30:00,24.5125,24.52,24.5107,24.5107,700,0
2016-06-21,18:35:00,24.515,24.52,24.51,24.515,1200,0
2016-06-21,18:40:00,24.52,24.52,24.51,24.515,1600,0
2016-06-21,18:45:00,24.515,24.515,24.515,24.515,200,0
2016-06-21,18:50:00,24.515,24.515,24.5108,24.5108,900,0
2016-06-21,18:55:00,24.51,24.52,24.51,24.515,4179,0
2016-06-21,19:00:00,24.51,24.515,24.51,24.51,500,0
2016-06-21,19:05:00,24.515,24.52,24.51,24.515,3330,0
2016-06-21,19:10:00,24.51,24.515,24.51,24.51,3521,0
2016-06-21,19:15:00,24.515,24.52,24.51,24.52,1070,0
2016-06-21,19:20:00,24.515,24.52,24.51,24.51,1770,0
2016-06-21,19:25:00,24.515,24.52,24.51,24.51,1100,0
2016-06-21,19:30:00,24.52,24.52,24.515,24.515,865,0
2016-06-21,19:35:00,24.51,24.515,24.51,24.51,1000,0
2016-06-21,19:40:00,24.51,24.52,24.51,24.51,1200,0
2016-06-21,19:45:00,24.515,24.525,24.51,24.52,6999,0
2016-06-21,19:50:00,24.525,24.525,24.525,24.525,500,0
2016-06-21,19:55:00,24.525,24.535,24.525,24.535,1700,0
2016-06-21,20:00:00,24.54,24.555,24.54,24.555,2900,0
2016-06-21,20:05:00,24.555,24.56,24.555,24.555,800,0
2016-06-21,20:10:00,24.555,24.56,24.55,24.56,2900,0
2016-06-21,20:15:00,24.555,24.56,24.5525,24.5525,800,0
2016-06-21,20:20:00,24.555,24.565,24.55,24.565,5600,0
2016-06-21,20:25:00,24.57,24.58,24.565,24.58,2100,0
2016-06-21,20:30:00,24.58,24.59,24.575,24.575,6160,0
2016-06-21,20:35:00,24.58,24.58,24.58,24.58,900,0
2016-06-21,20:40:00,24.58,24.59,24.58,24.59,9700,0
2016-06-21,20:45:00,24.59,24.59,24.58,24.58,900,0
2016-06-21,20:50:00,24.58,24.59,24.58,24.59,2161,0
2016-06-21,20:55:00,24.585,24.585,24.58,24.58,200,0
2016-06-21,21:00:00,24.585,24.6,24.585,24.6,1630,0
2016-06-21,21:05:00,24.595,24.6,24.5901,24.5901,1800,0
2016-06-21,21:10:00,24.59,24.595,24.59,24.595,1300,0
2016-06-21,21:15:00,24.595,24.6,24.575,24.575,3200,0
2016-06-21,21:20:00,24.57,24.58,24.57,24.58,1000,0
2016-06-21,21:25:00,24.59,24.5915,24.59,24.59,3600,0
2016-06-21,21:30:00,24.59,24.59,24.59,24.59,2100,0
2016-06-21,21:35:00,24.59,24.595,24.585,24.585,2100,0
2016-06-21,21:40:00,24.59,24.6,24.59,24.595,3100,0
2016-06-21,21:45:00,24.595,24.595,24.59,24.59,1954,0
2016-06-21,21:50:00,24.59,24.6,24.585,24.59,8129,0
2016-06-21,21:55:00,24.59,24.595,24.58,24.595,8000,0
2016-06-21,22:00:00,24.595,24.6,24.57,24.59,23515,0
2016-06-22,15:35:00,24.61,24.61,24.61,24.61,2024,0
2016-06-22,15:40:00,24.6,24.6,24.56,24.56,300,0
2016-06-22,15:45:00,24.59,24.6,24.56,24.56,1100,0
2016-06-22,15:50:00,24.58,24.58,24.57,24.57,200,0
2016-06-22,15:55:00,24.56,24.56,24.56,24.56,800,0
2016-06-22,16:00:00,24.56,24.56,24.56,24.56,100,0
2016-06-22,16:05:00,24.55,24.55,24.53,24.53,600,0
2016-06-22,16:10:00,24.53,24.54,24.53,24.53,1677,0
2016-06-22,16:15:00,24.53,24.55,24.53,24.55,1000,0
2016-06-22,16:20:00,24.55,24.56,24.535,24.535,900,0
2016-06-22,16:25:00,24.53,24.53,24.52,24.525,600,0
2016-06-22,16:30:00,24.53,24.53,24.52,24.52,400,0
2016-06-22,16:35:00,24.52,24.52,24.51,24.52,4316,0
2016-06-22,16:40:00,24.52,24.53,24.51,24.53,6900,0
2016-06-22,16:45:00,24.53,24.54,24.51,24.51,5499,0
