Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-22,15:35:00,27.08,27.29,27.08,27.245,3921,0
2016-06-22,15:40:00,27.24,27.24,27.13,27.155,5500,0
2016-06-22,15:45:00,27.16,27.16,27.03,27.09,6600,0
2016-06-22,15:50:00,27.1,27.1,27,27.045,3000,0
2016-06-22,15:55:00,27.04,27.06,27,27.02,8100,0
2016-06-22,16:00:00,27,27.02,26.99,27,5700,0
2016-06-22,16:05:00,26.95,27.025,26.95,26.95,6258,0
2016-06-22,16:10:00,26.95,27.045,26.94,27.045,10484,0
2016-06-22,16:15:00,27.04,27.04,26.97,27.03,4850,0
2016-06-22,16:20:00,27.035,27.05,26.98,26.99,8350,0
2016-06-22,16:25:00,26.98,27.01,26.96,26.98,4710,0
2016-06-22,16:30:00,26.99,27.05,26.99,27.05,1200,0
2016-06-22,16:35:00,27.065,27.08,26.99,26.99,20749,0
2016-06-22,16:40:00,27,27.03,27,27.005,5882,0
2016-06-22,16:45:00,27,27.02,27,27,10481,0
2016-06-22,16:50:00,27,27.01,26.98,26.98,11315,0
2016-06-22,16:55:00,26.99,27.01,26.985,27,12914,0
2016-06-22,17:00:00,27,27,26.98,26.98,11264,0
2016-06-22,17:05:00,26.99,27.02,26.985,27.015,6438,0
2016-06-22,17:10:00,27.01,27.03,26.99,27.03,11153,0
2016-06-22,17:15:00,27.035,27.04,27,27,10860,0
2016-06-22,17:20:00,27,27,26.98,27,6616,0
2016-06-22,17:25:00,27,27,26.985,26.985,2500,0
2016-06-22,17:30:00,26.99,27.015,26.99,27.015,5056,0
2016-06-22,17:35:00,27.01,27.01,26.98,26.99,5368,0
2016-06-22,17:40:00,27,27.005,26.97,26.99,10972,0
2016-06-22,17:45:00,26.99,26.99,26.96,26.98,8073,0
2016-06-22,17:50:00,26.98,27,26.97,26.98,5000,0
2016-06-22,17:55:00,26.98,27.01,26.97,27.005,5960,0
2016-06-22,18:00:00,27,27.01,26.97,26.99,7300,0
2016-06-22,18:05:00,26.99,27.01,26.99,27,3918,0
2016-06-22,18:10:00,27,27,26.97,26.99,4100,0
2016-06-22,18:15:00,27,27.005,26.98,26.985,5593,0
2016-06-22,18:20:00,26.98,27.01,26.97,26.98,7462,0
2016-06-22,18:25:00,26.98,26.9899,26.915,26.93,8814,0
2016-06-22,18:30:00,26.915,26.92,26.89,26.905,13015,0
2016-06-22,18:35:00,26.91,26.92,26.9075,26.915,2897,0
2016-06-22,18:40:00,26.92,26.92,26.88,26.88,6176,0
2016-06-22,18:45:00,26.88,26.91,26.88,26.9,8148,0
2016-06-22,18:50:00,26.9,26.9,26.88,26.89,3400,0
2016-06-22,18:55:00,26.9,26.915,26.88,26.89,7900,0
2016-06-22,19:00:00,26.88,26.9,26.88,26.9,2827,0
2016-06-22,19:05:00,26.9,26.905,26.86,26.86,6232,0
