Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-22,15:35:00,31.59,31.59,31.59,31.59,1302,0
2016-06-22,15:40:00,31.6,31.77,31.6,31.76,1950,0
2016-06-22,15:45:00,31.79,31.88,31.773,31.88,1670,0
2016-06-22,15:50:00,31.79,31.79,31.675,31.7,1145,0
2016-06-22,15:55:00,31.741,31.7569,31.741,31.7569,757,0
2016-06-22,16:00:00,31.71,31.75,31.7,31.7,1246,0
2016-06-22,16:05:00,31.63,31.66,31.56,31.57,1800,0
2016-06-22,16:10:00,31.59,31.62,31.59,31.595,2565,0
2016-06-22,16:15:00,31.62,31.69,31.62,31.69,1965,0
2016-06-22,16:20:00,31.68,31.68,31.63,31.63,2000,0
2016-06-22,16:25:00,31.62,31.67,31.57,31.645,11875,0
2016-06-22,16:30:00,31.66,31.7,31.65,31.68,2855,0
2016-06-22,16:35:00,31.63,31.66,31.53,31.54,15000,0
2016-06-22,16:40:00,31.5,31.54,31.49,31.5,2656,0
2016-06-22,16:45:00,31.49,31.51,31.48,31.49,3100,0
2016-06-22,16:50:00,31.5,31.56,31.5,31.55,1800,0
2016-06-22,16:55:00,31.535,31.56,31.4839,31.52,13654,0
2016-06-22,17:00:00,31.51,31.54,31.49,31.5,12166,0
2016-06-22,17:05:00,31.51,31.51,31.49,31.51,2200,0
2016-06-22,17:10:00,31.49,31.53,31.49,31.51,7120,0
2016-06-22,17:15:00,31.53,31.57,31.515,31.535,4480,0
2016-06-22,17:20:00,31.55,31.61,31.53,31.6,1300,0
2016-06-22,17:25:00,31.6,31.61,31.525,31.55,8634,0
2016-06-22,17:30:00,31.55,31.59,31.54,31.585,4900,0
2016-06-22,17:35:00,31.57,31.57,31.51,31.56,7842,0
2016-06-22,17:40:00,31.56,31.6,31.56,31.575,2477,0
2016-06-22,17:45:00,31.57,31.57,31.51,31.54,6800,0
2016-06-22,17:50:00,31.54,31.55,31.5,31.51,4492,0
2016-06-22,17:55:00,31.5175,31.52,31.48,31.52,1100,0
2016-06-22,18:00:00,31.535,31.565,31.53,31.565,4800,0
2016-06-22,18:05:00,31.56,31.56,31.52,31.53,800,0
2016-06-22,18:10:00,31.53,31.53,31.525,31.53,500,0
2016-06-22,18:15:00,31.53,31.54,31.53,31.54,1600,0
2016-06-22,18:20:00,31.54,31.56,31.52,31.52,1834,0
2016-06-22,18:25:00,31.52,31.52,31.43,31.43,2100,0
2016-06-22,18:30:00,31.41,31.45,31.41,31.45,500,0
2016-06-22,18:35:00,31.45,31.46,31.45,31.46,500,0
2016-06-22,18:40:00,31.46,31.46,31.46,31.46,1100,0
2016-06-22,18:45:00,31.46,31.465,31.43,31.435,2000,0
2016-06-22,18:50:00,31.41,31.41,31.39,31.39,900,0
2016-06-22,18:55:00,31.42,31.49,31.42,31.49,3400,0
2016-06-22,19:00:00,31.47,31.5,31.47,31.47,400,0
2016-06-22,19:05:00,31.47,31.48,31.47,31.47,900,0
2016-06-22,19:10:00,31.46,31.46,31.42,31.42,1000,0
2016-06-22,19:15:00,31.41,31.44,31.4,31.44,400,0
2016-06-22,19:20:00,31.45,31.45,31.4,31.42,1500,0
2016-06-22,19:25:00,31.4,31.4,31.36,31.37,1100,0
2016-06-22,19:30:00,31.37,31.37,31.34,31.36,2799,0
2016-06-22,19:35:00,31.35,31.35,31.32,31.32,1841,0
2016-06-22,19:40:00,31.34,31.35,31.33,31.35,600,0
2016-06-22,19:50:00,31.35,31.37,31.35,31.365,1600,0
2016-06-22,19:55:00,31.37,31.38,31.34,31.38,3457,0
2016-06-22,20:00:00,31.36,31.36,31.33,31.34,2545,0
2016-06-22,20:05:00,31.34,31.34,31.26,31.3,5756,0
2016-06-22,20:10:00,31.31,31.33,31.3,31.3,2400,0
2016-06-22,20:15:00,31.29,31.29,31.27,31.28,1500,0
2016-06-22,20:20:00,31.28,31.32,31.27,31.27,4653,0
2016-06-22,20:25:00,31.29,31.3,31.27,31.3,1600,0
2016-06-22,20:30:00,31.31,31.33,31.31,31.33,1537,0
2016-06-22,20:35:00,31.33,31.33,31.28,31.28,2300,0
2016-06-22,20:40:00,31.28,31.31,31.28,31.3,3620,0
2016-06-22,20:45:00,31.33,31.35,31.31,31.31,1000,0
2016-06-22,20:50:00,31.33,31.33,31.307,31.31,1060,0
