Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-22,15:35:00,157.4,157.6699,156.75,157.11,35879,0
2016-06-22,15:40:00,157.0233,157.32,156.75,157.23,33937,0
2016-06-22,15:45:00,157.21,157.35,157.07,157.105,6640,0
2016-06-22,15:50:00,157.16,157.33,157.08,157.262,17744,0
2016-06-22,15:55:00,157.27,157.3733,157.2,157.305,14575,0
2016-06-22,16:00:00,157.32,157.6,157.29,157.325,11039,0
2016-06-22,16:05:00,157.31,157.37,156.76,156.76,11304,0
2016-06-22,16:10:00,156.75,156.7729,156.61,156.61,3502,0
2016-06-22,16:15:00,156.67,156.93,156.67,156.8259,3947,0
2016-06-22,16:20:00,156.9,157.02,156.85,156.989,3299,0
2016-06-22,16:25:00,157.0899,157.33,157.07,157.33,16412,0
2016-06-22,16:30:00,157.3309,157.35,157.2212,157.3,2629,0
2016-06-22,16:35:00,157.28,157.44,157.21,157.275,5390,0
2016-06-22,16:40:00,157.36,157.41,157.25,157.28,2625,0
2016-06-22,16:45:00,157.32,157.415,157.17,157.23,6747,0
2016-06-22,16:50:00,157.18,157.26,157.16,157.2,2309,0
2016-06-22,16:55:00,157.14,157.14,157,157.03,2065,0
2016-06-22,17:00:00,157.145,157.145,157.08,157.09,2219,0
2016-06-22,17:05:00,157.1,157.23,157.0296,157.12,11884,0
2016-06-22,17:10:00,157.09,157.15,156.97,156.98,4100,0
2016-06-22,17:15:00,157.04,157.05,156.87,156.87,3484,0
2016-06-22,17:20:00,156.87,156.97,156.85,156.92,2971,0
2016-06-22,17:25:00,156.94,157.19,156.94,157.13,4606,0
2016-06-22,17:30:00,157.14,157.21,157.08,157.18,5382,0
2016-06-22,17:35:00,157.18,157.205,156.95,156.97,10325,0
2016-06-22,17:40:00,156.98,157.1899,156.965,157.1299,9800,0
2016-06-22,17:45:00,157.09,157.29,157.04,157.215,23194,0
2016-06-22,17:50:00,157.18,157.4,157.18,157.37,3722,0
2016-06-22,17:55:00,157.3,157.3099,157.18,157.28,5100,0
2016-06-22,18:00:00,157.29,157.34,157.21,157.2699,6801,0
2016-06-22,18:05:00,157.28,157.32,157.13,157.18,5008,0
2016-06-22,18:10:00,157.18,157.27,157.16,157.18,21878,0
2016-06-22,18:15:00,157.19,157.23,157.19,157.19,2200,0
2016-06-22,18:20:00,157.205,157.27,157.16,157.21,14644,0
2016-06-22,18:25:00,157.21,157.21,156.77,156.77,4411,0
2016-06-22,18:30:00,156.67,156.68,156.545,156.64,9984,0
2016-06-22,18:35:00,156.61,156.7099,156.585,156.7,14005,0
2016-06-22,18:40:00,156.7,156.82,156.69,156.79,5104,0
2016-06-22,18:45:00,156.79,156.88,156.76,156.88,6806,0
2016-06-22,18:50:00,156.85,156.93,156.8,156.87,14030,0
2016-06-22,18:55:00,156.89,157.04,156.89,157.03,7109,0
2016-06-22,19:00:00,157.02,157.16,157.01,157.09,5804,0
2016-06-22,19:05:00,157.05,157.17,157.03,157.13,12289,0
2016-06-22,19:10:00,157.14,157.14,157.02,157.09,24375,0
2016-06-22,19:15:00,157.06,157.15,157.05,157.1,15262,0
2016-06-22,19:20:00,157.08,157.14,157.08,157.11,4366,0
2016-06-22,19:25:00,157.09,157.12,157.05,157.08,15133,0
2016-06-22,19:30:00,157.07,157.21,157.065,157.19,9764,0
2016-06-22,19:35:00,157.17,157.185,157.095,157.12,2909,0
2016-06-22,19:40:00,157.14,157.18,157.08,157.18,1936,0
