Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-22,15:35:00,30.85,31.03,30.85,30.865,6051,0
2016-06-22,15:40:00,30.73,30.73,30.55,30.6347,4710,0
2016-06-22,15:45:00,30.78,30.79,30.6556,30.79,1150,0
2016-06-22,15:50:00,30.705,30.92,30.65,30.91,6592,0
2016-06-22,15:55:00,30.945,30.975,30.89,30.9225,104108,0
2016-06-22,16:00:00,30.915,30.94,30.83,30.88,155900,0
2016-06-22,16:05:00,30.83,30.94,30.81,30.89,5600,0
2016-06-22,16:10:00,30.85,31,30.85,31,7900,0
2016-06-22,16:15:00,31.02,31.24,31.01,31.23,7777,0
2016-06-22,16:20:00,31.24,31.24,31.11,31.17,7300,0
2016-06-22,16:25:00,31.16,31.25,31.15,31.25,1500,0
2016-06-22,16:30:00,31.25,31.37,31.23,31.37,9350,0
2016-06-22,16:35:00,31.37,31.99,31.36,31.95,28014,0
2016-06-22,16:40:00,32,32,31.73,31.78,18521,0
2016-06-22,16:45:00,31.79,31.91,31.73,31.8,19369,0
2016-06-22,16:50:00,31.79,31.84,31.72,31.8375,15647,0
2016-06-22,16:55:00,31.85,31.87,31.7,31.7,12066,0
2016-06-22,17:00:00,31.68,31.69,31.52,31.54,16828,0
2016-06-22,17:05:00,31.53,31.66,31.52,31.55,22274,0
2016-06-22,17:10:00,31.55,31.58,31.48,31.58,11857,0
2016-06-22,17:15:00,31.57,31.58,31.45,31.45,5602,0
2016-06-22,17:20:00,31.49,31.57,31.49,31.54,9000,0
2016-06-22,17:25:00,31.54,31.54,31.5,31.5,4300,0
2016-06-22,17:30:00,31.48,31.53,31.48,31.515,4031,0
2016-06-22,17:35:00,31.51,31.51,31.44,31.46,8230,0
2016-06-22,17:40:00,31.47,31.54,31.47,31.53,2673,0
2016-06-22,17:45:00,31.5,31.51,31.41,31.41,7540,0
2016-06-22,17:50:00,31.43,31.45,31.33,31.33,7500,0
2016-06-22,17:55:00,31.35,31.35,31.35,31.35,200,0
2016-06-22,18:00:00,31.37,31.46,31.37,31.43,4742,0
2016-06-22,18:05:00,31.425,31.425,31.36,31.37,2099,0
2016-06-22,18:10:00,31.36,31.36,31.29,31.31,5480,0
2016-06-22,18:15:00,31.31,31.35,31.31,31.33,4200,0
2016-06-22,18:20:00,31.3246,31.33,31.3,31.33,3376,0
2016-06-22,18:25:00,31.31,31.33,31.19,31.19,4410,0
2016-06-22,18:30:00,31.17,31.2389,31.17,31.2389,3025,0
2016-06-22,18:35:00,31.22,31.24,31.19,31.24,5090,0
2016-06-22,18:40:00,31.23,31.23,31.19,31.19,1300,0
2016-06-22,18:45:00,31.18,31.21,31.13,31.13,5325,0
2016-06-22,18:50:00,31.13,31.15,31.11,31.15,5600,0
2016-06-22,18:55:00,31.14,31.14,31.09,31.09,9690,0
2016-06-22,19:00:00,31.08,31.17,31.02,31.17,3380,0
2016-06-22,19:05:00,31.15,31.15,31.11,31.12,1200,0
2016-06-22,19:10:00,31.12,31.12,31.01,31.01,4200,0
2016-06-22,19:15:00,31,31.075,30.97,31.075,3527,0
2016-06-22,19:20:00,31.11,31.13,31.03,31.05,3800,0
2016-06-22,19:25:00,31.07,31.07,31.02,31.05,1300,0
2016-06-22,19:30:00,31.06,31.135,31.06,31.135,3626,0
2016-06-22,19:35:00,31.14,31.1697,31.12,31.14,3100,0
2016-06-22,19:40:00,31.13,31.1675,31.11,31.1675,1500,0
2016-06-22,19:45:00,31.2,31.2,31.16,31.17,3000,0
2016-06-22,19:50:00,31.2,31.24,31.18,31.21,4800,0
2016-06-22,19:55:00,31.21,31.26,31.19,31.19,13733,0
2016-06-22,20:00:00,31.19,31.27,31.1839,31.23,3245,0
2016-06-22,20:05:00,31.2,31.2,31.18,31.2,2000,0
2016-06-22,20:10:00,31.21,31.22,31.19,31.2,2600,0
2016-06-22,20:15:00,31.19,31.19,31.17,31.18,2200,0
2016-06-22,20:20:00,31.19,31.19,31.15,31.15,2717,0
2016-06-22,20:25:00,31.15,31.15,31.12,31.12,2446,0
2016-06-22,20:30:00,31.14,31.14,31.12,31.14,1600,0
2016-06-22,20:35:00,31.14,31.16,31.12,31.12,2675,0
2016-06-22,20:40:00,31.1,31.12,31.08,31.11,2900,0
2016-06-22,20:45:00,31.1056,31.128,31.1,31.12,2553,0
2016-06-22,20:50:00,31.1,31.13,31.08,31.13,1300,0
2016-06-22,20:55:00,31.14,31.15,31.1,31.15,2200,0
2016-06-22,21:00:00,31.18,31.2,31.16,31.17,2559,0
2016-06-22,21:05:00,31.175,31.24,31.175,31.21,2900,0
2016-06-22,21:10:00,31.205,31.22,31.17,31.17,3993,0
2016-06-22,21:15:00,31.17,31.22,31.17,31.17,4000,0
2016-06-22,21:20:00,31.19,31.2099,31.14,31.14,2793,0
2016-06-22,21:25:00,31.13,31.15,31.09,31.11,4758,0
2016-06-22,21:30:00,31.1,31.115,31.08,31.1,6400,0
2016-06-22,21:35:00,31.1,31.1,31.08,31.09,5898,0
2016-06-22,21:40:00,31.09,31.09,31.035,31.08,14371,0
2016-06-22,21:45:00,31.08,31.1,31.02,31.03,14940,0
2016-06-22,21:50:00,31.02,31.04,30.99,31,16188,0
2016-06-22,21:55:00,31.01,31.01,30.95,30.98,18218,0
2016-06-22,22:00:00,30.99,31.01,30.94,30.97,45707,0
2016-06-23,15:35:00,31.11,31.905,31.06,31.3,6048,0
2016-06-23,15:40:00,31.09,31.19,31.09,31.165,7400,0
2016-06-23,15:45:00,31.19,31.2,30.79,30.94,11544,0
2016-06-23,15:50:00,30.96,31.05,30.87,30.99,6245,0
2016-06-23,15:55:00,30.98,31.12,30.835,30.9596,8430,0
2016-06-23,16:00:00,30.9,31.07,30.9,31.01,3700,0
2016-06-23,16:05:00,30.98,31.03,30.9,30.96,10210,0
2016-06-23,16:10:00,30.97,30.98,30.7814,30.79,4218,0
2016-06-23,16:15:00,30.79,30.82,30.79,30.82,3100,0
2016-06-23,16:20:00,30.8,30.8305,30.72,30.8305,2500,0
2016-06-23,16:25:00,30.81,30.92,30.81,30.86,3400,0
2016-06-23,16:30:00,30.86,30.91,30.78,30.78,3600,0
2016-06-23,16:35:00,30.75,30.8,30.71,30.77,4700,0
2016-06-23,16:40:00,30.77,30.81,30.73,30.81,4150,0
2016-06-23,16:45:00,30.8,30.83,30.75,30.75,6275,0
2016-06-23,16:50:00,30.76,30.76,30.66,30.68,3700,0
2016-06-23,16:55:00,30.7,30.8,30.69,30.765,4557,0
2016-06-23,17:00:00,30.75,30.7682,30.72,30.75,2835,0
2016-06-23,17:05:00,30.73,30.77,30.73,30.77,3240,0
2016-06-23,17:10:00,30.77,30.81,30.77,30.79,4303,0
2016-06-23,17:15:00,30.79,30.8,30.76,30.76,4377,0
2016-06-23,17:20:00,30.77,30.856,30.77,30.8,4495,0
2016-06-23,17:25:00,30.8,30.86,30.76,30.79,5300,0
2016-06-23,17:30:00,30.79,30.8,30.75,30.78,4063,0
2016-06-23,17:35:00,30.8,30.84,30.785,30.79,3220,0
2016-06-23,17:40:00,30.82,30.83,30.78,30.78,3370,0
2016-06-23,17:45:00,30.78,30.81,30.76,30.76,2731,0
2016-06-23,17:50:00,30.73,30.82,30.7299,30.8,10343,0
2016-06-23,17:55:00,30.79,30.82,30.785,30.8,4000,0
2016-06-23,18:00:00,30.78,30.78,30.755,30.78,9279,0
2016-06-23,18:05:00,30.77,30.81,30.75,30.79,4217,0
2016-06-23,18:10:00,30.78,30.85,30.78,30.82,1320,0
2016-06-23,18:15:00,30.85,30.85,30.79,30.805,5464,0
2016-06-23,18:20:00,30.805,30.83,30.805,30.83,3776,0
2016-06-23,18:25:00,30.83,30.83,30.83,30.83,900,0
2016-06-23,18:30:00,30.82,30.82,30.81,30.815,1600,0
2016-06-23,18:35:00,30.815,30.82,30.75,30.76,8632,0
2016-06-23,18:40:00,30.76,30.79,30.76,30.79,2800,0
2016-06-23,18:45:00,30.79,30.8,30.73,30.73,1721,0
2016-06-23,18:50:00,30.73,30.78,30.7,30.73,6900,0
2016-06-23,18:55:00,30.75,30.75,30.65,30.6599,11100,0
2016-06-23,19:00:00,30.65,30.68,30.6,30.61,13919,0
2016-06-23,19:05:00,30.61,30.655,30.61,30.62,4100,0
2016-06-23,19:10:00,30.62,30.62,30.591,30.61,9713,0
2016-06-23,19:15:00,30.61,30.65,30.61,30.64,4100,0
2016-06-23,19:20:00,30.64,30.64,30.625,30.64,6427,0
2016-06-23,19:25:00,30.65,30.65,30.64,30.64,3600,0
2016-06-23,19:30:00,30.63,30.63,30.58,30.6,4978,0
2016-06-23,19:35:00,30.6,30.63,30.595,30.62,2800,0
2016-06-23,19:40:00,30.63,30.67,30.62,30.6601,4711,0
2016-06-23,19:45:00,30.68,30.73,30.68,30.71,7795,0
2016-06-23,19:50:00,30.71,30.71,30.65,30.65,6444,0
2016-06-23,19:55:00,30.61,30.67,30.61,30.64,7214,0
2016-06-23,20:00:00,30.63,30.67,30.63,30.64,5946,0
2016-06-23,20:05:00,30.64,30.64,30.62,30.63,3671,0
2016-06-23,20:10:00,30.63,30.63,30.61,30.62,3378,0
2016-06-23,20:15:00,30.63,30.66,30.63,30.64,5174,0
2016-06-23,20:20:00,30.65,30.665,30.64,30.64,1700,0
2016-06-23,20:25:00,30.65,30.69,30.65,30.69,2300,0
2016-06-23,20:30:00,30.69,30.71,30.64,30.64,10926,0
2016-06-23,20:35:00,30.65,30.66,30.61,30.63,35880,0
2016-06-23,20:40:00,30.63,30.65,30.62,30.65,2000,0
2016-06-23,20:45:00,30.66,30.73,30.66,30.7,13726,0
2016-06-23,20:50:00,30.69,30.71,30.67,30.705,26259,0
2016-06-23,20:55:00,30.72,30.75,30.72,30.75,2400,0
2016-06-23,21:00:00,30.755,30.76,30.71,30.71,3000,0
2016-06-23,21:05:00,30.71,30.71,30.67,30.7,7906,0
2016-06-23,21:10:00,30.7,30.7,30.64,30.64,4439,0
2016-06-23,21:15:00,30.66,30.71,30.66,30.69,2670,0
2016-06-23,21:20:00,30.7,30.7,30.67,30.69,3649,0
2016-06-23,21:25:00,30.68,30.7,30.68,30.69,5824,0
2016-06-23,21:30:00,30.6862,30.71,30.68,30.7,11506,0
2016-06-23,21:35:00,30.7,30.75,30.68,30.75,9742,0
2016-06-23,21:40:00,30.74,30.74,30.69,30.7,11644,0
2016-06-23,21:45:00,30.695,30.71,30.69,30.705,16540,0
2016-06-23,21:50:00,30.705,30.72,30.69,30.7,18942,0
