Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-20,15:35:00,62.04,62.23,61.95,62,6556,0
2016-06-20,15:40:00,62.07,62.14,62.02,62.02,2588,0
2016-06-20,15:45:00,62.06,62.12,62.02,62.08,900,0
2016-06-20,15:50:00,62.07,62.335,62.06,62.335,2735,0
2016-06-20,15:55:00,62.36,62.48,62.36,62.48,700,0
2016-06-20,16:00:00,62.475,62.69,62.475,62.69,2400,0
2016-06-20,16:05:00,62.74,62.9,62.735,62.89,2560,0
2016-06-20,16:10:00,62.92,62.975,62.87,62.87,900,0
2016-06-20,16:15:00,62.73,62.73,62.69,62.69,400,0
2016-06-20,16:20:00,62.67,62.695,62.34,62.43,1500,0
2016-06-20,16:30:00,62.455,62.455,62.37,62.37,200,0
2016-06-20,16:35:00,62.46,62.46,62.4,62.41,500,0
2016-06-20,16:40:00,62.49,62.5,62.49,62.495,400,0
2016-06-20,16:45:00,62.445,62.445,62.415,62.415,400,0
2016-06-20,16:50:00,62.42,62.43,62.42,62.43,300,0
2016-06-20,16:55:00,62.4,62.43,62.4,62.43,700,0
2016-06-20,17:00:00,62.45,62.51,62.44,62.49,1200,0
2016-06-20,17:10:00,62.4501,62.53,62.4501,62.53,645,0
2016-06-20,17:15:00,62.58,62.69,62.58,62.69,1900,0
2016-06-20,17:30:00,62.77,62.78,62.72,62.72,600,0
2016-06-20,17:35:00,62.765,62.765,62.765,62.765,100,0
2016-06-20,17:40:00,62.74,62.74,62.74,62.74,200,0
2016-06-20,17:45:00,62.75,62.77,62.7,62.7,2500,0
2016-06-20,17:50:00,62.7101,62.725,62.55,62.63,3200,0
2016-06-20,17:55:00,62.63,62.72,62.56,62.72,1770,0
2016-06-20,18:05:00,62.74,62.7463,62.73,62.7463,500,0
2016-06-20,18:10:00,62.73,62.73,62.73,62.73,100,0
2016-06-20,18:30:00,62.76,62.76,62.71,62.71,200,0
2016-06-20,18:35:00,62.75,62.75,62.75,62.75,100,0
2016-06-20,18:40:00,62.74,62.74,62.74,62.74,200,0
2016-06-20,19:00:00,62.67,62.67,62.67,62.67,100,0
2016-06-20,19:05:00,62.67,62.74,62.67,62.74,800,0
2016-06-20,19:10:00,62.69,62.69,62.67,62.67,700,0
2016-06-20,19:15:00,62.68,62.68,62.645,62.645,900,0
2016-06-20,19:20:00,62.66,62.72,62.62,62.72,4700,0
2016-06-20,19:25:00,62.72,62.72,62.72,62.72,200,0
2016-06-20,19:30:00,62.72,62.72,62.655,62.66,5900,0
2016-06-20,19:35:00,62.66,62.82,62.66,62.81,3010,0
2016-06-20,19:50:00,62.79,62.82,62.785,62.8,1000,0
2016-06-20,19:55:00,62.8,62.815,62.765,62.765,800,0
2016-06-20,20:00:00,62.78,62.78,62.765,62.765,200,0
2016-06-20,20:05:00,62.74,62.81,62.74,62.75,300,0
2016-06-20,20:10:00,62.8,62.8,62.74,62.8,1100,0
2016-06-20,20:15:00,62.79,62.82,62.75,62.82,900,0
2016-06-20,20:25:00,62.74,62.76,62.73,62.76,600,0
2016-06-20,20:30:00,62.73,62.73,62.73,62.73,200,0
2016-06-20,20:35:00,62.72,62.72,62.66,62.66,380,0
2016-06-20,20:40:00,62.73,62.73,62.66,62.66,2588,0
2016-06-20,20:45:00,62.66,62.67,62.58,62.67,2200,0
2016-06-20,20:50:00,62.6201,62.72,62.6201,62.72,2200,0
2016-06-20,20:55:00,62.7,62.7,62.68,62.68,200,0
2016-06-20,21:00:00,62.68,62.75,62.68,62.75,600,0
2016-06-20,21:05:00,62.735,62.755,62.73,62.73,2600,0
2016-06-20,21:15:00,62.74,62.74,62.71,62.71,800,0
2016-06-20,21:20:00,62.69,62.69,62.5401,62.6,1411,0
2016-06-20,21:25:00,62.63,62.63,62.63,62.63,100,0
2016-06-20,21:30:00,62.63,62.66,62.46,62.5,1412,0
2016-06-20,21:35:00,62.564,62.564,62.49,62.52,4015,0
2016-06-20,21:40:00,62.51,62.51,62.48,62.5,1906,0
2016-06-20,21:45:00,62.5,62.61,62.5,62.6,3047,0
2016-06-20,21:50:00,62.6,62.61,62.595,62.61,2000,0
2016-06-20,21:55:00,62.59,62.61,62.54,62.54,5300,0
2016-06-20,22:00:00,62.59,62.63,62.565,62.61,12076,0
2016-06-21,15:35:00,62.43,62.66,62.43,62.58,2761,0
2016-06-21,15:40:00,62.7,62.7,62.7,62.7,300,0
2016-06-21,15:45:00,62.76,62.81,62.66,62.71,1900,0
2016-06-21,15:50:00,62.66,62.87,62.6,62.87,2500,0
2016-06-21,15:55:00,62.91,62.91,62.85,62.91,1100,0
2016-06-21,16:00:00,62.96,63.04,62.96,62.98,740,0
2016-06-21,16:05:00,63.02,63.09,62.96,63.09,1000,0
2016-06-21,16:10:00,63.09,63.14,63.08,63.14,600,0
2016-06-21,16:15:00,63.17,63.17,63.165,63.165,200,0
2016-06-21,16:20:00,63.02,63.02,62.99,62.99,3140,0
2016-06-21,16:25:00,62.89,62.98,62.73,62.9,4200,0
2016-06-21,16:30:00,62.94,62.98,62.88,62.91,1200,0
2016-06-21,16:35:00,62.88,62.93,62.87,62.87,1185,0
2016-06-21,16:40:00,62.75,62.75,62.75,62.75,300,0
2016-06-21,16:45:00,62.67,62.78,62.67,62.78,1100,0
2016-06-21,16:50:00,62.76,62.76,62.69,62.76,500,0
2016-06-21,16:55:00,62.75,62.77,62.59,62.77,2100,0
2016-06-21,17:00:00,62.74,62.77,62.665,62.665,1300,0
2016-06-21,17:05:00,62.72,62.74,62.59,62.74,1745,0
2016-06-21,17:15:00,62.76,62.76,62.55,62.65,1500,0
2016-06-21,17:20:00,62.77,62.79,62.66,62.78,700,0
2016-06-21,17:25:00,62.76,62.77,62.62,62.62,400,0
2016-06-21,17:30:00,62.72,62.74,62.66,62.66,500,0
2016-06-21,17:35:00,62.76,62.76,62.56,62.7,1800,0
2016-06-21,17:40:00,62.655,62.7,62.61,62.7,700,0
2016-06-21,17:45:00,62.7,62.7,62.6,62.6,800,0
2016-06-21,17:50:00,62.62,62.7,62.62,62.65,700,0
2016-06-21,18:00:00,62.72,62.74,62.67,62.74,900,0
2016-06-21,18:05:00,62.66,62.7,62.66,62.7,200,0
2016-06-21,18:10:00,62.7,62.78,62.67,62.68,1817,0
2016-06-21,18:15:00,62.79,62.79,62.69,62.69,500,0
2016-06-21,18:20:00,62.79,62.82,62.79,62.82,800,0
2016-06-21,18:30:00,62.75,62.85,62.75,62.84,1254,0
2016-06-21,18:35:00,62.87,62.89,62.87,62.89,300,0
2016-06-21,18:40:00,62.86,62.86,62.85,62.85,300,0
2016-06-21,18:45:00,62.8,62.8,62.64,62.64,400,0
2016-06-21,18:50:00,62.61,62.71,62.61,62.61,500,0
2016-06-21,18:55:00,62.62,62.75,62.61,62.63,1400,0
2016-06-21,19:00:00,62.6637,62.6637,62.62,62.62,413,0
2016-06-21,19:05:00,62.61,62.6488,62.6,62.6,691,0
2016-06-21,19:10:00,62.61,62.655,62.57,62.65,2620,0
2016-06-21,19:15:00,62.6,62.65,62.6,62.65,1200,0
2016-06-21,19:20:00,62.61,62.65,62.6,62.65,600,0
2016-06-21,19:25:00,62.63,62.65,62.6,62.6,500,0
2016-06-21,19:30:00,62.59,62.59,62.51,62.565,2000,0
2016-06-21,19:35:00,62.59,62.65,62.57,62.6295,2648,0
2016-06-21,19:40:00,62.6,62.6,62.57,62.57,300,0
2016-06-21,19:45:00,62.57,62.69,62.57,62.59,8100,0
2016-06-21,19:50:00,62.59,62.65,62.54,62.54,1980,0
2016-06-21,19:55:00,62.628,62.628,62.53,62.61,929,0
2016-06-21,20:00:00,62.53,62.63,62.46,62.51,1100,0
2016-06-21,20:10:00,62.5301,62.5301,62.46,62.46,1161,0
2016-06-21,20:15:00,62.51,62.57,62.51,62.57,1205,0
2016-06-21,20:20:00,62.5301,62.5301,62.53,62.53,784,0
2016-06-21,20:30:00,62.5401,62.55,62.5401,62.55,830,0
2016-06-21,20:35:00,62.56,62.56,62.56,62.56,100,0
2016-06-21,20:40:00,62.63,62.695,62.63,62.695,623,0
2016-06-21,20:55:00,62.8,62.8,62.69,62.69,500,0
2016-06-21,21:05:00,62.64,62.64,62.64,62.64,100,0
2016-06-21,21:10:00,62.63,62.65,62.63,62.63,2100,0
2016-06-21,21:20:00,62.68,62.81,62.68,62.81,708,0
2016-06-21,21:30:00,62.705,62.97,62.705,62.91,3383,0
2016-06-21,21:35:00,62.91,62.91,62.819,62.83,2350,0
2016-06-21,21:40:00,62.895,62.97,62.895,62.93,1000,0
2016-06-21,21:45:00,62.95,62.95,62.8,62.9139,10000,0
2016-06-21,21:50:00,62.91,62.91,62.8,62.87,2993,0
2016-06-21,21:55:00,62.9,62.97,62.9,62.97,2400,0
2016-06-21,22:00:00,62.96,63.11,62.915,63.02,13773,0
2016-06-22,15:35:00,63.46,63.48,63.26,63.32,4024,0
2016-06-22,15:40:00,63.42,63.51,63.36,63.425,1200,0
2016-06-22,15:45:00,63.52,63.52,63.41,63.425,900,0
2016-06-22,15:50:00,63.41,63.49,63.34,63.49,1500,0
2016-06-22,15:55:00,63.46,63.46,63.31,63.31,3555,0
2016-06-22,16:00:00,63.23,63.5,63.23,63.43,2100,0
2016-06-22,16:10:00,63.365,63.365,63.25,63.25,924,0
2016-06-22,16:15:00,63.33,63.61,63.3299,63.61,1725,0
2016-06-22,16:20:00,63.5,63.61,63.5,63.61,300,0
2016-06-22,16:25:00,63.55,63.61,63.5468,63.61,1400,0
2016-06-22,16:30:00,63.6518,63.74,63.61,63.74,848,0
2016-06-22,16:40:00,63.72,63.78,63.72,63.766,1280,0
2016-06-22,16:50:00,63.69,63.69,63.68,63.68,1000,0
2016-06-22,16:55:00,63.63,63.64,63.53,63.53,500,0
2016-06-22,17:00:00,63.5395,63.5395,63.5395,63.5395,458,0
2016-06-22,17:05:00,63.4704,63.4704,63.4,63.45,330,0
2016-06-22,17:10:00,63.43,63.43,63.43,63.43,100,0
2016-06-22,17:15:00,63.26,63.26,63.26,63.26,100,0
2016-06-22,17:20:00,63.32,63.38,63.32,63.38,3585,0
2016-06-22,17:25:00,63.4201,63.45,63.42,63.45,1800,0
2016-06-22,17:30:00,63.4384,63.45,63.39,63.42,1185,0
2016-06-22,17:35:00,63.4,63.4,63.25,63.25,300,0
2016-06-22,17:40:00,63.35,63.51,63.35,63.455,1818,0
2016-06-22,17:50:00,63.49,63.49,63.45,63.45,200,0
2016-06-22,17:55:00,63.4,63.4,63.31,63.35,3700,0
2016-06-22,18:00:00,63.37,63.37,63.33,63.33,400,0
2016-06-22,18:05:00,63.36,63.38,63.33,63.34,1100,0
2016-06-22,18:10:00,63.32,63.33,63.27,63.27,2900,0
2016-06-22,18:15:00,63.3,63.37,63.3,63.3,1200,0
2016-06-22,18:20:00,63.38,63.4,63.26,63.26,1021,0
2016-06-22,18:25:00,63.23,63.23,63.23,63.23,1000,0
2016-06-22,18:30:00,63.2,63.2,63.2,63.2,100,0
2016-06-22,18:35:00,63.2,63.2,63.2,63.2,300,0
2016-06-22,18:40:00,63.2,63.3,63.14,63.14,1469,0
2016-06-22,18:45:00,63.16,63.2272,63.16,63.17,2150,0
2016-06-22,18:50:00,63.16,63.1866,63.16,63.1866,443,0
2016-06-22,18:55:00,63.18,63.21,63.16,63.21,500,0
2016-06-22,19:00:00,63.21,63.26,63.21,63.26,510,0
2016-06-22,19:05:00,63.15,63.19,63.15,63.19,400,0
2016-06-22,19:10:00,63.19,63.19,63.1,63.11,1000,0
2016-06-22,19:15:00,63.11,63.15,63.09,63.13,2100,0
2016-06-22,19:20:00,63.13,63.15,63.04,63.04,800,0
2016-06-22,19:25:00,63.15,63.19,63.1,63.1,916,0
2016-06-22,19:35:00,63.05,63.05,63.05,63.05,100,0
2016-06-22,19:40:00,63.07,63.07,62.97,62.97,200,0
2016-06-22,19:45:00,63.035,63.1,63.035,63.1,500,0
2016-06-22,19:50:00,63.07,63.08,63.07,63.08,200,0
2016-06-22,19:55:00,63.14,63.17,63.035,63.035,623,0
2016-06-22,20:00:00,63.0842,63.0842,63.08,63.08,300,0
2016-06-22,20:05:00,62.98,62.98,62.98,62.98,100,0
2016-06-22,20:10:00,63.08,63.08,62.94,62.94,708,0
2016-06-22,20:15:00,63,63,63,63,100,0
2016-06-22,20:25:00,62.8503,62.9262,62.82,62.82,767,0
2016-06-22,20:30:00,62.82,62.86,62.8,62.8,400,0
2016-06-22,20:35:00,62.78,62.78,62.7,62.7,400,0
2016-06-22,20:40:00,62.68,62.76,62.66,62.66,400,0
2016-06-22,20:45:00,62.66,62.7,62.66,62.7,200,0
2016-06-22,20:50:00,62.64,62.64,62.62,62.62,475,0
2016-06-22,20:55:00,62.63,62.6668,62.59,62.6668,1389,0
2016-06-22,21:00:00,62.641,62.648,62.64,62.64,650,0
