Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-22,15:35:00,14.97,14.97,14.88,14.88,10381,0
2016-06-22,15:40:00,14.88,14.95,14.765,14.92,9385,0
2016-06-22,15:45:00,14.89,14.93,14.8614,14.92,12530,0
2016-06-22,15:50:00,14.89,14.96,14.85,14.96,15335,0
2016-06-22,15:55:00,14.95,14.95,14.9,14.95,5400,0
2016-06-22,16:00:00,14.94,14.99,14.93,14.97,23262,0
2016-06-22,16:05:00,14.95,14.98,14.93,14.95,19771,0
2016-06-22,16:10:00,14.95,15,14.92,15,18800,0
2016-06-22,16:15:00,15.01,15.07,15.01,15.05,12644,0
2016-06-22,16:20:00,15,15.02,15,15.01,3780,0
2016-06-22,16:25:00,15.016,15.03,15,15.01,1930,0
2016-06-22,16:30:00,15.0201,15.03,15,15.03,1400,0
2016-06-22,16:35:00,15.02,15.41,15.01,15.4,28138,0
2016-06-22,16:40:00,15.4,15.45,15.3,15.31,8150,0
2016-06-22,16:45:00,15.29,15.45,15.22,15.35,5304,0
2016-06-22,16:50:00,15.36,15.48,15.3,15.48,14015,0
2016-06-22,16:55:00,15.52,15.53,15.49,15.49,1800,0
2016-06-22,17:00:00,15.45,15.45,15.36,15.36,2600,0
2016-06-22,17:05:00,15.36,15.52,15.34,15.47,3610,0
2016-06-22,17:10:00,15.46,15.5,15.433,15.45,4650,0
2016-06-22,17:15:00,15.44,15.47,15.38,15.38,12383,0
2016-06-22,17:20:00,15.37,15.47,15.37,15.47,4200,0
2016-06-22,17:25:00,15.45,15.45,15.37,15.38,5300,0
2016-06-22,17:30:00,15.37,15.4,15.36,15.4,6485,0
2016-06-22,17:35:00,15.38,15.38,15.272,15.3,2779,0
2016-06-22,17:40:00,15.28,15.33,15.28,15.3001,5300,0
2016-06-22,17:45:00,15.28,15.31,15.26,15.31,3500,0
2016-06-22,17:50:00,15.31,15.31,15.242,15.25,3800,0
2016-06-22,17:55:00,15.24,15.26,15.22,15.26,2500,0
2016-06-22,18:00:00,15.28,15.28,15.27,15.27,600,0
2016-06-22,18:05:00,15.272,15.272,15.23,15.23,2600,0
2016-06-22,18:10:00,15.23,15.23,15.18,15.2,4328,0
2016-06-22,18:15:00,15.23,15.26,15.23,15.25,3301,0
2016-06-22,18:20:00,15.25,15.26,15.2,15.21,3300,0
2016-06-22,18:25:00,15.2299,15.2299,15.1,15.1,10295,0
2016-06-22,18:30:00,15.11,15.17,15.09,15.17,3900,0
2016-06-22,18:35:00,15.17,15.17,15.133,15.16,700,0
2016-06-22,18:40:00,15.15,15.15,15.12,15.13,6414,0
2016-06-22,18:45:00,15.12,15.12,15.08,15.08,4800,0
2016-06-22,18:50:00,15.05,15.07,15.032,15.07,2100,0
2016-06-22,18:55:00,15.07,15.1,15.06,15.06,2500,0
2016-06-22,19:00:00,15.07,15.13,15.07,15.11,1500,0
2016-06-22,19:05:00,15.09,15.101,15.09,15.1,500,0
2016-06-22,19:10:00,15.1,15.1,15.03,15.03,4500,0
2016-06-22,19:15:00,15.03,15.06,15.02,15.06,6675,0
2016-06-22,19:20:00,15.06,15.07,15.03,15.05,5900,0
2016-06-22,19:25:00,15.07,15.08,15.04,15.04,2400,0
2016-06-22,19:30:00,15.04,15.07,15.02,15.06,4300,0
2016-06-22,19:35:00,15.06,15.07,15.03,15.04,19200,0
2016-06-22,19:40:00,15.05,15.12,15.05,15.12,20398,0
2016-06-22,19:45:00,15.11,15.1301,15.11,15.13,4350,0
2016-06-22,19:50:00,15.13,15.17,15.13,15.16,2800,0
2016-06-22,19:55:00,15.17,15.2,15.16,15.17,2135,0
2016-06-22,20:00:00,15.16,15.19,15.16,15.17,1500,0
2016-06-22,20:05:00,15.16,15.16,15.15,15.15,1500,0
2016-06-22,20:10:00,15.16,15.18,15.15,15.15,4254,0
2016-06-22,20:15:00,15.16,15.17,15.15,15.16,1800,0
