Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-22,15:35:00,47.76,47.965,47.33,47.33,2135,0
2016-06-22,15:40:00,47.37,47.375,47.13,47.375,700,0
2016-06-22,15:45:00,47.36,47.59,47.35,47.59,2610,0
2016-06-22,15:50:00,47.48,47.48,47.34,47.48,2500,0
2016-06-22,15:55:00,47.42,47.49,47.37,47.4,4400,0
2016-06-22,16:00:00,47.37,47.43,47.37,47.4,800,0
2016-06-22,16:05:00,47.43,47.49,47.38,47.43,2457,0
2016-06-22,16:10:00,47.43,47.44,47.43,47.44,780,0
2016-06-22,16:15:00,47.52,47.63,47.52,47.63,300,0
2016-06-22,16:20:00,47.65,47.74,47.64,47.74,1010,0
2016-06-22,16:25:00,47.73,47.84,47.73,47.79,800,0
2016-06-22,16:30:00,47.825,47.825,47.72,47.785,900,0
2016-06-22,16:35:00,47.8,48.21,47.8,48.15,4495,0
2016-06-22,16:40:00,48.21,48.22,48.07,48.07,2000,0
2016-06-22,16:45:00,48.08,48.11,47.99,48.08,600,0
2016-06-22,16:50:00,48.19,48.23,48.15,48.15,400,0
2016-06-22,16:55:00,48.24,48.45,48.23,48.43,1692,0
2016-06-22,17:00:00,48.4,48.4,48.19,48.19,1200,0
2016-06-22,17:05:00,48.11,48.19,48.05,48.14,2200,0
2016-06-22,17:10:00,48.08,48.105,47.83,47.94,2400,0
2016-06-22,17:15:00,47.89,47.99,47.86,47.88,1400,0
2016-06-22,17:20:00,47.84,47.91,47.82,47.85,1220,0
2016-06-22,17:25:00,47.85,47.95,47.85,47.93,1850,0
2016-06-22,17:30:00,47.935,48.03,47.935,47.98,5933,0
2016-06-22,17:35:00,47.94,47.94,47.59,47.64,8061,0
2016-06-22,17:40:00,47.65,47.75,47.62,47.7,3666,0
2016-06-22,17:45:00,47.67,47.67,47.6,47.63,1600,0
2016-06-22,17:50:00,47.71,47.74,47.7,47.72,2500,0
2016-06-22,17:55:00,47.74,47.78,47.74,47.75,2200,0
2016-06-22,18:00:00,47.78,47.82,47.75,47.75,2520,0
2016-06-22,18:05:00,47.75,47.76,47.75,47.75,600,0
2016-06-22,18:10:00,47.75,47.79,47.71,47.75,2550,0
2016-06-22,18:15:00,47.75,47.8,47.75,47.8,2150,0
2016-06-22,18:20:00,47.8,47.8,47.75,47.75,1865,0
2016-06-22,18:25:00,47.78,47.78,47.735,47.75,4425,0
2016-06-22,18:30:00,47.75,47.81,47.74,47.81,10875,0
2016-06-22,18:35:00,47.8,47.855,47.8,47.855,200,0
2016-06-22,18:40:00,47.82,47.88,47.82,47.85,3239,0
2016-06-22,18:45:00,47.855,47.855,47.67,47.7,2700,0
2016-06-22,18:50:00,47.695,47.79,47.66,47.73,11400,0
2016-06-22,18:55:00,47.79,47.84,47.715,47.715,1700,0
2016-06-22,19:00:00,47.75,47.765,47.75,47.765,300,0
2016-06-22,19:05:00,47.79,47.8,47.738,47.8,1800,0
2016-06-22,19:10:00,47.76,47.78,47.71,47.74,4300,0
2016-06-22,19:15:00,47.7,47.775,47.69,47.77,3100,0
2016-06-22,19:20:00,47.75,47.75,47.7205,47.73,600,0
2016-06-22,19:25:00,47.745,47.75,47.725,47.74,1600,0
2016-06-22,19:30:00,47.74,47.76,47.73,47.76,3000,0
2016-06-22,19:35:00,47.81,47.81,47.76,47.76,700,0
2016-06-22,19:40:00,47.79,47.79,47.7612,47.79,1604,0
2016-06-22,19:45:00,47.75,47.78,47.73,47.78,500,0
2016-06-22,19:50:00,47.75,47.83,47.75,47.79,3200,0
2016-06-22,19:55:00,47.83,47.96,47.83,47.96,1800,0
2016-06-22,20:00:00,47.97,47.97,47.91,47.91,1300,0
2016-06-22,20:05:00,47.89,47.89,47.82,47.85,1100,0
2016-06-22,20:10:00,47.855,47.855,47.77,47.78,3600,0
2016-06-22,20:15:00,47.79,47.85,47.78,47.78,2800,0
2016-06-22,20:20:00,47.8125,47.8125,47.8,47.8,700,0
2016-06-22,20:25:00,47.75,47.81,47.75,47.8,5393,0
2016-06-22,20:30:00,47.82,47.84,47.81,47.84,1100,0
2016-06-22,20:35:00,47.84,47.84,47.75,47.75,1000,0
2016-06-22,20:40:00,47.75,47.77,47.75,47.76,1716,0
2016-06-22,20:45:00,47.75,47.77,47.7499,47.75,2297,0
2016-06-22,20:50:00,47.75,47.75,47.61,47.73,7700,0
2016-06-22,20:55:00,47.665,47.735,47.665,47.71,9634,0
2016-06-22,21:00:00,47.75,47.77,47.73,47.76,3994,0
2016-06-22,21:05:00,47.77,47.86,47.77,47.85,1500,0
2016-06-22,21:10:00,47.87,47.89,47.75,47.75,2000,0
2016-06-22,21:15:00,47.75,47.83,47.75,47.83,2060,0
2016-06-22,21:20:00,47.86,47.86,47.83,47.84,1800,0
2016-06-22,21:25:00,47.8,47.8,47.67,47.695,2600,0
2016-06-22,21:30:00,47.74,47.76,47.68,47.755,3321,0
2016-06-22,21:35:00,47.73,47.76,47.73,47.73,3300,0
2016-06-22,21:40:00,47.71,47.75,47.71,47.75,6200,0
2016-06-22,21:45:00,47.76,47.76,47.64,47.69,2413,0
2016-06-22,21:50:00,47.68,47.76,47.62,47.62,5215,0
2016-06-22,21:55:00,47.67,47.74,47.58,47.67,8000,0
2016-06-22,22:00:00,47.63,47.81,47.63,47.69,24064,0
2016-06-23,15:35:00,48.43,48.84,48,48,3345,0
2016-06-23,15:40:00,48.08,48.14,47.74,47.93,6500,0
2016-06-23,15:45:00,48,48.55,47.945,48.55,2549,0
2016-06-23,15:50:00,48.33,48.53,48.225,48.225,1550,0
2016-06-23,15:55:00,48.22,48.225,47.995,48.14,3800,0
2016-06-23,16:00:00,48.065,48.23,48.065,48.22,3300,0
2016-06-23,16:05:00,48.22,48.39,48.05,48.39,8612,0
2016-06-23,16:10:00,48.35,48.42,48.23,48.265,2828,0
