Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-22,15:35:00,3.47,3.485,3.44,3.48,39632,0
2016-06-22,15:40:00,3.48,3.48,3.46,3.46,29838,0
2016-06-22,15:45:00,3.465,3.485,3.465,3.47,100106,0
2016-06-22,15:50:00,3.47,3.48,3.47,3.47,17500,0
2016-06-22,15:55:00,3.48,3.48,3.46,3.46,60896,0
2016-06-22,16:00:00,3.465,3.465,3.44,3.45,45170,0
2016-06-22,16:05:00,3.45,3.45,3.4434,3.445,31703,0
2016-06-22,16:10:00,3.445,3.45,3.44,3.4401,11700,0
2016-06-22,16:15:00,3.4427,3.45,3.44,3.445,16496,0
2016-06-22,16:20:00,3.45,3.46,3.445,3.4585,36558,0
2016-06-22,16:25:00,3.455,3.46,3.45,3.455,16461,0
2016-06-22,16:30:00,3.45,3.46,3.45,3.455,7800,0
2016-06-22,16:35:00,3.455,3.455,3.44,3.44,21483,0
2016-06-22,16:40:00,3.445,3.45,3.44,3.44,6600,0
2016-06-22,16:45:00,3.45,3.47,3.44,3.47,40508,0
2016-06-22,16:50:00,3.4699,3.47,3.45,3.465,52921,0
2016-06-22,16:55:00,3.465,3.48,3.465,3.48,69510,0
2016-06-22,17:00:00,3.48,3.48,3.47,3.4701,11270,0
2016-06-22,17:05:00,3.48,3.48,3.47,3.48,43167,0
2016-06-22,17:10:00,3.48,3.48,3.475,3.48,155378,0
2016-06-22,17:15:00,3.48,3.49,3.475,3.475,345826,0
2016-06-22,17:20:00,3.475,3.485,3.475,3.48,109737,0
2016-06-22,17:25:00,3.4807,3.5,3.47,3.48,288154,0
2016-06-22,17:30:00,3.48,3.49,3.475,3.485,90961,0
2016-06-22,17:35:00,3.485,3.49,3.4735,3.475,105978,0
2016-06-22,17:40:00,3.48,3.485,3.475,3.48,157016,0
2016-06-22,17:45:00,3.48,3.48,3.475,3.48,58058,0
2016-06-22,17:50:00,3.48,3.48,3.475,3.48,17607,0
2016-06-22,17:55:00,3.48,3.49,3.47,3.48,171620,0
2016-06-22,18:00:00,3.48,3.49,3.471,3.48,71953,0
2016-06-22,18:05:00,3.49,3.49,3.48,3.48,20100,0
2016-06-22,18:10:00,3.48,3.49,3.47,3.475,89694,0
2016-06-22,18:15:00,3.48,3.49,3.47,3.48,111235,0
2016-06-22,18:20:00,3.48,3.48,3.47,3.48,49611,0
2016-06-22,18:25:00,3.48,3.48,3.46,3.47,2687491,0
2016-06-22,18:30:00,3.47,3.48,3.47,3.475,66503,0
2016-06-22,18:35:00,3.48,3.48,3.47,3.48,40215,0
2016-06-22,18:40:00,3.48,3.48,3.47,3.475,10355,0
2016-06-22,18:45:00,3.48,3.48,3.46,3.46,62951,0
2016-06-22,18:50:00,3.465,3.47,3.455,3.46,445158,0
2016-06-22,18:55:00,3.47,3.475,3.46,3.465,1798921,0
2016-06-22,19:00:00,3.47,3.47,3.46,3.47,691007,0
2016-06-22,19:05:00,3.465,3.47,3.46,3.46,13446,0
2016-06-22,19:10:00,3.46,3.465,3.455,3.46,25783,0
2016-06-22,19:15:00,3.46,3.46,3.45,3.46,17304,0
2016-06-22,19:20:00,3.455,3.46,3.45,3.455,18228,0
2016-06-22,19:25:00,3.455,3.46,3.45,3.46,39132,0
2016-06-22,19:30:00,3.46,3.46,3.45,3.46,18006,0
2016-06-22,19:35:00,3.46,3.46,3.45,3.45,27591,0
2016-06-22,19:40:00,3.46,3.46,3.45,3.46,49055,0
2016-06-22,19:45:00,3.46,3.46,3.4532,3.46,32464,0
2016-06-22,19:50:00,3.46,3.47,3.455,3.47,59243,0
2016-06-22,19:55:00,3.47,3.49,3.4625,3.47,350516,0
2016-06-22,20:00:00,3.47,3.475,3.46,3.46,67001,0
2016-06-22,20:05:00,3.46,3.47,3.455,3.465,149716,0
2016-06-22,20:10:00,3.465,3.47,3.46,3.46,22223,0
2016-06-22,20:15:00,3.46,3.47,3.46,3.465,17534,0
2016-06-22,20:20:00,3.46,3.47,3.46,3.47,14236,0
2016-06-22,20:25:00,3.47,3.47,3.46,3.47,43943,0
2016-06-22,20:30:00,3.465,3.47,3.46,3.47,18442,0
2016-06-22,20:35:00,3.47,3.48,3.465,3.475,134080,0
2016-06-22,20:40:00,3.48,3.48,3.47,3.475,102664,0
2016-06-22,20:45:00,3.47,3.475,3.46,3.47,67256,0
2016-06-22,20:50:00,3.47,3.47,3.46,3.465,18927,0
2016-06-22,20:55:00,3.465,3.47,3.46,3.465,24002,0
2016-06-22,21:00:00,3.47,3.47,3.46,3.47,24302,0
2016-06-22,21:05:00,3.47,3.47,3.463,3.47,21700,0
2016-06-22,21:10:00,3.47,3.48,3.465,3.475,52025,0
2016-06-22,21:15:00,3.48,3.48,3.47,3.48,38473,0
2016-06-22,21:20:00,3.475,3.48,3.47,3.475,54456,0
2016-06-22,21:25:00,3.48,3.48,3.47,3.475,60552,0
2016-06-22,21:30:00,3.475,3.48,3.47,3.471,43758,0
2016-06-22,21:35:00,3.47,3.48,3.47,3.47,80959,0
2016-06-22,21:40:00,3.48,3.48,3.465,3.475,268448,0
2016-06-22,21:45:00,3.475,3.48,3.47,3.47,59094,0
2016-06-22,21:50:00,3.475,3.48,3.47,3.48,84743,0
2016-06-22,21:55:00,3.47,3.48,3.47,3.47,94023,0
2016-06-22,22:00:00,3.47,3.48,3.47,3.47,221755,0
2016-06-23,15:35:00,3.49,3.5,3.475,3.495,52338,0
2016-06-23,15:40:00,3.49,3.505,3.485,3.5,168590,0
2016-06-23,15:45:00,3.5,3.529,3.49,3.529,244528,0
2016-06-23,15:50:00,3.525,3.525,3.49,3.495,83185,0
2016-06-23,15:55:00,3.49,3.5,3.49,3.5,24100,0
2016-06-23,16:00:00,3.495,3.5,3.49,3.495,106906,0
2016-06-23,16:05:00,3.4925,3.5,3.49,3.495,157961,0
2016-06-23,16:10:00,3.5,3.5,3.49,3.5,100251,0
2016-06-23,16:15:00,3.5,3.5,3.47,3.475,357740,0
2016-06-23,16:20:00,3.47,3.5,3.47,3.485,766996,0
2016-06-23,16:25:00,3.48,3.5,3.48,3.495,68837,0
2016-06-23,16:30:00,3.495,3.5,3.49,3.495,9997,0
2016-06-23,16:35:00,3.495,3.495,3.48,3.485,139042,0
2016-06-23,16:40:00,3.48,3.5,3.48,3.495,104426,0
2016-06-23,16:45:00,3.495,3.5,3.49,3.49,61428,0
2016-06-23,16:50:00,3.49,3.495,3.49,3.49,28120,0
2016-06-23,16:55:00,3.49,3.5,3.49,3.49,88276,0
2016-06-23,17:00:00,3.49,3.495,3.48,3.48,107239,0
2016-06-23,17:05:00,3.48,3.49,3.48,3.48,82635,0
2016-06-23,17:10:00,3.485,3.49,3.48,3.485,27255,0
2016-06-23,17:15:00,3.48,3.49,3.48,3.485,75043,0
2016-06-23,17:20:00,3.48,3.49,3.48,3.48,134918,0
2016-06-23,17:25:00,3.48,3.49,3.48,3.48,78743,0
2016-06-23,17:30:00,3.48,3.495,3.48,3.48,163959,0
2016-06-23,17:35:00,3.49,3.49,3.48,3.485,22100,0
2016-06-23,17:40:00,3.485,3.49,3.48,3.485,53107,0
2016-06-23,17:45:00,3.49,3.49,3.485,3.49,21585,0
2016-06-23,17:50:00,3.49,3.495,3.485,3.495,55464,0
2016-06-23,17:55:00,3.495,3.5,3.49,3.495,429330,0
2016-06-23,18:00:00,3.49,3.495,3.49,3.49,8211,0
2016-06-23,18:05:00,3.5,3.5,3.49,3.495,59657,0
2016-06-23,18:10:00,3.49,3.5,3.49,3.495,25820,0
2016-06-23,18:15:00,3.5,3.5,3.49,3.5,201255,0
2016-06-23,18:20:00,3.5,3.5,3.49,3.495,154797,0
2016-06-23,18:25:00,3.495,3.5,3.49,3.49,30701,0
2016-06-23,18:30:00,3.495,3.5,3.49,3.495,19600,0
2016-06-23,18:35:00,3.49,3.5,3.49,3.495,22828,0
2016-06-23,18:40:00,3.495,3.5,3.49,3.495,14180,0
2016-06-23,18:45:00,3.49,3.5,3.49,3.49,21500,0
2016-06-23,18:50:00,3.495,3.5,3.49,3.4928,30092,0
2016-06-23,18:55:00,3.5,3.5,3.49,3.495,56730,0
2016-06-23,19:00:00,3.495,3.4955,3.49,3.495,14720,0
2016-06-23,19:05:00,3.495,3.5,3.49,3.49,22366,0
2016-06-23,19:10:00,3.495,3.5,3.49,3.495,25976,0
2016-06-23,19:15:00,3.495,3.5,3.49,3.495,21508,0
2016-06-23,19:20:00,3.495,3.5,3.49,3.495,61571,0
2016-06-23,19:25:00,3.495,3.5,3.49,3.495,15000,0
2016-06-23,19:30:00,3.49,3.5,3.49,3.495,33067,0
2016-06-23,19:35:00,3.495,3.5,3.49,3.495,21050,0
2016-06-23,19:40:00,3.495,3.5,3.49,3.49,56213,0
2016-06-23,19:45:00,3.49,3.5,3.49,3.49,21022,0
2016-06-23,19:50:00,3.495,3.5,3.49,3.495,34285,0
2016-06-23,19:55:00,3.495,3.5,3.49,3.49,27601,0
2016-06-23,20:00:00,3.495,3.5,3.49,3.495,18884,0
2016-06-23,20:05:00,3.495,3.5,3.49,3.5,189229,0
2016-06-23,20:10:00,3.5,3.5,3.495,3.5,38422,0
2016-06-23,20:15:00,3.5,3.5,3.49,3.495,26184,0
2016-06-23,20:20:00,3.5,3.5,3.49,3.5,40311,0
2016-06-23,20:25:00,3.5,3.5,3.49,3.495,30999,0
2016-06-23,20:30:00,3.5,3.5,3.495,3.495,60312,0
2016-06-23,20:35:00,3.495,3.5,3.491,3.5,37733,0
2016-06-23,20:40:00,3.5,3.5,3.49,3.5,21486,0
2016-06-23,20:45:00,3.5,3.5,3.49,3.5,18700,0
2016-06-23,20:50:00,3.5,3.5,3.49,3.5,17996,0
2016-06-23,20:55:00,3.5,3.5,3.491,3.495,44392,0
2016-06-23,21:00:00,3.5,3.5,3.495,3.495,27500,0
2016-06-23,21:05:00,3.4901,3.5,3.49,3.495,284751,0
2016-06-23,21:10:00,3.49,3.495,3.48,3.48,80775,0
2016-06-23,21:15:00,3.485,3.49,3.48,3.49,24717,0
2016-06-23,21:20:00,3.485,3.49,3.48,3.48,18477,0
2016-06-23,21:25:00,3.48,3.49,3.48,3.49,48758,0
2016-06-23,21:30:00,3.485,3.49,3.48,3.485,42962,0
2016-06-23,21:35:00,3.485,3.49,3.48,3.485,42296,0
2016-06-23,21:40:00,3.485,3.49,3.47,3.47,127844,0
2016-06-23,21:45:00,3.47,3.48,3.47,3.47,171842,0
2016-06-23,21:50:00,3.47,3.48,3.47,3.475,251444,0
2016-06-23,21:55:00,3.47,3.48,3.47,3.475,285341,0
2016-06-23,22:00:00,3.475,3.48,3.46,3.46,943905,0
2016-06-24,15:35:00,3.35,3.38,3.3,3.37,248602,0
2016-06-24,15:40:00,3.365,3.38,3.34,3.38,225864,0
2016-06-24,15:45:00,3.38,3.41,3.38,3.4,211732,0
2016-06-24,15:50:00,3.4,3.42,3.3907,3.42,80471,0
2016-06-24,15:55:00,3.42,3.42,3.39,3.4,173164,0
2016-06-24,16:00:00,3.4,3.41,3.39,3.4,127306,0
2016-06-24,16:05:00,3.4,3.4,3.39,3.4,30868,0
2016-06-24,16:10:00,3.39,3.4,3.385,3.395,160890,0
2016-06-24,16:15:00,3.395,3.4,3.39,3.4,55431,0
2016-06-24,16:20:00,3.395,3.4,3.391,3.395,45997,0
2016-06-24,16:25:00,3.395,3.4,3.39,3.395,81533,0
2016-06-24,16:30:00,3.395,3.4,3.39,3.395,29420,0
2016-06-24,16:35:00,3.395,3.4,3.3908,3.395,77780,0
2016-06-24,16:40:00,3.395,3.4,3.39,3.395,146571,0
2016-06-24,16:45:00,3.4,3.4,3.39,3.4,119022,0
2016-06-24,16:50:00,3.4,3.4,3.3925,3.395,74278,0
2016-06-24,16:55:00,3.4,3.4,3.39,3.395,73257,0
2016-06-24,17:00:00,3.4,3.4,3.39,3.395,37119,0
2016-06-24,17:05:00,3.4,3.4,3.39,3.395,46534,0
2016-06-24,17:10:00,3.4,3.4,3.39,3.395,33167,0
2016-06-24,17:15:00,3.4,3.4,3.395,3.4,72778,0
2016-06-24,17:20:00,3.4,3.4,3.39,3.4,32938,0
2016-06-24,17:25:00,3.395,3.4,3.3925,3.4,31915,0
2016-06-24,17:30:00,3.4,3.41,3.39,3.405,258885,0
2016-06-24,17:35:00,3.41,3.42,3.41,3.415,540256,0
2016-06-24,17:40:00,3.415,3.42,3.41,3.42,140363,0
2016-06-24,17:45:00,3.415,3.42,3.41,3.42,74985,0
2016-06-24,17:50:00,3.42,3.42,3.41,3.42,44537,0
2016-06-24,17:55:00,3.42,3.42,3.41,3.42,62549,0
2016-06-24,18:00:00,3.42,3.42,3.41,3.415,52877,0
2016-06-24,18:05:00,3.42,3.42,3.41,3.42,41985,0
2016-06-24,18:10:00,3.415,3.42,3.41,3.42,50263,0
2016-06-24,18:15:00,3.42,3.42,3.4101,3.42,32855,0
2016-06-24,18:20:00,3.415,3.42,3.415,3.42,34234,0
2016-06-24,18:25:00,3.42,3.42,3.41,3.42,37282,0
2016-06-24,18:30:00,3.42,3.42,3.4101,3.42,167592,0
2016-06-24,18:35:00,3.42,3.42,3.4101,3.42,40915,0
2016-06-24,18:40:00,3.42,3.42,3.415,3.415,64129,0
2016-06-24,18:45:00,3.42,3.42,3.41,3.415,38896,0
2016-06-24,18:50:00,3.415,3.42,3.41,3.4175,178107,0
2016-06-24,18:55:00,3.41,3.42,3.39,3.395,369326,0
2016-06-24,19:00:00,3.395,3.4,3.39,3.4,172739,0
2016-06-24,19:05:00,3.395,3.4,3.39,3.395,104472,0
2016-06-24,19:10:00,3.4,3.4,3.39,3.4,57336,0
2016-06-24,19:15:00,3.4,3.4,3.39,3.4,90388,0
2016-06-24,19:20:00,3.395,3.41,3.39,3.405,229635,0
2016-06-24,19:25:00,3.41,3.42,3.405,3.415,128466,0
2016-06-24,19:30:00,3.415,3.42,3.41,3.415,67634,0
2016-06-24,19:35:00,3.41,3.42,3.41,3.415,52338,0
2016-06-24,19:40:00,3.415,3.42,3.41,3.415,40563,0
2016-06-24,19:45:00,3.415,3.42,3.41,3.415,64100,0
2016-06-24,19:50:00,3.415,3.42,3.41,3.415,56668,0
2016-06-24,19:55:00,3.42,3.42,3.41,3.42,31327,0
2016-06-24,20:00:00,3.42,3.42,3.415,3.42,242708,0
2016-06-24,20:05:00,3.42,3.45,3.4101,3.45,283301,0
2016-06-24,20:10:00,3.45,3.46,3.44,3.46,213086,0
2016-06-24,20:15:00,3.46,3.47,3.435,3.435,331488,0
2016-06-24,20:20:00,3.43,3.4301,3.41,3.41,44828,0
2016-06-24,20:25:00,3.415,3.43,3.41,3.415,185257,0
2016-06-24,20:30:00,3.415,3.42,3.41,3.42,46770,0
2016-06-24,20:35:00,3.41,3.42,3.41,3.42,50493,0
2016-06-24,20:40:00,3.42,3.42,3.41,3.41,63860,0
2016-06-24,20:45:00,3.415,3.42,3.41,3.41,50560,0
2016-06-24,20:50:00,3.415,3.42,3.41,3.415,68508,0
2016-06-24,20:55:00,3.415,3.42,3.41,3.42,45201,0
2016-06-24,21:00:00,3.42,3.42,3.41,3.42,98481,0
2016-06-24,21:05:00,3.415,3.42,3.4,3.4,287115,0
2016-06-24,21:10:00,3.405,3.41,3.4,3.41,80236,0
