Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-21,15:35:00,28.257,28.257,28.217,28.22,2078,0
2016-06-21,15:40:00,28.237,28.317,28.177,28.177,1798,0
2016-06-21,15:45:00,28.267,28.347,28.267,28.347,691,0
2016-06-21,15:50:00,28.267,28.297,28.237,28.237,601,0
2016-06-21,15:55:00,28.227,28.227,28.207,28.217,601,0
2016-06-21,16:00:00,28.257,28.257,28.247,28.247,400,0
2016-06-21,16:05:00,28.237,28.237,28.217,28.227,501,0
2016-06-21,16:10:00,28.257,28.337,28.257,28.337,891,0
2016-06-21,16:20:00,28.357,28.357,28.317,28.317,601,0
2016-06-21,16:25:00,28.297,28.297,28.237,28.272,2703,0
2016-06-21,16:30:00,28.307,28.317,28.297,28.312,1101,0
2016-06-21,16:35:00,28.307,28.307,28.277,28.277,2803,0
2016-06-21,16:40:00,28.257,28.257,28.207,28.217,400,0
2016-06-21,16:45:00,28.207,28.207,28.177,28.187,1101,0
2016-06-21,16:50:00,28.227,28.227,28.197,28.197,601,0
2016-06-21,17:00:00,28.157,28.167,28.108,28.167,9211,0
2016-06-21,17:05:00,28.157,28.187,28.157,28.187,400,0
2016-06-21,17:10:00,28.207,28.212,28.197,28.197,1917,0
2016-06-21,17:15:00,28.157,28.157,28.157,28.157,200,0
2016-06-21,17:20:00,28.088,28.128,28.088,28.128,4105,0
2016-06-21,17:25:00,28.148,28.148,28.128,28.138,1702,0
2016-06-21,17:30:00,28.138,28.138,28.113,28.138,1602,0
2016-06-21,17:35:00,28.118,28.133,27.988,27.988,1201,0
2016-06-21,17:40:00,27.988,27.988,27.988,27.988,100,0
2016-06-21,17:50:00,27.978,28.048,27.978,28.01,1201,0
2016-06-21,17:55:00,27.998,27.998,27.998,27.998,501,0
2016-06-21,18:00:00,27.998,28.058,27.998,28.058,2102,0
2016-06-21,18:05:00,28.078,28.088,28.038,28.038,1502,0
2016-06-21,18:10:00,28.038,28.038,28.018,28.018,200,0
2016-06-21,18:15:00,28.011,28.011,27.998,27.998,300,0
2016-06-21,18:20:00,28.008,28.018,28.008,28.008,601,0
2016-06-21,18:25:00,28.018,28.038,28.018,28.038,400,0
2016-06-21,18:30:00,28.028,28.028,28.028,28.028,400,0
2016-06-21,18:40:00,28.033,28.048,28.008,28.018,2203,0
2016-06-21,18:45:00,28.038,28.038,28.028,28.038,989,0
2016-06-21,18:55:00,28.018,28.058,28.018,28.018,2303,0
2016-06-21,19:00:00,28.028,28.028,28.028,28.028,901,0
2016-06-21,19:05:00,28.018,28.038,28.018,28.028,2691,0
2016-06-21,19:10:00,28.028,28.073,28.028,28.068,2803,0
2016-06-21,19:25:00,28.078,28.108,28.078,28.098,2619,0
2016-06-21,19:40:00,28.078,28.078,28.038,28.048,1802,0
2016-06-21,19:45:00,28.048,28.048,28.048,28.048,100,0
2016-06-21,19:50:00,28.058,28.108,28.058,28.088,2102,0
2016-06-21,19:55:00,28.108,28.108,28.098,28.098,200,0
2016-06-21,20:00:00,28.118,28.148,28.118,28.148,6804,0
2016-06-21,20:05:00,28.138,28.138,28.118,28.118,1001,0
2016-06-21,20:10:00,28.118,28.128,28.108,28.128,1402,0
2016-06-21,20:15:00,28.148,28.148,28.148,28.148,501,0
2016-06-21,20:20:00,28.177,28.227,28.177,28.227,6908,0
2016-06-21,20:25:00,28.227,28.237,28.227,28.237,1302,0
2016-06-21,20:30:00,28.247,28.292,28.247,28.292,6007,0
2016-06-21,20:35:00,28.297,28.357,28.297,28.357,1502,0
2016-06-21,20:40:00,28.347,28.437,28.347,28.42,6753,0
2016-06-21,20:45:00,28.437,28.487,28.427,28.427,2203,0
2016-06-21,20:50:00,28.427,28.497,28.427,28.497,2303,0
2016-06-21,20:55:00,28.487,28.487,28.447,28.447,3224,0
2016-06-21,21:00:00,28.437,28.437,28.437,28.437,200,0
2016-06-21,21:05:00,28.432,28.437,28.367,28.367,1001,0
2016-06-21,21:10:00,28.342,28.377,28.337,28.337,1701,0
2016-06-21,21:15:00,28.357,28.387,28.357,28.377,1101,0
2016-06-21,21:20:00,28.352,28.407,28.352,28.407,1482,0
2016-06-21,21:25:00,28.417,28.417,28.367,28.377,4705,0
2016-06-21,21:30:00,28.387,28.427,28.387,28.417,3003,0
2016-06-21,21:35:00,28.427,28.457,28.427,28.437,3204,0
2016-06-21,21:40:00,28.437,28.457,28.437,28.452,3623,0
2016-06-21,21:45:00,28.452,28.467,28.437,28.467,4706,0
2016-06-21,21:50:00,28.472,28.517,28.467,28.497,3169,0
2016-06-21,21:55:00,28.497,28.507,28.427,28.507,5406,0
2016-06-21,22:00:00,28.497,28.497,28.417,28.417,8360,0
2016-06-22,15:35:00,28.447,28.447,28.447,28.447,1319,0
