Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-22,15:35:00,21.806,21.904,21.644,21.894,9631,0
2016-06-22,15:40:00,21.894,21.894,21.717,21.767,3667,0
2016-06-22,15:45:00,21.757,21.845,21.727,21.825,4176,0
2016-06-22,15:50:00,21.806,21.884,21.806,21.845,10305,0
2016-06-22,15:55:00,21.875,21.894,21.816,21.825,1528,0
2016-06-22,16:00:00,21.816,21.845,21.806,21.825,6213,0
2016-06-22,16:05:00,21.835,21.845,21.806,21.816,13438,0
2016-06-22,16:10:00,21.796,21.83,21.791,21.825,8793,0
2016-06-22,16:15:00,21.825,21.865,21.811,21.816,8015,0
2016-06-22,16:20:00,21.825,21.894,21.806,21.894,19020,0
2016-06-22,16:25:00,21.894,21.894,21.806,21.83,13407,0
2016-06-22,16:30:00,21.835,21.855,21.825,21.845,6517,0
2016-06-22,16:35:00,21.845,21.904,21.816,21.904,5578,0
2016-06-22,16:40:00,21.904,21.914,21.884,21.904,3626,0
2016-06-22,16:45:00,21.894,21.973,21.894,21.973,12473,0
2016-06-22,16:50:00,22.002,22.071,21.983,22.051,3998,0
2016-06-22,16:55:00,22.051,22.14,22.051,22.14,8548,0
2016-06-22,17:00:00,22.149,22.149,22.041,22.041,8046,0
2016-06-22,17:05:00,22.041,22.149,22.037,22.14,48177,0
2016-06-22,17:10:00,22.148,22.199,22.14,22.199,13482,0
2016-06-22,17:15:00,22.199,22.208,22.169,22.189,9795,0
2016-06-22,17:20:00,22.189,22.213,22.179,22.208,5500,0
2016-06-22,17:25:00,22.199,22.199,22.11,22.11,12732,0
2016-06-22,17:30:00,22.1,22.199,22.071,22.199,12890,0
2016-06-22,17:35:00,22.194,22.194,22.135,22.149,26320,0
2016-06-22,17:40:00,22.13,22.14,22.046,22.046,6436,0
2016-06-22,17:45:00,21.963,21.992,21.933,21.963,4176,0
2016-06-22,17:50:00,21.963,21.992,21.914,21.914,3667,0
2016-06-22,17:55:00,21.924,21.924,21.894,21.924,3157,0
2016-06-22,18:00:00,21.914,21.983,21.914,21.963,3996,0
2016-06-22,18:05:00,21.973,21.973,21.884,21.887,3259,0
2016-06-22,18:10:00,21.894,21.943,21.865,21.924,12541,0
2016-06-22,18:15:00,21.924,21.963,21.914,21.953,4818,0
2016-06-22,18:20:00,21.963,21.963,21.909,21.924,3157,0
2016-06-22,18:25:00,21.914,21.914,21.845,21.845,5398,0
2016-06-22,18:30:00,21.825,21.869,21.825,21.855,5113,0
2016-06-22,18:35:00,21.865,21.875,21.835,21.845,6529,0
2016-06-22,18:40:00,21.845,21.865,21.835,21.845,3361,0
2016-06-22,18:45:00,21.835,21.855,21.835,21.855,8912,0
2016-06-22,18:50:00,21.855,21.875,21.845,21.875,6289,0
2016-06-22,18:55:00,21.875,21.884,21.845,21.865,4787,0
2016-06-22,19:00:00,21.845,21.884,21.845,21.884,7199,0
2016-06-22,19:05:00,21.875,21.953,21.875,21.943,10746,0
2016-06-22,19:10:00,21.943,21.963,21.933,21.934,9139,0
2016-06-22,19:15:00,21.933,21.992,21.914,21.933,26178,0
2016-06-22,19:20:00,21.936,21.943,21.924,21.943,10427,0
2016-06-22,19:25:00,21.933,21.973,21.933,21.963,8301,0
2016-06-22,19:30:00,21.963,21.983,21.948,21.973,6821,0
2016-06-22,19:35:00,21.958,21.973,21.943,21.968,21449,0
2016-06-22,19:40:00,21.968,21.968,21.938,21.953,3287,0
2016-06-22,19:45:00,21.943,21.953,21.943,21.943,1019,0
2016-06-22,19:50:00,21.948,21.963,21.943,21.963,4482,0
2016-06-22,19:55:00,21.963,21.983,21.963,21.973,6824,0
2016-06-22,20:00:00,21.983,21.983,21.943,21.953,4714,0
2016-06-22,20:05:00,21.943,21.943,21.924,21.929,8271,0
2016-06-22,20:10:00,21.924,21.933,21.924,21.924,1528,0
2016-06-22,20:15:00,21.933,21.963,21.904,21.914,17174,0
2016-06-22,20:20:00,21.914,21.914,21.875,21.884,8714,0
2016-06-22,20:25:00,21.884,21.884,21.865,21.865,3903,0
2016-06-22,20:30:00,21.87,21.953,21.87,21.943,8556,0
2016-06-22,20:35:00,21.943,21.953,21.933,21.938,7729,0
2016-06-22,20:40:00,21.933,21.938,21.924,21.929,4782,0
2016-06-22,20:45:00,21.933,21.963,21.933,21.936,8963,0
2016-06-22,20:50:00,21.938,21.978,21.924,21.975,7129,0
2016-06-22,20:55:00,21.973,21.983,21.953,21.983,5936,0
2016-06-22,21:00:00,21.973,21.997,21.973,21.992,12348,0
2016-06-22,21:05:00,21.992,22.002,21.953,21.963,8730,0
2016-06-22,21:10:00,21.953,21.958,21.914,21.914,7183,0
2016-06-22,21:15:00,21.919,21.919,21.879,21.879,7271,0
2016-06-22,21:20:00,21.879,21.909,21.875,21.889,11273,0
2016-06-22,21:25:00,21.884,21.884,21.845,21.845,6184,0
2016-06-22,21:30:00,21.855,21.86,21.83,21.855,11526,0
2016-06-22,21:35:00,21.85,21.865,21.845,21.865,14354,0
2016-06-22,21:40:00,21.87,21.884,21.855,21.875,11272,0
2016-06-22,21:45:00,21.875,21.879,21.845,21.845,13505,0
2016-06-22,21:50:00,21.845,21.845,21.796,21.796,13756,0
2016-06-22,21:55:00,21.796,21.806,21.767,21.776,17569,0
2016-06-22,22:00:00,21.771,21.801,21.757,21.757,44808,0
2016-06-23,15:35:00,22.032,22.145,21.884,21.884,8446,0
2016-06-23,15:40:00,21.776,21.953,21.668,21.953,8861,0
2016-06-23,15:45:00,21.953,22.081,21.786,21.825,3972,0
2016-06-23,15:50:00,21.786,21.992,21.786,21.992,8556,0
2016-06-23,15:55:00,21.973,21.973,21.796,21.87,14682,0
2016-06-23,16:00:00,21.855,21.865,21.698,21.825,20601,0
2016-06-23,16:05:00,21.825,21.953,21.825,21.953,5806,0
2016-06-23,16:10:00,21.924,21.924,21.845,21.865,5163,0
2016-06-23,16:15:00,21.865,21.875,21.845,21.865,5488,0
2016-06-23,16:20:00,21.865,21.875,21.757,21.767,15533,0
2016-06-23,16:25:00,21.757,21.806,21.747,21.747,9286,0
2016-06-23,16:30:00,21.757,21.762,21.717,21.727,8123,0
2016-06-23,16:35:00,21.727,21.776,21.649,21.649,13152,0
2016-06-23,16:40:00,21.649,21.693,21.649,21.659,12815,0
2016-06-23,16:45:00,21.659,21.678,21.649,21.663,5237,0
2016-06-23,16:50:00,21.659,21.659,21.619,21.624,8526,0
2016-06-23,16:55:00,21.619,21.649,21.609,21.609,11126,0
2016-06-23,17:00:00,21.6,21.668,21.595,21.668,6569,0
2016-06-23,17:05:00,21.668,21.698,21.666,21.688,4329,0
2016-06-23,17:10:00,21.688,21.708,21.668,21.708,11000,0
2016-06-23,17:15:00,21.698,21.698,21.663,21.683,9887,0
2016-06-23,17:20:00,21.688,21.708,21.683,21.688,12294,0
2016-06-23,17:25:00,21.688,21.688,21.663,21.667,15505,0
2016-06-23,17:30:00,21.668,21.668,21.654,21.663,4095,0
2016-06-23,17:35:00,21.663,21.688,21.663,21.688,8972,0
2016-06-23,17:40:00,21.688,21.688,21.678,21.678,2852,0
2016-06-23,17:45:00,21.688,21.737,21.683,21.683,11871,0
2016-06-23,17:50:00,21.688,21.732,21.688,21.732,6315,0
2016-06-23,17:55:00,21.737,21.757,21.708,21.708,5561,0
2016-06-23,18:00:00,21.698,21.701,21.688,21.695,10402,0
2016-06-23,18:05:00,21.698,21.708,21.688,21.698,3820,0
2016-06-23,18:10:00,21.698,21.737,21.698,21.737,14741,0
2016-06-23,18:15:00,21.737,21.756,21.737,21.737,2056,0
2016-06-23,18:20:00,21.747,21.786,21.747,21.786,7645,0
