Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-21,15:35:00,10.59,10.59,10.39,10.39,5796,0
2016-06-21,15:40:00,10.5599,10.5599,10.5599,10.5599,100,0
2016-06-21,15:45:00,10.5199,10.5199,10.5199,10.5199,1000,0
2016-06-21,15:50:00,10.48,10.48,10.46,10.46,700,0
2016-06-21,15:55:00,10.45,10.45,10.44,10.44,300,0
2016-06-21,16:00:00,10.46,10.48,10.4,10.41,2078,0
2016-06-21,16:05:00,10.42,10.44,10.42,10.42,400,0
2016-06-21,16:10:00,10.413,10.415,10.335,10.335,2900,0
2016-06-21,16:15:00,10.33,10.37,10.31,10.37,1722,0
2016-06-21,16:20:00,10.35,10.36,10.33,10.33,422,0
2016-06-21,16:25:00,10.36,10.38,10.279,10.279,3500,0
2016-06-21,16:30:00,10.28,10.32,10.28,10.32,900,0
2016-06-21,16:35:00,10.34,10.35,10.33,10.33,1900,0
2016-06-21,16:40:00,10.33,10.34,10.32,10.32,800,0
2016-06-21,16:45:00,10.34,10.37,10.26,10.28,3929,0
2016-06-21,16:50:00,10.27,10.27,10.23,10.23,4446,0
2016-06-21,16:55:00,10.23,10.29,10.23,10.25,5000,0
2016-06-21,17:00:00,10.25,10.26,10.24,10.25,18178,0
2016-06-21,17:05:00,10.2499,10.32,10.2499,10.32,2954,0
2016-06-21,17:10:00,10.28,10.3,10.26,10.3,1500,0
2016-06-21,17:15:00,10.28,10.33,10.28,10.28,3159,0
2016-06-21,17:20:00,10.3,10.33,10.29,10.33,9605,0
2016-06-21,17:25:00,10.35,10.39,10.34,10.36,2065,0
2016-06-21,17:30:00,10.35,10.37,10.35,10.37,1100,0
2016-06-21,17:35:00,10.38,10.41,10.36,10.36,2200,0
2016-06-21,17:40:00,10.36,10.36,10.33,10.33,700,0
2016-06-21,17:45:00,10.33,10.37,10.33,10.35,2968,0
2016-06-21,17:50:00,10.33,10.33,10.3,10.31,1210,0
2016-06-21,17:55:00,10.32,10.33,10.29,10.3,2200,0
2016-06-21,18:00:00,10.29,10.3,10.29,10.3,300,0
2016-06-21,18:05:00,10.3,10.36,10.3,10.36,1800,0
2016-06-21,18:10:00,10.37,10.37,10.3,10.3,1513,0
2016-06-21,18:15:00,10.29,10.34,10.27,10.34,1700,0
2016-06-21,18:20:00,10.32,10.32,10.32,10.32,100,0
2016-06-21,18:25:00,10.3,10.35,10.3,10.3,7549,0
2016-06-21,18:30:00,10.27,10.28,10.27,10.27,700,0
2016-06-21,18:35:00,10.26,10.29,10.2532,10.2532,773,0
2016-06-21,18:45:00,10.25,10.26,10.25,10.25,3100,0
2016-06-21,18:50:00,10.25,10.26,10.25,10.26,8400,0
2016-06-21,18:55:00,10.25,10.25,10.22,10.23,22700,0
2016-06-21,19:00:00,10.24,10.25,10.24,10.25,600,0
2016-06-21,19:05:00,10.24,10.25,10.24,10.25,300,0
2016-06-21,19:10:00,10.25,10.26,10.23,10.23,1800,0
2016-06-21,19:15:00,10.255,10.28,10.23,10.2301,9000,0
2016-06-21,19:20:00,10.229,10.229,10.229,10.229,100,0
2016-06-21,19:25:00,10.23,10.23,10.23,10.23,200,0
2016-06-21,19:30:00,10.22,10.22,10.22,10.22,100,0
2016-06-21,19:35:00,10.23,10.23,10.23,10.23,100,0
2016-06-21,19:40:00,10.22,10.22,10.21,10.22,697,0
2016-06-21,19:55:00,10.22,10.22,10.21,10.21,200,0
2016-06-21,20:00:00,10.23,10.23,10.23,10.23,100,0
2016-06-21,20:05:00,10.2224,10.2224,10.22,10.22,610,0
2016-06-21,20:10:00,10.22,10.25,10.22,10.25,200,0
2016-06-21,20:15:00,10.26,10.26,10.24,10.24,500,0
2016-06-21,20:20:00,10.26,10.26,10.25,10.25,1100,0
2016-06-21,20:25:00,10.24,10.25,10.24,10.25,400,0
2016-06-21,20:30:00,10.25,10.26,10.24,10.25,2400,0
2016-06-21,20:35:00,10.25,10.26,10.25,10.255,3500,0
2016-06-21,20:40:00,10.25,10.29,10.25,10.27,12166,0
2016-06-21,20:45:00,10.26,10.26,10.25,10.25,300,0
2016-06-21,20:50:00,10.25,10.26,10.24,10.25,900,0
2016-06-21,20:55:00,10.24,10.25,10.24,10.25,600,0
2016-06-21,21:00:00,10.25,10.25,10.25,10.25,200,0
2016-06-21,21:05:00,10.24,10.255,10.23,10.24,1300,0
2016-06-21,21:10:00,10.24,10.24,10.22,10.24,2600,0
2016-06-21,21:20:00,10.25,10.26,10.24,10.25,1200,0
2016-06-21,21:25:00,10.24,10.24,10.24,10.24,400,0
2016-06-21,21:30:00,10.24,10.26,10.21,10.25,3400,0
2016-06-21,21:35:00,10.25,10.25,10.23,10.23,1600,0
2016-06-21,21:40:00,10.24,10.25,10.24,10.25,500,0
2016-06-21,21:45:00,10.24,10.24,10.23,10.23,800,0
2016-06-21,21:50:00,10.25,10.27,10.24,10.26,3591,0
2016-06-21,21:55:00,10.275,10.28,10.27,10.28,2485,0
2016-06-21,22:00:00,10.27,10.28,10.24,10.24,54868,0
2016-06-22,15:35:00,10.24,10.24,10.24,10.24,622,0
2016-06-22,15:40:00,10.33,10.33,10.19,10.2,900,0
2016-06-22,15:45:00,10.17,10.23,10.17,10.23,700,0
2016-06-22,15:50:00,10.28,10.28,10.28,10.28,100,0
2016-06-22,16:00:00,10.2325,10.2325,10.23,10.23,500,0
2016-06-22,16:10:00,10.23,10.23,10.2,10.2,586,0
2016-06-22,16:35:00,10.23,10.25,10.23,10.24,1400,0
2016-06-22,16:40:00,10.24,10.25,10.23,10.23,1010,0
2016-06-22,16:45:00,10.23,10.23,10.2175,10.22,700,0
2016-06-22,16:50:00,10.24,10.25,10.23,10.24,800,0
2016-06-22,16:55:00,10.26,10.27,10.25,10.25,1000,0
2016-06-22,17:00:00,10.28,10.28,10.26,10.26,700,0
2016-06-22,17:05:00,10.2675,10.2675,10.24,10.25,2200,0
2016-06-22,17:10:00,10.28,10.28,10.25,10.25,1600,0
2016-06-22,17:15:00,10.25,10.29,10.25,10.27,4300,0
2016-06-22,17:20:00,10.28,10.28,10.26,10.27,5500,0
2016-06-22,17:25:00,10.27,10.27,10.23,10.25,3000,0
2016-06-22,17:30:00,10.25,10.27,10.21,10.24,12423,0
2016-06-22,17:35:00,10.26,10.26,10.21,10.23,17604,0
2016-06-22,17:40:00,10.23,10.25,10.2,10.23,5817,0
2016-06-22,17:45:00,10.24,10.25,10.205,10.23,2694,0
2016-06-22,17:50:00,10.23,10.23,10.21,10.23,500,0
2016-06-22,17:55:00,10.23,10.23,10.21,10.23,800,0
2016-06-22,18:00:00,10.24,10.24,10.23,10.23,1800,0
2016-06-22,18:05:00,10.23,10.23,10.22,10.22,800,0
2016-06-22,18:10:00,10.23,10.23,10.22,10.22,300,0
2016-06-22,18:15:00,10.21,10.21,10.21,10.21,500,0
2016-06-22,18:20:00,10.21,10.21,10.21,10.21,100,0
2016-06-22,18:25:00,10.21,10.21,10.18,10.18,2600,0
2016-06-22,18:30:00,10.2,10.2,10.2,10.2,100,0
2016-06-22,18:35:00,10.195,10.195,10.195,10.195,100,0
2016-06-22,18:40:00,10.18,10.18,10.18,10.18,100,0
