Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-14,15:35:00,28.37,28.37,28.37,28.37,405,0
2016-06-14,15:40:00,28.47,28.47,28.28,28.28,200,0
2016-06-14,15:45:00,28.28,28.335,28.28,28.325,600,0
2016-06-14,15:50:00,28.35,28.35,28.346,28.346,210,0
2016-06-14,15:55:00,28.33,28.42,28.295,28.42,1699,0
2016-06-14,16:00:00,28.395,28.395,28.395,28.395,100,0
2016-06-14,16:15:00,28.37,28.37,28.37,28.37,110,0
2016-06-14,16:20:00,28.44,28.44,28.44,28.44,400,0
2016-06-14,16:25:00,28.455,28.455,28.4225,28.4225,300,0
2016-06-14,16:30:00,28.42,28.42,28.4,28.4,300,0
2016-06-14,16:35:00,28.43,28.4599,28.43,28.4599,200,0
2016-06-14,16:40:00,28.43,28.48,28.406,28.48,3100,0
2016-06-14,16:45:00,28.49,28.49,28.49,28.49,200,0
2016-06-14,16:50:00,28.435,28.4925,28.435,28.4925,7500,0
2016-06-14,17:00:00,28.3475,28.465,28.3475,28.44,2100,0
2016-06-14,17:05:00,28.42,28.545,28.42,28.53,2100,0
2016-06-14,17:10:00,28.545,28.545,28.505,28.505,300,0
2016-06-14,17:15:00,28.48,28.57,28.475,28.55,963,0
2016-06-14,17:20:00,28.545,28.55,28.49,28.49,1900,0
2016-06-14,17:25:00,28.44,28.53,28.4,28.47,1300,0
2016-06-14,17:30:00,28.49,28.57,28.49,28.5001,400,0
2016-06-14,17:35:00,28.47,28.47,28.45,28.45,800,0
2016-06-14,17:50:00,28.45,28.45,28.45,28.45,191,0
2016-06-14,17:55:00,28.41,28.41,28.41,28.41,300,0
2016-06-14,18:00:00,28.4,28.4,28.31,28.33,1500,0
2016-06-14,18:05:00,28.35,28.4095,28.35,28.4095,500,0
2016-06-14,18:10:00,28.43,28.43,28.425,28.425,500,0
2016-06-14,18:15:00,28.43,28.43,28.43,28.43,500,0
2016-06-14,18:20:00,28.3862,28.45,28.3862,28.45,700,0
2016-06-14,18:25:00,28.47,28.48,28.37,28.37,500,0
2016-06-14,18:30:00,28.378,28.378,28.378,28.378,440,0
2016-06-14,18:40:00,28.36,28.38,28.32,28.38,1200,0
2016-06-14,18:45:00,28.38,28.4,28.38,28.38,400,0
2016-06-14,18:50:00,28.44,28.44,28.37,28.37,700,0
2016-06-14,18:55:00,28.43,28.51,28.4,28.51,4490,0
2016-06-14,19:00:00,28.52,28.64,28.52,28.64,1100,0
2016-06-14,19:05:00,28.64,28.73,28.61,28.65,7900,0
2016-06-14,19:10:00,28.59,28.59,28.52,28.52,200,0
2016-06-14,19:15:00,28.585,28.585,28.52,28.52,200,0
2016-06-14,19:20:00,28.575,28.575,28.575,28.575,100,0
2016-06-14,19:30:00,28.54,28.54,28.54,28.54,100,0
2016-06-14,19:45:00,28.525,28.525,28.43,28.43,200,0
2016-06-14,19:55:00,28.43,28.435,28.43,28.435,200,0
2016-06-14,20:00:00,28.45,28.45,28.4305,28.45,1700,0
2016-06-14,20:05:00,28.39,28.39,28.39,28.39,100,0
2016-06-14,20:10:00,28.385,28.385,28.385,28.385,100,0
2016-06-14,20:15:00,28.33,28.4,28.33,28.3865,2100,0
