Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-22,15:35:00,49.78,50.02,49.52,50.02,4033,0
2016-06-22,15:40:00,50.02,50.07,49.87,49.95,17720,0
2016-06-22,15:45:00,49.97,50.06,49.86,49.88,10392,0
2016-06-22,15:50:00,49.92,50.06,49.87,50.02,3841,0
2016-06-22,15:55:00,50.05,50.14,49.92,50.02,5303,0
2016-06-22,16:00:00,50.07,50.15,49.98,50.07,10597,0
2016-06-22,16:05:00,50.04,50.04,49.92,49.92,3200,0
2016-06-22,16:10:00,49.94,50.04,49.93,50,7956,0
2016-06-22,16:15:00,50,50.075,49.98,50.05,2202,0
2016-06-22,16:20:00,50.05,50.06,50.02,50.04,3100,0
2016-06-22,16:25:00,49.9709,50.03,49.97,50.03,2849,0
2016-06-22,16:30:00,50.08,50.08,49.96,50,4902,0
2016-06-22,16:35:00,49.98,50.06,49.95,50.02,3100,0
2016-06-22,16:40:00,50.07,50.07,49.99,50.03,500,0
2016-06-22,16:45:00,49.99,49.99,49.92,49.97,2300,0
2016-06-22,16:50:00,49.96,50.01,49.9,50.01,1300,0
2016-06-22,16:55:00,50.01,50.0599,49.96,50.03,1930,0
2016-06-22,17:00:00,50.03,50.1,49.96,50.02,6300,0
2016-06-22,17:05:00,50.01,50.07,49.98,50.05,2000,0
2016-06-22,17:10:00,50.02,50.02,49.89,49.89,3300,0
2016-06-22,17:15:00,49.94,49.94,49.88,49.9,1500,0
2016-06-22,17:20:00,49.91,49.96,49.82,49.96,1828,0
2016-06-22,17:25:00,49.93,49.94,49.82,49.82,5194,0
2016-06-22,17:30:00,49.89,49.92,49.88,49.88,1602,0
2016-06-22,17:35:00,49.88,49.88,49.79,49.81,2002,0
2016-06-22,17:40:00,49.82,49.92,49.82,49.87,1357,0
2016-06-22,17:45:00,49.89,49.89,49.81,49.81,1900,0
2016-06-22,17:50:00,49.87,49.98,49.85,49.96,2182,0
2016-06-22,17:55:00,49.95,50.01,49.9,49.99,2100,0
2016-06-22,18:00:00,50.0199,50.0499,49.97,50,2000,0
2016-06-22,18:05:00,50.035,50.035,49.92,49.94,1477,0
2016-06-22,18:10:00,49.98,49.9837,49.95,49.97,2100,0
2016-06-22,18:15:00,49.96,49.97,49.94,49.97,1500,0
2016-06-22,18:20:00,49.98,49.98,49.88,49.88,1400,0
2016-06-22,18:25:00,49.89,49.94,49.81,49.81,1468,0
2016-06-22,18:30:00,49.79,49.8,49.79,49.8,900,0
2016-06-22,18:35:00,49.82,49.82,49.76,49.81,800,0
2016-06-22,18:40:00,49.85,49.85,49.82,49.82,1500,0
2016-06-22,18:45:00,49.82,49.83,49.77,49.77,900,0
2016-06-22,18:50:00,49.77,49.77,49.66,49.67,950,0
2016-06-22,18:55:00,49.69,49.7,49.63,49.63,900,0
2016-06-22,19:00:00,49.74,49.74,49.74,49.74,600,0
2016-06-22,19:05:00,49.74,49.74,49.53,49.53,5543,0
2016-06-22,19:10:00,49.52,49.52,49.51,49.52,1283,0
2016-06-22,19:15:00,49.5,49.52,49.48,49.48,900,0
2016-06-22,19:20:00,49.5,49.52,49.47,49.47,1200,0
2016-06-22,19:25:00,49.48,49.48,49.48,49.48,300,0
2016-06-22,19:30:00,49.46,49.49,49.46,49.48,2200,0
2016-06-22,19:35:00,49.47,49.5025,49.47,49.5025,600,0
2016-06-22,19:40:00,49.505,49.505,49.45,49.5,2250,0
2016-06-22,19:45:00,49.49,49.5,49.45,49.5,1700,0
2016-06-22,19:50:00,49.5,49.5,49.45,49.45,800,0
2016-06-22,19:55:00,49.5,49.5,49.49,49.49,500,0
2016-06-22,20:00:00,49.49,49.49,49.44,49.44,700,0
2016-06-22,20:05:00,49.43,49.43,49.38,49.38,1500,0
2016-06-22,20:10:00,49.39,49.39,49.36,49.365,1700,0
2016-06-22,20:15:00,49.365,49.38,49.31,49.31,1300,0
2016-06-22,20:20:00,49.31,49.31,49.18,49.2,3925,0
2016-06-22,20:25:00,49.18,49.18,49.11,49.11,700,0
2016-06-22,20:30:00,49.12,49.19,49.12,49.19,1000,0
2016-06-22,20:35:00,49.15,49.17,49.13,49.13,800,0
2016-06-22,20:40:00,49.14,49.16,49.14,49.16,1100,0
2016-06-22,20:45:00,49.2,49.2399,49.2,49.2399,615,0
2016-06-22,20:50:00,49.22,49.2499,49.16,49.16,3186,0
2016-06-22,20:55:00,49.21,49.26,49.21,49.21,1800,0
2016-06-22,21:00:00,49.2397,49.3,49.2397,49.25,1703,0
2016-06-22,21:05:00,49.31,49.35,49.3,49.34,2695,0
2016-06-22,21:10:00,49.33,49.33,49.26,49.26,2899,0
2016-06-22,21:15:00,49.265,49.3,49.265,49.3,2056,0
2016-06-22,21:20:00,49.32,49.32,49.3,49.32,1100,0
2016-06-22,21:25:00,49.32,49.325,49.28,49.28,2960,0
2016-06-22,21:30:00,49.27,49.27,49.2499,49.25,4200,0
2016-06-22,21:35:00,49.25,49.25,49.24,49.24,3200,0
2016-06-22,21:40:00,49.24,49.245,49.16,49.21,5306,0
2016-06-22,21:45:00,49.22,49.24,49.21,49.24,3100,0
2016-06-22,21:50:00,49.24,49.25,49.14,49.19,3828,0
2016-06-22,21:55:00,49.2,49.22,49.06,49.18,11457,0
2016-06-22,22:00:00,49.22,49.29,49.16,49.29,27822,0
2016-06-23,15:35:00,49.57,50.45,49.51,50.255,9585,0
2016-06-23,15:40:00,50.3,50.38,49.74,49.96,27088,0
2016-06-23,15:45:00,50,50.1899,49.89,49.92,21341,0
2016-06-23,15:50:00,50.06,50.2499,49.99,50.08,2450,0
2016-06-23,15:55:00,50.2,50.23,50.03,50.035,1300,0
2016-06-23,16:00:00,50.03,50.1,50,50,2650,0
2016-06-23,16:05:00,50.08,50.11,50,50,13620,0
2016-06-23,16:10:00,50.01,50.08,49.98,50.03,3200,0
2016-06-23,16:15:00,50.13,50.31,50.13,50.28,2700,0
2016-06-23,16:20:00,50.325,50.34,50.12,50.12,3800,0
2016-06-23,16:25:00,50.12,50.21,50.06,50.06,5936,0
2016-06-23,16:30:00,50.26,50.26,50.04,50.04,1000,0
2016-06-23,16:35:00,50.03,50.18,50.02,50.07,3800,0
2016-06-23,16:40:00,50.09,50.11,50.08,50.11,600,0
2016-06-23,16:45:00,50.07,50.22,50.07,50.12,1700,0
2016-06-23,16:50:00,50.17,50.17,50.02,50.08,1500,0
2016-06-23,16:55:00,50.0801,50.13,50.0801,50.1,700,0
2016-06-23,17:00:00,50.095,50.2,50.05,50.1,1700,0
2016-06-23,17:05:00,50.1,50.11,50.03,50.03,600,0
2016-06-23,17:10:00,50.02,50.1198,49.99,50.0201,2470,0
2016-06-23,17:15:00,50.08,50.17,50.07,50.17,2270,0
2016-06-23,17:20:00,50.2,50.22,50.08,50.11,6204,0
2016-06-23,17:25:00,50.08,50.2,50.08,50.11,3400,0
2016-06-23,17:30:00,50.1,50.18,50.06,50.12,8465,0
2016-06-23,17:35:00,50.12,50.13,50.03,50.1,4100,0
2016-06-23,17:40:00,50.11,50.12,50.08,50.08,1400,0
2016-06-23,17:45:00,50.11,50.11,50.06,50.08,600,0
2016-06-23,17:50:00,50.08,50.16,50.05,50.1,3935,0
2016-06-23,17:55:00,50.13,50.19,50.07,50.11,3200,0
