Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-22,15:35:00,90.5,91.12,90.44,91.12,1747,0
2016-06-22,15:40:00,90.79,90.79,90.18,90.18,500,0
2016-06-22,15:45:00,90.4,90.4,90.13,90.13,400,0
2016-06-22,15:50:00,90.12,90.22,89.59,90.2,5300,0
2016-06-22,15:55:00,90.22,90.23,90.2,90.2,500,0
2016-06-22,16:00:00,90.19,90.27,90.19,90.22,800,0
2016-06-22,16:05:00,90.15,90.26,90.03,90.23,3756,0
2016-06-22,16:10:00,90.17,90.36,90.17,90.26,3000,0
2016-06-22,16:15:00,90.45,90.5,90.29,90.29,1400,0
2016-06-22,16:20:00,90.34,90.4,90.32,90.35,1200,0
2016-06-22,16:25:00,90.36,90.36,90.33,90.33,1000,0
2016-06-22,16:30:00,90.29,90.3,90.26,90.26,400,0
2016-06-22,16:35:00,90.26,90.395,90.26,90.34,1700,0
2016-06-22,16:40:00,90.34,90.35,90.27,90.28,1300,0
2016-06-22,16:45:00,90.31,90.46,90.31,90.33,1200,0
2016-06-22,16:50:00,90.29,90.305,90.29,90.3,300,0
2016-06-22,16:55:00,90.22,90.39,90.22,90.39,1200,0
2016-06-22,17:00:00,90.375,90.41,90.31,90.31,1100,0
2016-06-22,17:05:00,90.205,90.32,90.205,90.265,1000,0
2016-06-22,17:10:00,90.24,90.24,90.2,90.21,1600,0
2016-06-22,17:15:00,90.24,90.45,90.24,90.36,4022,0
2016-06-22,17:20:00,90.36,90.52,90.31,90.52,1300,0
2016-06-22,17:25:00,90.43,90.43,90.365,90.365,500,0
2016-06-22,17:30:00,90.44,90.55,90.41,90.45,3857,0
2016-06-22,17:35:00,90.41,90.41,90.14,90.14,800,0
2016-06-22,17:40:00,90.22,90.3999,90.15,90.15,5935,0
2016-06-22,17:45:00,90.12,90.44,90.05,90.05,3000,0
2016-06-22,17:50:00,90.21,90.28,90.21,90.28,600,0
2016-06-22,17:55:00,90.35,90.36,90.24,90.36,800,0
2016-06-22,18:00:00,90.35,90.35,90.34,90.34,700,0
2016-06-22,18:05:00,90.26,90.285,90.21,90.27,800,0
2016-06-22,18:10:00,90.29,90.38,90.26,90.38,1100,0
2016-06-22,18:15:00,90.42,90.51,90.4,90.51,1500,0
2016-06-22,18:20:00,90.385,90.41,90.38,90.38,600,0
