Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-05-20,15:35:00,2.65,2.7003,2.65,2.65,1954,0
2016-05-20,15:40:00,2.6026,2.6026,2.6026,2.6026,200,0
2016-05-20,15:50:00,2.68,2.68,2.575,2.575,400,0
2016-05-20,16:35:00,2.5986,2.5986,2.5986,2.5986,3000,0
2016-05-20,16:45:00,2.54,2.54,2.54,2.54,500,0
2016-05-20,16:55:00,2.58,2.58,2.58,2.58,180,0
2016-05-20,18:05:00,2.63,2.63,2.63,2.63,100,0
2016-05-20,18:10:00,2.615,2.69,2.615,2.63,1300,0
2016-05-20,18:20:00,2.62,2.65,2.595,2.6,3420,0
2016-05-20,18:50:00,2.58,2.58,2.58,2.58,300,0
2016-05-20,18:55:00,2.58,2.58,2.58,2.58,100,0
2016-05-20,19:00:00,2.58,2.5999,2.58,2.58,458,0
2016-05-20,19:25:00,2.6,2.7,2.6,2.7,5580,0
2016-05-20,19:30:00,2.66,2.66,2.66,2.66,200,0
2016-05-20,19:40:00,2.6645,2.6645,2.6645,2.6645,749,0
2016-05-20,19:55:00,2.69,2.7,2.69,2.7,231,0
2016-05-20,20:05:00,2.7,2.7,2.7,2.7,100,0
2016-05-20,20:10:00,2.6999,2.6999,2.6999,2.6999,250,0
2016-05-20,20:20:00,2.69,2.69,2.68,2.68,200,0
2016-05-20,20:30:00,2.6868,2.6868,2.6868,2.6868,1000,0
2016-05-20,20:50:00,2.69,2.69,2.69,2.69,100,0
2016-05-20,20:55:00,2.66,2.66,2.66,2.66,473,0
2016-05-20,21:05:00,2.69,2.69,2.6699,2.6699,400,0
2016-05-20,21:15:00,2.68,2.68,2.68,2.68,200,0
2016-05-20,21:30:00,2.68,2.68,2.68,2.68,100,0
2016-05-20,21:40:00,2.68,2.68,2.68,2.68,100,0
2016-05-20,21:50:00,2.68,2.7,2.66,2.66,1200,0
2016-05-20,22:00:00,2.66,2.66,2.66,2.66,395,0
2016-05-23,15:35:00,2.66,2.6899,2.66,2.6899,3195,0
2016-05-23,15:40:00,2.65,2.69,2.65,2.676,760,0
2016-05-23,16:10:00,2.68,2.75,2.65,2.65,10710,0
2016-05-23,17:00:00,2.85,2.86,2.85,2.86,310,0
2016-05-23,17:05:00,2.85,2.855,2.85,2.85,1169,0
2016-05-23,17:30:00,2.84,2.9,2.83,2.9,10787,0
2016-05-23,17:35:00,2.8806,2.8806,2.8806,2.8806,300,0
2016-05-23,19:25:00,2.88,2.88,2.87,2.87,700,0
2016-05-23,20:00:00,2.89,2.99,2.881,2.99,3892,0
2016-05-23,20:05:00,3,3,2.99,3,700,0
